"","dpd_ingredient","extract","drug_code","active_ingredient_code","ingredient_supplied_ind","strength","strength_unit","strength_type","dosage_value","base","dosage_unit","notes","hydrate","ccdd","top250name","ing_stem","strength_w_unit_w_dosage_if_exists","mp_ingredient_name"
"15","DICLOFENAC SODIUM","active",10037,2013,"I","50","MG","","","N","","Historic Freeform Text: DICLOFENAC SODIUM",FALSE,"Y","DICLOFENAC","DICLOFENAC","50 MG","diclofenac sodium 50 mg"
"16","SODIUM CHLORIDE","active",10040,55,"I","900","MG","","100","N","ML","HISTORIC FREEFORM TEXT: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","900 MG per 100 ML","sodium chloride 900 mg per 100 mL"
"17","DEXTROSE","active",10041,42,"I","5","G","","100","N","ML","HISTORIC FREEFORM TEXT: DEXTROSE",FALSE,"","","DEXTROSE","5 G per 100 ML","dextrose 5 g per 100 mL"
"18","POTASSIUM CHLORIDE","active",10041,53,"I","150","MG","","100","N","ML","HISTORIC FREEFORM TEXT: POTASSIUM CHLORIDE",FALSE,"","","POTASSIUM CHLORIDE","150 MG per 100 ML","potassium chloride 150 mg per 100 mL"
"19","DEXTROSE","active",10042,42,"I","5","G","","100","N","ML","Historic Freeform Text: DEXTROSE",FALSE,"","","DEXTROSE","5 G per 100 ML","dextrose 5 g per 100 mL"
"20","POTASSIUM CHLORIDE","active",10042,53,"I","300","MG","","100","N","ML","Historic Freeform Text: POTASSIUM CHLORIDE",FALSE,"","","POTASSIUM CHLORIDE","300 MG per 100 ML","potassium chloride 300 mg per 100 mL"
"21","DEXTROSE","active",10044,42,"I","5","G","","100","N","ML","HISTORIC FREEFORM TEXT: DEXTROSE",FALSE,"","","DEXTROSE","5 G per 100 ML","dextrose 5 g per 100 mL"
"22","POTASSIUM CHLORIDE","active",10044,53,"I","150","MG","","100","N","ML","HISTORIC FREEFORM TEXT: POTASSIUM CHLORIDE",FALSE,"","","POTASSIUM CHLORIDE","150 MG per 100 ML","potassium chloride 150 mg per 100 mL"
"23","SODIUM CHLORIDE","active",10044,55,"I","450","MG","","100","N","ML","HISTORIC FREEFORM TEXT: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","450 MG per 100 ML","sodium chloride 450 mg per 100 mL"
"24","DEXTROSE","active",10045,42,"I","5","G","","100","N","ML","HISTORIC FREEFORM TEXT: DEXTROSE",FALSE,"","","DEXTROSE","5 G per 100 ML","dextrose 5 g per 100 mL"
"25","POTASSIUM CHLORIDE","active",10045,53,"I","300","MG","","100","N","ML","HISTORIC FREEFORM TEXT: POTASSIUM CHLORIDE",FALSE,"","","POTASSIUM CHLORIDE","300 MG per 100 ML","potassium chloride 300 mg per 100 mL"
"26","SODIUM CHLORIDE","active",10045,55,"I","450","MG","","100","N","ML","HISTORIC FREEFORM TEXT: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","450 MG per 100 ML","sodium chloride 450 mg per 100 mL"
"27","PRAMOXINE HYDROCHLORIDE","active",10052,6343,"I","1","%","","","N","","Historic Freeform Text: PRAMOXINE HCL.",FALSE,"","","PRAMOXINE HYDROCHLORIDE","1 %","pramoxine hydrochloride 1 %"
"28","HYDROCORTISONE","active",10052,7532,"I","1","%","","","N","","Historic Freeform Text: HYDROCORTISONE",FALSE,"Y","HYDROCORTISONE","HYDROCORTISONE","1 %","hydrocortisone 1 %"
"29","DEXTROMETHORPHAN HYDROBROMIDE","active",10054,10247,"I","15","MG","","5","N","ML","HISTORIC FREEFORM TEXT: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","15 MG per 5 ML","dextromethorphan hydrobromide 15 mg per 5 mL"
"30","POLYMYXIN B (POLYMYXIN B SULFATE)","active",10062,8520,"I","10000","UNIT","","","Y","ML","HISTORIC FREEFORM TEXT: POLYMYXIN B SULFATE ((POLYMYXIN B EQ))",FALSE,"","","POLYMYXIN B (POLYMYXIN B SULFATE)","10000 UNIT per ML","polymyxin b (polymyxin b sulfate) 10000 unit per mL"
"31","GRAMICIDIN","active",10062,8523,"I","0.025","MG","","","N","ML","HISTORIC FREEFORM TEXT: GRAMICIDIN  ANIMAL COUNTRY OF ORIGIN IS EUROPEAN COMMUNITY STATES EXCEPT THE",FALSE,"","","GRAMICIDIN","0.025 MG per ML","gramicidin 0.025 mg per mL"
"32","NEOMYCIN (NEOMYCIN SULFATE)","active",10062,8638,"I","1.75","MG","","","Y","ML","HISTORIC FREEFORM TEXT: NEOMYCIN SULFATE ((BASE 1.75MG EQ))",FALSE,"","","NEOMYCIN (NEOMYCIN SULFATE)","1.75 MG per ML","neomycin (neomycin sulfate) 1.75 mg per mL"
"33","THIAMINE HYDROCHLORIDE","active",10063,5040,"I","100","MG","","","N","ML","HISTORIC FREEFORM TEXT: THIAMINE HCL.",FALSE,"","","THIAMINE HYDROCHLORIDE","100 MG per ML","thiamine hydrochloride 100 mg per mL"
"34","METHYLENE BLUE","active",10064,7160,"I","10","MG","","","N","ML","HISTORIC FREEFORM TEXT: METHYLENE BLUE",FALSE,"","","METHYLENE BLUE","10 MG per ML","methylene blue 10 mg per mL"
"35","DEXTROSE","active",10114,42,"I","67.54","G","","","N","L","Historic Freeform Text: DEXTROSE (HEMODIALYSIS)",FALSE,"","","DEXTROSE","67.54 G per L","dextrose 67.54 g per l"
"36","ACETIC ACID","active",10114,47,"I","10.8","G","","","N","L","Historic Freeform Text: ACETIC ACID HEMODIALYSIS",FALSE,"","","ACETIC ACID","10.8 G per L","acetic acid 10.8 g per l"
"37","MAGNESIUM CHLORIDE","active",10114,49,"I","1.61","G","","","N","L","",FALSE,"","","MAGNESIUM CHLORIDE","1.61 G per L","magnesium chloride 1.61 g per l"
"38","CALCIUM CHLORIDE","active",10114,51,"I","6.24","G","","","N","L","",FALSE,"","","CALCIUM CHLORIDE","6.24 G per L","calcium chloride 6.24 g per l"
"39","SODIUM CHLORIDE","active",10114,55,"I","263","G","","","N","L","Historic Freeform Text: SODIUM CHLORIDE HEMODIALYS",FALSE,"","","SODIUM CHLORIDE","263 G per L","sodium chloride 263 g per l"
"40","DEXTROSE","active",10115,42,"I","67.54","G","","","N","L","Historic Freeform Text: DEXTROSE (HEMODIALYSIS)",FALSE,"","","DEXTROSE","67.54 G per L","dextrose 67.54 g per l"
"41","ACETIC ACID","active",10115,47,"I","10.8","G","","","N","L","Historic Freeform Text: ACETIC ACID HEMODIALYSIS",FALSE,"","","ACETIC ACID","10.8 G per L","acetic acid 10.8 g per l"
"42","MAGNESIUM CHLORIDE","active",10115,49,"I","1.61","G","","","N","L","Historic Freeform Text: MAGNESIUM CHLORIDE",FALSE,"","","MAGNESIUM CHLORIDE","1.61 G per L","magnesium chloride 1.61 g per l"
"43","CALCIUM CHLORIDE","active",10115,51,"I","6.24","G","","","N","L","Historic Freeform Text: CALCIUM CHLORIDE HEMODIALYS",FALSE,"","","CALCIUM CHLORIDE","6.24 G per L","calcium chloride 6.24 g per l"
"44","POTASSIUM CHLORIDE","active",10115,53,"I","6.71","G","","","N","L","Historic Freeform Text: POTASSIUM CHLORIDE HEMODIALYSIS",FALSE,"","","POTASSIUM CHLORIDE","6.71 G per L","potassium chloride 6.71 g per l"
"45","SODIUM CHLORIDE","active",10115,55,"I","263","G","","","N","L","Historic Freeform Text: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","263 G per L","sodium chloride 263 g per l"
"46","NITROGLYCERIN","active",10116,9412,"I","50","MG","","20","N","SQ CM","HISTORIC FREEFORM TEXT: NITROGLYCERIN",FALSE,"Y","NITROGLYCERIN","NITROGLYCERIN","50 MG per 20 SQ CM","nitroglycerin 50 mg per 20 sq cm"
"47","DOXYCYCLINE (DOXYCYCLINE HYCLATE)","active",10117,8642,"I","100","MG","","","N","","HISTORIC FREEFORM TEXT: DOXYCYLINE HYCLATE ((BASE EQ))",FALSE,"Y","DOXYCYCLINE","DOXYCYCLINE","100 MG","doxycycline (doxycycline hyclate) 100 mg"
"48","PYRANTEL (PYRANTEL PAMOATE)","active",10128,11253,"I","35","MG","","","N","","Historic Freeform Text: PYRANTEL PAMOATE ((BASE EQ))",FALSE,"","","PYRANTEL (PYRANTEL PAMOATE)","35 MG","pyrantel (pyrantel pamoate) 35 mg"
"49","KETOPROFEN","active",10134,2327,"I","100","MG","","","N","","Historic Freeform Text: KETOPROFEN",FALSE,"","","KETOPROFEN","100 MG","ketoprofen 100 mg"
"50","KETOPROFEN","active",10135,2327,"I","50","MG","","","N","","Historic Freeform Text: KETOPROFEN",FALSE,"","","KETOPROFEN","50 MG","ketoprofen 50 mg"
"51","KETOPROFEN","active",10136,2327,"I","50","MG","","","N","","HISTORIC FREEFORM TEXT: KETOPROFEN",FALSE,"","","KETOPROFEN","50 MG","ketoprofen 50 mg"
"52","SODIUM LACTATE","active",10143,1074,"I","392","MG","","100","N","ML","HISTORIC FREEFORM TEXT: SODIUM LACTATE",FALSE,"","","SODIUM LACTATE","392 MG per 100 ML","sodium lactate 392 mg per 100 mL"
"53","DEXTROSE","active",10143,42,"I","4.25","G","","100","N","ML","HISTORIC FREEFORM TEXT: DEXTROSE (HEMODIALYSIS)",FALSE,"","","DEXTROSE","4.25 G per 100 ML","dextrose 4.25 g per 100 mL"
"54","MAGNESIUM CHLORIDE","active",10143,49,"I","15.2","MG","","100","N","ML","Historic Freeform Text: MAGNESIUM CHLORIDE HEMODIALYS",FALSE,"","","MAGNESIUM CHLORIDE","15.2 MG per 100 ML","magnesium chloride 15.2 mg per 100 mL"
"55","CALCIUM CHLORIDE","active",10143,51,"I","23.9","MG","","100","N","ML","Historic Freeform Text: CALCIUM CHLORIDE HEMODIALYS",FALSE,"","","CALCIUM CHLORIDE","23.9 MG per 100 ML","calcium chloride 23.9 mg per 100 mL"
"56","SODIUM CHLORIDE","active",10143,55,"I","567","MG","","100","N","ML","HISTORIC FREEFORM TEXT: SODIUM CHLORIDE HEMODIALYSIS",FALSE,"","","SODIUM CHLORIDE","567 MG per 100 ML","sodium chloride 567 mg per 100 mL"
"57","OCTISALATE","active",75557,12048,"I","5","%","","","N","","",FALSE,"","","OCTISALATE","5 %","octisalate 5 %"
"58","SODIUM LACTATE","active",10144,1074,"I","392","MG","","100","N","ML","Historic Freeform Text: SODIUM LACTATE",FALSE,"","","SODIUM LACTATE","392 MG per 100 ML","sodium lactate 392 mg per 100 mL"
"59","DEXTROSE","active",10144,42,"I","1.5","G","","100","N","ML","Historic Freeform Text: DEXTROSE (HEMODIALYSIS)",FALSE,"","","DEXTROSE","1.5 G per 100 ML","dextrose 1.5 g per 100 mL"
"60","MAGNESIUM CHLORIDE","active",10144,49,"I","15.2","MG","","100","N","ML","Historic Freeform Text: MAGNESIUM CHLORIDE HEMODIALYS",FALSE,"","","MAGNESIUM CHLORIDE","15.2 MG per 100 ML","magnesium chloride 15.2 mg per 100 mL"
"61","CALCIUM CHLORIDE","active",10144,51,"I","23.9","MG","","100","N","ML","Historic Freeform Text: CALCIUM CHLORIDE HEMODIALYSIS",FALSE,"","","CALCIUM CHLORIDE","23.9 MG per 100 ML","calcium chloride 23.9 mg per 100 mL"
"62","SODIUM CHLORIDE","active",10144,55,"I","567","MG","","100","N","ML","Historic Freeform Text: SODIUM CHLORIDE HEMODIALYS",FALSE,"","","SODIUM CHLORIDE","567 MG per 100 ML","sodium chloride 567 mg per 100 mL"
"63","PREDNISOLONE ACETATE","active",10169,7617,"I","0.2","%","","","N","","Historic Freeform Text: PREDNISOLONE ACETATE",FALSE,"Y","PREDNISOLONE","PREDNISOLONE","0.2 %","prednisolone acetate 0.2 %"
"64","SULFACETAMIDE SODIUM","active",10169,8145,"I","10","%","","","N","","Historic Freeform Text: SULFACETAMIDE SODIUM",FALSE,"","","SULFACETAMIDE SODIUM","10 %","sulfacetamide sodium 10 %"
"65","HYDROMORPHONE HYDROCHLORIDE","active",10173,20280,"I","1","MG","","","N","ML","HISTORIC FREEFORM TEXT: HYDROMORPHONE HCL",FALSE,"Y","HYDROMORPHONE","HYDROMORPHONE","1 MG per ML","hydromorphone hydrochloride 1 mg per mL"
"66","CHLORHEXIDINE GLUCONATE","active",10177,626,"I","0.05","%","","","N","","HISTORIC FREEFORM TEXT: CHLORHEXIDINE GLUCONATE",FALSE,"Y","CHLORHEXIDINE","CHLORHEXIDINE","0.05 %","chlorhexidine gluconate 0.05 %"
"67","PHENYLEPHRINE HYDROCHLORIDE","active",10188,10258,"I","10","MG","","","N","PCK","",FALSE,"","","PHENYLEPHRINE HYDROCHLORIDE","10 MG per PCK","phenylephrine hydrochloride 10 mg per pck"
"68","ACETAMINOPHEN","active",10188,270,"I","650","MG","","","N","PCK","",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","650 MG per PCK","acetaminophen 650 mg per pck"
"69","ACETYLSALICYLIC ACID","active",10200,150,"I","325","MG","","","N","","Historic Freeform Text: ACETYLSALICYLIC ACID",FALSE,"","","ACETYLSALICYLIC ACID","325 MG","acetylsalicylic acid 325 mg"
"70","BETAMETHASONE (BETAMETHASONE DIPROPIONATE)","active",10211,7610,"I","0.05","%","","","N","W/W","HISTORIC FREEFORM TEXT: BETAMETHASONE ((AS DIPROPIONATE))  2017.04.10  STRENGTH EXPRESSED IN PERCENT",FALSE,"Y","BETAMETHASONE","BETAMETHASONE (BASE)","0.05 %","betamethasone (betamethasone dipropionate) 0.05 %"
"71","DIMETHICONE","active",10217,433,"I","25","MG","","5","N","ML","Historic Freeform Text: DIMETHICONE",FALSE,"","","DIMETHICONE","25 MG per 5 ML","dimethicone 25 mg per 5 mL"
"72","MAGNESIUM HYDROXIDE","active",10217,720,"I","200","MG","","5","N","ML","Historic Freeform Text: MAGNESIUM HYDROXIDE",FALSE,"","","MAGNESIUM HYDROXIDE","200 MG per 5 ML","magnesium hydroxide 200 mg per 5 mL"
"73","ALUMINUM HYDROXIDE","active",10217,721,"I","200","MG","","5","N","ML","HISTORIC FREEFORM TEXT: ALUMINUM HYDROXIDE",FALSE,"","","ALUMINUM HYDROXIDE","200 MG per 5 ML","aluminum hydroxide 200 mg per 5 mL"
"74","ACETYLSALICYLIC ACID","active",1025,150,"I","375","MG","","","N","","Historic Freeform Text: ACETYLSALICYLIC ACID",FALSE,"","","ACETYLSALICYLIC ACID","375 MG","acetylsalicylic acid 375 mg"
"75","CODEINE PHOSPHATE","active",1025,9131,"I","8","MG","","","N","","Historic Freeform Text: CODEINE PHOSPHATE",FALSE,"Y","CODEINE","CODEINE","8 MG","codeine phosphate 8 mg"
"76","CAFFEINE","active",1025,9358,"I","15","MG","","","N","","Historic Freeform Text: CAFFEINE",FALSE,"Y","CAFFEINE","CAFFEINE","15 MG","caffeine 15 mg"
"77","IBUPROFEN","active",10294,2609,"I","200","MG","","","N","","Historic Freeform Text: IBUPROFEN",FALSE,"Y","IBUPROFEN","IBUPROFEN","200 MG","ibuprofen 200 mg"
"78","IMIPRAMINE HYDROCHLORIDE","active",1030,9267,"I","50","MG","","","N","","Historic Freeform Text: IMIPRAMINE HCL",FALSE,"","","IMIPRAMINE HYDROCHLORIDE","50 MG","imipramine hydrochloride 50 mg"
"79","IMIPRAMINE HYDROCHLORIDE","active",1031,9267,"I","10","MG","","","N","","Historic Freeform Text: IMIPRAMINE HCL",FALSE,"","","IMIPRAMINE HYDROCHLORIDE","10 MG","imipramine hydrochloride 10 mg"
"80","FOLIC ACID","active",10312,4991,"I","5","MG","","","N","ML","HISTORIC FREEFORM TEXT: FOLIC ACID",FALSE,"Y","FOLIC ACID","FOLIC ACID","5 MG per ML","folic acid 5 mg per mL"
"81","PETROLATUM","active",10314,3566,"I","100","%","","","N","","HISTORIC FREEFORM TEXT: PETROLATUM",FALSE,"","","PETROLATUM","100 %","petrolatum 100 %"
"82","DOCUSATE CALCIUM","active",10316,9150,"I","240","MG","","","N","","Historic Freeform Text: DIOCTYL CALCIUM SULFOSUCCINATE",FALSE,"","","DOCUSATE CALCIUM","240 MG","docusate calcium 240 mg"
"83","LEUPROLIDE ACETATE","active",10318,1756,"I","7.5","MG","","","N","VIAL","HISTORIC FREEFORM TEXT: LEUPROLIDE ACETATE",FALSE,"","","LEUPROLIDE ACETATE","7.5 MG per VIAL","leuprolide acetate 7.5 mg per vial"
"84","IMIPRAMINE HYDROCHLORIDE","active",1032,9267,"I","25","MG","","","N","","Historic Freeform Text: IMIPRAMINE HCL",FALSE,"","","IMIPRAMINE HYDROCHLORIDE","25 MG","imipramine hydrochloride 25 mg"
"85","METRONIDAZOLE","active",1033,9880,"I","250","MG","","","N","","Historic Freeform Text: METRONIDAZOLE",FALSE,"Y","METRONIDAZOLE","METRONIDAZOLE","250 MG","metronidazole 250 mg"
"86","PHENYTOIN SODIUM","active",1036,10207,"I","30","MG","","","N","","HISTORIC FREEFORM TEXT: DIPHENYLHYDANTOIN SODIUM",FALSE,"Y","PHENYTOIN","PHENYTOIN SODIUM","30 MG","phenytoin sodium 30 mg"
"87","PHENYTOIN SODIUM","active",1037,10207,"I","100","MG","","","N","","Historic Freeform Text: DIPHENYLHYDANTOIN SODIUM",FALSE,"Y","PHENYTOIN","PHENYTOIN SODIUM","100 MG","phenytoin sodium 100 mg"
"88","DOXYCYCLINE (DOXYCYCLINE HYCLATE)","active",10383,8642,"I","100","MG","","","N","","Historic Freeform Text: DOXYCYCLINE HYCLATE ((DOXYCYCLINE EQ))",FALSE,"Y","DOXYCYCLINE","DOXYCYCLINE","100 MG","doxycycline (doxycycline hyclate) 100 mg"
"89","SALBUTAMOL (SALBUTAMOL SULFATE)","active",10391,2585,"I","5","MG","","","N","ML","HISTORIC FREEFORM TEXT: SALBUTAMOL SULPHATE ((BASE EQ))",FALSE,"Y","SALBUTAMOL","SALBUTAMOL","5 MG per ML","salbutamol (salbutamol sulfate) 5 mg per mL"
"90","DILTIAZEM HYDROCHLORIDE","active",10394,1926,"I","30","MG","","","N","","Historic Freeform Text: DILTIAZEM HCL",FALSE,"Y","DILTIAZEM","DILTIAZEM","30 MG","diltiazem hydrochloride 30 mg"
"91","DILTIAZEM HYDROCHLORIDE","active",10395,1926,"I","60","MG","","","N","","Historic Freeform Text: DILTIAZEM HCL",FALSE,"Y","DILTIAZEM","DILTIAZEM","60 MG","diltiazem hydrochloride 60 mg"
"92","METHYLPHENIDATE HYDROCHLORIDE","active",10398,6186,"I","10","MG","","","N","","Historic Freeform Text: METHYLPHENIDATE HCL",FALSE,"Y","METHYLPHENIDATE","METHYLPHENIDATE","10 MG","methylphenidate hydrochloride 10 mg"
"93","METHYLPHENIDATE HYDROCHLORIDE","active",10399,6186,"I","20","MG","","","N","","Historic Freeform Text: METHYLPHENIDATE HCL",FALSE,"Y","METHYLPHENIDATE","METHYLPHENIDATE","20 MG","methylphenidate hydrochloride 20 mg"
"94","OXYCODONE HYDROCHLORIDE","active",10433,6165,"I","5","MG","","","N","","Historic Freeform Text: OXYCODONE HCL",FALSE,"Y","OXYCODONE","OXYCODONE","5 MG","oxycodone hydrochloride 5 mg"
"95","NYSTATIN","active",10435,8508,"I","100000","UNIT","","","N","ML","Historic Freeform Text: NYSTATIN",FALSE,"Y","NYSTATIN","NYSTATIN","100000 UNIT per ML","nystatin 100000 unit per mL"
"96","DEXTROSE","active",10438,42,"I","5","G","","100","N","ML","Historic Freeform Text: DEXTROSE",FALSE,"","","DEXTROSE","5 G per 100 ML","dextrose 5 g per 100 mL"
"97","SODIUM CHLORIDE","active",10438,55,"I","200","MG","","100","N","ML","HISTORIC FREEFORM TEXT: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","200 MG per 100 ML","sodium chloride 200 mg per 100 mL"
"98","DEXTROSE","active",10439,42,"I","5","G","","100","N","ML","Historic Freeform Text: DEXTROSE",FALSE,"","","DEXTROSE","5 G per 100 ML","dextrose 5 g per 100 mL"
"99","SODIUM CHLORIDE","active",10439,55,"I","450","MG","","100","N","ML","Historic Freeform Text: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","450 MG per 100 ML","sodium chloride 450 mg per 100 mL"
"100","DEXTROSE","active",10440,42,"I","5","G","","100","N","ML","HISTORIC FREEFORM TEXT: DEXTROSE",FALSE,"","","DEXTROSE","5 G per 100 ML","dextrose 5 g per 100 mL"
"101","SODIUM CHLORIDE","active",10440,55,"I","900","MG","","100","N","ML","HISTORIC FREEFORM TEXT: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","900 MG per 100 ML","sodium chloride 900 mg per 100 mL"
"102","DEXTROSE","active",10441,42,"I","10","G","","100","N","ML","Historic Freeform Text: DEXTROSE",FALSE,"","","DEXTROSE","10 G per 100 ML","dextrose 10 g per 100 mL"
"103","SODIUM CHLORIDE","active",10441,55,"I","900","MG","","100","N","ML","Historic Freeform Text: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","900 MG per 100 ML","sodium chloride 900 mg per 100 mL"
"104","SODIUM CHLORIDE","active",10442,55,"I","450","MG","","100","N","ML","Historic Freeform Text: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","450 MG per 100 ML","sodium chloride 450 mg per 100 mL"
"105","ACETAMINOPHEN","active",10450,270,"I","32","MG","","","N","ML","",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","32 MG per ML","acetaminophen 32 mg per mL"
"106","ACETAMINOPHEN","active",10451,270,"I","16","MG","","","N","ML","",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","16 MG per ML","acetaminophen 16 mg per mL"
"107","MORPHINE SULFATE","active",10485,9117,"I","50","MG","","","N","ML","HISTORIC FREEFORM TEXT: MORPHINE SULFATE",FALSE,"Y","MORPHINE","MORPHINE","50 MG per ML","morphine sulfate 50 mg per mL"
"108","DIPHENHYDRAMINE HYDROCHLORIDE","active",10486,182,"I","2.5","MG","","","N","ML","Historic Freeform Text: DIPHENHYDRAMINE HYDROCHLORIDE",FALSE,"","","DIPHENHYDRAMINE HYDROCHLORIDE","2.5 MG per ML","diphenhydramine hydrochloride 2.5 mg per mL"
"109","FLUPHENAZINE DECANOATE","active",10488,8007,"I","100","MG","","","N","ML","Historic Freeform Text: FLUPHENAZINE DECANOATE",FALSE,"","","FLUPHENAZINE DECANOATE","100 MG per ML","fluphenazine decanoate 100 mg per mL"
"110","DINOPROSTONE","active",10492,2161,"I","0.5","MG","","2.5","N","ML","",FALSE,"","","DINOPROSTONE","0.5 MG per 2.5 ML","dinoprostone 0.5 mg per 2.5 mL"
"111","HYDROCHLOROTHIAZIDE","active",10494,10234,"I","50","MG","","","N","","Historic Freeform Text: HYDROCHLOROTHIAZIDE",FALSE,"Y","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","50 MG","hydrochlorothiazide 50 mg"
"112","AMILORIDE HYDROCHLORIDE","active",10494,20230,"I","5","MG","","","N","","Historic Freeform Text: AMILORIDE HCL",FALSE,"","","AMILORIDE HYDROCHLORIDE","5 MG","amiloride hydrochloride 5 mg"
"113","METOCLOPRAMIDE HYDROCHLORIDE","active",10495,3776,"I","5","MG","","","N","","Historic Freeform Text: METOCLOPRAMIDE HCL",FALSE,"Y","METOCLOPRAMIDE","METOCLOPRAMIDE","5 MG","metoclopramide hydrochloride 5 mg"
"114","METOCLOPRAMIDE HYDROCHLORIDE","active",10496,3776,"I","10","MG","","","N","","Historic Freeform Text: METOCLOPRAMIDE HCL",FALSE,"Y","METOCLOPRAMIDE","METOCLOPRAMIDE","10 MG","metoclopramide hydrochloride 10 mg"
"115","SODIUM CITRATE","active",10497,10290,"I","4","G","","100","N","ML","Historic Freeform Text: SODIUM CITRATE",FALSE,"","","SODIUM CITRATE","4 G per 100 ML","sodium citrate 4 g per 100 mL"
"116","POTASSIUM PHOSPHATE DIBASIC","active",10509,5319,"I","236","MG","","","N","ML","Historic Freeform Text: POTASSIUM PHOSPHATE DIBASIC",FALSE,"","","POTASSIUM PHOSPHATE DIBASIC","236 MG per ML","potassium phosphate dibasic 236 mg per mL"
