"ntp_formal_name","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code"
"amitriptyline hydrochloride 25 mg oral tablet",11,FALSE,1972-12-31,9000056
"cephalexin 500 mg oral tablet",6,FALSE,1972-12-31,9000057
"clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution",1,FALSE,1972-12-31,9000058
"ibuprofen 200 mg oral tablet",16,FALSE,1972-12-31,9000059
"nitroglycerin 0.3 mg sublingual tablet",1,FALSE,1972-12-31,9000060
"nitroglycerin 0.6 mg sublingual tablet",1,FALSE,1972-12-31,9000061
"norethindrone 0.35 mg oral tablet",3,FALSE,1972-12-31,9000062
"prednisone 50 mg oral tablet",3,FALSE,1972-12-31,9000063
"clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial",3,FALSE,1973-12-31,9000064
"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial",3,FALSE,1973-12-31,9000065
"clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial",2,FALSE,1973-12-31,9000066
"clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial",3,FALSE,1973-12-31,9000067
"erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension",1,FALSE,1973-12-31,9000068
"oxycodone hydrochloride 10 mg suppository",1,FALSE,1973-12-31,9000069
"oxycodone hydrochloride 20 mg suppository",1,FALSE,1973-12-31,9000070
"triamcinolone acetonide 200 mg per 5 mL suspension for injection vial",3,FALSE,1973-12-31,9000071
"triamcinolone acetonide 40 mg per 1 mL suspension for injection vial",2,FALSE,1973-12-31,9000072
"allopurinol 300 mg oral tablet",6,FALSE,1974-12-31,9000073
"colchicine 0.6 mg oral tablet",4,FALSE,1974-12-31,9000074
"diazepam 5 mg oral tablet",5,FALSE,1974-12-31,9000075
"ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet",4,FALSE,1974-12-31,9000076
"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet",2,FALSE,1974-12-31,9000077
"levothyroxine sodium 150 mcg oral tablet",2,FALSE,1974-12-31,9000078
"nitrofurantoin 100 mg oral tablet",1,FALSE,1974-12-31,9000079
"nitrofurantoin 50 mg oral tablet",1,FALSE,1974-12-31,9000080
"prednisolone acetate 0.12 % ophthalmic drops",2,FALSE,1974-12-31,9000081
"prednisolone acetate 1 % ophthalmic drops",4,FALSE,1974-12-31,9000082
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",1,FALSE,1975-12-31,9000083
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",1,FALSE,1975-12-31,9000084
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",2,FALSE,1975-12-31,9000085
"betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",6,FALSE,1975-12-31,9000086
"carbidopa 25 mg and levodopa 250 mg oral tablet",4,FALSE,1975-12-31,9000087
"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet",2,FALSE,1975-12-31,9000088
"folic acid 25 mg oral tablet",1,FALSE,1975-12-31,9000089
"spironolactone 100 mg oral tablet",2,FALSE,1975-12-31,9000090
"betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",6,FALSE,1976-12-31,9000091
"furosemide 20 mg oral tablet",6,FALSE,1976-12-31,9000092
"furosemide 40 mg oral tablet",6,FALSE,1976-12-31,9000093
"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9,FALSE,1977-12-31,9000094
"betamethasone (betamethasone dipropionate) 0.05 % lotion",7,FALSE,1977-12-31,9000095
"cephalexin 250 mg oral tablet",5,FALSE,1977-12-31,9000096
"clonazepam 0.5 mg oral tablet",16,FALSE,1977-12-31,9000097
"clonazepam 2 mg oral tablet",13,FALSE,1977-12-31,9000098
"dexamethasone 0.1 % ophthalmic drops",1,FALSE,1977-12-31,9000099
"metoprolol tartrate 100 mg oral tablet",15,FALSE,1977-12-31,9000100
"metoprolol tartrate 50 mg oral tablet",15,FALSE,1977-12-31,9000101
"penicillin v potassium 500000 unit per 5 mL powder for oral solution",1,FALSE,1977-12-31,9000102
"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",4,FALSE,1978-12-31,9000103
"baclofen 10 mg oral tablet",10,FALSE,1978-12-31,9000104
"benztropine mesylate 2 mg oral tablet",2,FALSE,1978-12-31,9000105
"codeine phosphate 0.2 % oral liquid",1,FALSE,1978-12-31,9000106
"codeine phosphate 30 mg per 1 mL solution for injection ampoule",2,FALSE,1978-12-31,9000107
"diazepam 10 mg oral tablet",4,FALSE,1978-12-31,9000108
"folic acid 5 mg oral tablet",4,FALSE,1978-12-31,9000109
"morphine sulfate 10 mg per mL solution for injection",1,FALSE,1978-12-31,9000110
"morphine sulfate 15 mg per 1 mL solution for injection ampoule",2,FALSE,1978-12-31,9000111
"prednisone 1 mg oral tablet",3,FALSE,1978-12-31,9000112
"valproic acid (sodium valproate) 50 mg per mL oral solution",1,FALSE,1978-12-31,9000113
"amitriptyline hydrochloride 75 mg oral tablet",5,FALSE,1979-12-31,9000114
"amoxicillin 125 mg per 5 mL granules for oral suspension",3,FALSE,1979-12-31,9000115
"amoxicillin 250 mg oral capsule",10,FALSE,1979-12-31,9000116
"amoxicillin 250 mg per 5 mL granules for oral suspension",4,FALSE,1979-12-31,9000117
"amoxicillin 500 mg oral capsule",11,FALSE,1979-12-31,9000118
"betamethasone (betamethasone valerate) 0.05 % cutaneous cream",3,FALSE,1979-12-31,9000119
"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment",2,FALSE,1979-12-31,9000120
"betamethasone (betamethasone valerate) 0.1 % lotion",5,FALSE,1979-12-31,9000121
"betamethasone valerate 0.1 % cutaneous cream",1,FALSE,1979-12-31,9000122
"calcitriol 0.25 mcg oral capsule",2,FALSE,1979-12-31,9000123
"calcitriol 0.5 mcg oral capsule",2,FALSE,1979-12-31,9000124
"carbidopa 10 mg and levodopa 100 mg oral tablet",4,FALSE,1979-12-31,9000125
"cephalexin 250 mg oral capsule",1,FALSE,1979-12-31,9000126
"cephalexin 500 mg oral capsule",1,FALSE,1979-12-31,9000127
"diazepam 2 mg oral tablet",3,FALSE,1979-12-31,9000128
"hydrochlorothiazide 100 mg oral tablet",2,FALSE,1979-12-31,9000129
"lithium carbonate 150 mg oral capsule",4,FALSE,1979-12-31,9000130
"metronidazole 500 mg oral capsule",3,FALSE,1979-12-31,9000131
"nystatin 100000 unit per g cutaneous cream",2,FALSE,1979-12-31,9000132
"nystatin 100000 unit per g cutaneous ointment",2,FALSE,1979-12-31,9000133
"nystatin 25000 unit per g vaginal cream",1,FALSE,1979-12-31,9000134
"oxazepam 10 mg oral tablet",6,FALSE,1979-12-31,9000135
"oxazepam 15 mg oral tablet",6,FALSE,1979-12-31,9000136
"oxazepam 30 mg oral tablet",6,FALSE,1979-12-31,9000137
"sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet",1,FALSE,1979-12-31,9000138
"sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet",2,FALSE,1979-12-31,9000139
"sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet",3,FALSE,1979-12-31,9000140
"timolol (timolol maleate) 0.5 % ophthalmic drops",8,FALSE,1979-12-31,9000141
"triamcinolone acetonide 0.025 % cutaneous cream",1,FALSE,1979-12-31,9000142
"triamcinolone acetonide 0.1 % cutaneous cream",2,FALSE,1979-12-31,9000143
"carbidopa 25 mg and levodopa 100 mg oral tablet",6,FALSE,1980-12-31,9000144
"diazepam 20 mg per 2 mL solution for injection ampoule",3,FALSE,1980-12-31,9000145
"diclofenac sodium 50 mg gastro-resistant tablet",7,FALSE,1980-12-31,9000146
"epinephrine 0.3 mg per 0.3 mL solution for injection syringe",2,FALSE,1980-12-31,9000147
"ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet",6,FALSE,1980-12-31,9000148
"haloperidol 0.5 mg oral tablet",2,FALSE,1980-12-31,9000149
"haloperidol 1 mg oral tablet",2,FALSE,1980-12-31,9000150
"indomethacin 25 mg oral capsule",3,FALSE,1980-12-31,9000151
"indomethacin 50 mg oral capsule",3,FALSE,1980-12-31,9000152
"oxycodone hydrochloride 10 mg oral tablet",4,FALSE,1980-12-31,9000153
"propranolol hydrochloride 10 mg oral tablet",3,FALSE,1980-12-31,9000154
"propranolol hydrochloride 40 mg oral tablet",3,FALSE,1980-12-31,9000155
"propranolol hydrochloride 80 mg oral tablet",3,FALSE,1980-12-31,9000156
"temazepam 15 mg oral capsule",5,FALSE,1980-12-31,9000157
"temazepam 30 mg oral capsule",5,FALSE,1980-12-31,9000158
"allopurinol 100 mg oral tablet",5,FALSE,1981-12-31,9000159
"allopurinol 200 mg oral tablet",5,FALSE,1981-12-31,9000160
"alprazolam 0.25 mg oral tablet",9,FALSE,1981-12-31,9000161
"alprazolam 0.5 mg oral tablet",9,FALSE,1981-12-31,9000162
"betamethasone (betamethasone valerate) 0.1 % cutaneous cream",3,FALSE,1981-12-31,9000163
"bromazepam 3 mg oral tablet",4,FALSE,1981-12-31,9000164
"bromazepam 6 mg oral tablet",4,FALSE,1981-12-31,9000165
"codeine phosphate 60 mg per 1 mL solution for injection ampoule",1,FALSE,1981-12-31,9000166
"erythromycin (erythromycin stearate) 250 mg oral tablet",1,FALSE,1981-12-31,9000167
"flurazepam hydrochloride 15 mg oral capsule",5,FALSE,1981-12-31,9000168
"flurazepam hydrochloride 30 mg oral capsule",4,FALSE,1981-12-31,9000169
"furosemide 20 mg per 2 mL solution for injection ampoule",4,FALSE,1981-12-31,9000170
"furosemide 40 mg per 4 mL solution for injection ampoule",3,FALSE,1981-12-31,9000171
"hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet",3,FALSE,1981-12-31,9000172
"propranolol hydrochloride 120 mg oral tablet",2,FALSE,1981-12-31,9000173
"acyclovir 5 % cutaneous ointment",1,FALSE,1982-12-31,9000174
"furosemide 20 mg per 2 mL solution for injection syringe",1,FALSE,1982-12-31,9000175
"furosemide 40 mg per 4 mL solution for injection syringe",1,FALSE,1982-12-31,9000176
"indapamide 2.5 mg oral tablet",11,FALSE,1982-12-31,9000177
"naproxen 125 mg oral tablet",1,FALSE,1982-12-31,9000178
"naproxen 250 mg oral tablet",4,FALSE,1982-12-31,9000179
"sulfamethoxazole 400 mg per 5 mL and trimethoprim 80 mg per 5 mL solution for injection ampoule",1,FALSE,1982-12-31,9000180
"codeine phosphate 15 mg oral tablet",3,FALSE,1983-12-31,9000181
"codeine phosphate 30 mg oral tablet",3,FALSE,1983-12-31,9000182
"conjugated estrogens 1.25 mg oral tablet",3,FALSE,1983-12-31,9000183
"erythromycin 250 mg gastro-resistant capsule",1,FALSE,1983-12-31,9000184
"ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and norethindrone 0.5 mg and norethindrone 0.75 mg and norethindrone 1 mg oral tablet",2,TRUE,1983-12-31,9000185
"haloperidol 2 mg per mL oral solution",2,FALSE,1983-12-31,9000186
"hydrocortisone 2.5 % cutaneous cream",1,FALSE,1983-12-31,9000187
"hydrocortisone acetate 10 % rectal foam",1,FALSE,1983-12-31,9000188
"ibuprofen 300 mg oral tablet",3,FALSE,1983-12-31,9000189
"ibuprofen 400 mg oral tablet",16,FALSE,1983-12-31,9000190
"metoprolol tartrate 200 mg prolonged-release oral tablet",4,FALSE,1983-12-31,9000191
"naproxen 375 mg oral tablet",4,FALSE,1983-12-31,9000192
"naproxen 500 mg oral tablet",4,FALSE,1983-12-31,9000193
"acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",5,FALSE,1984-12-31,9000194
"acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet",1,FALSE,1984-12-31,9000195
"amoxicillin 125 mg per 5 mL powder for oral suspension",4,FALSE,1984-12-31,9000196
"amoxicillin 250 mg per 5 mL powder for oral suspension",4,FALSE,1984-12-31,9000197
"epinephrine 0.15 mg per 0.3 mL solution for injection syringe",2,FALSE,1984-12-31,9000198
"fusidic acid 2 % cutaneous cream",1,FALSE,1984-12-31,9000199
"haloperidol 5 mg oral tablet",2,FALSE,1984-12-31,9000200
"hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial",3,FALSE,1984-12-31,9000201
"hydromorphone hydrochloride 2 mg oral tablet",4,FALSE,1984-12-31,9000202
"hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule",3,FALSE,1984-12-31,9000203
"hydromorphone hydrochloride 4 mg oral tablet",4,FALSE,1984-12-31,9000204
"hydromorphone hydrochloride 500 mg per 50 mL solution for injection vial",3,FALSE,1984-12-31,9000205
"hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial",3,FALSE,1984-12-31,9000206
"ibuprofen 600 mg oral tablet",3,FALSE,1984-12-31,9000207
"methylphenidate hydrochloride 20 mg prolonged-release oral tablet",3,FALSE,1984-12-31,9000208
"morphine hydrochloride 1 mg per mL syrup",2,FALSE,1984-12-31,9000209
"morphine sulfate 1 mg per mL syrup",1,FALSE,1984-12-31,9000210
"morphine sulfate 20 mg per mL oral drops",1,FALSE,1984-12-31,9000211
"morphine sulfate 5 mg per mL syrup",1,FALSE,1984-12-31,9000212
"procyclidine hydrochloride 2.5 mg per 5 mL oral solution",1,FALSE,1984-12-31,9000213
"valproic acid (divalproex sodium) 125 mg gastro-resistant tablet",8,FALSE,1984-12-31,9000214
"valproic acid (divalproex sodium) 250 mg gastro-resistant tablet",8,FALSE,1984-12-31,9000215
"valproic acid (divalproex sodium) 500 mg gastro-resistant tablet",8,FALSE,1984-12-31,9000216
"amoxicillin 250 mg per 5 mL powder for oral solution",1,FALSE,1985-12-31,9000217
"baclofen 20 mg oral tablet",10,FALSE,1985-12-31,9000218
"carbamazepine 100 mg chewable tablet",4,FALSE,1985-12-31,9000219
"carbamazepine 200 mg chewable tablet",4,FALSE,1985-12-31,9000220
"diclofenac sodium 100 mg prolonged-release oral tablet",6,FALSE,1985-12-31,9000221
"diclofenac sodium 100 mg suppository",4,FALSE,1985-12-31,9000222
"diclofenac sodium 50 mg suppository",4,FALSE,1985-12-31,9000223
"lorazepam 0.5 mg oral tablet",8,FALSE,1985-12-31,9000224
"lorazepam 1 mg oral tablet",8,FALSE,1985-12-31,9000225
"lorazepam 2 mg oral tablet",8,FALSE,1985-12-31,9000226
"metoprolol tartrate 100 mg prolonged-release oral tablet",4,FALSE,1985-12-31,9000227
"morphine hydrochloride 5 mg per mL syrup",2,FALSE,1985-12-31,9000228
"morphine sulfate 10 mg oral tablet",2,FALSE,1985-12-31,9000229
"morphine sulfate 10 mg suppository",1,FALSE,1985-12-31,9000230
"morphine sulfate 20 mg suppository",1,FALSE,1985-12-31,9000231
"morphine sulfate 25 mg oral tablet",1,FALSE,1985-12-31,9000232
"morphine sulfate 5 mg oral tablet",2,FALSE,1985-12-31,9000233
"nitroglycerin 2 % cutaneous ointment",1,FALSE,1985-12-31,9000234
"penicillin v potassium 200000 unit per 5 mL powder for oral solution",1,FALSE,1985-12-31,9000235
"penicillin v potassium 480000 unit oral tablet",1,FALSE,1985-12-31,9000236
"penicillin v potassium 480000 unit per 5 mL powder for oral solution",1,FALSE,1985-12-31,9000237
"procyclidine hydrochloride 2.5 mg oral tablet",1,FALSE,1985-12-31,9000238
"procyclidine hydrochloride 5 mg oral tablet",1,FALSE,1985-12-31,9000239
"codeine phosphate 5 mg per mL syrup",1,FALSE,1986-12-18,9000240
"acebutolol (acebutolol hydrochloride) 100 mg oral tablet",7,FALSE,1986-12-31,9000241
"acebutolol (acebutolol hydrochloride) 200 mg oral tablet",7,FALSE,1986-12-31,9000242
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9,FALSE,1986-12-31,9000243
"betamethasone (betamethasone valerate) 0.05 % lotion",1,FALSE,1986-12-31,9000244
"dexamethasone phosphate (dexamethasone sodium phosphate) 4 mg per mL solution for injection",3,FALSE,1986-12-31,9000245
"erythromycin 250 mg oral tablet",1,FALSE,1986-12-31,9000246
"erythromycin (erythromycin ethylsuccinate) 600 mg oral tablet",1,FALSE,1986-12-31,9000247
"erythromycin (erythromycin stearate) 500 mg oral tablet",1,FALSE,1986-12-31,9000248
"furosemide 80 mg oral tablet",4,FALSE,1986-12-31,9000249
"glyburide 5 mg oral tablet",11,FALSE,1986-12-31,9000250
"haloperidol 10 mg oral tablet",2,FALSE,1986-12-31,9000251
"haloperidol 2 mg oral tablet",2,FALSE,1986-12-31,9000252
"hydromorphone hydrochloride 1 mg oral tablet",4,FALSE,1986-12-31,9000253
"hydroxyzine hydrochloride 10 mg oral capsule",3,FALSE,1986-12-31,9000254
"hydroxyzine hydrochloride 25 mg oral capsule",3,FALSE,1986-12-31,9000255
"hydroxyzine hydrochloride 50 mg oral capsule",3,FALSE,1986-12-31,9000256
"meperidine hydrochloride 10 mg per mL solution for injection",1,FALSE,1986-12-31,9000257
"morphine hydrochloride 10 mg per mL syrup",1,FALSE,1986-12-31,9000258
"morphine hydrochloride 20 mg per mL syrup",1,FALSE,1986-12-31,9000259
"morphine sulfate 150 mg per 30 mL solution for injection vial",1,FALSE,1986-12-31,9000260
"morphine sulfate 25 mg per mL solution for injection",1,FALSE,1986-12-31,9000261
"morphine sulfate 30 mg per 30 mL solution for injection vial",1,FALSE,1986-12-31,9000262
"morphine sulfate 50 mg oral tablet",1,FALSE,1986-12-31,9000263
"morphine sulfate 50 mg per mL oral drops",1,FALSE,1986-12-31,9000264
"propranolol hydrochloride 20 mg oral tablet",2,FALSE,1986-12-31,9000265
"acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",3,FALSE,1987-12-31,9000266
"benztropine mesylate 1 mg oral tablet",1,FALSE,1987-12-31,9000267
"doxycycline (doxycycline hyclate) 100 mg oral capsule",5,FALSE,1987-12-31,9000268
"enalapril sodium 16 mg oral tablet",9,FALSE,1987-12-31,9000269
"enalapril sodium 4 mg oral tablet",9,FALSE,1987-12-31,9000270
"enalapril sodium 8 mg oral tablet",9,FALSE,1987-12-31,9000271
"epinephrine 1 mg per 10 mL solution for injection syringe",1,FALSE,1987-12-31,9000272
"ethinyl estradiol 30 mcg and ethinyl estradiol 30 mcg and ethinyl estradiol 40 mcg and levonorgestrel 125 mcg and levonorgestrel 50 mcg and levonorgestrel 75 mcg oral tablet",2,TRUE,1987-12-31,9000273
"hydroxyzine hydrochloride 50 mg per 1 mL solution for injection vial",1,FALSE,1987-12-31,9000274
"medroxyprogesterone acetate 10 mg oral tablet",3,FALSE,1987-12-31,9000275
"meperidine (meperidine hydrochloride) 50 mg per mL solution for injection",1,FALSE,1987-12-31,9000276
"meperidine (meperidine hydrochloride) 75 mg per mL solution for injection",1,FALSE,1987-12-31,9000277
"metoprolol tartrate 5 mg per 5 mL solution for injection ampoule",1,FALSE,1987-12-31,9000278
"metronidazole 500 mg per 100 mL solution for injection bag",2,FALSE,1987-12-31,9000279
"morphine sulfate 10 mg per mL syrup",1,FALSE,1987-12-31,9000280
"morphine sulfate 50 mg per mL solution for injection",2,FALSE,1987-12-31,9000281
"ranitidine (ranitidine hydrochloride) 150 mg oral tablet",19,FALSE,1987-12-31,9000282
"ranitidine (ranitidine hydrochloride) 300 mg oral tablet",13,FALSE,1987-12-31,9000283
"sulfamethoxazole 40 mg per mL and trimethoprim 8 mg per mL oral suspension",1,FALSE,1987-12-31,9000284
"atenolol 100 mg oral tablet",16,FALSE,1988-12-31,9000285
"atenolol 50 mg oral tablet",16,FALSE,1988-12-31,9000286
"betamethasone valerate 0.1 % cutaneous ointment",1,FALSE,1988-12-31,9000287
"carbamazepine 200 mg prolonged-release oral tablet",6,FALSE,1988-12-31,9000288
"carbamazepine 400 mg prolonged-release oral tablet",6,FALSE,1988-12-31,9000289
"clotrimazole 1 % cutaneous cream",5,FALSE,1988-12-31,9000290
"diltiazem hydrochloride 30 mg oral tablet",2,FALSE,1988-12-31,9000291
"diltiazem hydrochloride 60 mg oral tablet",2,FALSE,1988-12-31,9000292
"epinephrine 1 mg per 1 mL endotracheopulmonary instillation ampoule",2,FALSE,1988-12-31,9000293
"epinephrine 1 mg per 1 mL solution for injection ampoule",3,FALSE,1988-12-31,9000294
"erythromycin (erythromycin lactobionate) 1 g per vial powder for solution for injection",1,FALSE,1988-12-31,9000295
"erythromycin (erythromycin lactobionate) 500 mg per vial powder for solution for injection",1,FALSE,1988-12-31,9000296
"haloperidol 20 mg oral tablet",1,FALSE,1988-12-31,9000297
"meperidine (meperidine hydrochloride) 100 mg per mL solution for injection",1,FALSE,1988-12-31,9000298
"morphine sulfate 10 mg per 1 mL solution for injection ampoule",2,FALSE,1988-12-31,9000299
"naproxen sodium 275 mg oral tablet",5,FALSE,1988-12-31,9000300
"nifedipine 10 mg oral capsule",2,FALSE,1988-12-31,9000301
"nitroglycerin 50 mg per 10 mL solution for injection vial",2,FALSE,1988-12-31,9000302
"phenytoin sodium 100 mg per 2 mL solution for injection ampoule",2,FALSE,1988-12-31,9000303
"phenytoin sodium 250 mg per 5 mL solution for injection ampoule",2,FALSE,1988-12-31,9000304
"timolol maleate 10 mg oral tablet",2,FALSE,1988-12-31,9000305
"timolol maleate 20 mg oral tablet",2,FALSE,1988-12-31,9000306
"timolol maleate 5 mg oral tablet",2,FALSE,1988-12-31,9000307
"timolol (timolol maleate) 0.25 % ophthalmic drops",5,FALSE,1988-12-31,9000308
"triamcinolone acetonide 0.1 % cutaneous ointment",2,FALSE,1988-12-31,9000309
"verapamil hydrochloride 240 mg prolonged-release oral tablet",9,FALSE,1988-12-31,9000310
"clotrimazole 1 % vaginal cream",4,FALSE,1989-12-31,9000311
"clotrimazole 2 % vaginal cream",3,FALSE,1989-12-31,9000312
"dexamethasone phosphate (dexamethasone sodium phosphate) 1 mg per mL ophthalmic drops",1,FALSE,1989-12-31,9000313
"dexamethasone phosphate (dexamethasone sodium phosphate) 1 mg per mL otic drops",1,FALSE,1989-12-31,9000314
"dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL solution for injection vial",1,FALSE,1989-12-31,9000315
"diclofenac sodium 25 mg gastro-resistant tablet",3,FALSE,1989-12-31,9000316
"diclofenac sodium 75 mg prolonged-release oral tablet",7,FALSE,1989-12-31,9000317
"doxycycline (doxycycline hyclate) 100 mg oral tablet",6,FALSE,1989-12-31,9000318
"fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection ampoule",1,FALSE,1989-12-31,9000319
"fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial",2,FALSE,1989-12-31,9000320
"fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule",4,FALSE,1989-12-31,9000321
