"uuid","status","_name","_approvalIDDisplay","substance"
"55203892-a5c0-4c48-a695-967b9b1b532b","approved","EZETIMIBE","EOR26LQQ24","ezetimibe"
"ea1533f1-b67a-4bfe-bffd-23dbe7ec3763","approved","DABIGATRAN ETEXILATE","2E18WX195X","dabigatran etexilate"
"f4833f1f-cca6-4254-aeed-c23d46c495f7","non-approved","SEVELAMER CARBONATE","9YCX42I8IU","sevelamer carbonate"
"9f836e24-1cbd-44fb-ab8b-24152dcf52ef","non-approved","SPIRAMYCIN","71ODY0V87H","spiramycin"
"e29470df-e6d3-4430-bd03-c880a057b16f","non-approved","INFLUENZA B VIRUS","1314JZ2X6W","influenza virus type b"
"a4b0d9e5-4c3c-4419-b24f-c55ed6296bf5","approved","NALTREXONE HYDROCHLORIDE","Z6375YW9SF","naltrexone hydrochloride"
"cbdddd26-7d73-41d0-9823-54186f5e5623","approved","CLODRONATE DISODIUM ANHYDROUS","Y05R4GCQ1H","clodronate disodium"
"078599d6-d5bc-47c6-84ea-b99e29a9adfd","approved","CLODRONATE DISODIUM","N030400H8J","clodronate disodium"
"3dc082b5-20f7-4036-82ef-91899624ceea","approved","FRAMYCETIN SULFATE","Y3720KZ4TQ","framycetin sulfate"
"645a5006-3fff-4bf6-b429-18a70996e416","approved","FLUTICASONE PROPIONATE","O2GMZ0LF5W","fluticasone propionate"
"26df0c4e-04f1-4ddf-a0e7-c797476116fa","approved","PANTOPRAZOLE","D8TST4O562","pantoprazole"
NA,NA,NA,NA,"meningococcal group a oligosaccharide"
"be1e7b06-ac61-4681-8e7f-37b7e7ec6cb2","approved","HUMAN PAPILLOMAVIRUS TYPE 11 L1 CAPSID PROTEIN ANTIGEN","Z845VHQ61P","recombinant human papillomavirus type 11 l1 protein"
"823e3d73-fb7f-4afc-a24f-873c2e09035c","approved","CUPRIC CHLORIDE ANHYDROUS","P484053J2Y","cupric chloride"
"a3d42e30-176b-44cf-959b-6c40b55b152d","approved","CUPRIC CHLORIDE","S2QG84156O","cupric chloride"
"68633575-8b3f-411c-bf45-ad6bdfbca05c","approved","STREPTOCOCCUS PNEUMONIAE TYPE 7F CAPSULAR POLYSACCHARIDE ANTIGEN","X1K54R2P9I","pneumococcal polysaccharide serotype 7f"
"336e8f0c-45e1-4242-9ad5-4ea6b8573f0a","approved","DRONABINOL","7J8897W37S","delta-9-tetrahydrocannabinol"
NA,NA,NA,NA,"insulin nph human dna origin"
"39df7862-366c-480a-8aa1-136859f19a56","approved","SAQUINAVIR","L3JE09KZ2F","saquinavir"
"b06a1dc4-ae88-4362-b342-376168abceb9","approved","QUETIAPINE","BGL0JSY5SI","quetiapine"
"7f5383fc-ee89-4b28-ac5e-03539f72ff99","approved","HEXYLRESORCINOL","R9QTB5E82N","hexylresorcinol"
"e48c1ef2-de65-4dfc-b4a4-25bd939f9d84","approved","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM","9X7O8V25IT","collagenase clostridium histolyticum"
"79d1dfa9-f89f-4df4-8d4f-28ffaf81360a","approved","PROTEIN S HUMAN","90J3F6N5FN","protein s"
"a93fa572-c276-444a-bccf-c42543757ceb","approved","NIFEDIPINE","I9ZF7L6G2L","nifedipine"
"cdff7b31-053f-4b2f-a800-3a3f15476e46","approved","RANIBIZUMAB","ZL1R02VT79","ranibizumab"
"a4253d82-6fc0-45ac-8b7f-df60ce146428","approved","TELMISARTAN","U5SYW473RQ","telmisartan"
"f95fab2e-9285-4a21-ad1a-f4355c06d7d5","approved","ALOE","V5VD430YW9","aloe"
"262dec1f-505f-4d3a-a0e4-7d9db8275d34","approved","GEMFIBROZIL","Q8X02027X3","gemfibrozil"
"9b62723b-eb5d-4a65-bf29-50b4e79eecdc","approved","ANHYDROUS CITRIC ACID","XF417D3PSL","citric acid"
"6c62897e-3e5b-4fc0-8ac2-de590808d1dd","approved","CITRIC ACID MONOHYDRATE","2968PHW8QP","citric acid"
"582c4812-6dca-402e-ab2d-495a57a5c237","approved","LITHIUM","9FN79X2M3F","lithium"
"9da3c4d8-0e78-4b71-8cd9-b1c44a2429b7","approved","ALLOPURINOL","63CZ7GJN5I","allopurinol"
"b4c6e50a-a40e-4aa4-8068-21a3820f548f","approved","GLYCOPYRRONIUM","A14FB57V1D","glycopyrronium"
"76ef2a84-e74b-4f97-bdb1-5a329095b644","approved","FLUNISOLIDE ANHYDROUS","78M02AA8KF","flunisolide"
"d68aa496-062f-4875-860d-45bc8f753e76","approved","FLUNISOLIDE","QK4DYS664X","flunisolide"
"6c62897e-3e5b-4fc0-8ac2-de590808d1dd","approved","CITRIC ACID MONOHYDRATE","2968PHW8QP","citric acid monohydrate"
"0da1326f-72d5-499b-b649-df8ae517f2ad","approved","CODEINE","Q830PW7520","codeine"
"449799fc-9054-4f88-976e-58938064577f","approved","CODEINE ANHYDROUS","UX6OWY2V7J","codeine"
"e90c2e75-ef61-46ed-aed4-656a9d43752f","approved","SILVER SULFADIAZINE","W46JY43EJR","silver sulfadiazine"
"ad77954f-a6b2-4d50-81a3-9702a6d8c8df","FAILED","ALTEPLASE","1RXS4UE564","alteplase"
"df1a5e7a-1105-40ab-a8c0-ddfcf034bed4","approved","PREDNISONE","VB0R961HZT","prednisone"
"ad77e35e-00fd-4fcf-8c7b-15a53f25acf2","approved","NITRAZEPAM","9CLV70W7HS","nitrazepam"
"09d205d3-4866-4923-baaf-18af5fda469a","FAILED","PROTAMINE SULFATE","0DE9724IHC","protamine sulfate"
NA,NA,NA,NA,"varicella-zoster virus vaccine live attenuated"
"7f3136bb-c8ef-4ae9-93d7-283724184d46","approved","LAMOTRIGINE","U3H27498KS","lamotrigine"
"52bcb6de-8d00-442a-aeee-6a83007a9baa","non-approved","STARCH, PEA","YAQ9FOE480","starch"
"e7832122-c427-4bbf-9282-d033e87df45d","non-approved","STARCH, CORN","O8232NY3SJ","starch"
"253cff6f-1742-43a1-82b3-fc11805f608d","non-approved","STARCH, PREGELATINIZED TAPIOCA","24SC3U704I","starch"
"6cf21d39-e521-48ce-b9ca-ee1c3b54f9c5","approved","HYDROGENATED STARCH HYDROLYSATE","27F77DSJ5V","starch"
"7047e65f-601d-47c7-a810-193212dbb321","non-approved","STARCH, PREGELATINIZED CORN","O8232NY3SJ","starch"
"e8df1a7b-c7b3-417e-b388-b84df171bdd2","non-approved","STARCH, POTATO","8I089SAH3T","starch"
"23a6e119-1ade-47ed-85dd-252a7049dfce","non-approved","STARCH 1500, PREGELATINIZED","O8232NY3SJ","starch"
"df7a28f8-f2c4-4788-92a4-59c4047db7c7","non-approved","STARCH, TAPIOCA","24SC3U704I","starch"
"3309e0f1-02df-4f70-a511-e38290abc101","non-approved","STARCH, OAT","904CE6697V","starch"
"9d0e8e8c-433d-495a-9ebc-ad8d0547b813","approved","LICHENIN","M7F3LRN53I","starch"
"6f24be9d-05b5-4fe7-90d4-bf978ee1e7d0","approved","ANAGRELIDE","K9X45X0051","anagrelide"
"24174a89-d0d9-4475-b93a-639d3c8ac17c","approved","PIPERAZINE","1RTM4PAL0V","piperazine"
"db1062d1-5389-4d1b-9824-bcde85258fe7","approved","ALUMINUM CHLORIDE","3CYT62D3GA","aluminum chloride"
"237bc04d-327b-48a8-bf15-99d9eb73c7ba","approved","ALUMINUM CHLORIDE ANHYDROUS","LIF1N9568Y","aluminum chloride"
"ef143495-0773-4fee-8ee8-0d17ec07b8f6","approved","FAMCICLOVIR","QIC03ANI02","famciclovir"
NA,NA,NA,NA,"rabies immune globulin human"
"780e7115-0068-4179-bd18-95c6a9f550d7","approved","DEHYDROCHOLIC ACID","NH5000009I","dehydrocholic acid"
"b8220573-d9c8-4768-894d-11c71369ad75","approved","EXENATIDE","9P1872D4OL","exenatide"
"dc88f797-736b-4ca1-abf6-2a5c7701c19c","approved","TRIAMCINOLONE DIACETATE","A73MM2Q32P","triamcinolone diacetate"
NA,NA,NA,NA,"digoxin immune fab"
"1dfc5262-f1c0-451c-a6d0-5badda7e3def","approved","SILODOSIN","CUZ39LUY82","silodosin"
"782397cb-6060-4932-89a5-c1873240c2fe","approved","MISOPROSTOL","0E43V0BB57","misoprostol"
"9c49ee68-0a53-46c2-a24f-5ac7b90aa5d8","approved","PIPERACILLIN ANHYDROUS","9I628532GX","piperacillin"
"3d14a87d-08d4-42e0-8384-a652c2bfc9e6","approved","PIPERACILLIN","X00B0D5O0E","piperacillin"
"738dc60d-d866-4083-ae2b-9c26c238a13a","approved","TAZOBACTAM","SE10G96M8W","tazobactam"
"872cd6a1-4e3f-479b-ad12-5f28851d2a58","approved","CLARITHROMYCIN","H1250JIK0A","clarithromycin"
NA,NA,NA,NA,"mumps virus vaccine live attenuated"
"e62e6592-bd92-4e26-9f0b-feefa35ade96","approved","SECUKINUMAB","DLG4EML025","secukinumab"
"f1840aeb-6d8c-4315-8cdc-638a3f9d0e98","approved","PSEUDOEPHEDRINE HYDROCHLORIDE","6V9V2RYJ8N","pseudoephedrine hydrochloride"
"49f88f97-9b18-4b34-be02-fef21a20c940","approved","SINCALIDE","M03GIQ7Z6P","sincalide"
"d7279375-f156-41d6-a9c2-449352dbb919","approved","SODIUM PHENYLBUTYRATE","NT6K61736T","sodium phenylbutyrate"
"662ce7e3-42f0-4570-98f8-f7ee6b150036","approved","DEFEROXAMINE MESYLATE","V9TKO7EO6K","deferoxamine mesylate"
"de4cdb0a-2d9b-497d-9749-cef52071aa88","approved","SODIUM THIOSULFATE","HX1032V43M","sodium thiosulfate"
"9eff9478-49ae-4e8e-9eb2-22be38e2363f","approved","SODIUM THIOSULFATE ANHYDROUS","L0IYT1O31N","sodium thiosulfate"
NA,NA,NA,NA,"allergenic extracts pollens"
"a7e38a7d-3e41-4e13-ad4f-f21ce6cc5e66","approved","METOLAZONE","TZ7V40X7VX","metolazone"
"8e055460-b69a-4ba6-b8f2-75ef84ca9880","approved","INDIGOTINDISULFONATE SODIUM","D3741U8K7L","indigo carmine"
"ce9fdf8b-d288-4abe-9f26-4073f8310eb3","approved","MAGNESIUM OXIDE","3A3U0GI71G","magnesium oxide"
"77498dbe-23c8-4f41-9d70-623764ad9da8","approved","CLOFARABINE","762RDY0Y2H","clofarabine"
"1e153cf2-1c5b-4252-99d5-cc35a8d74d9d","approved","AZATHIOPRINE","MRK240IY2L","azathioprine"
"311fdf27-52c1-4fbf-9ae0-3a5a36620347","non-approved","VITAMIN E","H4N855PNZ1","vitamin e"
"e9654c2c-6e6f-4c46-9013-da0e99dc6f8e","approved",".ALPHA.-TOCOPHEROL","H4N855PNZ1","vitamin e"
NA,NA,NA,NA,"haemagglutinin-strain b"
"71f5f88f-10bc-41b7-a69d-c5c7f4cac985","approved","IOPAMIDOL","JR13W81H44","iopamidol"
"ed5e256d-2d4e-45a7-b69c-371f12c44486","approved","SODIUM TAUROCHOLATE","M6N3TH81NO","bile salts"
"cfaa95cb-7e4c-4d05-868d-2d1b85f1d4ac","approved","ERYTHROMYCIN","63937KV33D","erythromycin"
"19d5cbc2-bf18-4706-95a2-6f0720124470","approved","PIMECROLIMUS","7KYV510875","pimecrolimus"
"57eaebef-a36a-416c-b90e-006f88625818","approved","CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED FORM","K679OBS311","sodium carboxymethyl cellulose"
"8d0146d6-bee2-47c8-85bf-37c9b3e3249c","approved","NALOXEGOL","44T7335BKE","naloxegol"
"e233dcb8-501b-4632-9723-c297a0c2a988","approved","PROCHLORPERAZINE","YHP6YLT61T","prochlorperazine"
NA,NA,NA,NA,"pneumococcal polysaccharide serotype 12f"
"b3665aaf-ae4c-433a-b5e3-fb4f17c08493","approved","LITHIUM CARBONATE","2BMD2GNA4V","lithium carbonate"
"4a36f787-e378-4afe-927a-bd0c38e3f7f9","approved","VALPROIC ACID","614OI1Z5WI","valproic acid"
NA,NA,NA,NA,"insulin isophane"
"291058cc-776b-43cf-9e77-232a3ff09b17","non-approved","ICODEXTRIN","2NX48Z0A9G","icodextrin"
"d400e016-49cf-4310-8848-0df002babc52","approved","BOSUTINIB","5018V4AEZ0","bosutinib"
"12209a89-ec5b-4e76-894e-1cc3af216690","approved","PHENOL","339NCG44TV","phenol"
"b3ffb65b-38e7-47fb-9359-cd3436e4a6ea","approved","CHLORHEXIDINE GLUCONATE","MOR84MUD8E","chlorhexidine gluconate"
"a1ce0d14-fada-4985-92dd-6c072f496bc1","approved","VITAMIN D","9VU1KI44GP","vitamin d"
"9e8ea7e5-98e3-467b-a0e3-2097b5b2a9a6","approved","RIVAROXABAN","9NDF7JZ4M3","rivaroxaban"
"ab6f6912-4134-439c-b14d-0b98e4c1e80d","approved","SORBITOL","506T60A25R","sorbitol"
"e285b1fa-4ffa-4ebb-9615-8559d62f63a5","approved","OCRIPLASMIN","7V6HE3DM5A","ocriplasmin"
"48480a75-d147-47f2-9fdc-ccc734be9ff9","approved","ISONIAZID","V83O1VOZ8L","isoniazid"
"59266f34-5b9e-499b-922e-0a1aa5453fa6","approved","BLINATUMOMAB","4FR53SIF3A","blinatumomab"
"0aa854fa-f891-4272-96dd-f76a3420ee18","approved","DERMATOPHAGOIDES FARINAE","PR9U2YPF3Q","dermatophagoides farinae"
NA,NA,NA,NA,"meningococcal group c oligosaccharide"
NA,NA,NA,NA,"dolichovespula maculata venom protein extract"
"e005d68b-185e-455d-96d7-92cddeca2ecb","approved","SODIUM GLUCONATE","R6Q3791S76","sodium gluconate"
"b8a473ee-ce7c-4b88-bc7d-1bce8d261ebf","approved","BENZTROPINE MESYLATE","WMJ8TL7510","benztropine mesylate"
"494f150d-ca02-4528-9bc6-a8ad87c38dec","approved","METHAZOLAMIDE","W733B0S9SD","methazolamide"
"03c299b4-4c78-4215-935a-fdd4c0a47439","non-approved","PYRETHRINS","ZUM06L90GV","pyrethrins"
"c3aaa99f-1f22-4512-9c45-04739541f955","approved","AZACITIDINE","M801H13NRU","azacitidine"
"5ff9a3e6-8b61-4159-9199-073c11d8a8a3","approved","KETOROLAC TROMETHAMINE","4EVE5946BQ","ketorolac tromethamine"
"550dc1e4-c47e-4cb2-b4d2-797b36a7457d","approved","ASPARAGINASE","G4FQ3CKY5R","asparaginase"
"2fd5dc25-060a-47d6-9579-72128d714894","approved","SILTUXIMAB","T4H8FMA7IM","siltuximab"
"744e0b14-1d14-4823-ab7e-511610195adc","approved","ROSIGLITAZONE","05V02F2KDG","rosiglitazone"
"803678fe-c073-4913-b839-68704a13fdc2","approved","ZINC OXIDE","SOI2LOH54Z","calamine"
"15fe387e-859f-4da9-9cb6-75678f44ac15","approved","FERRIC OXIDE RED","1K09F3G675","calamine"
"66ba5dcd-7c84-462f-a477-9dcad8cd42be","approved","CROTAMITON","D6S4O4XD0H","crotamiton"
"1090d215-fa5f-443a-8d30-2c37d4e8be7e","approved","PEANUT OIL","5TL50QU0W4","peanut oil"
"3c1e75ba-e26c-40e8-86ba-1bf39ac16ed3","approved","PRAZOSIN","XM03YJ541D","prazosin"
"6b918f4b-adf9-4ff4-ba91-3021722e2f6d","approved","IODINE","9679TC07X4","iodine"
"cfdf5951-99c5-412d-91df-6fcbe03aba69","approved","PERPHENAZINE","FTA7XXY4EZ","perphenazine"
"ca4125c7-fc11-467b-8e90-78d5eedff0d3","approved","SULFASALAZINE","3XC8GUZ6CB","sulfasalazine"
NA,NA,NA,NA,"inactivated poliomyelitis vaccine (v.c.o.) type 2 mef1"
"e267e4c6-376d-432c-8314-d0139f9cd07f","approved","QUINIDINE SULFATE ANHYDROUS","140CU2322K","quinidine sulfate"
"d4528f27-1908-4d99-99b8-2a81ffd29548","approved","QUINIDINE SULFATE","J13S2394HE","quinidine sulfate"
"7dd9d598-a53c-4822-bd92-ed02a171e27b","approved","TRIPELENNAMINE HYDROCHLORIDE","FWV8GJ56ZN","tripelennamine hydrochloride"
"aab14760-75f4-420b-8bfe-e90fe4b39a2f","approved","TRAVOPROST","WJ68R08KX9","travoprost"
"e5c56606-dbe4-4016-9e38-ce447d29c778","approved","TAZAROTENE","81BDR9Y8PS","tazarotene"
"723d3fb9-f5ea-45af-9efd-873fad723bef","approved","GOSERELIN","0F65R8P09N","goserelin"
"87bae531-d10c-47f4-840f-aaf663736e9b","approved","METHOCARBAMOL","125OD7737X","methocarbamol"
"276f799f-a965-449e-a990-07a67be04713","approved","EPTIFIBATIDE","NA8320J834","eptifibatide"
"e75868f2-4b44-4e91-8cca-1d7e66a19dac","non-approved","GLATIRAMER ACETATE","5M691HL4BO","glatiramer acetate"
"1ef8d7c0-deb4-480e-ac8f-ccbaf7e52f85","approved","MITOMYCIN","50SG953SK6","mitomycin"
NA,NA,NA,NA,"pneumococcal polysaccharide serotype 2"
"4b01aeef-4844-487f-812b-3f5c6834dbf6","approved","SODIUM OXYBATE","7G33012534","sodium oxybate"
"c2a9daca-919d-4d04-bdeb-978a25417d3c","approved","ZINC 2-PYRIDINETHIOL","OBT0841H0M","pyrithione zinc"
"171c1094-f7ac-40a5-9d10-1691928c9f11","approved","PYRITHIONE ZINC","R953O2RHZ5","pyrithione zinc"
"ad588ea9-a8be-4f8b-baae-10a18444bd7a","non-approved","LANOLIN ANHYDROUS","7EV65EAW6H","lanolin"
"8efff95f-552c-433d-b585-302028299f55","approved","LANOLIN","7EV65EAW6H","lanolin"
