"formal_description_ntp","ccdd","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code","en_display","fr_display"
"nitrofurantoin 100 mg oral tablet",TRUE,1,FALSE,1974-12-31,9000095,NA,NA
"nitrofurantoin 50 mg oral tablet",TRUE,1,FALSE,1974-12-31,9000096,NA,NA
"prednisolone acetate 0.12 % ophthalmic drops",TRUE,2,FALSE,1974-12-31,9000097,NA,NA
"prednisolone acetate 0.2 % and sulfacetamide sodium 10 % ophthalmic ointment",TRUE,1,FALSE,1974-12-31,9000098,NA,NA
"prednisolone acetate 1 % ophthalmic drops",TRUE,4,FALSE,1974-12-31,9000099,NA,NA
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",TRUE,1,FALSE,1975-12-31,9000100,NA,NA
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",TRUE,1,FALSE,1975-12-31,9000101,NA,NA
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",TRUE,2,FALSE,1975-12-31,9000102,NA,NA
"acetaminophen 500 mg oral tablet",TRUE,41,FALSE,1975-12-31,9000103,NA,NA
"betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",TRUE,6,FALSE,1975-12-31,9000104,NA,NA
"carbidopa 25 mg and levodopa 250 mg oral tablet",TRUE,4,FALSE,1975-12-31,9000105,NA,NA
"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet",TRUE,2,FALSE,1975-12-31,9000106,NA,NA
"folic acid 25 mg oral tablet",TRUE,1,FALSE,1975-12-31,9000107,NA,NA
"hydrocortisone acetate 10 mg and zinc sulfate 10 mg suppository",TRUE,6,FALSE,1975-12-31,9000108,NA,NA
"spironolactone 100 mg oral tablet",TRUE,2,FALSE,1975-12-31,9000109,NA,NA
"betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",TRUE,6,FALSE,1976-12-31,9000110,NA,NA
"epinephrine 18 mcg per 1.8 mL and lidocaine hydrochloride 36 mg per 1.8 mL solution for injection",TRUE,1,FALSE,1976-12-31,9000111,NA,NA
"epinephrine (epinephrine bitartrate) 36 mcg per 1.8 mL and lidocaine hydrochloride 36 mg per 1.8 mL solution for injection",TRUE,1,FALSE,1976-12-31,9000112,NA,NA
"furosemide 20 mg oral tablet",TRUE,6,FALSE,1976-12-31,9000113,NA,NA
"furosemide 40 mg oral tablet",TRUE,6,FALSE,1976-12-31,9000114,NA,NA
"metronidazole 500 mg per 4.5 g and nystatin 100000 unit per 4.5 g vaginal cream",TRUE,1,FALSE,1976-12-31,9000115,NA,NA
"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",TRUE,9,FALSE,1977-12-31,9000116,NA,NA
"benserazide (benserazide hydrochloride) 25 mg and levodopa 100 mg oral capsule",TRUE,1,FALSE,1977-12-31,9000117,NA,NA
"benserazide (benserazide hydrochloride) 50 mg and levodopa 200 mg oral capsule",TRUE,1,FALSE,1977-12-31,9000118,NA,NA
"betamethasone (betamethasone dipropionate) 0.05 % lotion",TRUE,7,FALSE,1977-12-31,9000119,NA,NA
"cephalexin 250 mg oral tablet",TRUE,5,FALSE,1977-12-31,9000120,NA,NA
"clonazepam 0.5 mg oral tablet",TRUE,16,FALSE,1977-12-31,9000121,NA,NA
"clonazepam 2 mg oral tablet",TRUE,13,FALSE,1977-12-31,9000122,NA,NA
"dexamethasone 0.1 % ophthalmic drops",TRUE,1,FALSE,1977-12-31,9000123,NA,NA
"epinephrine 5 mcg per mL and prilocaine hydrochloride 40 mg per mL solution for injection",TRUE,2,FALSE,1977-12-31,9000124,NA,NA
"metoprolol tartrate 100 mg oral tablet",TRUE,15,FALSE,1977-12-31,9000125,NA,NA
"metoprolol tartrate 50 mg oral tablet",TRUE,15,FALSE,1977-12-31,9000126,NA,NA
"penicillin v potassium 500000 unit per 5 mL powder for oral solution",TRUE,1,FALSE,1977-12-31,9000127,NA,NA
"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",TRUE,4,FALSE,1978-12-31,9000128,NA,NA
"baclofen 10 mg oral tablet",TRUE,10,FALSE,1978-12-31,9000129,NA,NA
"benztropine mesylate 2 mg oral tablet",TRUE,2,FALSE,1978-12-31,9000130,NA,NA
"camphor 649 mg per 1 g and dexamethasone 1 mg per 1 g and parachlorophenol 300 mg per 1 g and thymol 50 mg per 1 g dental solution",TRUE,1,FALSE,1978-12-31,9000131,NA,NA
"codeine phosphate 0.2 % oral liquid",TRUE,1,FALSE,1978-12-31,9000132,NA,NA
"codeine phosphate 30 mg per 1 mL solution for injection ampoule",TRUE,2,FALSE,1978-12-31,9000133,NA,NA
"diazepam 10 mg oral tablet",TRUE,4,FALSE,1978-12-31,9000134,NA,NA
"folic acid 5 mg oral tablet",TRUE,4,FALSE,1978-12-31,9000135,NA,NA
"hydrocortisone acetate 10 mg and pramoxine hydrochloride 20 mg and zinc sulfate 10 mg suppository",TRUE,3,FALSE,1978-12-31,9000136,NA,NA
"morphine sulfate 10 mg per mL solution for injection",TRUE,1,FALSE,1978-12-31,9000137,NA,NA
"morphine sulfate 15 mg per 1 mL solution for injection ampoule",TRUE,2,FALSE,1978-12-31,9000138,NA,NA
"prednisone 1 mg oral tablet",TRUE,3,FALSE,1978-12-31,9000139,NA,NA
"valproic acid (sodium valproate) 50 mg per mL oral solution",TRUE,1,FALSE,1978-12-31,9000140,NA,NA
"amitriptyline hydrochloride 75 mg oral tablet",TRUE,5,FALSE,1979-12-31,9000141,NA,NA
"amoxicillin 125 mg per 5 mL granules for oral suspension",TRUE,3,FALSE,1979-12-31,9000142,NA,NA
"amoxicillin 250 mg oral capsule",TRUE,10,FALSE,1979-12-31,9000143,NA,NA
"amoxicillin 250 mg per 5 mL granules for oral suspension",TRUE,4,FALSE,1979-12-31,9000144,NA,NA
"amoxicillin 500 mg oral capsule",TRUE,11,FALSE,1979-12-31,9000145,NA,NA
"betamethasone (betamethasone valerate) 0.05 % cutaneous cream",TRUE,3,FALSE,1979-12-31,9000146,NA,NA
"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment",TRUE,2,FALSE,1979-12-31,9000147,NA,NA
"betamethasone (betamethasone valerate) 0.1 % lotion",TRUE,5,FALSE,1979-12-31,9000148,NA,NA
"betamethasone valerate 0.1 % cutaneous cream",TRUE,1,FALSE,1979-12-31,9000149,NA,NA
"calcitriol 0.25 mcg oral capsule",TRUE,2,FALSE,1979-12-31,9000150,NA,NA
"calcitriol 0.5 mcg oral capsule",TRUE,2,FALSE,1979-12-31,9000151,NA,NA
"carbidopa 10 mg and levodopa 100 mg oral tablet",TRUE,4,FALSE,1979-12-31,9000152,NA,NA
"cephalexin 250 mg oral capsule",TRUE,1,FALSE,1979-12-31,9000153,NA,NA
"cephalexin 500 mg oral capsule",TRUE,1,FALSE,1979-12-31,9000154,NA,NA
"diazepam 2 mg oral tablet",TRUE,3,FALSE,1979-12-31,9000155,NA,NA
"ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet",TRUE,2,FALSE,1979-12-31,9000156,NA,NA
"hydrochlorothiazide 100 mg oral tablet",TRUE,2,FALSE,1979-12-31,9000157,NA,NA
"hydrocortisone acetate 1 % and pramoxine hydrochloride 1 % rectal foam",TRUE,1,FALSE,1979-12-31,9000158,NA,NA
"lithium carbonate 150 mg oral capsule",TRUE,4,FALSE,1979-12-31,9000159,NA,NA
"metronidazole 500 mg and nystatin 100000 unit pessary",TRUE,1,FALSE,1979-12-31,9000160,NA,NA
"metronidazole 500 mg oral capsule",TRUE,3,FALSE,1979-12-31,9000161,NA,NA
"nystatin 100000 unit per g cutaneous cream",TRUE,2,FALSE,1979-12-31,9000162,NA,NA
"nystatin 100000 unit per g cutaneous ointment",TRUE,2,FALSE,1979-12-31,9000163,NA,NA
"nystatin 25000 unit per g vaginal cream",TRUE,1,FALSE,1979-12-31,9000164,NA,NA
"oxazepam 10 mg oral tablet",TRUE,6,FALSE,1979-12-31,9000165,NA,NA
"oxazepam 15 mg oral tablet",TRUE,6,FALSE,1979-12-31,9000166,NA,NA
"oxazepam 30 mg oral tablet",TRUE,6,FALSE,1979-12-31,9000167,NA,NA
"sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet",TRUE,1,FALSE,1979-12-31,9000168,NA,NA
"sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet",TRUE,2,FALSE,1979-12-31,9000169,NA,NA
"sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet",TRUE,3,FALSE,1979-12-31,9000170,NA,NA
"timolol (timolol maleate) 0.5 % ophthalmic drops",TRUE,8,FALSE,1979-12-31,9000171,NA,NA
"triamcinolone acetonide 0.025 % cutaneous cream",TRUE,1,FALSE,1979-12-31,9000172,NA,NA
"triamcinolone acetonide 0.1 % cutaneous cream",TRUE,2,FALSE,1979-12-31,9000173,NA,NA
"benzalkonium chloride 0.1 % cutaneous liquid",TRUE,6,FALSE,1980-11-04,9000174,NA,NA
"carbidopa 25 mg and levodopa 100 mg oral tablet",TRUE,6,FALSE,1980-12-31,9000175,NA,NA
"diazepam 20 mg per 2 mL solution for injection ampoule",TRUE,3,FALSE,1980-12-31,9000176,NA,NA
"diclofenac sodium 50 mg gastro-resistant tablet",TRUE,7,FALSE,1980-12-31,9000177,NA,NA
"epinephrine 0.01 mg per mL and mepivacaine hydrochloride 20 mg per mL solution for injection",TRUE,1,FALSE,1980-12-31,9000178,NA,NA
"epinephrine 0.3 mg per 0.3 mL solution for injection syringe",TRUE,2,FALSE,1980-12-31,9000179,NA,NA
"ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet",TRUE,6,FALSE,1980-12-31,9000180,NA,NA
"haloperidol 0.5 mg oral tablet",TRUE,2,FALSE,1980-12-31,9000181,NA,NA
"haloperidol 1 mg oral tablet",TRUE,2,FALSE,1980-12-31,9000182,NA,NA
"indomethacin 25 mg oral capsule",TRUE,3,FALSE,1980-12-31,9000183,NA,NA
"indomethacin 50 mg oral capsule",TRUE,3,FALSE,1980-12-31,9000184,NA,NA
"oxycodone hydrochloride 10 mg oral tablet",TRUE,4,FALSE,1980-12-31,9000185,NA,NA
"propranolol hydrochloride 10 mg oral tablet",TRUE,3,FALSE,1980-12-31,9000186,NA,NA
"propranolol hydrochloride 40 mg oral tablet",TRUE,3,FALSE,1980-12-31,9000187,NA,NA
"propranolol hydrochloride 80 mg oral tablet",TRUE,3,FALSE,1980-12-31,9000188,NA,NA
"temazepam 15 mg oral capsule",TRUE,5,FALSE,1980-12-31,9000189,NA,NA
"temazepam 30 mg oral capsule",TRUE,5,FALSE,1980-12-31,9000190,NA,NA
"allopurinol 100 mg oral tablet",TRUE,5,FALSE,1981-12-31,9000191,NA,NA
"allopurinol 200 mg oral tablet",TRUE,5,FALSE,1981-12-31,9000192,NA,NA
"alprazolam 0.25 mg oral tablet",TRUE,9,FALSE,1981-12-31,9000193,NA,NA
"alprazolam 0.5 mg oral tablet",TRUE,9,FALSE,1981-12-31,9000194,NA,NA
"ammonium chloride 125 mg per 5 mL and codeine phosphate 3.33 mg per 5 mL and diphenhydramine hydrochloride 12.5 mg per 5 mL oral liquid",TRUE,1,FALSE,1981-12-31,9000195,NA,NA
"benserazide (benserazide hydrochloride) 12.5 mg and levodopa 50 mg oral capsule",TRUE,1,FALSE,1981-12-31,9000196,NA,NA
"betamethasone (betamethasone valerate) 0.1 % cutaneous cream",TRUE,3,FALSE,1981-12-31,9000197,NA,NA
"bromazepam 3 mg oral tablet",TRUE,4,FALSE,1981-12-31,9000198,NA,NA
"bromazepam 6 mg oral tablet",TRUE,4,FALSE,1981-12-31,9000199,NA,NA
"codeine phosphate 60 mg per 1 mL solution for injection ampoule",TRUE,1,FALSE,1981-12-31,9000200,NA,NA
"erythromycin (erythromycin stearate) 250 mg oral tablet",TRUE,1,FALSE,1981-12-31,9000201,NA,NA
"flurazepam hydrochloride 15 mg oral capsule",TRUE,5,FALSE,1981-12-31,9000202,NA,NA
"flurazepam hydrochloride 30 mg oral capsule",TRUE,4,FALSE,1981-12-31,9000203,NA,NA
"furosemide 20 mg per 2 mL solution for injection ampoule",TRUE,4,FALSE,1981-12-31,9000204,NA,NA
"furosemide 40 mg per 4 mL solution for injection ampoule",TRUE,3,FALSE,1981-12-31,9000205,NA,NA
"hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet",TRUE,3,FALSE,1981-12-31,9000206,NA,NA
"hydrocortisone acetate 0.5 % and pramoxine hydrochloride 1 % and zinc sulfate 0.5 % rectal ointment",TRUE,2,FALSE,1981-12-31,9000207,NA,NA
"hydrocortisone acetate 0.5 % and zinc sulfate 0.5 % rectal ointment",TRUE,4,FALSE,1981-12-31,9000208,NA,NA
"propranolol hydrochloride 120 mg oral tablet",TRUE,2,FALSE,1981-12-31,9000209,NA,NA
"tobramycin 0.3 % ophthalmic drops",TRUE,3,FALSE,1981-12-31,9000210,NA,NA
"acetaminophen 325 mg and codeine phosphate 8 mg and doxylamine succinate 5 mg oral tablet",TRUE,1,FALSE,1982-12-31,9000211,NA,NA
"acyclovir 5 % cutaneous ointment",TRUE,1,FALSE,1982-12-31,9000212,NA,NA
"benzoyl peroxide 5 % cutaneous cream",TRUE,7,FALSE,1982-12-31,9000213,NA,NA
"furosemide 20 mg per 2 mL solution for injection syringe",TRUE,1,FALSE,1982-12-31,9000214,NA,NA
"furosemide 40 mg per 4 mL solution for injection syringe",TRUE,1,FALSE,1982-12-31,9000215,NA,NA
"indapamide 2.5 mg oral tablet",TRUE,11,FALSE,1982-12-31,9000216,NA,NA
"naproxen 125 mg oral tablet",TRUE,1,FALSE,1982-12-31,9000217,NA,NA
"naproxen 250 mg oral tablet",TRUE,4,FALSE,1982-12-31,9000218,NA,NA
"sulfamethoxazole 80 mg per mL and trimethoprim 16 mg per mL solution for injection",TRUE,1,FALSE,1982-12-31,9000219,NA,NA
"betamethasone (betamethasone dipropionate) 0.5 mg per g and salicylic acid 30 mg per g cutaneous ointment",TRUE,1,FALSE,1983-12-31,9000220,NA,NA
"codeine phosphate 15 mg oral tablet",TRUE,3,FALSE,1983-12-31,9000221,NA,NA
"codeine phosphate 30 mg oral tablet",TRUE,3,FALSE,1983-12-31,9000222,NA,NA
"conjugated estrogens 1.25 mg oral tablet",TRUE,3,FALSE,1983-12-31,9000223,NA,NA
"erythromycin 250 mg gastro-resistant capsule",TRUE,1,FALSE,1983-12-31,9000224,NA,NA
"erythromycin (erythromycin ethylsuccinate) 200 mg per 5 mL and sulfisoxazole (sulfisoxazole acetyl) 600 mg per 5 mL powder for oral suspension",TRUE,1,FALSE,1983-12-31,9000225,NA,NA
"ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and norethindrone 0.5 mg and norethindrone 0.75 mg and norethindrone 1 mg oral tablet",TRUE,2,TRUE,1983-12-31,9000226,NA,NA
"gramicidin 0.25 mg per g and neomycin (neomycin sulfate) 2.5 mg per g and nystatin 100000 unit per g and triamcinolone acetonide 1 mg per g cutaneous cream",TRUE,3,FALSE,1983-12-31,9000227,NA,NA
"gramicidin 0.25 mg per g and neomycin (neomycin sulfate) 2.5 mg per g and nystatin 100000 unit per g and triamcinolone acetonide 1 mg per g cutaneous ointment",TRUE,1,FALSE,1983-12-31,9000228,NA,NA
"haloperidol 2 mg per mL oral solution",TRUE,2,FALSE,1983-12-31,9000229,NA,NA
"hydrochlorothiazide 25 mg and pindolol 10 mg oral tablet",TRUE,1,FALSE,1983-12-31,9000230,NA,NA
"hydrochlorothiazide 50 mg and pindolol 10 mg oral tablet",TRUE,1,FALSE,1983-12-31,9000231,NA,NA
"hydrochlorothiazide 50 mg and spironolactone 50 mg oral tablet",TRUE,2,FALSE,1983-12-31,9000232,NA,NA
"hydrocortisone 2.5 % cutaneous cream",TRUE,1,FALSE,1983-12-31,9000233,NA,NA
"hydrocortisone acetate 10 % rectal foam",TRUE,1,FALSE,1983-12-31,9000234,NA,NA
"ibuprofen 300 mg oral tablet",TRUE,3,FALSE,1983-12-31,9000235,NA,NA
"ibuprofen 400 mg oral tablet",TRUE,16,FALSE,1983-12-31,9000236,NA,NA
"metoprolol tartrate 200 mg prolonged-release oral tablet",TRUE,4,FALSE,1983-12-31,9000237,NA,NA
"naproxen 375 mg oral tablet",TRUE,4,FALSE,1983-12-31,9000238,NA,NA
"naproxen 500 mg oral tablet",TRUE,4,FALSE,1983-12-31,9000239,NA,NA
