"tm_set","ccdd","n_dins","n_ntps","status","tm_status_effective_time","tm_code","en_display","fr_display"
"hydrochlorothiazide, triamterene",TRUE,3,1,"active",1981-12-31,8000092,NA,NA
"tobramycin",TRUE,17,6,"active",1981-12-31,8000093,NA,NA
"acetaminophen, codeine, doxylamine succinate",TRUE,1,1,"active",1982-12-31,8000094,NA,NA
"acyclovir",TRUE,19,6,"active",1982-12-31,8000095,NA,NA
"benzoyl peroxide",TRUE,49,8,"active",1982-12-31,8000096,NA,NA
"indapamide",TRUE,21,1,"active",1982-12-31,8000097,NA,NA
"naproxen",TRUE,53,6,"active",1982-12-31,8000098,NA,NA
"betamethasone (base), salicylic acid",TRUE,3,2,"active",1983-12-31,8000099,NA,NA
"erythromycin, sulfisoxazole (sulfisoxazole acetyl)",TRUE,1,1,"active",1983-12-31,8000100,NA,NA
"gramicidin, neomycin (neomycin sulfate), nystatin, triamcinolone",TRUE,4,2,"active",1983-12-31,8000101,NA,NA
"hydrochlorothiazide, pindolol",TRUE,2,1,"active",1983-12-31,8000102,NA,NA
"acetylsalicylic acid, oxycodone",TRUE,1,1,"active",1984-12-31,8000103,NA,NA
"fusidic acid",TRUE,3,2,"active",1984-12-31,8000104,NA,NA
"hydrochlorothiazide, methyldopa",TRUE,2,1,"active",1984-12-31,8000105,NA,NA
"hydromorphone",TRUE,41,7,"active",1984-12-31,8000106,NA,NA
"procyclidine",TRUE,3,2,"active",1984-12-31,8000107,NA,NA
"valproic acid (divalproex)",TRUE,24,1,"active",1984-12-31,8000108,NA,NA
"lorazepam",TRUE,33,3,"active",1985-12-31,8000109,NA,NA
"acebutolol",TRUE,20,1,"active",1986-12-31,8000110,NA,NA
"acetaminophen, caffeine",TRUE,6,1,"active",1986-12-31,8000111,NA,NA
"acetaminophen, chlorpheniramine maleate, pseudoephedrine hydrochloride",TRUE,7,2,"active",1986-12-31,8000112,NA,NA
"acetaminophen, pseudoephedrine hydrochloride",TRUE,21,2,"active",1986-12-31,8000113,NA,NA
"dexamethasone phosphate",TRUE,9,3,"active",1986-12-31,8000114,NA,NA
"glyburide",TRUE,17,1,"active",1986-12-31,8000115,NA,NA
"cyproterone",TRUE,5,2,"active",1987-12-31,8000116,NA,NA
"doxycycline",TRUE,14,4,"active",1987-12-31,8000117,NA,NA
"enalapril",TRUE,48,1,"active",1987-12-31,8000118,NA,NA
"ethinyl estradiol, levonorgestrel",TRUE,19,1,"active",1987-12-31,8000119,NA,NA
"ranitidine",TRUE,42,3,"active",1987-12-31,8000120,NA,NA
"atenolol",TRUE,44,1,"active",1988-12-31,8000121,NA,NA
"diltiazem",TRUE,80,5,"active",1988-12-31,8000122,NA,NA
"nifedipine",TRUE,18,3,"active",1988-12-31,8000123,NA,NA
"verapamil",TRUE,28,4,"active",1988-12-31,8000124,NA,NA
"acetaminophen, phenylephrine hydrochloride",TRUE,7,3,"active",1989-12-31,8000125,NA,NA
"amiloride hydrochloride, hydrochlorothiazide",TRUE,3,1,"active",1989-12-31,8000126,NA,NA
"fentanyl",TRUE,60,5,"active",1989-12-31,8000127,NA,NA
"fluoxetine",TRUE,50,2,"active",1989-12-31,8000128,NA,NA
"insulin, insulin isophane human",TRUE,1,1,"active",1989-12-31,8000129,NA,NA
"metoclopramide",TRUE,7,3,"active",1989-12-31,8000130,NA,NA
"omeprazole",TRUE,36,2,"active",1989-12-31,8000131,NA,NA
"salbutamol",TRUE,32,6,"active",1989-12-31,8000132,NA,NA
"betamethasone (base), clotrimazole",TRUE,1,1,"active",1990-12-31,8000133,NA,NA
"budesonide",TRUE,12,7,"active",1990-12-31,8000134,NA,NA
"clonidine",TRUE,10,1,"active",1990-12-31,8000135,NA,NA
"dexamethasone (base), tobramycin",TRUE,2,2,"active",1990-12-31,8000136,NA,NA
"dexamethasone sodium phosphate",TRUE,2,2,"active",1990-12-31,8000137,NA,NA
"enalapril, hydrochlorothiazide",TRUE,5,1,"active",1990-12-31,8000138,NA,NA
"gliclazide",TRUE,18,2,"active",1990-12-31,8000139,NA,NA
"lisinopril",TRUE,48,1,"active",1990-12-31,8000140,NA,NA
"pravastatin",TRUE,44,1,"active",1990-12-31,8000141,NA,NA
"simvastatin",TRUE,102,1,"active",1990-12-31,8000142,NA,NA
"zopiclone",TRUE,40,1,"active",1990-12-31,8000143,NA,NA
"acetaminophen, chlorzoxazone",TRUE,1,1,"active",1991-12-31,8000144,NA,NA
"acetaminophen, chlorzoxazone, codeine",TRUE,1,1,"active",1991-12-31,8000145,NA,NA
"benzalkonium, coal tar, salicylic acid",TRUE,1,1,"active",1991-12-31,8000146,NA,NA
"clozapine",TRUE,10,1,"active",1991-12-31,8000147,NA,NA
"mometasone",TRUE,15,6,"active",1991-12-31,8000148,NA,NA
"acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, pseudoephedrine hydrochloride",TRUE,15,5,"active",1992-12-31,8000149,NA,NA
"acetaminophen, codeine, methocarbamol",TRUE,6,1,"active",1992-12-31,8000150,NA,NA
"acetaminophen, dextromethorphan hydrobromide, doxylamine succinate, pseudoephedrine hydrochloride",TRUE,10,3,"active",1992-12-31,8000151,NA,NA
"acetylsalicylic acid, codeine, methocarbamol",TRUE,5,1,"active",1992-12-31,8000152,NA,NA
"amlodipine",TRUE,62,1,"active",1992-12-31,8000153,NA,NA
"amoxicillin, clavulanic acid",TRUE,18,3,"active",1992-12-31,8000154,NA,NA
"benzalkonium, benzocaine",TRUE,1,1,"active",1992-12-31,8000155,NA,NA
"betamethasone dipropionate",TRUE,1,1,"active",1992-12-31,8000156,NA,NA
"chloramphenicol, hydrocortisone",TRUE,2,4,"active",1992-12-31,8000157,NA,NA
"chlorhexidine, isopropyl alcohol",TRUE,19,7,"active",1992-12-31,8000158,NA,NA
"ciprofloxacin",TRUE,83,6,"active",1992-12-31,8000159,NA,NA
"clarithromycin",TRUE,29,3,"active",1992-12-31,8000160,NA,NA
"clobetasol",TRUE,22,7,"active",1992-12-31,8000161,NA,NA
"dextroamphetamine",TRUE,4,2,"active",1992-12-31,8000162,NA,NA
"doxazosin",TRUE,18,1,"active",1992-12-31,8000163,NA,NA
"ethinyl estradiol, norgestimate",TRUE,8,1,"active",1992-12-31,8000164,NA,NA
"felodipine",TRUE,8,1,"active",1992-12-31,8000165,NA,NA
"finasteride",TRUE,24,1,"active",1992-12-31,8000166,NA,NA
"insulin injection human biosynthetic, insulin isophane human",TRUE,5,1,"active",1992-12-31,8000167,NA,NA
"insulin isophane human",TRUE,4,1,"active",1992-12-31,8000168,NA,NA
"ketorolac",TRUE,12,3,"active",1992-12-31,8000169,NA,NA
"quinapril",TRUE,20,1,"active",1992-12-31,8000170,NA,NA
"sertraline",TRUE,63,1,"active",1992-12-31,8000171,NA,NA
"vitamin d3",TRUE,12,2,"active",1992-12-31,8000172,NA,NA
"fluticasone",TRUE,13,5,"active",1993-03-12,8000173,NA,NA
"acetaminophen, pheniramine maleate, phenylephrine hydrochloride, vitamin c",TRUE,6,2,"active",1993-12-30,8000174,NA,NA
"acetaminophen, methocarbamol",TRUE,16,1,"active",1993-12-31,8000175,NA,NA
"acetylsalicylic acid, caffeine",TRUE,3,1,"active",1993-12-31,8000176,NA,NA
"articaine hydrochloride, epinephrine",TRUE,13,1,"active",1993-12-31,8000177,NA,NA
"codeine, guaifenesin, pheniramine maleate",TRUE,2,1,"active",1993-12-31,8000178,NA,NA
"desogestrel, ethinyl estradiol",TRUE,12,1,"active",1993-12-31,8000179,NA,NA
"diclofenac, misoprostol",TRUE,6,2,"active",1993-12-31,8000180,NA,NA
"domperidone",TRUE,13,1,"active",1993-12-31,8000181,NA,NA
"ibuprofen, pseudoephedrine hydrochloride",TRUE,9,3,"active",1993-12-31,8000182,NA,NA
"mesalazine",TRUE,14,7,"active",1993-12-31,8000183,NA,NA
"metformin",TRUE,44,2,"active",1993-12-31,8000184,NA,NA
"paroxetine",TRUE,60,2,"active",1993-12-31,8000185,NA,NA
"polymyxin b (polymyxin b sulfate), trimethoprim",TRUE,1,1,"active",1993-12-31,8000186,NA,NA
"risperidone",TRUE,113,5,"active",1993-12-31,8000187,NA,NA
"terbinafine",TRUE,15,3,"active",1993-12-31,8000188,NA,NA
"trazodone",TRUE,24,2,"active",1993-12-31,8000189,NA,NA
"acetaminophen, chlorpheniramine maleate, phenylephrine hydrochloride",TRUE,10,1,"active",1994-12-31,8000190,NA,NA
"atenolol, chlorthalidone",TRUE,6,1,"active",1994-12-31,8000191,NA,NA
"biotin, dexpanthenol, folic acid, nicotinamide, pyridoxine hydrochloride, vitamin a, vitamin b12 (vitamin b12), vitamin b1 (thiamine hydrochloride), vitamin b2 (riboflavin-5-phosphate), vitamin c, vitamin d, vitamin e",TRUE,1,1,"active",1994-12-31,8000192,NA,NA
"budesonide, sodium chloride",TRUE,1,2,"active",1994-12-31,8000193,NA,NA
"bupivacaine hydrochloride, epinephrine",TRUE,7,1,"active",1994-12-31,8000194,NA,NA
"codeine, guaifenesin, pseudoephedrine hydrochloride, triprolidine hydrochloride",TRUE,1,1,"active",1994-12-31,8000195,NA,NA
"cyclobenzaprine",TRUE,12,1,"active",1994-12-31,8000196,NA,NA
"dexamethasone (base), neomycin sulfate, polymyxin b sulfate",TRUE,1,1,"active",1994-12-31,8000197,NA,NA
"digoxin",TRUE,9,3,"active",1994-12-31,8000198,NA,NA
"framycetin",TRUE,4,3,"active",1994-12-31,8000199,NA,NA
"gabapentin",TRUE,90,2,"active",1994-12-31,8000200,NA,NA
"hydrochlorothiazide, lisinopril",TRUE,18,1,"active",1994-12-31,8000201,NA,NA
"ipratropium",TRUE,18,4,"active",1994-12-31,8000202,NA,NA
"isosorbide mononitrate",TRUE,5,1,"active",1994-12-31,8000203,NA,NA
"lithium (ion)",TRUE,1,1,"active",1994-12-31,8000204,NA,NA
"minocycline",TRUE,20,2,"active",1994-12-31,8000205,NA,NA
"perindopril",TRUE,3,1,"active",1994-12-31,8000206,NA,NA
"acetaminophen, dextromethorphan hydrobromide, pseudoephedrine hydrochloride",TRUE,13,4,"active",1995-12-31,8000207,NA,NA
"beclomethasone",TRUE,6,3,"active",1995-12-31,8000208,NA,NA
"benzalkonium, lidocaine hydrochloride",TRUE,1,1,"active",1995-12-31,8000209,NA,NA
"cefprozil",TRUE,18,2,"active",1995-12-31,8000210,NA,NA
"codeine, guaifenesin, pseudoephedrine hydrochloride",TRUE,3,2,"active",1995-12-31,8000211,NA,NA
"dextrose, nitroglycerin",TRUE,2,1,"active",1995-12-31,8000212,NA,NA
"estradiol",TRUE,26,5,"active",1995-12-31,8000213,NA,NA
"lamotrigine",TRUE,29,1,"active",1995-12-31,8000214,NA,NA
"lansoprazole",TRUE,26,2,"active",1995-12-31,8000215,NA,NA
"losartan",TRUE,54,1,"active",1995-12-31,8000216,NA,NA
"methotrexate",TRUE,24,2,"active",1995-12-31,8000217,NA,NA
"naloxone",TRUE,8,1,"active",1995-12-31,8000218,NA,NA
"oxybutynin",TRUE,16,4,"active",1995-12-31,8000219,NA,NA
"progesterone",TRUE,5,4,"active",1995-12-31,8000220,NA,NA
"valproic acid",TRUE,10,2,"active",1995-12-31,8000221,NA,NA
"tacrolimus",TRUE,13,4,"active",1996-08-14,8000222,NA,NA
"acetaminophen, pheniramine maleate, phenylephrine hydrochloride",TRUE,6,2,"active",1996-09-04,8000223,NA,NA
"azithromycin",TRUE,38,4,"active",1996-09-26,8000224,NA,NA
"fenofibrate",TRUE,25,2,"active",1996-10-02,8000225,NA,NA
"olanzapine",TRUE,144,3,"active",1996-11-04,8000226,NA,NA
"benzoyl peroxide, erythromycin",TRUE,1,1,"active",1996-11-05,8000227,NA,NA
"insulin lispro",TRUE,4,1,"active",1996-11-15,8000228,NA,NA
"hydrochlorothiazide, losartan",TRUE,40,1,"active",1996-11-22,8000229,NA,NA
"ciclopirox",TRUE,8,4,"active",1996-12-03,8000230,NA,NA
"dibucaine, esculin, framycetin, hydrocortisone",TRUE,8,2,"active",1996-12-30,8000231,NA,NA
"dorzolamide",TRUE,4,1,"active",1996-12-31,8000232,NA,NA
"valacyclovir",TRUE,21,1,"active",1996-12-31,8000233,NA,NA
"sumatriptan",TRUE,35,3,"active",1997-02-11,8000234,NA,NA
"atorvastatin",TRUE,80,1,"active",1997-03-05,8000235,NA,NA
"pantoprazole",TRUE,39,2,"active",1997-03-05,8000236,NA,NA
"cetirizine",TRUE,20,4,"active",1997-03-06,8000237,NA,NA
"clobazam",TRUE,5,1,"active",1997-03-24,8000238,NA,NA
"ramipril",TRUE,76,2,"active",1997-03-24,8000239,NA,NA
"topiramate",TRUE,62,2,"active",1997-03-25,8000240,NA,NA
"formoterol",TRUE,3,2,"active",1997-07-08,8000241,NA,NA
"hydrocortisone, neomycin (neomycin sulfate), polymyxin b (polymyxin b sulfate)",TRUE,1,1,"active",1997-07-08,8000242,NA,NA
"ipratropium, salbutamol",TRUE,5,1,"active",1997-07-25,8000243,NA,NA
"latanoprost",TRUE,8,1,"active",1997-07-28,8000244,NA,NA
"acetaminophen, dextromethorphan hydrobromide, guaifenesin, pseudoephedrine hydrochloride",TRUE,21,3,"active",1997-08-06,8000245,NA,NA
"donepezil",TRUE,48,2,"active",1997-08-20,8000246,NA,NA
"terazosin",TRUE,28,1,"active",1997-09-26,8000247,NA,NA
"quetiapine",TRUE,113,2,"active",1997-12-10,8000248,NA,NA
"valsartan",TRUE,54,2,"active",1997-12-15,8000249,NA,NA
"trandolapril",TRUE,4,1,"active",1998-01-07,8000250,NA,NA
"olopatadine",TRUE,9,1,"active",1998-02-09,8000251,NA,NA
"salmeterol",TRUE,2,2,"active",1998-02-11,8000252,NA,NA
"pramipexole",TRUE,42,1,"active",1998-02-26,8000253,NA,NA
"venlafaxine",TRUE,48,1,"active",1998-03-04,8000254,NA,NA
"acetaminophen, diphenhydramine hydrochloride, pseudoephedrine hydrochloride",TRUE,14,2,"active",1998-03-05,8000255,NA,NA
"cyproterone, ethinyl estradiol",TRUE,5,1,"active",1998-04-08,8000256,NA,NA
"bupropion",TRUE,18,1,"active",1998-05-05,8000257,NA,NA
"benzocaine, hydrocortisone, zinc sulfate",TRUE,1,1,"active",1998-05-26,8000258,NA,NA
"irbesartan",TRUE,58,1,"active",1998-06-22,8000259,NA,NA
"amoxicillin, clarithromycin, lansoprazole",TRUE,1,4,"active",1998-08-18,8000260,NA,NA
"montelukast",TRUE,49,3,"active",1998-08-21,8000261,NA,NA
"hydrochlorothiazide, quinapril",TRUE,6,1,"active",1998-10-01,8000262,NA,NA
"clopidogrel",TRUE,20,1,"active",1998-10-13,8000263,NA,NA
"fusidic acid, hydrocortisone",TRUE,1,1,"active",1998-11-11,8000264,NA,NA
"tolterodine",TRUE,16,2,"active",1998-11-23,8000265,NA,NA
"candesartan",TRUE,58,1,"active",1998-12-07,8000266,NA,NA
"citalopram",TRUE,75,1,"active",1999-03-08,8000267,NA,NA
"sildenafil",TRUE,48,2,"active",1999-03-09,8000268,NA,NA
"amiodarone",TRUE,17,2,"active",1999-03-29,8000269,NA,NA
"cilazapril, hydrochlorothiazide",TRUE,1,1,"active",1999-04-01,8000270,NA,NA
"celecoxib",TRUE,42,1,"active",1999-04-19,8000271,NA,NA
"dorzolamide, timolol",TRUE,11,1,"active",1999-05-27,8000272,NA,NA
"repaglinide",TRUE,21,1,"active",1999-06-21,8000273,NA,NA
"acetaminophen, pamabrom, pyrilamine maleate",TRUE,4,1,"active",1999-06-22,8000274,NA,NA
"insulin lispro, insulin lispro protamine suspension",TRUE,4,1,"active",1999-07-05,8000275,NA,NA
"rizatriptan",TRUE,37,2,"active",1999-08-31,8000276,NA,NA
"telmisartan",TRUE,30,1,"active",1999-09-01,8000277,NA,NA
"risedronate",TRUE,25,2,"active",1999-09-07,8000278,NA,NA
"fluticasone, salmeterol",TRUE,5,2,"active",1999-09-24,8000279,NA,NA
"alcohol anhydrous, chlorhexidine",TRUE,3,3,"active",1999-11-05,8000280,NA,NA
"biotin, choline bitartrate, chromium (chromium hvp chelate), dl-methionine, d-pantothenic acid (calcium d-pantothenate), folic acid, inositol, iodine (potassium iodide), magnesium (magnesium oxide), manganese (manganese gluconate), nicotinamide, nicotinic acid, potassium (potassium chloride, potassium citrate), selenium (selenium hvp chelate), vitamin a (retinol palmitate), vitamin b12 (cyanocobalamin), vitamin b1 (thiamine hydrochloride), vitamin b2 (riboflavin), vitamin b6 (pyridoxine hydrochloride), vitamin c (ascorbic acid), vitamin c (calcium ascorbate), vitamin e (d-alpha tocopheryl acetate), zinc (zinc gluconate)",TRUE,1,1,"active",1999-12-13,8000281,NA,NA
"polymyxin b sulfate, trimethoprim",TRUE,2,1,"active",2000-02-03,8000282,NA,NA
"levonorgestrel",TRUE,9,2,"active",2000-02-24,8000283,NA,NA
"hydrochlorothiazide, irbesartan",TRUE,41,1,"active",2000-03-16,8000284,NA,NA
"methadone",TRUE,10,3,"active",2000-05-05,8000285,NA,NA
"hydrochlorothiazide, valsartan",TRUE,38,1,"active",2000-05-10,8000286,NA,NA
"rivastigmine",TRUE,44,3,"active",2000-05-15,8000287,NA,NA
"estradiol, norethindrone",TRUE,4,2,"active",2000-05-25,8000288,NA,NA
"pioglitazone",TRUE,51,1,"active",2000-08-28,8000289,NA,NA
"meloxicam",TRUE,22,1,"active",2000-09-26,8000290,NA,NA
"moxifloxacin",TRUE,16,3,"active",2000-10-20,8000291,NA,NA
"conjugated estrogens, medroxyprogesterone",TRUE,2,2,"active",2000-10-30,8000292,NA,NA
"biotin, dexpanthenol, folic acid, nicotinamide, pyridoxine hydrochloride, vitamin a, vitamin b12 (cyanocobalamin), vitamin b1 (thiamine hydrochloride), vitamin b2 (riboflavin-5-phosphate), vitamin c (ascorbic acid), vitamin d, vitamin e (dl-alpha tocopheryl acetate), vitamin k1",TRUE,1,1,"active",2000-11-07,8000293,NA,NA
"trimethoprim",TRUE,2,1,"active",2001-01-01,8000294,NA,NA
"bacitracin (bacitracin zinc), hydrocortisone, neomycin (neomycin sulfate), polymyxin b (polymyxin b sulfate)",TRUE,1,1,"active",2001-02-14,8000295,NA,NA
"framycetin, gramicidin",TRUE,1,1,"active",2001-05-04,8000296,NA,NA
"framycetin, gramicidin, phenylephrine hydrochloride",TRUE,1,1,"active",2001-05-04,8000297,NA,NA
"mirtazapine",TRUE,32,2,"active",2001-05-24,8000298,NA,NA
"misoprostol",TRUE,6,1,"active",2001-06-18,8000299,NA,NA
"candesartan, hydrochlorothiazide",TRUE,19,1,"active",2001-06-26,8000300,NA,NA
"hydrochlorothiazide, telmisartan",TRUE,26,1,"active",2001-08-16,8000301,NA,NA
"betahistine",TRUE,12,1,"active",2001-08-17,8000302,NA,NA
"esomeprazole",TRUE,18,3,"active",2001-08-20,8000303,NA,NA
"benzoyl peroxide, clindamycin",TRUE,4,1,"active",2001-09-04,8000304,NA,NA
"brompheniramine maleate, codeine, phenylephrine hydrochloride",TRUE,1,1,"active",2001-09-05,8000305,NA,NA
"brompheniramine maleate, codeine, guaifenesin, phenylephrine hydrochloride",TRUE,1,1,"active",2001-09-28,8000306,NA,NA
"insulin aspart",TRUE,6,1,"active",2001-10-31,8000307,NA,NA
"betamethasone (base), calcipotriol",TRUE,1,1,"active",2001-11-29,8000308,NA,NA
"acetaminophen, pheniramine maleate, phenylephrine hydrochloride, vitamin c (ascorbic acid)",TRUE,2,1,"active",2001-12-29,8000309,NA,NA
"biotin, dexpanthenol (panthenol), folic acid, nicotinamide, pyridoxine hydrochloride, vitamin a, vitamin b12 (cyanocobalamin), vitamin b1 (thiamine hydrochloride), vitamin b2, vitamin c, vitamin e (dl-alpha tocopheryl acetate)",TRUE,1,1,"active",2002-01-28,8000310,NA,NA
"budesonide, formoterol",TRUE,2,1,"active",2002-02-08,8000311,NA,NA
"alendronic acid",TRUE,30,1,"active",2002-02-14,8000312,NA,NA
"alfuzosin",TRUE,7,1,"active",2002-02-21,8000313,NA,NA
"rabeprazole",TRUE,23,1,"active",2002-04-02,8000314,NA,NA
"bimatoprost",TRUE,4,2,"active",2002-05-24,8000315,NA,NA
"trandolapril, verapamil",TRUE,2,1,"active",2002-07-15,8000316,NA,NA
"insulin glargine",TRUE,6,1,"active",2002-07-24,8000317,NA,NA
"dexamethasone (base), framycetin, gramicidin",TRUE,2,2,"active",2002-07-26,8000318,NA,NA
