"","dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"39","ZOLMITRIPTAN",11793,"ZOLMITRIPTAN","ZOLMITRIPTAN","","","ZOLMITRIPTAN",FALSE,"zolmitriptan"
"40","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A",20649,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A",FALSE,"pneumococcal polysaccharide serotype 10a"
"41","KETAMINE (KETAMINE HYDROCHLORIDE)",11190,"KETAMINE","KETAMINE HYDROCHLORIDE","","","KETAMINE (KETAMINE HYDROCHLORIDE)",FALSE,"ketamine (ketamine hydrochloride)"
"42","PYRANTEL (PYRANTEL PAMOATE)",11253,"PYRANTEL","PYRANTEL PAMOATE","","","PYRANTEL (PYRANTEL PAMOATE)",FALSE,"pyrantel (pyrantel pamoate)"
"43","IRON (FERROUS FUMARATE)",309,"IRON","FERROUS FUMARATE","","","IRON (FERROUS FUMARATE)",FALSE,"iron (ferrous fumarate)"
"44","LEUPROLIDE ACETATE",1756,"LEUPROLIDE ACETATE","LEUPROLIDE ACETATE","","","LEUPROLIDE ACETATE",FALSE,"leuprolide acetate"
"45","L-LYSINE",193,"L-LYSINE","L-LYSINE","","","L-LYSINE",FALSE,"l-lysine"
"46","L-ORNITHINE DIHYDROCHLORIDE",11709,"L-ORNITHINE DIHYDROCHLORIDE","L-ORNITHINE DIHYDROCHLORIDE","","","L-ORNITHINE DIHYDROCHLORIDE",FALSE,"l-ornithine dihydrochloride"
"47","LIDOCAINE",9471,"LIDOCAINE","LIDOCAINE","","","LIDOCAINE",FALSE,"lidocaine"
"48","EPHEDRINE SULFATE",8937,"EPHEDRINE SULFATE","EPHEDRINE SULFATE","","","EPHEDRINE SULFATE",FALSE,"ephedrine sulfate"
"49","LUTROPIN ALFA",15875,"LUTROPIN ALFA","LUTROPIN ALFA","","","LUTROPIN ALFA",FALSE,"lutropin alfa"
"50","TRIAZOLAM",2117,"TRIAZOLAM","TRIAZOLAM","","","TRIAZOLAM",FALSE,"triazolam"
"51","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A",20650,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A",FALSE,"pneumococcal polysaccharide serotype 11a"
"52","ENALAPRIL SODIUM (ENALAPRIL MALEATE)",20170,"ENALAPRIL SODIUM","ENALAPRIL MALEATE","Y","ENALAPRIL","ENALAPRIL",FALSE,"enalapril sodium (enalapril maleate)"
"53","HISTIDINE",10237,"HISTIDINE","HISTIDINE","","","HISTIDINE",FALSE,"histidine"
"54","PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE)",11354,"PROCARBAZINE","PROCARBAZINE HYDROCHLORIDE","","","PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE)",FALSE,"procarbazine (procarbazine hydrochloride)"
"55","ESTRAMUSTINE PHOSPHATE SODIUM",2103,"ESTRAMUSTINE PHOSPHATE SODIUM","ESTRAMUSTINE PHOSPHATE SODIUM","","","ESTRAMUSTINE PHOSPHATE SODIUM",FALSE,"estramustine phosphate sodium"
"56","DEXTROAMPHETAMINE SACCHARATE",8295,"DEXTROAMPHETAMINE SACCHARATE","DEXTROAMPHETAMINE SACCHARATE","Y","DEXTROAMPHETAMINE","DEXTROAMPHETAMINE",FALSE,"dextroamphetamine saccharate"
"57","MEGLUMINE IOXITALAMATE",271,"MEGLUMINE IOXITALAMATE","MEGLUMINE IOXITALAMATE","","","MEGLUMINE IOXITALAMATE",FALSE,"meglumine ioxitalamate"
"58","LAMIVUDINE",122,"LAMIVUDINE","LAMIVUDINE","","","LAMIVUDINE",FALSE,"lamivudine"
"59","CABAZITAXEL",20792,"CABAZITAXEL","CABAZITAXEL","","","CABAZITAXEL",FALSE,"cabazitaxel"
"60","TRABECTEDIN",20593,"TRABECTEDIN","TRABECTEDIN","","","TRABECTEDIN",FALSE,"trabectedin"
"61","ONDANSETRON (ONDANSETRON HYDROCHLORIDE)",11104,"ONDANSETRON","ONDANSETRON HYDROCHLORIDE","","","ONDANSETRON (ONDANSETRON HYDROCHLORIDE)",FALSE,"ondansetron (ondansetron hydrochloride)"
"62","IXAZOMIB (IXAZOMIB CITRATE)",22810,"IXAZOMIB","IXAZOMIB CITRATE","","","IXAZOMIB (IXAZOMIB CITRATE)",FALSE,"ixazomib (ixazomib citrate)"
"63","ACYCLOVIR",1950,"ACYCLOVIR","ACYCLOVIR","Y","ACYCLOVIR","ACYCLOVIR",FALSE,"acyclovir"
"64","DISOPYRAMIDE",2191,"DISOPYRAMIDE","DISOPYRAMIDE","","","DISOPYRAMIDE",FALSE,"disopyramide"
"65","TRAZODONE HYDROCHLORIDE",1939,"TRAZODONE HYDROCHLORIDE","TRAZODONE HYDROCHLORIDE","Y","TRAZODONE","TRAZODONE",FALSE,"trazodone hydrochloride"
"66","CETRIMIDE",2199,"CETRIMIDE","CETRIMIDE","","","CETRIMIDE",FALSE,"cetrimide"
"67","HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE (PRP-T)",12127,"HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE","PRP-T","","","HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE (PRP-T)",FALSE,"haemophilus influenzae type b-prp and tetanus toxoid conjugate (prp-t)"
"68","HEPATITIS A VACCINE, INACTIVATED",348,"HEPATITIS A VACCINE, INACTIVATED","HEPATITIS A VACCINE, INACTIVATED","","","HEPATITIS A VACCINE, INACTIVATED",FALSE,"hepatitis a vaccine, inactivated"
"69","CROMOLYN SODIUM",11447,"CROMOLYN SODIUM","CROMOLYN SODIUM","","","CROMOLYN SODIUM",FALSE,"cromolyn sodium"
"70","APROTININ (SYNTHETIC)",20461,"APROTININ","SYNTHETIC",NA,NA,NA,NA,NA
"71","OCTINOXATE",12049,"OCTINOXATE","OCTINOXATE","","","OCTINOXATE",FALSE,"octinoxate"
"72","AbobotulinumtoxinA",21617,"AbobotulinumtoxinA","AbobotulinumtoxinA","","","AbobotulinumtoxinA",FALSE,"abobotulinumtoxina"
"73","DARBEPOETIN ALFA",12550,"DARBEPOETIN ALFA","DARBEPOETIN ALFA","","","DARBEPOETIN ALFA",FALSE,"darbepoetin alfa"
"74","ZIPRASIDONE (ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE)",11753,"ZIPRASIDONE","ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE","","","ZIPRASIDONE (ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE)",TRUE,"ziprasidone (ziprasidone hydrochloride monohydrate)"
"75","PACLITAXEL (TAXUS CANADENSIS)",732,"PACLITAXEL","TAXUS CANADENSIS","","","PACLITAXEL (TAXUS CANADENSIS)",FALSE,"paclitaxel (taxus canadensis)"
"76","VECURONIUM BROMIDE",1777,"VECURONIUM BROMIDE","VECURONIUM BROMIDE","","","VECURONIUM BROMIDE",FALSE,"vecuronium bromide"
"77","CHOLINE",4955,"CHOLINE","CHOLINE","","","CHOLINE",FALSE,"choline"
"78","PALIVIZUMAB",12770,"PALIVIZUMAB","PALIVIZUMAB","","","PALIVIZUMAB",FALSE,"palivizumab"
"79","THIOTHIXENE",10039,"THIOTHIXENE","THIOTHIXENE","","","THIOTHIXENE",FALSE,"thiothixene"
"80","SEALER PROTEIN (HUMAN)",20462,"SEALER PROTEIN","HUMAN",NA,NA,NA,NA,NA
"81","HYDROCORTISONE",7532,"HYDROCORTISONE","HYDROCORTISONE","Y","HYDROCORTISONE","HYDROCORTISONE",FALSE,"hydrocortisone"
"82","LIRAGLUTIDE",20592,"LIRAGLUTIDE","LIRAGLUTIDE","","","LIRAGLUTIDE",FALSE,"liraglutide"
"83","KETOTIFEN FUMARATE",1944,"KETOTIFEN FUMARATE","KETOTIFEN FUMARATE","","","KETOTIFEN FUMARATE",FALSE,"ketotifen fumarate"
"84","OXYCODONE HYDROCHLORIDE",6165,"OXYCODONE HYDROCHLORIDE","OXYCODONE HYDROCHLORIDE","Y","OXYCODONE","OXYCODONE",FALSE,"oxycodone hydrochloride"
"85","BESIFLOXACIN",20556,"BESIFLOXACIN","BESIFLOXACIN","","","BESIFLOXACIN",FALSE,"besifloxacin"
"86","MAGNESIUM HYDROXIDE",720,"MAGNESIUM HYDROXIDE","MAGNESIUM HYDROXIDE","","","MAGNESIUM HYDROXIDE",FALSE,"magnesium hydroxide"
"87","RESLIZUMAB",22734,"RESLIZUMAB","RESLIZUMAB","","","RESLIZUMAB",FALSE,"reslizumab"
"88","LEUCINE",10239,"LEUCINE","LEUCINE","","","LEUCINE",FALSE,"leucine"
"89","PAROXETINE (PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE)",11340,"PAROXETINE","PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE","Y","PAROXETINE","PAROXETINE",FALSE,"paroxetine (paroxetine hydrochloride, isopropyl solvate)"
"90","ETOPOSIDE",1998,"ETOPOSIDE","ETOPOSIDE","","","ETOPOSIDE",FALSE,"etoposide"
"91","PATENT BLUE SODIUM",2140,"PATENT BLUE SODIUM","PATENT BLUE SODIUM","","","PATENT BLUE SODIUM",FALSE,"patent blue sodium"
"92","EZETIMIBE",12754,"EZETIMIBE","EZETIMIBE","Y","EZETIMIBE","EZETIMIBE",FALSE,"ezetimibe"
"93","DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE)",20301,"DABIGATRAN ETEXILATE","DABIGATRAN ETEXILATE MESILATE","Y","DABIGATRAN ETEXILATE","DABIGATRAN",FALSE,"dabigatran etexilate (dabigatran etexilate mesilate)"
"94","Sevelamer Carbonate",20603,"Sevelamer Carbonate","Sevelamer Carbonate","","","Sevelamer Carbonate",FALSE,"sevelamer carbonate"
"95","SPIRAMYCIN",8589,"SPIRAMYCIN","SPIRAMYCIN","","","SPIRAMYCIN",FALSE,"spiramycin"
"96","Influenza virus type B (Victoria)",22408,"Influenza virus type B","Victoria","","","Influenza virus type B (Victoria)",FALSE,"influenza virus type b (victoria)"
"97","L-LYSINE (LYSINE ACETATE)",193,"L-LYSINE","LYSINE ACETATE","","","L-LYSINE (LYSINE ACETATE)",FALSE,"l-lysine (lysine acetate)"
"98","NALTREXONE HYDROCHLORIDE",20300,"NALTREXONE HYDROCHLORIDE","NALTREXONE HYDROCHLORIDE","","","NALTREXONE HYDROCHLORIDE",FALSE,"naltrexone hydrochloride"
"99","CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)",925,"CLODRONATE DISODIUM","CLODRONATE DISODIUM TETRAHYDRATE","","","CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)",TRUE,"clodronate disodium (clodronate disodium tetrahydrate)"
"100","FRAMYCETIN SULFATE",8626,"FRAMYCETIN SULFATE","FRAMYCETIN SULFATE","Y","FRAMYCETIN SULFATE","FRAMYCETIN",FALSE,"framycetin sulfate"
"101","FLUTICASONE PROPIONATE",637,"FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE","Y","FLUTICASONE","FLUTICASONE",FALSE,"fluticasone propionate"
"102","PANTOPRAZOLE (PANTOPRAZOLE MAGNESIUM)",11086,"PANTOPRAZOLE","PANTOPRAZOLE MAGNESIUM","Y","PANTOPRAZOLE","PANTOPRAZOLE",FALSE,"pantoprazole (pantoprazole magnesium)"
"103","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE",20580,"MENINGOCOCCAL GROUP A OLIGOSACCHARIDE","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE","","","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE",FALSE,"meningococcal group a oligosaccharide"
"104","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN",19708,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN","","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN",FALSE,"recombinant human papillomavirus type 11 l1 protein"
"105","CUPRIC CHLORIDE",5097,"CUPRIC CHLORIDE","CUPRIC CHLORIDE","","","CUPRIC CHLORIDE",FALSE,"cupric chloride"
"106","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F",20544,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F","","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F",FALSE,"pneumococcal polysaccharide serotype 7f"
"107","DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)",13359,"DELTA-9-TETRAHYDROCANNABINOL","CANNABIS SATIVA EXTRACT","","","DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)",FALSE,"delta-9-tetrahydrocannabinol (cannabis sativa extract)"
"108","INSULIN NPH HUMAN DNA ORIGIN",7311,"INSULIN NPH HUMAN DNA ORIGIN","INSULIN NPH HUMAN DNA ORIGIN","","","INSULIN NPH HUMAN DNA ORIGIN",FALSE,"insulin nph human dna origin"
"109","SAQUINAVIR (SAQUINAVIR MESYLATE)",11371,"SAQUINAVIR","SAQUINAVIR MESYLATE","","","SAQUINAVIR (SAQUINAVIR MESYLATE)",FALSE,"saquinavir (saquinavir mesylate)"
"110","QUETIAPINE (QUETIAPINE FUMARATE)",11718,"QUETIAPINE","QUETIAPINE FUMARATE","Y","QUETIAPINE","QUETIAPINE",FALSE,"quetiapine (quetiapine fumarate)"
"111","HEXYLRESORCINOL",700,"HEXYLRESORCINOL","HEXYLRESORCINOL","","","HEXYLRESORCINOL",FALSE,"hexylresorcinol"
"112","Collagenase Clostridium Histolyticum",21378,"Collagenase Clostridium Histolyticum","Collagenase Clostridium Histolyticum",NA,NA,NA,NA,NA
"113","PROTEIN S",20132,"PROTEIN S","PROTEIN S","","","PROTEIN S",FALSE,"protein s"
"114","NIFEDIPINE",1966,"NIFEDIPINE","NIFEDIPINE","Y","NIFEDIPINE","NIFEDIPINE",FALSE,"nifedipine"
"115","RANIBIZUMAB",20146,"RANIBIZUMAB","RANIBIZUMAB","","","RANIBIZUMAB",FALSE,"ranibizumab"
"116","TELMISARTAN (TELMISARTAN SODIUM)",11907,"TELMISARTAN","TELMISARTAN SODIUM","Y","TELMISARTAN","TELMISARTAN",FALSE,"telmisartan (telmisartan sodium)"
"117","ALOE",684,"ALOE","ALOE","","","ALOE",FALSE,"aloe"
"118","GEMFIBROZIL",1904,"GEMFIBROZIL","GEMFIBROZIL","","","GEMFIBROZIL",FALSE,"gemfibrozil"
"119","CITRIC ACID",10021,"CITRIC ACID","CITRIC ACID","","","CITRIC ACID",FALSE,"citric acid"
"120","LITHIUM (LITHIUM CITRATE)",1399,"LITHIUM","LITHIUM CITRATE","Y","LITHIUM","LITHIUM (ION)",FALSE,"lithium (lithium citrate)"
"121","ALLOPURINOL",9388,"ALLOPURINOL","ALLOPURINOL","Y","ALLOPURINOL","ALLOPURINOL",FALSE,"allopurinol"
"122","Glycopyrronium (Glycopyrronium Bromide)",21481,"Glycopyrronium","Glycopyrronium Bromide","","","Glycopyrronium (Glycopyrronium Bromide)",FALSE,"glycopyrronium (glycopyrronium bromide)"
"123","FLUNISOLIDE",2133,"FLUNISOLIDE","FLUNISOLIDE","","","FLUNISOLIDE",FALSE,"flunisolide"
"124","CITRIC ACID MONOHYDRATE",17610,"CITRIC ACID MONOHYDRATE","CITRIC ACID MONOHYDRATE","","","CITRIC ACID MONOHYDRATE",TRUE,"citric acid monohydrate"
"125","CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)",6750,"CODEINE","CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate","Y","CODEINE","CODEINE",TRUE,"codeine (codeine monohydrate, codeine sulfate trihydrate)"
"126","SILVER SULFADIAZINE",8195,"SILVER SULFADIAZINE","SILVER SULFADIAZINE","","","SILVER SULFADIAZINE",FALSE,"silver sulfadiazine"
"127","ALTEPLASE",7297,"ALTEPLASE","ALTEPLASE","","","ALTEPLASE",FALSE,"alteplase"
"128","PREDNISONE",7566,"PREDNISONE","PREDNISONE","Y","PREDNISONE","PREDNISONE",FALSE,"prednisone"
"129","NITRAZEPAM",9558,"NITRAZEPAM","NITRAZEPAM","","","NITRAZEPAM",FALSE,"nitrazepam"
"130","PROTAMINE SULFATE",5881,"PROTAMINE SULFATE","PROTAMINE SULFATE","","","PROTAMINE SULFATE",FALSE,"protamine sulfate"
"131","VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED (OKA/MERCK STRAIN)",20380,"VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED","OKA/MERCK STRAIN","","","VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED (OKA/MERCK STRAIN)",FALSE,"varicella-zoster virus vaccine live attenuated (oka/merck strain)"
"132","LAMOTRIGINE",238,"LAMOTRIGINE","LAMOTRIGINE","Y","LAMOTRIGINE","LAMOTRIGINE",FALSE,"lamotrigine"
"133","STARCH",7238,"STARCH","STARCH","","","STARCH",FALSE,"starch"
"134","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)",11707,"ANAGRELIDE","ANAGRELIDE HYDROCHLORIDE","","","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)",FALSE,"anagrelide (anagrelide hydrochloride)"
"135","PIPERAZINE",10006,"PIPERAZINE","PIPERAZINE","","","PIPERAZINE",FALSE,"piperazine"
"136","ALUMINUM CHLORIDE",5821,"ALUMINUM CHLORIDE","ALUMINUM CHLORIDE","","","ALUMINUM CHLORIDE",FALSE,"aluminum chloride"
"137","FAMCICLOVIR",156,"FAMCICLOVIR","FAMCICLOVIR","","","FAMCICLOVIR",FALSE,"famciclovir"
"138","RABIES IMMUNE GLOBULIN HUMAN",7918,"RABIES IMMUNE GLOBULIN HUMAN","RABIES IMMUNE GLOBULIN HUMAN","","","RABIES IMMUNE GLOBULIN HUMAN",FALSE,"rabies immune globulin human"
"139","DEHYDROCHOLIC ACID",7287,"DEHYDROCHOLIC ACID","DEHYDROCHOLIC ACID",NA,NA,NA,NA,NA
"140","EXENATIDE",20660,"EXENATIDE","EXENATIDE","","","EXENATIDE",FALSE,"exenatide"
"141","TRIAMCINOLONE DIACETATE",7587,"TRIAMCINOLONE DIACETATE","TRIAMCINOLONE DIACETATE",NA,NA,NA,NA,NA
"142","DIGOXIN IMMUNE FAB (OVINE)",7676,"DIGOXIN IMMUNE FAB","OVINE","","","DIGOXIN IMMUNE FAB (OVINE)",FALSE,"digoxin immune fab (ovine)"
"143","SILODOSIN",20659,"SILODOSIN","SILODOSIN",NA,NA,NA,NA,NA
"144","MISOPROSTOL",1859,"MISOPROSTOL","MISOPROSTOL","Y","MISOPROSTOL","MISOPROSTOL",FALSE,"misoprostol"
"145","PIPERACILLIN (PIPERACILLIN SODIUM)",11241,"PIPERACILLIN","PIPERACILLIN SODIUM","","","PIPERACILLIN (PIPERACILLIN SODIUM)",FALSE,"piperacillin (piperacillin sodium)"
"146","TAZOBACTAM (TAZOBACTAM SODIUM)",11242,"TAZOBACTAM","TAZOBACTAM SODIUM","","","TAZOBACTAM (TAZOBACTAM SODIUM)",FALSE,"tazobactam (tazobactam sodium)"
"147","CLARITHROMYCIN",8318,"CLARITHROMYCIN","CLARITHROMYCIN","Y","CLARITHROMYCIN","CLARITHROMYCIN",FALSE,"clarithromycin"
"148","MUMPS VIRUS VACCINE LIVE ATTENUATED (JERYL LYNN STRAIN)",11271,"MUMPS VIRUS VACCINE LIVE ATTENUATED","JERYL LYNN STRAIN","","","MUMPS VIRUS VACCINE LIVE ATTENUATED (JERYL LYNN STRAIN)",FALSE,"mumps virus vaccine live attenuated (jeryl lynn strain)"
"149","ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE)",11104,"ONDANSETRON","ONDANSETRON HYDROCHLORIDE DIHYDRATE","","","ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE)",TRUE,"ondansetron (ondansetron hydrochloride dihydrate)"
"150","Secukinumab",22582,"Secukinumab","Secukinumab","","","Secukinumab",FALSE,"secukinumab"
"151","PSEUDOEPHEDRINE HYDROCHLORIDE",6492,"PSEUDOEPHEDRINE HYDROCHLORIDE","PSEUDOEPHEDRINE HYDROCHLORIDE","","","PSEUDOEPHEDRINE HYDROCHLORIDE",FALSE,"pseudoephedrine hydrochloride"
"152","SINCALIDE",2111,"SINCALIDE","SINCALIDE","","","SINCALIDE",FALSE,"sincalide"
