"","tm_set","ccdd","n_dins","n_ntps","status","tm_status_effective_time"
"35","acetaminophen, codeine, methocarbamol",TRUE,6,1,"active",1992-12-31
"36","acetaminophen, dextromethorphan hydrobromide, diphenhydramine hydrochloride",TRUE,3,1,"active",2006-08-31
"37","acetaminophen, dextromethorphan hydrobromide, doxylamine succinate",TRUE,5,3,"active",2006-06-12
"38","acetaminophen, dextromethorphan hydrobromide, doxylamine succinate, phenylephrine hydrochloride",TRUE,2,2,"active",2014-08-15
"39","acetaminophen, dextromethorphan hydrobromide, doxylamine succinate, pseudoephedrine hydrochloride",TRUE,8,2,"active",1992-12-31
"40","acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride",TRUE,4,2,"active",2007-03-06
"41","acetaminophen, dextromethorphan hydrobromide, guaifenesin, pseudoephedrine hydrochloride",TRUE,21,3,"active",1997-08-06
"42","acetaminophen, dextromethorphan hydrobromide, phenylephrine hydrochloride",TRUE,10,5,"active",2006-06-26
"43","acetaminophen, dextromethorphan hydrobromide, pseudoephedrine hydrochloride",TRUE,13,4,"active",1995-12-31
"44","acetaminophen, diphenhydramine hydrochloride",TRUE,1,1,"active",2012-10-02
"45","acetaminophen, diphenhydramine hydrochloride, menthol",TRUE,1,1,"active",2012-10-04
"46","acetaminophen, diphenhydramine hydrochloride, phenylephrine hydrochloride",TRUE,3,1,"active",2014-12-04
"47","acetaminophen, diphenhydramine hydrochloride, pseudoephedrine hydrochloride",TRUE,13,1,"active",1998-03-05
"48","acetaminophen, doxylamine succinate, phenylephrine hydrochloride",TRUE,1,1,"active",2006-06-11
"49","acetaminophen, doxylamine succinate, pseudoephedrine hydrochloride",TRUE,2,1,"active",2003-03-07
"50","acetaminophen, guaifenesin, menthol",TRUE,1,1,"active",2012-10-04
"51","acetaminophen, guaifenesin, phenylephrine hydrochloride",TRUE,2,1,"active",2006-08-31
"52","acetaminophen, menthol",TRUE,1,1,"active",2006-08-09
"53","acetaminophen, methocarbamol",TRUE,16,1,"active",1993-12-31
"54","acetaminophen, oxycodone",TRUE,10,1,"active",1977-12-31
"55","acetaminophen, pamabrom",TRUE,1,1,"active",2004-12-20
"56","acetaminophen, pamabrom, pyrilamine maleate",TRUE,4,1,"active",1999-06-22
"57","acetaminophen, pheniramine maleate, phenylephrine hydrochloride",TRUE,6,2,"active",1996-09-04
"58","acetaminophen, pheniramine maleate, phenylephrine hydrochloride, vitamin c",TRUE,6,2,"active",1993-12-30
"59","acetaminophen, pheniramine maleate, phenylephrine hydrochloride, vitamin c (ascorbic acid)",TRUE,2,1,"active",2001-12-29
"60","acetaminophen, phenylephrine hydrochloride",TRUE,7,3,"active",1989-12-31
"61","acetaminophen, pseudoephedrine hydrochloride",TRUE,21,2,"active",1986-12-31
"62","acetaminophen, tramadol",TRUE,14,1,"active",2005-07-22
"63","acetazolamide",FALSE,2,2,"active",1982-12-31
"64","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride",FALSE,9,1,"active",2016-01-04
"65","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride",FALSE,100,1,"active",1988-12-31
"66","acetic acid, calcium chloride, dextrose, magnesium chloride, sodium chloride",FALSE,14,1,"active",1988-12-31
"67","acetic acid, calcium chloride, magnesium chloride, potassium chloride, sodium chloride",FALSE,4,1,"active",1996-12-31
"68","acetic acid, dextrose, magnesium chloride, sodium chloride",FALSE,1,1,"active",1989-12-31
"69","acetic acid, sodium acetate",FALSE,1,1,"active",2012-03-09
"70","acetylcholine chloride",FALSE,1,1,"active",1996-08-14
"71","acetylcysteine",FALSE,2,5,"active",2001-04-27
"72","acetylsalicylic acid",FALSE,74,4,"active",1951-12-31
"73","acetylsalicylic acid, butalbital, caffeine",TRUE,6,2,"active",1971-12-31
"74","acetylsalicylic acid, butalbital, caffeine, codeine",TRUE,6,1,"active",1970-12-31
"75","acetylsalicylic acid, caffeine",TRUE,3,1,"active",1993-12-31
"76","acetylsalicylic acid, caffeine, codeine",TRUE,7,1,"active",1970-12-31
"77","acetylsalicylic acid, citric acid, sodium bicarbonate",FALSE,3,1,"active",1995-12-31
"78","acetylsalicylic acid, codeine, methocarbamol",TRUE,5,1,"active",1992-12-31
"79","acetylsalicylic acid, dipyridamole",FALSE,1,2,"active",2000-04-17
"80","acetylsalicylic acid, methocarbamol",FALSE,6,1,"active",1997-07-07
"81","acetylsalicylic acid, oxycodone",TRUE,1,1,"active",1984-12-31
"82","aclidinium bromide",FALSE,1,1,"active",2013-09-13
"83","aclidinium bromide, formoterol",TRUE,1,1,"active",2015-07-09
"84","acyclovir",TRUE,19,6,"active",1982-12-31
"85","acyclovir, hydrocortisone",TRUE,1,1,"active",2013-07-26
"86","adalimumab",FALSE,3,1,"active",2004-09-24
"87","adapalene",FALSE,3,2,"active",1996-12-31
"88","adapalene, benzoyl peroxide",TRUE,2,1,"active",2011-05-13
"89","adefovir dipivoxil",FALSE,2,1,"active",2006-04-18
"90","adenine, citric acid, dextrose, sodium citrate, sodium phosphate monobasic",FALSE,1,1,"active",1996-10-17
"91","adenine, citric acid monohydrate, dextrose, sodium chloride, sodium citrate dihydrate, sodium phosphate monobasic, monohydrate",FALSE,1,1,"active",2013-05-31
"92","adenine, dextrose, mannitol, sodium chloride",FALSE,1,1,"active",2016-08-22
"93","adenosine",FALSE,3,1,"active",1994-12-31
"94","afatinib (afatinib dimaleate)",FALSE,3,1,"active",2014-01-17
"95","aflibercept",FALSE,1,1,"active",2013-12-23
"96","agalsidase alfa",FALSE,1,1,"active",2004-03-18
"97","agalsidase beta",FALSE,2,1,"active",2004-04-08
"98","air",FALSE,1,1,"active",1911-12-31
"99","air, carbon dioxide",FALSE,3,1,"active",1993-12-31
"100","air, carbon monoxide",FALSE,1,1,"active",1993-12-31
"101","alanine, arginine, calcium chloride, dextrose, fish oil, glycine, histidine, isoleucine, leucine, lysine (lysine acetate), magnesium sulfate, medium chain triglycerides (mct), methionine, nitrogen, olive oil, phenylalanine, potassium chloride, proline, serine, sodium acetate trihydrate, sodium glycerophosphate, soybean oil, taurine, threonine, tryptophan, tyrosine, valine, zinc sulfate heptahydrate",FALSE,1,1,"active",2015-09-15
"102","alanine, arginine, calcium chloride, dextrose, fish oil, glycine, histidine, isoleucine, leucine, lysine (lysine acetate), magnesium sulfate, medium chain triglycerides (mct), methionine, olive oil, phenylalanine, potassium chloride, proline, serine, sodium acetate trihydrate, sodium glycerophosphate, soybean oil, taurine, threonine, tryptophan, tyrosine, valine, zinc sulfate heptahydrate",FALSE,1,1,"active",2017-02-14
"103","alanine, arginine, calcium chloride, dl-methionine, glycine, histidine, isoleucine, leucine, lysine (lysine monohydrochloride), magnesium chloride, phenylalanine, proline, serine, sodium chloride, sodium lactate, threonine, tryptophan, tyrosine, valine",FALSE,1,1,"active",1998-09-25
"104","alanine, arginine, dextrose, fish oil, glycine, histidine, isoleucine, leucine, lysine (lysine acetate), medium chain triglycerides (mct), methionine, nitrogen, olive oil, phenylalanine, proline, serine, soybean oil, taurine, threonine, tryptophan, tyrosine, valine",FALSE,1,1,"active",2015-09-15
"105","alanine, arginine, dl-methionine, glutamic acid, glycine, histidine, isoleucine, l-aspartic acid, leucine, lysine (lysine acetate), phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine",FALSE,1,1,"active",1996-10-09
"106","alanine, arginine, glycine, histidine, isoleucine, leucine, l-lysine (l-lysine hydrochloride), magnesium chloride, methionine, phenylalanine, potassium phosphate dibasic, proline, sodium acetate, sodium chloride, threonine, tryptophan, tyrosine, valine",FALSE,1,1,"active",1974-12-31
"107","alanine, calcium chloride, dextrose, glutamic acid, glycine, histidine, l-arginine, l-aspartic acid, l-isoleucine, l-leucine, l-phenylalanine, l-proline, l-threonine, l-tyrosine, l-valine, lysine (l-lysine acetate), magnesium chloride, methionine, olive oil, potassium chloride, serine, sodium acetate trihydrate, sodium glycerophosphate, soybean oil, tryptophan",FALSE,3,1,"active",2011-01-19
"108","alanine, dextrose, glutamic acid, glycine, histidine, l-arginine, l-aspartic acid, l-isoleucine, l-leucine, l-phenylalanine, l-proline, l-threonine, l-tyrosine, l-valine, lysine (l-lysine acetate), methionine, olive oil, serine, soybean oil, tryptophan",FALSE,2,1,"active",2011-03-01
"109","albumin",FALSE,2,1,"active",1989-12-31
"110","albumin (human)",FALSE,11,1,"active",1996-12-16
"111","albumin (human), sodium chloride",FALSE,1,1,"active",1987-12-31
"112","alcohol anhydrous",FALSE,1,1,"active",1978-12-31
"113","alcohol anhydrous, benzalkonium",TRUE,5,4,"active",2004-11-20
"114","alcohol anhydrous, butanediol, propyl alcohol, propylene glycol",FALSE,1,1,"active",2004-01-20
"115","alcohol anhydrous, chlorhexidine",TRUE,3,3,"active",1999-11-05
"116","alcohol anhydrous, dextrose",FALSE,2,1,"active",1990-12-31
"117","alcohol anhydrous, doxylamine succinate, etafedrin hydrochloride, hydrocodone bitartrate, sodium citrate",FALSE,2,1,"active",1983-12-31
"118","aldesleukin",FALSE,1,1,"active",1995-12-31
"119","alectinib (alectinib hydrochloride)",FALSE,1,1,"active",2016-10-14
"120","alemtuzumab",FALSE,2,1,"active",2007-09-07
"121","alendronic acid",TRUE,36,1,"active",2002-02-14
"122","alendronic acid, vitamin d3",TRUE,7,1,"active",2006-03-13
"123","alfacalcidol",FALSE,4,3,"active",1980-12-31
"124","alfentanil (alfentanil hydrochloride)",FALSE,1,1,"active",2004-11-01
"125","alfuzosin",TRUE,7,1,"active",2002-02-21
"126","alglucosidase alfa",FALSE,1,1,"active",2006-12-06
"127","alirocumab",FALSE,4,1,"active",2016-04-29
"128","aliskiren (aliskiren fumarate)",FALSE,2,1,"active",2007-11-26
"129","aliskiren (aliskiren fumarate), hydrochlorothiazide",TRUE,4,1,"active",2009-11-24
"130","alitretinoin",FALSE,2,1,"active",2010-11-19
"131","allantoin, chloroxylenol",FALSE,1,1,"active",1996-07-22
"132","allergen extract - alum precipitated",FALSE,3,1,"active",2001-04-01
"133","allergen extract - diagnostic",FALSE,1,2,"active",2001-04-01
"134","allergenic extract non-pollen",FALSE,3,1,"active",2003-06-30
"135","allergenic extracts",FALSE,1,1,"active",2001-04-01
"136","allergenic extracts pollens",FALSE,3,1,"active",2003-06-30
"137","allopurinol",TRUE,16,1,"active",1974-12-31
"138","almotriptan (almotriptan malate)",FALSE,9,1,"active",2003-12-08
"139","aloe, benzoin, myroxylon balsamum, storax",FALSE,1,2,"active",1982-12-31
"140","alogliptin (alogliptin benzoate)",FALSE,3,1,"active",2014-04-30
"141","alogliptin (alogliptin benzoate), metformin",TRUE,3,1,"active",2014-04-30
"142","alpha 1-proteinase inhibitor (human)",FALSE,1,1,"active",1996-11-11
"143","alprazolam",TRUE,31,1,"active",1981-12-31
"144","alprostadil",FALSE,7,3,"active",1982-12-31
"145","alprostadil, water",FALSE,1,3,"active",1996-07-30
"146","alteplase",FALSE,1,1,"active",2002-09-26
"147","alteplase, water",FALSE,2,2,"active",1996-12-31
"148","aluminum chloride, oxyquinoline sulfate",FALSE,1,1,"active",1977-12-31
"149","aluminum chlorohydrate, methylprednisolone acetate, neomycin sulfate, sulfur",FALSE,1,1,"active",1965-12-31
"150","aluminum hydroxide, dimethicone, magnesium hydroxide",FALSE,3,1,"active",1989-12-31
"151","aluminum hydroxide (dried aluminum hydroxide gel), magnesium hydroxide, simethicone",FALSE,3,2,"active",1963-12-31
"152","aluminum hydroxide-magnesium carbonate-co dried gel, magnesium hydroxide, simethicone",FALSE,1,1,"active",1963-12-31
"153","aluminum hydroxide, magnesium hydroxide (dried aluminum hydroxide gel), simethicone",FALSE,1,1,"active",2006-02-16
"154","aluminum hydroxide, magnesium hydroxide, oxetacaine",FALSE,1,1,"active",1995-12-31
"155","aluminum hydroxide, magnesium hydroxide, simethicone",FALSE,1,1,"active",2006-02-16
"156","amantadine hydrochloride",FALSE,3,2,"active",1992-12-31
"157","ambrisentan",FALSE,2,1,"active",2008-06-24
"158","amcinonide",FALSE,7,3,"active",1996-09-12
"159","amikacin (amikacin sulfate)",FALSE,1,1,"active",2001-01-29
"160","amiloride hydrochloride",FALSE,1,1,"active",2004-06-18
"161","amiloride hydrochloride, hydrochlorothiazide",TRUE,3,1,"active",1989-12-31
"162","aminolevulinic acid hydrochloride",FALSE,1,1,"active",2004-06-03
"163","aminophylline",FALSE,3,1,"active",1981-12-31
"164","amiodarone",TRUE,17,2,"active",1999-03-29
"165","amitriptyline",TRUE,38,1,"active",1965-12-31
"166","amlodipine",TRUE,62,1,"active",1992-12-31
"167","amlodipine, atorvastatin",TRUE,28,1,"active",2005-12-23
"168","amlodipine, perindopril",TRUE,3,1,"active",2016-04-05
"169","amlodipine, telmisartan",TRUE,4,1,"active",2011-08-11
"170","ammonium chloride, codeine, diphenhydramine hydrochloride",TRUE,3,2,"active",1981-12-31
"171","ammonium chloride, dextromethorphan hydrobromide, diphenhydramine hydrochloride",FALSE,2,1,"active",1991-12-31
"172","amoxicillin",TRUE,43,6,"active",1979-12-31
"173","amoxicillin, clarithromycin, lansoprazole",TRUE,1,4,"active",1998-08-18
"174","amoxicillin, clavulanic acid",TRUE,18,3,"active",1992-12-31
"175","amphetamine, amphetamine, dextroamphetamine, dextroamphetamine",TRUE,24,1,"active",2004-01-30
"176","amphotericin b",FALSE,3,2,"active",1958-12-31
"177","ampicillin",FALSE,4,2,"active",1984-12-31
"178","ampicillin (ampicillin sodium)",FALSE,8,1,"active",1992-12-31
"179","amsacrine",FALSE,1,1,"active",1983-12-31
"180","amylase, lipase, protease",FALSE,12,4,"active",1973-12-31
"181","amylmetacresol, dichlorobenzyl alcohol",FALSE,6,1,"active",2012-07-19
"182","amylmetacresol, dichlorobenzyl alcohol, menthol",FALSE,3,1,"active",2012-07-19
"183","anagrelide (anagrelide hydrochloride)",FALSE,1,1,"active",1998-01-06
"184","anagrelide (anagrelide hydrochloride monohydrate)",FALSE,3,1,"active",2004-11-05
"185","anakinra",FALSE,1,1,"active",2002-05-29
"186","anastrozole",FALSE,21,1,"active",1996-08-30
"187","anethole trithione",FALSE,1,1,"active",2000-08-02
"188","anidulafungin",FALSE,1,1,"active",2010-01-25
"189","antazoline phosphate, naphazoline hydrochloride",FALSE,2,1,"active",1978-12-31
"190","antihemophilic factor (human), human plasma proteins, von willebrand factor (human)",FALSE,2,1,"active",2008-04-29
"191","antihemophilic factor (human), von willebrand factor (human)",FALSE,3,1,"active",2004-12-06
"192","antihemophilic factor (recombinant)",FALSE,20,2,"active",2006-10-06
"193","antihemophilic factor (recombinant) porcine sequence",FALSE,1,1,"active",2016-11-30
"194","anti-inhibitor coagulant complex, water",FALSE,2,2,"active",1997-10-27
"195","antipyrine, benzocaine",FALSE,1,1,"active",2011-02-28
"196","antipyrine, sodium salicylate",FALSE,1,1,"active",1979-12-31
"197","antithrombin iii (human)",FALSE,1,1,"active",1996-11-11
"198","antithrombin iii (human), water",FALSE,2,2,"active",1999-07-05
"199","anti-thymocyte globulin (rabbit)",FALSE,1,1,"active",2003-05-06
"200","apis mellifera venom protein extract",FALSE,3,1,"active",1993-12-31
"201","apixaban",FALSE,2,1,"active",2012-02-01
"202","apraclonidine (apraclonidine hydrochloride)",FALSE,2,1,"active",1992-12-31
"203","apremilast",FALSE,1,1,"active",2014-12-01
"204","apremilast, apremilast, apremilast",FALSE,1,2,"active",2014-11-27
"205","aprepitant",FALSE,2,1,"active",2007-09-24
"206","aprepitant, aprepitant",FALSE,1,2,"active",2007-09-24
"207","aprotinin (bovine)",FALSE,1,1,"active",1997-12-15
"208","arginine, glycine, histidine, isoleucine, l-alanine, leucine, l-lysine hydrochloride, methionine, phenylalanine, proline, threonine, tryptophan, tyrosine, valine",FALSE,1,1,"active",1980-12-31
"209","arginine, glycine, histidine, isoleucine, l-alanine, leucine, l-lysine (l-lysine hydrochloride), methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine",FALSE,1,1,"active",1991-12-31
"210","arginine hydrochloride",FALSE,1,1,"active",1973-12-31
"211","aripiprazole",TRUE,8,3,"active",2009-09-30
"212","arsenic trioxide",FALSE,1,1,"active",2013-09-09
"213","articaine hydrochloride, epinephrine",TRUE,13,1,"active",1993-12-31
"214","asenapine (asenapine maleate)",FALSE,2,1,"active",2011-12-19
"215","asfotase alfa",FALSE,4,1,"active",2015-10-20
"216","asunaprevir",FALSE,1,1,"active",2016-04-22
"217","atazanavir (atazanavir sulfate)",FALSE,9,1,"active",2004-01-09
"218","atazanavir (atazanavir sulfate), cobicistat",FALSE,1,1,"active",2016-02-11
"219","atenolol",TRUE,44,1,"active",1988-12-31
"220","atenolol, chlorthalidone",TRUE,6,1,"active",1994-12-31
"221","atezolizumab",FALSE,1,1,"active",2017-05-02
"222","atomoxetine",TRUE,57,1,"active",2005-02-24
"223","atorvastatin",TRUE,80,1,"active",1997-03-05
"224","atovaquone",FALSE,1,1,"active",1996-09-10
"225","atovaquone, proguanil hydrochloride",FALSE,5,1,"active",1998-08-07
"226","atracurium besylate",FALSE,1,1,"active",1998-01-20
"227","atropine sulfate",FALSE,11,2,"active",1964-12-31
"228","atropine sulfate, diphenoxylate hydrochloride",FALSE,1,1,"active",1960-12-31
"229","auranofin",FALSE,1,1,"active",1993-12-31
"230","avobenzone, avobenzone, homosalate, octinoxate, octinoxate, octisalate, octocrylene, octocrylene",FALSE,1,2,"active",2014-03-31
"231","avobenzone, bemotrizinol, bisoctrizole, octisalate, octocrylene",FALSE,1,1,"active",2016-03-01
"232","avobenzone, bemotrizinol, bisoctrizole, octocrylene",FALSE,2,1,"active",2012-02-08
"233","avobenzone, bemotrizinol, bisoctrizole, octocrylene, titanium dioxide",FALSE,4,2,"active",2015-04-07
"234","avobenzone, bemotrizinol, drometrizole trisiloxane, octisalate, octocrylene, terephthalylidene dicamphor sulfonic acid, titanium dioxide",FALSE,1,1,"active",2010-05-04
"235","avobenzone, bemotrizinol, octisalate, octocrylene",FALSE,1,1,"active",2014-01-13
"236","avobenzone, bisoctrizole, octocrylene",FALSE,1,1,"active",2012-02-08
"237","avobenzone, drometrizole trisiloxane, homosalate, octisalate, octocrylene",FALSE,6,2,"active",2012-02-15
"238","avobenzone, drometrizole trisiloxane, homosalate, octisalate, octocrylene, oxybenzone",FALSE,3,1,"active",2016-02-22
"239","avobenzone, drometrizole trisiloxane, homosalate, octisalate, octocrylene, terephthalylidene dicamphor sulfonic acid",FALSE,10,2,"active",2013-04-08
"240","avobenzone, drometrizole trisiloxane, octisalate, octocrylene",FALSE,2,1,"active",2009-11-02
"241","avobenzone, drometrizole trisiloxane, octisalate, octocrylene, terephthalylidene dicamphor sulfonic acid, titanium dioxide",FALSE,4,2,"active",2009-03-13
"242","avobenzone, drometrizole trisiloxane, octocrylene",FALSE,1,1,"active",2013-06-18
"243","avobenzone, drometrizole trisiloxane, octocrylene, terephthalylidene dicamphor sulfonic acid, titanium dioxide",FALSE,8,2,"active",2007-03-01
"244","avobenzone, drometrizole trisiloxane, octocrylene, titanium dioxide",FALSE,3,1,"active",2007-03-01
"245","avobenzone, ensulizole, enzacamene, octinoxate",FALSE,3,2,"active",1997-11-10
"246","avobenzone, ensulizole, homosalate, octisalate, octocrylene",FALSE,2,1,"active",2013-07-02
"247","avobenzone, ensulizole, homosalate, octisalate, octocrylene, oxybenzone",FALSE,2,1,"active",2008-05-07
"248","avobenzone, ensulizole, homosalate, octocrylene",FALSE,1,1,"active",2009-08-04
"249","avobenzone, ensulizole, octinoxate, octocrylene, oxybenzone, titanium dioxide",FALSE,1,1,"active",2009-07-13
"250","avobenzone, ensulizole, octisalate, octocrylene",FALSE,8,3,"active",2002-09-01
"251","avobenzone, ensulizole, octocrylene",FALSE,4,2,"active",2011-04-06
"252","avobenzone, ensulizole, octocrylene, oxybenzone",FALSE,3,2,"active",2005-05-04
"253","avobenzone, ensulizole, octocrylene, terephthalylidene dicamphor sulfonic acid",FALSE,1,1,"active",2003-04-09
"254","avobenzone, homosalate, octinoxate",FALSE,2,1,"active",2015-01-12
"255","avobenzone, homosalate, octinoxate, octisalate",FALSE,6,3,"active",2015-03-16
"256","avobenzone, homosalate, octinoxate, octisalate, octocrylene",FALSE,7,3,"active",2014-03-18
"257","avobenzone, homosalate, octinoxate, octisalate, octocrylene, oxybenzone",FALSE,7,3,"active",2013-05-01
"258","avobenzone, homosalate, octinoxate, octisalate, oxybenzone",FALSE,14,3,"active",2005-02-04
"259","avobenzone, homosalate, octinoxate, octocrylene",FALSE,2,2,"active",2012-11-16
"260","avobenzone, homosalate, octinoxate, octocrylene, oxybenzone",FALSE,2,1,"active",2015-04-23
"261","avobenzone, homosalate, octinoxate, oxybenzone",FALSE,10,2,"active",2004-01-05
"262","avobenzone, homosalate, octisalate",FALSE,6,3,"active",2011-01-01
"263","avobenzone, homosalate, octisalate, octocrylene",FALSE,91,7,"active",2009-03-17
"264","avobenzone, homosalate, octisalate, octocrylene, oxybenzone",FALSE,193,9,"active",2007-01-29
"265","avobenzone, homosalate, octisalate, octocrylene, oxybenzone, terephthalylidene dicamphor sulfonic acid",FALSE,5,2,"active",2011-04-13
"266","avobenzone, homosalate, octisalate, octocrylene, terephthalylidene dicamphor sulfonic acid",FALSE,1,1,"active",2016-03-07
"267","avobenzone, homosalate, octisalate, octocrylene, titanium dioxide",FALSE,3,1,"active",2016-09-30
"268","avobenzone, homosalate, octisalate, oxybenzone",FALSE,20,3,"active",2008-04-03
"269","avobenzone, homosalate, octisalate, oxybenzone, titanium dioxide",FALSE,4,1,"active",2007-03-30
"270","avobenzone, homosalate, octocrylene",FALSE,20,3,"active",2014-02-01
"271","avobenzone, homosalate, octocrylene, oxybenzone",FALSE,2,1,"active",2015-02-01
"272","avobenzone, hydroquinone, octinoxate",FALSE,1,1,"active",2001-04-09
"273","avobenzone, octinoxate",FALSE,30,5,"active",1998-01-15
"274","avobenzone, octinoxate, octisalate",FALSE,29,4,"active",2000-02-23
"275","avobenzone, octinoxate, octisalate, octocrylene",FALSE,14,4,"active",2008-08-01
"276","avobenzone, octinoxate, octisalate, octocrylene, oxybenzone",FALSE,10,5,"active",2009-06-22
"277","avobenzone, octinoxate, octisalate, octocrylene, padimate o",FALSE,2,2,"active",2008-08-01
"278","avobenzone, octinoxate, octisalate, oxybenzone",FALSE,14,3,"active",2006-11-28
"279","avobenzone, octinoxate, octisalate, oxybenzone, titanium dioxide",FALSE,1,1,"active",2002-06-01
"280","avobenzone, octinoxate, octisalate, padimate o",FALSE,1,1,"active",2008-08-01
"281","avobenzone, octinoxate, octocrylene",FALSE,12,4,"active",2008-12-04
"282","avobenzone, octinoxate, octocrylene, oxybenzone",FALSE,7,4,"active",2009-10-08
"283","avobenzone, octinoxate, octocrylene, sulisobenzone",FALSE,2,2,"active",2011-12-22
"284","avobenzone, octinoxate, oxybenzone",FALSE,14,3,"active",1995-12-31
"285","avobenzone, octinoxate, oxybenzone, titanium dioxide",FALSE,3,2,"active",1998-05-04
"286","avobenzone, octinoxate, zinc oxide",FALSE,1,1,"active",2004-11-30
"287","avobenzone, octisalate",FALSE,8,2,"active",2011-01-01
"288","avobenzone, octisalate, octocrylene",FALSE,50,7,"active",2004-03-01
"289","avobenzone, octisalate, octocrylene, oxybenzone",FALSE,13,4,"active",2007-03-27
"290","avobenzone, octisalate, octocrylene, oxybenzone, terephthalylidene dicamphor sulfonic acid, titanium dioxide",FALSE,2,1,"active",2006-02-15
"291","avobenzone, octisalate, octocrylene, terephthalylidene dicamphor sulfonic acid",FALSE,2,1,"active",2012-09-19
"292","avobenzone, octocrylene",FALSE,5,3,"active",2001-06-19
"293","avobenzone, octocrylene, oxybenzone",FALSE,15,6,"active",2009-05-01
"294","avobenzone, octocrylene, oxybenzone, titanium dioxide",FALSE,3,1,"active",2005-05-04
"295","avobenzone, octocrylene, terephthalylidene dicamphor sulfonic acid, titanium dioxide",FALSE,4,2,"active",2000-02-23
"296","axitinib",FALSE,2,1,"active",2012-08-17
"297","azacitidine",FALSE,1,1,"active",2010-01-04
"298","azathioprine",TRUE,6,1,"active",1966-12-31
"299","azelaic acid",FALSE,1,1,"active",2010-06-15
