"","drug_code","ccdd","n_ing","ai_code_set","tm_set","str_set","precise_ing_set","ntp_ing_group","ntp_ing_formal_name"
"16",188,FALSE,3,"3980, 720, 719","aluminum hydroxide-magnesium carbonate-co dried gel, magnesium hydroxide, simethicone","300 MG, 100 MG, 25 MG","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL, MAGNESIUM HYDROXIDE, SIMETHICONE","aluminum hydroxide-magnesium carbonate-co dried gel, magnesium hydroxide, simethicone","aluminum hydroxide-magnesium carbonate-co dried gel 300 mg and magnesium hydroxide 100 mg and simethicone 25 mg"
"17",193,FALSE,1,"9782","dimenhydrinate","100 MG","DIMENHYDRINATE","dimenhydrinate","dimenhydrinate 100 mg"
"18",197,FALSE,1,"9782","dimenhydrinate","50 MG per ML","DIMENHYDRINATE","dimenhydrinate","dimenhydrinate 50 mg per mL"
"19",198,FALSE,1,"719","simethicone","40 MG per ML","SIMETHICONE","simethicone","simethicone 40 mg per mL"
"20",209,FALSE,1,"10225","lidocaine hydrochloride","20 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 20 mg per mL"
"21",211,FALSE,1,"9471","lidocaine","5 %","LIDOCAINE","lidocaine","lidocaine 5 %"
"22",212,FALSE,1,"10225","lidocaine hydrochloride","20 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 20 mg per mL"
"23",224,FALSE,1,"8249","thiopental sodium","1 G per VIAL","THIOPENTAL SODIUM","thiopental sodium","thiopental sodium 1 g per vial"
"24",227,FALSE,1,"8833","succinylcholine chloride","20 MG per ML","SUCCINYLCHOLINE CHLORIDE","succinylcholine chloride","succinylcholine chloride 20 mg per mL"
"25",228,FALSE,1,"55","sodium chloride","9 MG per ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 9 mg per mL"
"26",229,FALSE,1,"8826","water","100 %","WATER","water","water 100 %"
"27",250,FALSE,1,"8486","dactinomycin","0.5 MG per VIAL","DACTINOMYCIN","dactinomycin","dactinomycin 0.5 mg per vial"
"28",254,FALSE,1,"8970","atropine sulfate","1 %","ATROPINE SULFATE","atropine sulfate","atropine sulfate 1 %"
"29",259,TRUE,3,"7600, 8638, 8519","dexamethasone (base), neomycin (neomycin sulfate), polymyxin b sulfate","0.1 %, 3.5 MG, 6000 UNIT per ML","DEXAMETHASONE, NEOMYCIN SULFATE, POLYMYXIN B SULFATE","dexamethasone, neomycin (neomycin sulfate), polymyxin b sulfate","dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL"
"30",260,FALSE,1,"5843","tropicamide","0.5 %","TROPICAMIDE","tropicamide","tropicamide 0.5 %"
"31",287,FALSE,1,"10302","d-penicillamine","250 MG","D-PENICILLAMINE","d-penicillamine","d-penicillamine 250 mg"
"32",290,TRUE,1,"7234","quinine","300 MG","QUININE SULFATE","quinine sulfate","quinine sulfate 300 mg"
"33",316,TRUE,1,"8008","hydroxyzine","10 MG per 5 ML","HYDROXYZINE HYDROCHLORIDE","hydroxyzine hydrochloride","hydroxyzine hydrochloride 10 mg per 5 mL"
"34",354,TRUE,2,"7606, 7610","betamethasone acetate, betamethasone (base)","3 MG per ML, 3 MG per ML","BETAMETHASONE ACETATE, BETAMETHASONE SODIUM PHOSPHATE","betamethasone acetate, betamethasone (betamethasone sodium phosphate)","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL"
"35",371,FALSE,1,"8145","sulfacetamide sodium","100 MG per ML","SULFACETAMIDE SODIUM","sulfacetamide sodium","sulfacetamide sodium 100 mg per mL"
"36",405,FALSE,1,"8282","phenobarbital","15 MG","PHENOBARBITAL","phenobarbital","phenobarbital 15 mg"
"37",406,FALSE,1,"8282","phenobarbital","30 MG","PHENOBARBITAL","phenobarbital","phenobarbital 30 mg"
"38",407,FALSE,1,"8282","phenobarbital","60 MG","PHENOBARBITAL","phenobarbital","phenobarbital 60 mg"
"39",408,FALSE,1,"8282","phenobarbital","100 MG","PHENOBARBITAL","phenobarbital","phenobarbital 100 mg"
"40",415,FALSE,1,"3359","dihydroergotamine mesylate","1 MG per ML","DIHYDROERGOTAMINE MESYLATE","dihydroergotamine mesylate","dihydroergotamine mesylate 1 mg per mL"
"41",430,TRUE,1,"7538","medroxyprogesterone","5 MG","MEDROXYPROGESTERONE ACETATE","medroxyprogesterone acetate","medroxyprogesterone acetate 5 mg"
"42",431,FALSE,1,"8502","bacitracin","50000 UNIT per 10 ML","BACITRACIN","bacitracin","bacitracin 50000 unit per 10 mL"
"43",432,TRUE,1,"7532","hydrocortisone","10 MG","HYDROCORTISONE","hydrocortisone","hydrocortisone 10 mg"
"44",433,TRUE,1,"7532","hydrocortisone","20 MG","HYDROCORTISONE","hydrocortisone","hydrocortisone 20 mg"
"45",441,TRUE,1,"7538","medroxyprogesterone","50 MG per ML","MEDROXYPROGESTERONE ACETATE","medroxyprogesterone acetate","medroxyprogesterone acetate 50 mg per mL"
"46",468,FALSE,1,"150","acetylsalicylic acid","650 MG","ACETYLSALICYLIC ACID","acetylsalicylic acid","acetylsalicylic acid 650 mg"
"47",507,TRUE,1,"7566","prednisone","5 MG","PREDNISONE","prednisone","prednisone 5 mg"
"48",577,FALSE,1,"9782","dimenhydrinate","50 MG","DIMENHYDRINATE","dimenhydrinate","dimenhydrinate 50 mg"
"49",579,FALSE,1,"10259","chlorpheniramine maleate","4 MG","CHLORPHENIRAMINE MALEATE","chlorpheniramine maleate","chlorpheniramine maleate 4 mg"
"50",585,FALSE,1,"10225","lidocaine hydrochloride","10 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 10 mg per mL"
"51",587,FALSE,1,"10225","lidocaine hydrochloride","20 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 20 mg per mL"
"52",589,TRUE,2,"8926, 10225","epinephrine, lidocaine hydrochloride","0.01 MG per ML, 10 MG per ML","EPINEPHRINE, LIDOCAINE HYDROCHLORIDE","epinephrine, lidocaine hydrochloride","epinephrine 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL"
"53",590,TRUE,2,"8926, 10225","epinephrine, lidocaine hydrochloride","5 MCG per ML, 10 MG per ML","EPINEPHRINE, LIDOCAINE HYDROCHLORIDE","epinephrine, lidocaine hydrochloride","epinephrine 5 mcg per mL and lidocaine hydrochloride 10 mg per mL"
"54",613,TRUE,1,"10209","phenytoin (base)","125 MG per 5 ML","PHENYTOIN","phenytoin","phenytoin 125 mg per 5 mL"
"55",615,FALSE,1,"10170","ethacrynic acid (ethacrynate sodium)","50 MG per VIAL","ETHACRYNATE SODIUM","ethacrynic acid (ethacrynate sodium)","ethacrynic acid (ethacrynate sodium) 50 mg per vial"
"56",631,FALSE,2,"9081, 7568","clioquinol, flumethasone pivalate","3 %, 0.02 %","CLIOQUINOL, FLUMETHASONE PIVALATE","clioquinol, flumethasone pivalate","clioquinol 3 % and flumethasone pivalate 0.02 %"
"57",635,TRUE,2,"8926, 10225","epinephrine, lidocaine hydrochloride","0.02 MG per ML, 20 MG per ML","EPINEPHRINE BITARTRATE, LIDOCAINE HYDROCHLORIDE","epinephrine (epinephrine bitartrate), lidocaine hydrochloride","epinephrine (epinephrine bitartrate) 0.02 mg per mL and lidocaine hydrochloride 20 mg per mL"
"58",636,TRUE,2,"8926, 10225","epinephrine, lidocaine hydrochloride","0.01 MG per ML, 20 MG per ML","EPINEPHRINE BITARTRATE, LIDOCAINE HYDROCHLORIDE","epinephrine (epinephrine bitartrate), lidocaine hydrochloride","epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 20 mg per mL"
"59",651,TRUE,1,"7234","quinine","200 MG","QUININE SULFATE","quinine sulfate","quinine sulfate 200 mg"
"60",682,FALSE,1,"6547","chloroquine diphosphate","250 MG","CHLOROQUINE DIPHOSPHATE","chloroquine diphosphate","chloroquine diphosphate 250 mg"
"61",690,FALSE,1,"1411","ergoloid mesylates","1 MG","ERGOLOID MESYLATES","ergoloid mesylates","ergoloid mesylates 1 mg"
"62",721,FALSE,1,"7140","mineral oil","100 %","MINERAL OIL","mineral oil","mineral oil 100 %"
"63",728,FALSE,2,"10260, 6301","chlordiazepoxide hydrochloride, clidinium bromide","5 MG, 2.5 MG","CHLORDIAZEPOXIDE HYDROCHLORIDE, CLIDINIUM BROMIDE","chlordiazepoxide hydrochloride, clidinium bromide","chlordiazepoxide hydrochloride 5 mg and clidinium bromide 2.5 mg"
"64",731,FALSE,1,"6363","ethosuximide","250 MG per 5 ML","ETHOSUXIMIDE","ethosuximide","ethosuximide 250 mg per 5 mL"
"65",733,TRUE,1,"7566","prednisone","5 MG","PREDNISONE","prednisone","prednisone 5 mg"
"66",744,FALSE,3,"10021, 778, 6648","citric acid, magnesium oxide, sodium carbonate (anhydrous)","148 MG per ML, 1.9 MG per ML, 2.2 MG per ML","CITRIC ACID, MAGNESIUM OXIDE, ANHYDROUS","citric acid, magnesium oxide, sodium carbonate (anhydrous)","citric acid 148 mg per mL and magnesium oxide 1.9 mg per mL and sodium carbonate (anhydrous) 2.2 mg per mL"
"67",745,FALSE,4,"51, 49, 53, 55","calcium chloride, magnesium chloride, potassium chloride, sodium chloride","0.2 MG per ML, 0.116 MG per ML, 0.3 MG per ML, 8.6 MG per ML","CALCIUM CHLORIDE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM CHLORIDE","calcium chloride, magnesium chloride, potassium chloride, sodium chloride","calcium chloride 0.2 mg per mL and magnesium chloride 0.116 mg per mL and potassium chloride 0.3 mg per mL and sodium chloride 8.6 mg per mL"
"68",769,TRUE,1,"10209","phenytoin (base)","30 MG per 5 ML","PHENYTOIN","phenytoin","phenytoin 30 mg per 5 mL"
"69",771,FALSE,1,"6363","ethosuximide","250 MG","ETHOSUXIMIDE","ethosuximide","ethosuximide 250 mg"
"70",772,FALSE,1,"6617","thyroid","30 MG","THYROID","thyroid","thyroid 30 mg"
"71",773,FALSE,1,"6617","thyroid","60 MG","THYROID","thyroid","thyroid 60 mg"
"72",774,FALSE,1,"6617","thyroid","125 MG","THYROID","thyroid","thyroid 125 mg"
"73",777,TRUE,1,"4182","carbamazepine","200 MG","CARBAMAZEPINE","carbamazepine","carbamazepine 200 mg"
"74",778,TRUE,1,"10234","hydrochlorothiazide","25 MG","HYDROCHLOROTHIAZIDE","hydrochlorothiazide","hydrochlorothiazide 25 mg"
"75",780,FALSE,1,"5843","tropicamide","1 %","TROPICAMIDE","tropicamide","tropicamide 1 %"
"76",784,FALSE,1,"10039","thiothixene","5 MG","THIOTHIXENE","thiothixene","thiothixene 5 mg"
"77",789,FALSE,1,"7624","methylprednisolone acetate","80 MG per ML","METHYLPREDNISOLONE ACETATE","methylprednisolone acetate","methylprednisolone acetate 80 mg per mL"
"78",790,FALSE,1,"8937","ephedrine sulfate","50 MG per ML","EPHEDRINE SULFATE","ephedrine sulfate","ephedrine sulfate 50 mg per mL"
"79",793,FALSE,1,"12399","hypromellose","0.5 %","HYPROMELLOSE","hypromellose","hypromellose 0.5 %"
"80",794,FALSE,1,"12399","hypromellose","1 %","HYPROMELLOSE","hypromellose","hypromellose 1 %"
"81",800,TRUE,1,"6186","methylphenidate","10 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 10 mg"
"82",801,TRUE,1,"6186","methylphenidate","20 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 20 mg"
"83",810,TRUE,2,"9081, 7532","clioquinol, hydrocortisone","3 %, 1 %","CLIOQUINOL, HYDROCORTISONE","clioquinol, hydrocortisone","clioquinol 3 % and hydrocortisone 1 %"
"84",812,TRUE,1,"10234","hydrochlorothiazide","50 MG","HYDROCHLOROTHIAZIDE","hydrochlorothiazide","hydrochlorothiazide 50 mg"
"85",816,TRUE,2,"7610, 8632","betamethasone (base), gentamicin (gentamicin sulfate)","0.1 %, 0.1 %","BETAMETHASONE VALERATE, GENTAMICIN SULFATE","betamethasone (betamethasone valerate), gentamicin (gentamicin sulfate)","betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 %"
"86",817,FALSE,1,"55","sodium chloride","9 MG per ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 9 mg per mL"
"87",868,FALSE,2,"9081, 7568","clioquinol, flumethasone pivalate","1 %, 0.02 %","CLIOQUINOL, FLUMETHASONE PIVALATE","clioquinol, flumethasone pivalate","clioquinol 1 % and flumethasone pivalate 0.02 %"
"88",869,TRUE,1,"197","benzalkonium","13 %","BENZALKONIUM CHLORIDE","benzalkonium chloride","benzalkonium chloride 13 %"
"89",872,TRUE,4,"150, 8231, 9358, 9131","acetylsalicylic acid, butalbital, caffeine, codeine","330 MG, 50 MG, 40 MG, 15 MG","ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE","acetylsalicylic acid, butalbital, caffeine, codeine phosphate","acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 15 mg"
"90",873,TRUE,4,"150, 8231, 9358, 9131","acetylsalicylic acid, butalbital, caffeine, codeine","330 MG, 50 MG, 40 MG, 30 MG","ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE","acetylsalicylic acid, butalbital, caffeine, codeine phosphate","acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg"
"91",874,TRUE,1,"8551","clindamycin","150 MG","CLINDAMYCIN HYDROCHLORIDE","clindamycin (clindamycin hydrochloride)","clindamycin (clindamycin hydrochloride) 150 mg"
"92",891,TRUE,1,"9412","nitroglycerin","18 MG per 6.7 SQ CM","NITROGLYCERIN","nitroglycerin","nitroglycerin 18 mg per 6.7 sq cm"
"93",899,FALSE,1,"12859","iothalamate meglumine","600 MG per ML","IOTHALAMATE MEGLUMINE","iothalamate meglumine","iothalamate meglumine 600 mg per mL"
"94",901,TRUE,1,"8618","erythromycin","125 MG per 5 ML","ERYTHROMYCIN ESTOLATE","erythromycin (erythromycin estolate)","erythromycin (erythromycin estolate) 125 mg per 5 mL"
"95",933,FALSE,1,"8493","amphotericin b","50 MG per VIAL","AMPHOTERICIN B","amphotericin b","amphotericin b 50 mg per vial"
"96",934,FALSE,1,"9542","naphazoline hydrochloride","0.1 %","NAPHAZOLINE HYDROCHLORIDE","naphazoline hydrochloride","naphazoline hydrochloride 0.1 %"
"97",937,FALSE,2,"8970, 20254","atropine sulfate, diphenoxylate hydrochloride","0.025 MG, 2.5 MG","ATROPINE SULFATE, DIPHENOXYLATE HYDROCHLORIDE","atropine sulfate, diphenoxylate hydrochloride","atropine sulfate 0.025 mg and diphenoxylate hydrochloride 2.5 mg"
"98",938,FALSE,1,"11354","procarbazine (procarbazine hydrochloride)","50 MG","PROCARBAZINE HYDROCHLORIDE","procarbazine (procarbazine hydrochloride)","procarbazine (procarbazine hydrochloride) 50 mg"
"99",940,TRUE,1,"8926","epinephrine","1 MG per ML","EPINEPHRINE HYDROCHLORIDE","epinephrine (epinephrine hydrochloride)","epinephrine (epinephrine hydrochloride) 1 mg per mL"
"100",943,TRUE,1,"9131","codeine","5 MG per ML","CODEINE PHOSPHATE","codeine phosphate","codeine phosphate 5 mg per mL"
"101",944,FALSE,1,"11107","doxepin (doxepin hydrochloride)","10 MG","DOXEPIN HYDROCHLORIDE","doxepin (doxepin hydrochloride)","doxepin (doxepin hydrochloride) 10 mg"
"102",945,FALSE,1,"11107","doxepin (doxepin hydrochloride)","25 MG","DOXEPIN HYDROCHLORIDE","doxepin (doxepin hydrochloride)","doxepin (doxepin hydrochloride) 25 mg"
"103",946,FALSE,1,"11107","doxepin (doxepin hydrochloride)","50 MG","DOXEPIN HYDROCHLORIDE","doxepin (doxepin hydrochloride)","doxepin (doxepin hydrochloride) 50 mg"
"104",957,TRUE,3,"9131, 6492, 6494","codeine, pseudoephedrine hydrochloride, triprolidine hydrochloride","10 MG per 5 ML, 30 MG per 5 ML, 2 MG per 5 ML","CODEINE PHOSPHATE, PSEUDOEPHEDRINE HYDROCHLORIDE, TRIPROLIDINE HYDROCHLORIDE","codeine phosphate, pseudoephedrine hydrochloride, triprolidine hydrochloride","codeine phosphate 10 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL and triprolidine hydrochloride 2 mg per 5 mL"
"105",959,FALSE,1,"9556","busulfan","2 MG","BUSULFAN","busulfan","busulfan 2 mg"
"106",960,FALSE,1,"11804","mercaptopurine","50 MG","MERCAPTOPURINE","mercaptopurine","mercaptopurine 50 mg"
"107",1025,TRUE,3,"150, 9358, 9131","acetylsalicylic acid, caffeine, codeine","375 MG, 15 MG, 8 MG","ACETYLSALICYLIC ACID, CAFFEINE, CODEINE PHOSPHATE","acetylsalicylic acid, caffeine, codeine phosphate","acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg"
"108",1030,FALSE,1,"9267","imipramine hydrochloride","50 MG","IMIPRAMINE HYDROCHLORIDE","imipramine hydrochloride","imipramine hydrochloride 50 mg"
"109",1031,FALSE,1,"9267","imipramine hydrochloride","10 MG","IMIPRAMINE HYDROCHLORIDE","imipramine hydrochloride","imipramine hydrochloride 10 mg"
"110",1032,FALSE,1,"9267","imipramine hydrochloride","25 MG","IMIPRAMINE HYDROCHLORIDE","imipramine hydrochloride","imipramine hydrochloride 25 mg"
"111",1033,TRUE,1,"9880","metronidazole","250 MG","METRONIDAZOLE","metronidazole","metronidazole 250 mg"
"112",1036,TRUE,1,"10207","phenytoin sodium","30 MG","PHENYTOIN SODIUM","phenytoin sodium","phenytoin sodium 30 mg"
"113",1037,TRUE,1,"10207","phenytoin sodium","100 MG","PHENYTOIN SODIUM","phenytoin sodium","phenytoin sodium 100 mg"
"114",1062,FALSE,2,"8903, 4070","benzocaine, methyl heptyl colamino formylmethyl pyridinium chl","23 %, 0.1 %","BENZOCAINE, METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","benzocaine, methyl heptyl colamino formylmethyl pyridinium chl","benzocaine 23 % and methyl heptyl colamino formylmethyl pyridinium chl 0.1 %"
"115",1084,FALSE,1,"9062","acenocoumarol","4 MG","ACENOCOUMAROL","acenocoumarol","acenocoumarol 4 mg"
"116",1086,TRUE,1,"10209","phenytoin (base)","50 MG","PHENYTOIN","phenytoin","phenytoin 50 mg"
"117",1090,FALSE,1,"4161","bismuth dipropylacetate","135 MG","BISMUTH DIPROPYLACETATE","bismuth dipropylacetate","bismuth dipropylacetate 135 mg"
"118",1103,FALSE,4,"6995, 3989, 3510, 6572","chlorobutanol, dichlorobenzene, oil of turpentine, peanut oil","5 % per 11 ML, 2 % per 11 ML, 10 % per 11 ML, 57 % per 11 ML","CHLOROBUTANOL, DICHLOROBENZENE, OIL OF TURPENTINE, PEANUT OIL","chlorobutanol, dichlorobenzene, oil of turpentine, peanut oil","chlorobutanol 5 % per 11 mL and dichlorobenzene 2 % per 11 mL and oil of turpentine 10 % per 11 mL and peanut oil 57 % per 11 mL"
"119",1118,FALSE,1,"9062","acenocoumarol","1 MG","ACENOCOUMAROL","acenocoumarol","acenocoumarol 1 mg"
"120",1124,NA,1,"8450","NA","500 MG","AMPICILLIN TRIHYDRATE","NA","NA"
"121",1125,NA,1,"8450","NA","250 MG","AMPICILLIN TRIHYDRATE","NA","NA"
"122",1130,FALSE,1,"7626","methylprednisolone (methylprednisolone sodium succinate)","1 G per VIAL","METHYLPREDNISOLONE SODIUM SUCCINATE","methylprednisolone (methylprednisolone sodium succinate)","methylprednisolone (methylprednisolone sodium succinate) 1 g per vial"
"123",1132,FALSE,1,"7626","methylprednisolone (methylprednisolone sodium succinate)","500 MG per VIAL","METHYLPREDNISOLONE SODIUM SUCCINATE","methylprednisolone (methylprednisolone sodium succinate)","methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial"
"124",1134,FALSE,1,"7624","methylprednisolone acetate","40 MG per ML","METHYLPREDNISOLONE ACETATE","methylprednisolone acetate","methylprednisolone acetate 40 mg per mL"
"125",1147,TRUE,1,"7610","betamethasone (base)","0.1 %","BETAMETHASONE VALERATE","betamethasone (betamethasone valerate)","betamethasone (betamethasone valerate) 0.1 %"
"126",1172,NA,1,"20365","NA","0.5 %","PROXYMETACAINE HYDROCHLORIDE","NA","NA"
"127",1181,FALSE,1,"9547","mannitol","250 MG per ML","MANNITOL","mannitol","mannitol 250 mg per mL"
"128",1184,TRUE,1,"8376","cephalexin","125 MG per 5 ML","CEPHALEXIN","cephalexin","cephalexin 125 mg per 5 mL"
"129",1192,TRUE,1,"10128","azathioprine","50 MG","AZATHIOPRINE","azathioprine","azathioprine 50 mg"
"130",1193,NA,1,"10153","NA","2 MG","CHLORAMBUCIL","NA","NA"
"131",1195,NA,1,"9872","NA","2 MG","MELPHALAN","NA","NA"
"132",1201,FALSE,1,"12859","iothalamate meglumine","300 MG per ML","IOTHALAMATE MEGLUMINE","iothalamate meglumine","iothalamate meglumine 300 mg per mL"
"133",1212,TRUE,1,"8376","cephalexin","250 MG per 5 ML","CEPHALEXIN","cephalexin","cephalexin 250 mg per 5 mL"
"134",1214,FALSE,1,"11190","ketamine (ketamine hydrochloride)","10 MG per ML","KETAMINE HYDROCHLORIDE","ketamine (ketamine hydrochloride)","ketamine (ketamine hydrochloride) 10 mg per mL"
"135",1215,FALSE,1,"11190","ketamine (ketamine hydrochloride)","50 MG per ML","KETAMINE HYDROCHLORIDE","ketamine (ketamine hydrochloride)","ketamine (ketamine hydrochloride) 50 mg per mL"
"136",1225,TRUE,1,"8551","clindamycin","75 MG per 5 ML","CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE","clindamycin (clindamycin 2-palmitate hydrochloride)","clindamycin (clindamycin 2-palmitate hydrochloride) 75 mg per 5 mL"
"137",1233,TRUE,3,"150, 8231, 9358","acetylsalicylic acid, butalbital, caffeine","330 MG, 50 MG, 40 MG","ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE","acetylsalicylic acid, butalbital, caffeine","acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg"
"138",1235,FALSE,1,"2662","pitcher plant","100 %","PITCHER PLANT","pitcher plant","pitcher plant 100 %"
"139",1239,FALSE,1,"55","sodium chloride","9 MG per ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 9 mg per mL"
"140",1248,FALSE,2,"7145, 3836","cetrimonium bromide, disodium edetate","750 MG per 100 G, 15 G per 100 G","CETRIMONIUM BROMIDE, DISODIUM EDETATE","cetrimonium bromide, disodium edetate","cetrimonium bromide 750 mg per 100 g and disodium edetate 15 g per 100 g"
"141",1253,TRUE,1,"9412","nitroglycerin","0.6 MG","NITROGLYCERIN","nitroglycerin","nitroglycerin 0.6 mg"
"142",1254,TRUE,1,"9412","nitroglycerin","0.3 MG","NITROGLYCERIN","nitroglycerin","nitroglycerin 0.3 mg"
"143",1256,FALSE,1,"9782","dimenhydrinate","15 MG per 5 ML","DIMENHYDRINATE","dimenhydrinate","dimenhydrinate 15 mg per 5 mL"
"144",1263,TRUE,1,"10187","amitriptyline","50 MG","AMITRIPTYLINE HYDROCHLORIDE","amitriptyline hydrochloride","amitriptyline hydrochloride 50 mg"
"145",1264,TRUE,1,"10187","amitriptyline","25 MG","AMITRIPTYLINE HYDROCHLORIDE","amitriptyline hydrochloride","amitriptyline hydrochloride 25 mg"
"146",1265,TRUE,1,"10187","amitriptyline","10 MG","AMITRIPTYLINE HYDROCHLORIDE","amitriptyline hydrochloride","amitriptyline hydrochloride 10 mg"
"147",1275,TRUE,1,"7486","testosterone","200 MG per ML","TESTOSTERONE ENANTHATE","testosterone enanthate","testosterone enanthate 200 mg per mL"
"148",1281,FALSE,2,"720, 7140","magnesium hydroxide, mineral oil","60 MG per ML, 0.25 ML per ML","MAGNESIUM HYDROXIDE, MINERAL OIL","magnesium hydroxide, mineral oil","magnesium hydroxide 60 mg per mL and mineral oil 0.25 mL per mL"
"149",1285,TRUE,2,"7610, 8632","betamethasone (base), gentamicin (gentamicin sulfate)","1 MG per G, 1 MG per G","BETAMETHASONE VALERATE, GENTAMICIN SULFATE","betamethasone (betamethasone valerate), gentamicin (gentamicin sulfate)","betamethasone (betamethasone valerate) 1 mg per g and gentamicin (gentamicin sulfate) 1 mg per g"
