drug_code,drug_identification_number,mp_formal_name,ntp_formal_name,brand_name,descriptor,company_name
87360,02388030,COLD + SINUS DAYTIME COLD + SINUS NIGHTTIME (chlorpheniramine maleate 2 mg and ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet) VITA HEALTH PRODUCTS INC,chlorpheniramine maleate 2 mg and ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet,COLD + SINUS DAYTIME COLD + SINUS NIGHTTIME,NA,VITA HEALTH PRODUCTS INC
3374,00471526,DEMULEN 30 (28 DAY PACK) (ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC,ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet,DEMULEN 30 (28 DAY PACK),NA,PFIZER CANADA ULC
96881,02478080,SYMDEKO (ivacaftor 150 mg oral tablet with ivacaftor 150 mg and tezacaftor 100 mg oral tablet) VERTEX PHARMACEUTICALS (CANADA) INCORPORATED,ivacaftor 150 mg oral tablet with ivacaftor 150 mg and tezacaftor 100 mg oral tablet,SYMDEKO,YELLOW TABLET (TEZACAFTOR / IVACAFTOR) AND BLUE TABLET (IVACAFTOR),VERTEX PHARMACEUTICALS (CANADA) INCORPORATED
43151,02215136,SAIZEN (somatropin 3.3 mg per vial powder for solution for injection with diluent solution) EMD SERONO A DIVISION OF EMD INC CANADA,somatropin 3.3 mg per vial powder for solution for injection with diluent solution,SAIZEN 10IU  -  KIT,NA,EMD SERONO A DIVISION OF EMD INC CANADA
69080,02245076,DIMETAPP EXTRA STRENGTH DM COUGH & COLD (brompheniramine maleate 4 mg per 5 mL and dextromethorphan hydrobromide 20 mg per 5 mL and phenylephrine hydrochloride 10 mg per 5 mL oral solution) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC,brompheniramine maleate 4 mg per 5 mL and dextromethorphan hydrobromide 20 mg per 5 mL and phenylephrine hydrochloride 10 mg per 5 mL oral solution,DIMETAPP EXTRA STRENGTH DM COUGH & COLD,NA,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
87985,02394707,ROBITUSSIN CHILDREN'S COUGH & COLD BEDTIME (brompheniramine maleate 2 mg per 5 mL and dextromethorphan hydrobromide 10 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC,brompheniramine maleate 2 mg per 5 mL and dextromethorphan hydrobromide 10 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution,ROBITUSSIN CHILDREN'S COUGH & COLD BEDTIME,"DYE, ALCOHOL AND SUGAR FREE",GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
67912,02243969,DIMETAPP DM COUGH & COLD (brompheniramine maleate 2 mg per 5 mL and dextromethorphan hydrobromide 10 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC,brompheniramine maleate 2 mg per 5 mL and dextromethorphan hydrobromide 10 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution,DIMETAPP DM COUGH & COLD,"DYE, SUCROSE AND ALCOHOL FREE",GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
69079,02245075,DIMETAPP EXTRA STRENGTH (brompheniramine maleate 4 mg per 5 mL and phenylephrine hydrochloride 10 mg per 5 mL oral solution) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC,brompheniramine maleate 4 mg per 5 mL and phenylephrine hydrochloride 10 mg per 5 mL oral solution,DIMETAPP EXTRA STRENGTH,NA,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
87984,02394693,ROBITUSSIN CHILDREN'S COLD (brompheniramine maleate 2 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC,brompheniramine maleate 2 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution,ROBITUSSIN CHILDREN'S COLD,"DYE, ALCOHOL, AND SUGAR FREE",GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
67924,02243980,DIMETAPP (brompheniramine maleate 2 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC,brompheniramine maleate 2 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution,DIMETAPP,SUCROSE FREE,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
14551,02044013,ROBITUSSIN CHILDREN'S COUGH AND COLD (dextromethorphan hydrobromide 7.5 mg per 5 mL and pseudoephedrine hydrochloride 15 mg per 5 mL syrup) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC,dextromethorphan hydrobromide 7.5 mg per 5 mL and pseudoephedrine hydrochloride 15 mg per 5 mL syrup,ROBITUSSIN CHILDREN'S COUGH AND COLD,SUGAR AND ALCOHOL FREE,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
92086,02436523,"FERRIPROX (deferiprone 500 mg per 5 mL oral solution) APOPHARMA, A DIVISION OF APOTEX INC.",deferiprone 500 mg per 5 mL oral solution,FERRIPROX,NA,CHIESI CANADA CORP.
88048,02395371,CINRYZE (C1 esterase inhibitor human 500 unit per vial powder for solution for injection with diluent solution) VIROPHARMA BIOLOGICS INC,C1 esterase inhibitor human 500 unit per vial powder for solution for injection with diluent solution,CINRYZE,SINGLE-USE VIALS,VIROPHARMA BIOLOGICS LLC
77675,02291371,"ROBITUSSIN TOTAL COUGH, COLD & FLU NIGHTTIME EXTRA STRENGTH (acetaminophen 1000 mg per 30 mL and chlorpheniramine maleate 4 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL and pseudoephedrine hydrochloride 60 mg per 30 mL oral solution) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC",acetaminophen 1000 mg per 30 mL and chlorpheniramine maleate 4 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL and pseudoephedrine hydrochloride 60 mg per 30 mL oral solution,"ROBITUSSIN TOTAL COUGH, COLD & FLU NIGHTTIME EXTRA STRENGTH",NA,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
77674,02291363,"ROBITUSSIN TOTAL COUGH, COLD & FLU (acetaminophen 650 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL and pseudoephedrine hydrochloride 30 mg per 30 mL oral solution) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC",acetaminophen 650 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL and pseudoephedrine hydrochloride 30 mg per 30 mL oral solution,"ROBITUSSIN TOTAL COUGH, COLD & FLU",NA,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
12967,01946897,PMS DEXAMETHASONE ELIXIR 0.5MG/5ML (dexamethasone 0.5 mg per 5 mL oral solution) PHARMASCIENCE INC,dexamethasone 0.5 mg per 5 mL oral solution,PMS-DEXAMETHASONE ELIXIR,NA,PHARMASCIENCE INC
46885,01914022,UROCIT-K (potassium citrate 5 mEq prolonged-release oral tablet) MISSION PHARMACAL COMPANY,potassium citrate 5 mEq prolonged-release oral tablet,UROCIT K,NA,MISSION PHARMACAL COMPANY
91971,02435381,SPIRIVA RESPIMAT (tiotropium (tiotropium bromide monohydrate) 2.5 mcg per actuation inhalation solution) BOEHRINGER INGELHEIM (CANADA) LTD LTEE,tiotropium (tiotropium bromide) 2.5 mcg per actuation inhalation solution,SPIRIVA RESPIMAT,FOR ORAL INHALATION WITH RESPIMAT INHALER ONLY. 5µG/DOSE,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
90364,02419106,COMBIVENT RESPIMAT (ipratropium bromide (ipratropium bromide monohydrate) 20 mcg per actuation and salbutamol (salbutamol sulfate) 100 mcg per actuation inhalation solution) BOEHRINGER INGELHEIM (CANADA) LTD LTEE,ipratropium bromide 20 mcg per actuation and salbutamol (salbutamol sulfate) 100 mcg per actuation inhalation solution,COMBIVENT RESPIMAT,FOR ORAL INHALATION. FOR USE ONLY WITH COMBIVENT RESPIMAT INHALER,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
92626,02441888,INSPIOLTO RESPIMAT (olodaterol (olodaterol hydrochloride) 2.5 mcg per actuation and tiotropium (tiotropium bromide monohydrate) 2.5 mcg per actuation inhalation solution) BOEHRINGER INGELHEIM (CANADA) LTD LTEE,olodaterol (olodaterol hydrochloride) 2.5 mcg per actuation and tiotropium (tiotropium bromide) 2.5 mcg per actuation inhalation solution,INSPIOLTO RESPIMAT,FOR ORAL INHALATION. WITH INSPIOLTO RESPIMAT INHALER,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
95852,02469707,RODAN+FIELDS SPOTLESS (benzoyl peroxide 5 % cutaneous cream with benzoyl peroxide 2.5 % lotion) RODAN & FIELDS LLC,benzoyl peroxide 5 % cutaneous cream with benzoyl peroxide 2.5 % lotion,RODAN+FIELDS SPOTLESS,NA,RODAN & FIELDS LLC
97576,02485524,ROBITUSSIN EXTRA STRENGTH HONEY COUGH & CONGESTION (dextromethorphan hydrobromide 5 mg per 5 mL and guaifenesin 100 mg per 5 mL syrup) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC,dextromethorphan hydrobromide 5 mg per 5 mL and guaifenesin 100 mg per 5 mL syrup,ROBITUSSIN EXTRA STRENGTH HONEY COUGH & CONGESTION,NA,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.
