"ntp_code","ntp_en_description","ntp_fr_description","ntp_formal_name","ntp_status","ntp_type","ntp_status_effective_time"
"9000025","NA","NA","spironolactone 25 mg oral tablet","Active","NA","19591231"
"9000024","NA","NA","prednisone 5 mg oral tablet","Active","NA","19591231"
"9000026","NA","NA","medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial","Active","NA","19601231"
"9009869","NA","NA","hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet","Active","NA","19601231"
"9000028","NA","NA","norethindrone acetate 5 mg oral tablet","Active","NA","19611231"
"9000027","NA","NA","medroxyprogesterone acetate 5 mg oral tablet","Active","NA","19611231"
"9000029","NA","NA","hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection","Active","NA","19621231"
"9000031","NA","NA","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet","Active","NA","19641231"
"9000032","NA","NA","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet","Active","NA","19641231"
"9000035","NA","NA","nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","Active","NA","19651231"
"9001616","NA","NA","phenobarbital 5 mg per mL oral solution","Active","NA","19651231"
"9000033","NA","NA","amitriptyline hydrochloride 10 mg oral tablet","Active","NA","19651231"
"9000034","NA","NA","nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","Active","NA","19651231"
"9001611","NA","NA","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection","Active","NA","19651231"
"9000041","NA","NA","triamcinolone acetonide 50 mg per 5 mL suspension for injection vial","Active","NA","19661231"
"9000038","NA","NA","hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection","Active","NA","19661231"
"9000039","NA","NA","quinine sulfate 200 mg oral capsule","Active","NA","19661231"
"9000040","NA","NA","quinine sulfate 300 mg oral capsule","Active","NA","19661231"
"9012368","NA","NA","ephedrine sulfate 50 mg per 1 mL solution for injection ampoule","Active","NA","19661231"
"9000036","NA","NA","azathioprine 50 mg oral tablet","Active","NA","19661231"
"9000042","NA","NA","hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection","Active","NA","19671231"
"9000045","NA","NA","phenytoin 30 mg per 5 mL oral suspension","Active","NA","19681231"
"9000043","NA","NA","hydrochlorothiazide 25 mg oral tablet","Active","NA","19681231"
"9000044","NA","NA","hydrochlorothiazide 50 mg oral tablet","Active","NA","19681231"
"9009370","NA","NA","ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection","Active","NA","19681231"
"9000047","NA","NA","carbamazepine 200 mg oral tablet","Active","NA","19691231"
"9000046","NA","NA","amitriptyline hydrochloride 50 mg oral tablet","Active","NA","19691231"
"9000051","NA","NA","pentazocine (pentazocine hydrochloride) 50 mg oral tablet","Active","NA","19701231"
"9000050","NA","NA","metronidazole 10 % vaginal cream","Active","NA","19701231"
"9000559","NA","NA","cephalexin 125 mg per 5 mL oral suspension","Active","NA","19711231"
"9000560","NA","NA","cephalexin 250 mg per 5 mL oral suspension","Active","NA","19711231"
"9000055","NA","NA","metronidazole 250 mg oral tablet","Active","NA","19711231"
"9000054","NA","NA","lithium carbonate 300 mg oral capsule","Active","NA","19711231"
"9000057","NA","NA","cephalexin 500 mg oral tablet","Active","NA","19721231"
"9010874","NA","NA","nitroglycerin 0.3 mg sublingual tablet","Active","NA","19721231"
"9000056","NA","NA","amitriptyline hydrochloride 25 mg oral tablet","Active","NA","19721231"
"9000062","NA","NA","norethindrone 0.35 mg oral tablet","Active","NA","19721231"
"9010878","NA","NA","nitroglycerin 0.6 mg sublingual tablet","Active","NA","19721231"
"9000063","NA","NA","prednisone 50 mg oral tablet","Active","NA","19721231"
"9000059","NA","NA","ibuprofen 200 mg oral tablet","Active","NA","19721231"
"9000070","NA","NA","oxycodone hydrochloride 20 mg suppository","Active","NA","19731231"
"9000069","NA","NA","oxycodone hydrochloride 10 mg suppository","Active","NA","19731231"
"9000072","NA","NA","triamcinolone acetonide 40 mg per 1 mL suspension for injection vial","Active","NA","19731231"
"9000068","NA","NA","erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension","Active","NA","19731231"
"9000071","NA","NA","triamcinolone acetonide 200 mg per 5 mL suspension for injection vial","Active","NA","19731231"
"9000073","NA","NA","allopurinol 300 mg oral tablet","Active","NA","19741231"
"9009393","NA","NA","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet","Active","NA","19741231"
"9000080","NA","NA","nitrofurantoin 50 mg oral tablet","Active","NA","19741231"
"9000074","NA","NA","colchicine 0.6 mg oral tablet","Active","NA","19741231"
"9000079","NA","NA","nitrofurantoin 100 mg oral tablet","Active","NA","19741231"
"9009390","NA","NA","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet","Active","NA","19741231"
"9000078","NA","NA","levothyroxine sodium 150 mcg oral tablet","Active","NA","19741231"
"9009388","NA","NA","ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet","Active","NA","19741231"
"9000082","NA","NA","prednisolone acetate 1 % ophthalmic drops","Active","NA","19741231"
"9001711","NA","NA","chlorpropamide 250 mg oral tablet","Active","NA","19741231"
"9000081","NA","NA","prednisolone acetate 0.12 % ophthalmic drops","Active","NA","19741231"
"9000075","NA","NA","diazepam 5 mg oral tablet","Active","NA","19741231"
"9000089","NA","NA","folic acid 25 mg oral tablet","Active","NA","19751231"
"9000084","NA","NA","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet","Active","NA","19751231"
"9000090","NA","NA","spironolactone 100 mg oral tablet","Active","NA","19751231"
"9009378","NA","NA","ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet","Active","NA","19751231"
"9000085","NA","NA","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet","Active","NA","19751231"
"9000083","NA","NA","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet","Active","NA","19751231"
"9000087","NA","NA","carbidopa 25 mg and levodopa 250 mg oral tablet","Active","NA","19751231"
"9009379","NA","NA","ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet","Active","NA","19751231"
"9001745","NA","NA","tolbutamide 500 mg oral tablet","Active","NA","19751231"
"9000086","NA","NA","betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream","Active","NA","19751231"
"9001764","NA","NA","methyldopa 250 mg oral tablet","Active","NA","19761231"
"9000091","NA","NA","betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment","Active","NA","19761231"
"9009614","NA","NA","furosemide 20 mg oral tablet","Active","NA","19761231"
"9009619","NA","NA","furosemide 40 mg oral tablet","Active","NA","19761231"
"9008378","NA","NA","chlorthalidone 50 mg oral tablet","Active","NA","19761231"
"9009389","NA","NA","ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet","Active","NA","19761231"
"9000098","NA","NA","clonazepam 2 mg oral tablet","Active","NA","19771231"
"9000097","NA","NA","clonazepam 0.5 mg oral tablet","Active","NA","19771231"
"9000100","NA","NA","metoprolol tartrate 100 mg oral tablet","Active","NA","19771231"
"9000096","NA","NA","cephalexin 250 mg oral tablet","Active","NA","19771231"
"9000101","NA","NA","metoprolol tartrate 50 mg oral tablet","Active","NA","19771231"
"9000094","NA","NA","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet","Active","NA","19771231"
"9001778","NA","NA","chlorpropamide 100 mg oral tablet","Active","NA","19771231"
"9000095","NA","NA","betamethasone (betamethasone dipropionate) 0.05 % lotion","Active","NA","19771231"
"9000112","NA","NA","prednisone 1 mg oral tablet","Active","NA","19781231"
"9000111","NA","NA","morphine sulfate 15 mg per 1 mL solution for injection ampoule","Active","NA","19781231"
"9001813","NA","NA","methyldopa 500 mg oral tablet","Active","NA","19781231"
"9000105","NA","NA","benztropine mesylate 2 mg oral tablet","Active","NA","19781231"
"9000109","NA","NA","folic acid 5 mg oral tablet","Active","NA","19781231"
"9006199","NA","NA","codeine phosphate 10 mg per 5 mL oral solution","Active","NA","19781231"
"9000107","NA","NA","codeine phosphate 30 mg per 1 mL solution for injection ampoule","Active","NA","19781231"
"9000104","NA","NA","baclofen 10 mg oral tablet","Active","NA","19781231"
"9011414","NA","NA","pindolol 10 mg oral tablet","Active","NA","19781231"
"9011416","NA","NA","pindolol 5 mg oral tablet","Active","NA","19781231"
"9000103","NA","NA","acetaminophen 300 mg and codeine phosphate 60 mg oral tablet","Active","NA","19781231"
"9000299","NA","NA","morphine sulfate 10 mg per 1 mL solution for injection ampoule","Active","NA","19781231"
"9000108","NA","NA","diazepam 10 mg oral tablet","Active","NA","19781231"
"9011415","NA","NA","pindolol 15 mg oral tablet","Active","NA","19781231"
"9000131","NA","NA","metronidazole 500 mg oral capsule","Active","NA","19791231"
"9007158","NA","NA","amoxicillin 250 mg oral capsule","Active","NA","19791231"
"9000143","NA","NA","triamcinolone acetonide 0.1 % cutaneous cream","Active","NA","19791231"
"9000127","NA","NA","cephalexin 500 mg oral capsule","Active","NA","19791231"
"9000133","NA","NA","nystatin 100000 unit per g cutaneous ointment","Active","NA","19791231"
"9007164","NA","NA","amoxicillin 500 mg oral capsule","Active","NA","19791231"
"9000136","NA","NA","oxazepam 15 mg oral tablet","Active","NA","19791231"
"9000121","NA","NA","betamethasone (betamethasone valerate) 0.1 % lotion","Active","NA","19791231"
"9000123","NA","NA","calcitriol 0.25 mcg oral capsule","Active","NA","19791231"
"9000126","NA","NA","cephalexin 250 mg oral capsule","Active","NA","19791231"
"9000163","NA","NA","betamethasone (betamethasone valerate) 0.1 % cutaneous cream","Active","NA","19791231"
"9000134","NA","NA","nystatin 25000 unit per g vaginal cream","Active","NA","19791231"
"9001863","NA","NA","theophylline 80 mg per 15 mL oral solution","Active","NA","19791231"
"9000135","NA","NA","oxazepam 10 mg oral tablet","Active","NA","19791231"
"9000128","NA","NA","diazepam 2 mg oral tablet","Active","NA","19791231"
"9000137","NA","NA","oxazepam 30 mg oral tablet","Active","NA","19791231"
"9001852","NA","NA","metronidazole 500 mg and nystatin 100000 unit pessary","Active","NA","19791231"
"9000130","NA","NA","lithium carbonate 150 mg oral capsule","Active","NA","19791231"
"9000120","NA","NA","betamethasone (betamethasone valerate) 0.05 % cutaneous ointment","Active","NA","19791231"
"9000119","NA","NA","betamethasone (betamethasone valerate) 0.05 % cutaneous cream","Active","NA","19791231"
"9000132","NA","NA","nystatin 100000 unit per g cutaneous cream","Active","NA","19791231"
"9007160","NA","NA","amoxicillin 250 mg per 5 mL oral suspension","Active","NA","19791231"
"9007154","NA","NA","amoxicillin 125 mg per 5 mL oral suspension","Active","NA","19791231"
"9000124","NA","NA","calcitriol 0.5 mcg oral capsule","Active","NA","19791231"
"9000114","NA","NA","amitriptyline hydrochloride 75 mg oral tablet","Active","NA","19791231"
"9000141","NA","NA","timolol (timolol maleate) 0.5 % ophthalmic drops","Active","NA","19791231"
"9001866","NA","NA","methyldopa 125 mg oral tablet","Active","NA","19800402"
"9001893","NA","NA","nitrazepam 5 mg oral tablet","Active","NA","19801231"
"9000152","NA","NA","indomethacin 50 mg oral capsule","Active","NA","19801231"
"9000153","NA","NA","oxycodone hydrochloride 10 mg oral tablet","Active","NA","19801231"
"9009397","NA","NA","ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet","Active","NA","19801231"
"9000150","NA","NA","haloperidol 1 mg oral tablet","Active","NA","19801231"
"9010664","NA","NA","minoxidil 2.5 mg oral tablet","Active","NA","19801231"
"9010663","NA","NA","minoxidil 10 mg oral tablet","Active","NA","19801231"
"9000151","NA","NA","indomethacin 25 mg oral capsule","Active","NA","19801231"
"9000146","NA","NA","diclofenac sodium 50 mg gastro-resistant tablet","Active","NA","19801231"
"9001299","NA","NA","epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe","Active","NA","19801231"
"9000144","NA","NA","carbidopa 25 mg and levodopa 100 mg oral tablet","Active","NA","19801231"
"9009394","NA","NA","ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet","Active","NA","19801231"
"9001892","NA","NA","nitrazepam 10 mg oral tablet","Active","NA","19801231"
"9000156","NA","NA","propranolol hydrochloride 80 mg oral tablet","Active","NA","19801231"
"9000154","NA","NA","propranolol hydrochloride 10 mg oral tablet","Active","NA","19801231"
"9000158","NA","NA","temazepam 30 mg oral capsule","Active","NA","19801231"
"9001477","NA","NA","diazepam 10 mg per 2 mL solution for injection ampoule","Active","NA","19801231"
"9000155","NA","NA","propranolol hydrochloride 40 mg oral tablet","Active","NA","19801231"
"9000149","NA","NA","haloperidol 0.5 mg oral tablet","Active","NA","19801231"
"9000157","NA","NA","temazepam 15 mg oral capsule","Active","NA","19801231"
"9000164","NA","NA","bromazepam 3 mg oral tablet","Active","NA","19811231"
"9000162","NA","NA","alprazolam 0.5 mg oral tablet","Active","NA","19811231"
"9000159","NA","NA","allopurinol 100 mg oral tablet","Active","NA","19811231"
"9012367","NA","NA","aminophylline 250 mg per 10 mL solution for injection vial","Active","NA","19811231"
"9001909","NA","NA","guaifenesin 50 mg per 5 mL and oxtriphylline 100 mg per 5 mL oral solution","Active","NA","19811231"
"9000168","NA","NA","flurazepam hydrochloride 15 mg oral capsule","Active","NA","19811231"
"9009621","NA","NA","furosemide 40 mg per 4 mL solution for injection ampoule","Active","NA","19811231"
"9000165","NA","NA","bromazepam 6 mg oral tablet","Active","NA","19811231"
"9009615","NA","NA","furosemide 20 mg per 2 mL solution for injection ampoule","Active","NA","19811231"
"9000160","NA","NA","allopurinol 200 mg oral tablet","Active","NA","19811231"
"9000167","NA","NA","erythromycin (erythromycin stearate) 250 mg oral tablet","Active","NA","19811231"
"9000169","NA","NA","flurazepam hydrochloride 30 mg oral capsule","Active","NA","19811231"
"9000172","NA","NA","hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet","Active","NA","19811231"
"9000161","NA","NA","alprazolam 0.25 mg oral tablet","Active","NA","19811231"
"9000174","NA","NA","acyclovir 5 % cutaneous ointment","Active","NA","19821231"
"9000178","NA","NA","naproxen 125 mg oral tablet","Active","NA","19821231"
"9001927","NA","NA","acetaminophen 325 mg and codeine phosphate 8 mg and doxylamine succinate 5 mg oral tablet","Active","NA","19821231"
"9001942","NA","NA","isosorbide dinitrate 10 mg oral tablet","Active","NA","19821231"
"9001947","NA","NA","nabilone 1 mg oral capsule","Active","NA","19821231"
"9000179","NA","NA","naproxen 250 mg oral tablet","Active","NA","19821231"
"9001943","NA","NA","isosorbide dinitrate 30 mg oral tablet","Active","NA","19821231"
"9000177","NA","NA","indapamide 2.5 mg oral tablet","Active","NA","19821231"
"9000192","NA","NA","naproxen 375 mg oral tablet","Active","NA","19831231"
"9009865","NA","NA","hydrochlorothiazide 25 mg and pindolol 10 mg oral tablet","Active","NA","19831231"
"9000191","NA","NA","metoprolol tartrate 200 mg prolonged-release oral tablet","Active","NA","19831231"
"9009877","NA","NA","hydrochlorothiazide 50 mg and spironolactone 50 mg oral tablet","Active","NA","19831231"
"9011505","NA","NA","prazosin (prazosin hydrochloride) 2 mg oral tablet","Active","NA","19831231"
"9000188","NA","NA","hydrocortisone acetate 10 % rectal foam","Active","NA","19831231"
"9000181","NA","NA","codeine phosphate 15 mg oral tablet","Active","NA","19831231"
"9006201","NA","NA","alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup","Active","NA","19831231"
"9000190","NA","NA","ibuprofen 400 mg oral tablet","Active","NA","19831231"
"9000184","NA","NA","erythromycin 250 mg gastro-resistant capsule","Active","NA","19831231"
"9000193","NA","NA","naproxen 500 mg oral tablet","Active","NA","19831231"
"9000189","NA","NA","ibuprofen 300 mg oral tablet","Active","NA","19831231"
"9011506","NA","NA","prazosin (prazosin hydrochloride) 5 mg oral tablet","Active","NA","19831231"
"9009876","NA","NA","hydrochlorothiazide 50 mg and pindolol 10 mg oral tablet","Active","NA","19831231"
"9000182","NA","NA","codeine phosphate 30 mg oral tablet","Active","NA","19831231"
"9011504","NA","NA","prazosin (prazosin hydrochloride) 1 mg oral tablet","Active","NA","19831231"
"9000187","NA","NA","hydrocortisone 2.5 % cutaneous cream","Active","NA","19831231"
"9000195","NA","NA","acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet","Active","NA","19841231"
"9012370","NA","NA","aminophylline 500 mg per 10 mL solution for injection vial","Active","NA","19841231"
"9000208","NA","NA","methylphenidate hydrochloride 20 mg prolonged-release oral tablet","Active","NA","19841231"
"9000194","NA","NA","acetaminophen 300 mg and codeine phosphate 30 mg oral tablet","Active","NA","19841231"
"9000212","NA","NA","morphine sulfate 5 mg per mL syrup","Active","NA","19841231"
"9000207","NA","NA","ibuprofen 600 mg oral tablet","Active","NA","19841231"
"9000215","NA","NA","valproic acid (divalproex sodium) 250 mg gastro-resistant tablet","Active","NA","19841231"
"9000200","NA","NA","haloperidol 5 mg oral tablet","Active","NA","19841231"
"9000211","NA","NA","morphine sulfate 20 mg per mL oral drops","Active","NA","19841231"
"9000216","NA","NA","valproic acid (divalproex sodium) 500 mg gastro-resistant tablet","Active","NA","19841231"
"9000210","NA","NA","morphine sulfate 1 mg per mL syrup","Active","NA","19841231"
"9000214","NA","NA","valproic acid (divalproex sodium) 125 mg gastro-resistant tablet","Active","NA","19841231"
"9000199","NA","NA","fusidic acid 2 % cutaneous cream","Active","NA","19841231"
"9002020","NA","NA","fusidate sodium 2 % cutaneous ointment","Active","NA","19841231"
"9000209","NA","NA","morphine hydrochloride 1 mg per mL syrup","Active","NA","19841231"
"9000213","NA","NA","procyclidine hydrochloride 2.5 mg per 5 mL oral solution","Active","NA","19841231"
"9001298","NA","NA","epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe","Active","NA","19841231"
"9000225","NA","NA","lorazepam 1 mg oral tablet","Active","NA","19851231"
"9000221","NA","NA","diclofenac sodium 100 mg prolonged-release oral tablet","Active","NA","19851231"
"9000222","NA","NA","diclofenac sodium 100 mg suppository","Active","NA","19851231"
"9000230","NA","NA","morphine sulfate 10 mg suppository","Active","NA","19851231"
"9000238","NA","NA","procyclidine hydrochloride 2.5 mg oral tablet","Active","NA","19851231"
"9000231","NA","NA","morphine sulfate 20 mg suppository","Active","NA","19851231"
"9006206","NA","NA","penicillin v potassium 300 mg oral tablet","Active","NA","19851231"
"9002048","NA","NA","isosorbide dinitrate 5 mg sublingual tablet","Active","NA","19851231"
"9010881","NA","NA","nitroglycerin 2 % cutaneous ointment","Active","NA","19851231"
"9000232","NA","NA","morphine sulfate 25 mg oral tablet","Active","NA","19851231"
"9000239","NA","NA","procyclidine hydrochloride 5 mg oral tablet","Active","NA","19851231"
"9000227","NA","NA","metoprolol tartrate 100 mg prolonged-release oral tablet","Active","NA","19851231"
"9000228","NA","NA","morphine hydrochloride 5 mg per mL syrup","Active","NA","19851231"
"9000223","NA","NA","diclofenac sodium 50 mg suppository","Active","NA","19851231"
"9000226","NA","NA","lorazepam 2 mg oral tablet","Active","NA","19851231"
"9000219","NA","NA","carbamazepine 100 mg chewable tablet","Active","NA","19851231"
"9000220","NA","NA","carbamazepine 200 mg chewable tablet","Active","NA","19851231"
"9000229","NA","NA","morphine sulfate 10 mg oral tablet","Active","NA","19851231"
"9000224","NA","NA","lorazepam 0.5 mg oral tablet","Active","NA","19851231"
"9000218","NA","NA","baclofen 20 mg oral tablet","Active","NA","19851231"
"9000233","NA","NA","morphine sulfate 5 mg oral tablet","Active","NA","19851231"
"9006207","NA","NA","codeine phosphate 25 mg per 5 mL syrup","Active","NA","19861218"
"9000250","NA","NA","glyburide 5 mg oral tablet","Active","NA","19861231"
"9000241","NA","NA","acebutolol (acebutolol hydrochloride) 100 mg oral tablet","Active","NA","19861231"
"9002060","NA","NA","acetaminophen 500 mg and caffeine 65 mg oral tablet","Active","NA","19861231"
"9000258","NA","NA","morphine hydrochloride 10 mg per mL syrup","Active","NA","19861231"
"9000251","NA","NA","haloperidol 10 mg oral tablet","Active","NA","19861231"
"9000243","NA","NA","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet","Active","NA","19861231"
"9010195","NA","NA","lactulose 667 mg per mL oral solution","Active","NA","19861231"
"9000255","NA","NA","hydroxyzine hydrochloride 25 mg oral capsule","Active","NA","19861231"
"9000242","NA","NA","acebutolol (acebutolol hydrochloride) 200 mg oral tablet","Active","NA","19861231"
"9000254","NA","NA","hydroxyzine hydrochloride 10 mg oral capsule","Active","NA","19861231"
"9000246","NA","NA","erythromycin 250 mg oral tablet","Active","NA","19861231"
"9000265","NA","NA","propranolol hydrochloride 20 mg oral tablet","Active","NA","19861231"
"9000244","NA","NA","betamethasone (betamethasone valerate) 0.05 % lotion","Active","NA","19861231"
"9000264","NA","NA","morphine sulfate 50 mg per mL oral drops","Active","NA","19861231"
"9000262","NA","NA","morphine sulfate 30 mg per 30 mL solution for injection vial","Active","NA","19861231"
"9006208","NA","NA","meperidine hydrochloride 10 mg per mL solution for injection 30 mL vial","Active","NA","19861231"
"9000263","NA","NA","morphine sulfate 50 mg oral tablet","Active","NA","19861231"
"9010665","NA","NA","minoxidil 20 mg per mL cutaneous solution","Active","NA","19861231"
"9000256","NA","NA","hydroxyzine hydrochloride 50 mg oral capsule","Active","NA","19861231"
"9000252","NA","NA","haloperidol 2 mg oral tablet","Active","NA","19861231"
"9000260","NA","NA","morphine sulfate 150 mg per 30 mL solution for injection vial","Active","NA","19861231"
"9000259","NA","NA","morphine hydrochloride 20 mg per mL syrup","Active","NA","19861231"
"9000248","NA","NA","erythromycin (erythromycin stearate) 500 mg oral tablet","Active","NA","19861231"
"9009625","NA","NA","furosemide 80 mg oral tablet","Active","NA","19861231"
"9000280","NA","NA","morphine sulfate 10 mg per mL syrup","Active","NA","19871231"
"9000268","NA","NA","doxycycline (doxycycline hyclate) 100 mg oral capsule","Active","NA","19871231"
"9006214","NA","NA","morphine sulfate 50 mg per mL solution for injection 50 mL vial","Active","NA","19871231"
"9006212","NA","NA","morphine sulfate 500 mg per 10 mL solution for injection vial","Active","NA","19871231"
"9006213","NA","NA","morphine sulfate 50 mg per 1 mL solution for injection vial","Active","NA","19871231"
"9002118","NA","NA","theophylline 600 mg prolonged-release oral tablet","Active","NA","19871231"
"9009386","NA","NA","ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet","Active","Comb","19871231"
"9000279","NA","NA","metronidazole 500 mg per 100 mL solution for injection bag","Active","NA","19871231"
"9000272","NA","NA","epinephrine 1 mg per 10 mL solution for injection syringe","Active","NA","19871231"
"9009387","NA","NA","ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet with lactose oral tablet","Active","Comb","19871231"
"9000282","NA","NA","ranitidine (ranitidine hydrochloride) 150 mg oral tablet","Active","NA","19871231"
"9000278","NA","NA","metoprolol tartrate 5 mg per 5 mL solution for injection ampoule","Active","NA","19871231"
"9000275","NA","NA","medroxyprogesterone acetate 10 mg oral tablet","Active","NA","19871231"
"9000266","NA","NA","acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet","Active","NA","19871231"
"9000274","NA","NA","hydroxyzine hydrochloride 50 mg per 1 mL solution for injection vial","Active","NA","19871231"
"9002117","NA","NA","theophylline 400 mg prolonged-release oral tablet","Active","NA","19871231"
"9000283","NA","NA","ranitidine (ranitidine hydrochloride) 300 mg oral tablet","Active","NA","19871231"
"9000267","NA","NA","benztropine mesylate 1 mg oral tablet","Active","NA","19871231"
"9006548","NA","NA","meperidine hydrochloride 50 mg per 1 mL solution for injection ampoule","Active","NA","19871231"
"9002103","NA","NA","cyproterone acetate 50 mg oral tablet","Active","NA","19871231"
"9006211","NA","NA","morphine sulfate 250 mg per 5 mL solution for injection vial","Active","NA","19871231"
"9000291","NA","NA","diltiazem hydrochloride 30 mg oral tablet","Active","NA","19881231"
"9010783","NA","NA","nadolol 40 mg oral tablet","Active","NA","19881231"
"9000285","NA","NA","atenolol 100 mg oral tablet","Active","NA","19881231"
"9000288","NA","NA","carbamazepine 200 mg prolonged-release oral tablet","Active","NA","19881231"
"9000308","NA","NA","timolol (timolol maleate) 0.25 % ophthalmic drops","Active","NA","19881231"
"9000301","NA","NA","nifedipine 10 mg oral capsule","Active","NA","19881231"
