"mp_code","mp_formal_name","mp_en_description","mp_fr_description","mp_status","mp_status_effective_time","mp_type","Health_Canada_identifier","Health_Canada_description"
"00021695","TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19671231","DIN","00021695",""
"00022772","DILANTIN (phenytoin sodium 30 mg oral capsule) PFIZER CANADA INC",NA,NA,"active","19511231","DIN","00022772",""
"00022780","DILANTIN (phenytoin sodium 100 mg oral capsule) PFIZER CANADA INC",NA,NA,"active","19511231","DIN","00022780",""
"00023442","DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) PFIZER CANADA INC",NA,NA,"active","19681231","DIN","00023442",""
"00023450","DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) PFIZER CANADA INC",NA,NA,"active","19531231","DIN","00023450",""
"00023698","DILANTIN INFATABS (phenytoin 50 mg oral tablet) PFIZER CANADA INC",NA,NA,"active","19521231","DIN","00023698",""
"00023760","NORLUTATE (norethindrone acetate 5 mg oral tablet) ERFA CANADA 2012 INC",NA,NA,"active","19611231","DIN","00023760",""
"00024694","ATARAX SYRUP 2MG/ML (hydroxyzine hydrochloride 10 mg per 5 mL syrup) ERFA CANADA 2012 INC",NA,NA,"active","19561231","DIN","00024694",""
"00028096","CELESTONE SOLUSPAN (betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection) MERCK CANADA INC",NA,NA,"active","19651231","DIN","00028096",""
"00028606","ALDACTONE 25 MG (spironolactone 25 mg oral tablet) PFIZER CANADA INC",NA,NA,"active","19591231","DIN","00028606",""
"00030600","SOLU-CORTEF 100 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection) PFIZER CANADA INC",NA,NA,"active","19581231","DIN","00030600",""
"00030619","SOLU-CORTEF 250 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection) PFIZER CANADA INC",NA,NA,"active","19621231","DIN","00030619",""
"00030627","SOLU-CORTEF 500 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection) PFIZER CANADA INC",NA,NA,"active","19661231","DIN","00030627",""
"00030635","SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection) PFIZER CANADA INC",NA,NA,"active","19671231","DIN","00030635",""
"00030848","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial) PFIZER CANADA INC",NA,NA,"active","19601231","DIN","00030848",""
"00030910","CORTEF TABLETS 10MG (hydrocortisone 10 mg oral tablet) PFIZER CANADA INC",NA,NA,"active","19541231","DIN","00030910",""
"00030929","CORTEF TABLETS 20 MG (hydrocortisone 20 mg oral tablet) PFIZER CANADA INC",NA,NA,"active","19541231","DIN","00030929",""
"00030937","PROVERA 5MG TABLETS (medroxyprogesterone acetate 5 mg oral tablet) PFIZER CANADA INC",NA,NA,"active","19611231","DIN","00030937",""
"00035645","KEFLEX (cephalexin 250 mg per 5 mL oral suspension) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA,"active","19711231","DIN","00035645",""
"00037400","NOVO-TRIPTYN TAB 10MG (amitriptyline hydrochloride 10 mg oral tablet) NOVOPHARM LIMITED",NA,NA,"inactive","20170801","DIN","00037400",""
"00037419","NOVO-TRIPTYN TAB 25MG (amitriptyline hydrochloride 25 mg oral tablet) NOVOPHARM LIMITED",NA,NA,"inactive","20170801","DIN","00037419",""
"00037427","NOVO-TRIPTYN TAB 50MG (amitriptyline hydrochloride 50 mg oral tablet) NOVOPHARM LIMITED",NA,NA,"inactive","20170801","DIN","00037427",""
"00037435","NOVO-PHENYTOIN CAP 100MG (phenytoin sodium 100 mg oral capsule) NOVOPHARM LIMITED",NA,NA,"inactive","20170801","DIN","00037435",""
"00037605","MICRONOR TABLETS 28-DAY (norethindrone 0.35 mg oral tablet) JANSSEN INC",NA,NA,"active","19721231","DIN","00037605",""
"00037613","NITROSTAT (nitroglycerin 0.3 mg sublingual tablet) PFIZER CANADA INC",NA,NA,"active","19721231","DIN","00037613",""
"00037621","NITROSTAT (nitroglycerin 0.6 mg sublingual tablet) PFIZER CANADA INC",NA,NA,"active","19721231","DIN","00037621",""
"00050024","CODEINE PHOSPHATE SYRUP (codeine phosphate 25 mg per 5 mL syrup) LABORATOIRE ATLAS INC",NA,NA,"active","19861218","DIN","00050024",""
"00156876","PREDNISONE TAB 5MG (prednisone 5 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19591231","DIN","00156876",""
"00176141","BELLERGAL SPACETABS (belladonna 0.2 mg and ergotamine tartrate 0.6 mg and phenobarbital 40 mg prolonged-release oral tablet) PALADIN LABS INC",NA,NA,"active","19590101","DIN","00176141",""
"00180408","ALDACTAZIDE 25 (hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet) PFIZER CANADA INC",NA,NA,"active","19601231","DIN","00180408",""
"00232378","TEVA-PREDNISONE (prednisone 50 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19721231","DIN","00232378",""
"00236683","CARBOLITH CAP 300MG (lithium carbonate 300 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.",NA,NA,"active","19711231","DIN","00236683",""
"00244392","KEFLEX (cephalexin (cephalexin monohydrate) 500 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA,"inactive","20170803","DIN","00244392",""
"00262595","NOVO-RYTHRO ESTOLATE SUSPENSION (erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension) TEVA CANADA LIMITED",NA,NA,"active","19731231","DIN","00262595",""
"00263893","UROZIDE (hydrochlorothiazide 25 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00263893",""
"00263907","UROZIDE (hydrochlorothiazide 50 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00263907",""
"00265470","C.E.S. TABLETS (conjugated estrogens 0.625 mg oral tablet) VALEANT CANADA LP/VALEANT CANADA S.E.C.",NA,NA,"inactive","20170727","DIN","00265470",""
"00268313","SODIUM EDECRIN (ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection) VALEANT CANADA LP/VALEANT CANADA S.E.C.",NA,NA,"active","19681231","DIN","00268313",""
"00271152","LEVATE (amitriptyline hydrochloride 50 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00271152",""
"00271373","WINPRED TAB 1MG (prednisone 1 mg oral tablet) AA PHARMA INC",NA,NA,"active","19781231","DIN","00271373",""
"00285455","ALDACTONE 100 MG (spironolactone 100 mg oral tablet) PFIZER CANADA INC",NA,NA,"active","19751231","DIN","00285455",""
"00287873","SANDOZ COLCHICINE (colchicine 0.6 mg oral tablet) SANDOZ CANADA INCORPORATED",NA,NA,"active","19741231","DIN","00287873",""
"00293490","ATASOL 8 (acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet) CHURCH & DWIGHT CANADA CORP",NA,NA,"active","19751231","DIN","00293490",""
"00293504","ATASOL 15 (acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet) CHURCH & DWIGHT CANADA CORP",NA,NA,"active","19751231","DIN","00293504",""
"00293512","ATASOL 30 (acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet) CHURCH & DWIGHT CANADA CORP",NA,NA,"active","19751231","DIN","00293512",""
"00293911","LEVATE (amitriptyline hydrochloride 10 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00293911",""
"00294322","ALLOPURINOL (allopurinol 300 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00294322",""
"00297143","LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet) WARNER CHILCOTT CANADA CO",NA,NA,"active","19741231","DIN","00297143","21 DAY PACK"
"00299405","PRED MILD 0.12% (prednisolone acetate 0.12 % ophthalmic drops) ALLERGAN INC",NA,NA,"active","19741231","DIN","00299405",""
"00301175","PRED FORTE (prednisolone acetate 1 % ophthalmic drops) ALLERGAN INC",NA,NA,"active","19741231","DIN","00301175","DROPS"
"00306320","LEVATE (amitriptyline hydrochloride 25 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00306320",""
"00312711","APO CHLORPROPAMIDE TAB 250MG (chlorpropamide 250 mg oral tablet) APOTEX INC",NA,NA,"active","19741231","DIN","00312711",""
"00312738","NITROFURANTOIN (nitrofurantoin 100 mg oral tablet) AA PHARMA INC",NA,NA,"active","19741231","DIN","00312738",""
"00312762","TOLBUTAMIDE (tolbutamide 500 mg oral tablet) AA PHARMA INC",NA,NA,"active","19751231","DIN","00312762",""
"00312770","APO PREDNISONE TAB 5MG (prednisone 5 mg oral tablet) APOTEX INC",NA,NA,"active","19821231","DIN","00312770",""
"00312800","APO HYDRO TAB 50MG (hydrochlorothiazide 50 mg oral tablet) APOTEX INC",NA,NA,"active","19741231","DIN","00312800",""
"00313580","DIAZEPAM 5 TAB (diazepam 5 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19741231","DIN","00313580",""
"00315966","MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet) WARNER CHILCOTT CANADA CO",NA,NA,"active","19751231","DIN","00315966","21 DAY PACK"
"00317047","ORTHO 0.5/35 TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet) JANSSEN INC",NA,NA,"active","20170928","DIN","00317047",""
"00319511","NITROFURANTOIN (nitrofurantoin 50 mg oral tablet) AA PHARMA INC",NA,NA,"active","19741231","DIN","00319511",""
"00323071","DIPROSONE CREAM (betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream) MERCK CANADA INC",NA,NA,"active","19751231","DIN","00323071",""
"00326844","APO HYDRO TAB 25MG (hydrochlorothiazide 25 mg oral tablet) APOTEX INC",NA,NA,"active","19751231","DIN","00326844",""
"00328219","SINEMET 250/25 (carbidopa 25 mg and levodopa 250 mg oral tablet) MERCK CANADA INC",NA,NA,"active","19751231","DIN","00328219",""
"00335053","ELAVIL (amitriptyline hydrochloride 10 mg oral tablet) AA PHARMA INC",NA,NA,"active","19751231","DIN","00335053",""
"00335061","ELAVIL (amitriptyline hydrochloride 25 mg oral tablet) AA PHARMA INC",NA,NA,"active","19751231","DIN","00335061",""
"00335088","ELAVIL (amitriptyline hydrochloride 50 mg oral tablet) AA PHARMA INC",NA,NA,"active","19751231","DIN","00335088",""
"00337420","TEVA-INDOMETHACIN (indomethacin 25 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"active","19801231","DIN","00337420",""
"00337439","TEVA-INDOMETHACIN (indomethacin 50 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"active","19801231","DIN","00337439",""
"00337730","TEVA-FUROSEMIDE (furosemide 20 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19761231","DIN","00337730",""
"00337749","TEVA-FUROSEMIDE (furosemide 40 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19761231","DIN","00337749",""
"00340731","ORTHO 0.5/35 TABLETS (28 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet) JANSSEN INC",NA,NA,"active","20170901","DIN","00340731",""
"00341975","HYDROCHLOROTHIAZIDE TAB 25MG (hydrochlorothiazide 25 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19751231","DIN","00341975",""
"00342084","TEVA-CEPHALEXIN (cephalexin (cephalexin monohydrate) 250 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"active","19791231","DIN","00342084",""
"00342092","TEVA-CEPHALEXIN 250 (cephalexin (cephalexin monohydrate) 250 mg per 5 mL oral suspension) TEVA CANADA LIMITED",NA,NA,"active","19821231","DIN","00342092",""
"00342106","TEVA-CEPHALEXIN 125 (cephalexin (cephalexin monohydrate) 125 mg per 5 mL oral suspension) TEVA CANADA LIMITED",NA,NA,"active","19821231","DIN","00342106",""
"00342114","TEVA-CEPHALEXIN (cephalexin (cephalexin monohydrate) 500 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"active","19791231","DIN","00342114",""
"00343838","MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO",NA,NA,"active","19751231","DIN","00343838","28 DAY PACK"
"00344923","DIPROSONE OINTMENT (betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment) MERCK CANADA INC",NA,NA,"active","19761231","DIN","00344923",""
"00353027","LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO",NA,NA,"active","19761231","DIN","00353027","28 DAY PACK"
"00360279","CHLORTHALIDONE (chlorthalidone 50 mg oral tablet) AA PHARMA INC",NA,NA,"active","19761231","DIN","00360279",""
"00360287","APO CHLORTHALIDONE TAB 100MG (chlorthalidone 100 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00360287",""
"00362158","APO DIAZEPAM TAB 5MG (diazepam 5 mg oral tablet) APOTEX INC",NA,NA,"active","19771231","DIN","00362158",""
"00362166","APO FUROSEMIDE TAB 40MG (furosemide 40 mg oral tablet) APOTEX INC",NA,NA,"active","19761231","DIN","00362166",""
"00363650","TEVA-HALOPERIDOL (haloperidol 5 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19841231","DIN","00363650",""
"00363669","TEVA-HALOPERIDOL (haloperidol 2 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19861231","DIN","00363669",""
"00363677","TEVA-HALOPERIDOL (haloperidol 1 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19861231","DIN","00363677",""
"00363685","TEVA-HALOPERIDOL (haloperidol 0.5 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19861231","DIN","00363685",""
"00369810","TEGRETOL CHEWTABS 100 MG (carbamazepine 100 mg chewable tablet) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA,"active","20170927","DIN","00369810",""
"00370991","AMITRIPTYLINE-10 (amitriptyline hydrochloride 10 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19761231","DIN","00370991",""
"00371009","AMITRIPTYLINE-25 (amitriptyline hydrochloride 25 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19761231","DIN","00371009",""
"00372838","ORTHO 1/35 TABLETS (28 DAY) ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC",NA,NA,"active","20170901","DIN","00372838",""
"00372846","ORTHO 1/35 TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) JANSSEN INC",NA,NA,"active","20170929","DIN","00372846",""
"00380571","LINCTUS CODEINE BLANC (codeine phosphate 10 mg per 5 mL oral solution) LABORATOIRE ATLAS INC",NA,NA,"active","19781231","DIN","00380571",""
"00382825","RIVOTRIL 0.5TAB (clonazepam 0.5 mg oral tablet) HOFFMANN-LA ROCHE LIMITED",NA,NA,"active","19771231","DIN","00382825",""
"00382841","RIVOTRIL 2TAB (clonazepam 2 mg oral tablet) HOFFMANN-LA ROCHE LIMITED",NA,NA,"active","19771231","DIN","00382841",""
"00391603","NOVO-PEN VK SYR 500000/5ML (penicillin v potassium 300 mg per 5 mL powder for oral solution) NOVOPHARM LIMITED",NA,NA,"inactive","20170801","DIN","00391603",""
"00392472","SUPEUDOL 20 (oxycodone hydrochloride 20 mg suppository) SANDOZ CANADA INCORPORATED",NA,NA,"active","19731231","DIN","00392472",""
"00392480","SUPEUDOL 10 (oxycodone hydrochloride 10 mg suppository) SANDOZ CANADA INCORPORATED",NA,NA,"active","19731231","DIN","00392480",""
"00396788","APO FUROSEMIDE TAB 20MG (furosemide 20 mg oral tablet) APOTEX INC",NA,NA,"active","19771231","DIN","00396788",""
"00396796","APO HALOPERIDOL TAB 0.5MG (haloperidol 0.5 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00396796",""
"00396818","APO HALOPERIDOL TAB 1MG (haloperidol 1 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00396818",""
"00396826","APO-HALOPERIDOL TAB 2MG (haloperidol 2 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00396826",""
"00396834","APO-HALOPERIDOL TAB 5MG (haloperidol 5 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00396834",""
"00397423","LOPRESOR 50MG (metoprolol tartrate 50 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA,"active","19771231","DIN","00397423",""
"00397431","LOPRESOR 100MG (metoprolol tartrate 100 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA,"active","19771231","DIN","00397431",""
"00397792","FUROSEMIDE 40MG (furosemide 40 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19771231","DIN","00397792",""
"00399302","APO CHLORPROPAMIDE TAB 100MG (chlorpropamide 100 mg oral tablet) APOTEX INC",NA,NA,"active","19771231","DIN","00399302",""
"00401633","FUROSEMIDE SPECIAL (furosemide 250 mg per 25 mL solution for injection 25 mL vial) SANDOZ CANADA INCORPORATED",NA,NA,"active","19911231","DIN","00401633",""
"00402680","APO OXAZEPAM TAB 10MG (oxazepam 10 mg oral tablet) APOTEX INC",NA,NA,"active","19791231","DIN","00402680",""
"00402699","APO CARBAMAZEPINE TAB 200MG (carbamazepine 200 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00402699",""
"00402737","APO OXAZEPAM TAB 30MG (oxazepam 30 mg oral tablet) APOTEX INC",NA,NA,"active","19791231","DIN","00402737",""
"00402745","APO OXAZEPAM TAB 15MG (oxazepam 15 mg oral tablet) APOTEX INC",NA,NA,"active","19791231","DIN","00402745",""
"00402753","APO PROPRANOLOL TAB 40MG (propranolol hydrochloride 40 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00402753",""
"00402761","APO PROPRANOLOL TAB 80MG (propranolol hydrochloride 80 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00402761",""
"00402788","APO PROPRANOLOL TAB 10MG (propranolol hydrochloride 10 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00402788",""
"00402796","ZYLOPRIM (allopurinol 300 mg oral tablet) AA PHARMA INC",NA,NA,"active","19811231","DIN","00402796",""
"00402818","ZYLOPRIM (allopurinol 100 mg oral tablet) AA PHARMA INC",NA,NA,"active","19811231","DIN","00402818",""
"00403628","KEFLEX (cephalexin (cephalexin monohydrate) 250 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA,"inactive","20170803","DIN","00403628",""
"00405329","APO DIAZEPAM TAB 2MG (diazepam 2 mg oral tablet) APOTEX INC",NA,NA,"active","19791231","DIN","00405329",""
"00405337","APO DIAZEPAM TAB 10MG (diazepam 10 mg oral tablet) APOTEX INC",NA,NA,"active","19791231","DIN","00405337",""
"00405612","LEVATE (amitriptyline hydrochloride 75 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00405612",""
"00405620","UROZIDE (hydrochlorothiazide 100 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00405620",""
"00406716","NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 500 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"active","19791231","DIN","00406716",""
"00406724","NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 250 mg oral capsule) TEVA CANADA LIMITED",NA,NA,"active","19791231","DIN","00406724",""
"00406775","LITHANE (lithium carbonate 300 mg oral capsule) ERFA CANADA 2012 INC",NA,NA,"active","19791231","DIN","00406775",""
"00414220","SOM-PAM (flurazepam hydrochloride 15 mg oral capsule) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00414220",""
"00414239","SOM-PAM (flurazepam hydrochloride 30 mg oral capsule) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00414239",""
"00414247","OXPAM (oxazepam 10 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00414247",""
"00414255","OXPAM (oxazepam 15 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00414255",""
"00414263","OXPAM (oxazepam 30 mg oral tablet) BIOMED PHARMA",NA,NA,"inactive","20170804","DIN","00414263",""
"00417246","DIPROSONE LOTION (betamethasone (betamethasone dipropionate) 0.05 % lotion) MERCK CANADA INC",NA,NA,"active","19771231","DIN","00417246",""
"00417270","VISKEN (pindolol 5 mg oral tablet) TRIBUTE PHARMACEUTICALS CANADA INC",NA,NA,"active","19781231","DIN","00417270",""
"00417289","VISKEN (pindolol 15 mg oral tablet) TRIBUTE PHARMACEUTICALS CANADA INC",NA,NA,"active","20170713","DIN","00417289",""
"00426857","PDP-BENZTROPINE (benztropine mesylate 2 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA,"active","19781231","DIN","00426857",""
"00434388","DIAZEPAM 10TAB 10MG (diazepam 10 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","20170726","DIN","00434388",""
"00441643","APO-IBUPROFEN TAB 200MG (ibuprofen 200 mg oral tablet) APOTEX INC",NA,NA,"active","19841231","DIN","00441643",""
"00441651","APO IBUPROFEN TAB 300MG (ibuprofen 300 mg oral tablet) APOTEX INC",NA,NA,"active","19831231","DIN","00441651",""
"00441686","ISDN (isosorbide dinitrate 10 mg oral tablet) AA PHARMA INC",NA,NA,"active","19821231","DIN","00441686",""
"00441694","ISDN (isosorbide dinitrate 30 mg oral tablet) AA PHARMA INC",NA,NA,"active","19821231","DIN","00441694",""
"00441775","APO TRIAZIDE (hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet) APOTEX INC",NA,NA,"active","19841231","DIN","00441775",""
"00443174","VISKEN (pindolol 10 mg oral tablet) TRIBUTE PHARMACEUTICALS CANADA INC",NA,NA,"active","19781231","DIN","00443174",""
"00443948","SUPEUDOL 10 (oxycodone hydrochloride 10 mg oral tablet) SANDOZ CANADA INCORPORATED",NA,NA,"active","19801231","DIN","00443948",""
"00451207","TIMOPTIC (timolol (timolol maleate) 0.5 % ophthalmic drops) PURDUE PHARMA",NA,NA,"active","19791231","DIN","00451207",""
"00452130","NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) TEVA CANADA LIMITED",NA,NA,"active","19791231","DIN","00452130",""
"00452149","NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) TEVA CANADA LIMITED",NA,NA,"active","19791231","DIN","00452149",""
"00455881","LIORESAL TAB 10MG (baclofen 10 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA,"active","19781231","DIN","00455881",""
"00456349","AMITRIPTYLINE-50 (amitriptyline hydrochloride 50 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19781231","DIN","00456349",""
"00461733","CARBOLITH CAP 150MG (lithium carbonate 150 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.",NA,NA,"active","19791231","DIN","00461733",""
"00463698","APO-HALOPERIDOL TAB 10MG (haloperidol 10 mg oral tablet) APOTEX INC",NA,NA,"inactive","20170804","DIN","00463698",""
"00479799","ZYLOPRIM (allopurinol 200 mg oral tablet) AA PHARMA INC",NA,NA,"active","19811231","DIN","00479799",""
"00481815","ROCALTROL CAP 0.5MCG (calcitriol 0.5 mcg oral capsule) HOFFMANN-LA ROCHE LIMITED",NA,NA,"active","19791231","DIN","00481815",""
"00481823","ROCALTROL CAP 0.25MCG (calcitriol 0.25 mcg oral capsule) HOFFMANN-LA ROCHE LIMITED",NA,NA,"active","19791231","DIN","00481823",""
"00496480","TEVA-PROPRANOLOL (propranolol hydrochloride 10 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19811231","DIN","00496480",""
"00496499","TEVA-PROPRANOLOL (propranolol hydrochloride 40 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19811231","DIN","00496499",""
"00496502","TEVA-PROPRANOLOL (propranolol hydrochloride 80 mg oral tablet) TEVA CANADA LIMITED",NA,NA,"active","19811231","DIN","00496502",""
"00496723","FUROSEMIDE 20 TAB (furosemide 20 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19801231","DIN","00496723",""
"00497282","CODEINE PHOSPHATE INJ 30MG/ML (codeine phosphate 30 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive","20170728","DIN","00497282",""
"00497290","CODEINE PHOSPHATE INJ 60MG/ML (codeine phosphate 60 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive","20170728","DIN","00497290",""
"00497754","OXAZEPAM 10 TAB 10MG (oxazepam 10 mg oral tablet) PRO DOC LIMITEE",NA,NA,"active","19801231","DIN","00497754",""
