"drug_code","unit_of_presentation","uop_size","uop_unit_of_measure","calculation","V6","V7","V8"
86845,"vial",5,"mL","Y",NA,NA,NA
86845,"vial",50,"mL","N",NA,NA,NA
94804,"ampoule",1,"mL","Y",NA,NA,NA
94804,"ampoule",10,"mL","Y",NA,NA,NA
68787,"vial",10,"mL","N",NA,NA,NA
5937,"ampoule",1,"mL","Y",NA,NA,NA
18315,"ampoule",1,"mL","Y",NA,NA,NA
94803,"ampoule",1,"mL","Y",NA,NA,NA
18324,"vial",1,"mL","Y",NA,NA,NA
18324,"vial",5,"mL","Y",NA,NA,NA
18324,"vial",10,"mL","Y",NA,NA,NA
18324,"vial",50,"mL","N",NA,NA,NA
44090,"ampoule",1,"mL","Y",NA,NA,NA
63447,"vial",1,"mL","Y",NA,NA,NA
68945,"vial",1,"mL","Y",NA,NA,NA
68945,"vial",2,"mL","Y",NA,NA,NA
87600,"vial",1,"mL","Y",NA,NA,NA
92801,"vial",1,"mL","Y",NA,NA,NA
67933,"vial",1,"mL","Y",NA,NA,NA
92310,"vial",1,"mL","Y",NA,NA,NA
67176,"vial",1,"mL","Y",NA,NA,NA
87417,"vial",1,"mL","Y",NA,NA,NA
19667,"vial",1,"mL","Y",NA,NA,NA
80771,"vial",1,"mL","Y",NA,NA,NA
441,"vial",5,"mL","Y",NA,NA,NA
19409,"vial",2,"mL","Y",NA,NA,NA
19409,"vial",10,"mL","Y",NA,NA,NA
19409,"vial",30,"mL","Y",NA,NA,NA
67481,"vial",2,"mL","Y",NA,NA,NA
67481,"vial",10,"mL","Y",NA,NA,NA
67481,"vial",30,"mL","Y",NA,NA,NA
7357,"ampoule",5,"mL","Y",NA,NA,NA
75326,"vial",5,"mL","Y",NA,NA,NA
7425,"bag",100,"mL","Y",NA,NA,NA
10871,"bag",100,"mL","Y",NA,NA,NA
10871,"bag",300,"mL","Y",NA,NA,NA
10705,"vial",10,"mL","Y",NA,NA,NA
10706,"vial",10,"mL","Y",NA,NA,NA
12697,"ampoule",2,"mL","Y",NA,NA,NA
12697,"ampoule",5,"mL","Y",NA,NA,NA
13063,"vial",2,"mL","Y",NA,NA,NA
13063,"vial",5,"mL","Y",NA,NA,NA
9398,"ampoule",2,"mL","Y",NA,NA,NA
9398,"ampoule",5,"mL","Y",NA,NA,NA
91579,"vial",2,"mL","Y",NA,NA,NA
91579,"vial",5,"mL","Y",NA,NA,NA
43094,"vial",2,"mL","Y",NA,NA,NA
74194,"vial",2,"mL","Y",NA,NA,NA
43104,"ampoule",5,"mL","Y",NA,NA,NA
43078,"syringe",0.5,"mL","N",NA,NA,NA
84675,"syringe",0.5,"mL","N",NA,NA,NA
1398,"vial",10,"mL","Y",NA,NA,NA
13410,"ampoule",2,"mL","Y",NA,NA,NA
1275,"ampoule",5,"mL","Y",NA,NA,NA
15482,"vial",5,"mL","Y",NA,NA,NA
15481,"vial",1,"mL","Y",NA,NA,NA
15481,"vial",5,"mL","Y",NA,NA,NA
85366,"vial",1,"mL","Y",NA,NA,NA
17234,"vial",2,"mL","Y",NA,NA,NA
17234,"vial",4,"mL","Y",NA,NA,NA
17234,"ampoule",4,"mL","Y",NA,NA,NA
18614,"vial",2,"mL","Y",NA,NA,NA
89326,"bag",50,"mL","Y",NA,NA,NA
1620,"vial",2,"mL","Y",NA,NA,NA
1620,"vial",4,"mL","Y",NA,NA,NA
1620,"vial",6,"mL","Y",NA,NA,NA
1620,"vial",60,"mL","Y",NA,NA,NA
18964,"vial",2,"mL","Y",NA,NA,NA
18964,"vial",4,"mL","Y",NA,NA,NA
18964,"vial",6,"mL","Y",NA,NA,NA
18964,"vial",60,"mL","Y",NA,NA,NA
87133,"vial",2,"mL","Y",NA,NA,NA
87133,"vial",4,"mL","Y",NA,NA,NA
87133,"vial",6,"mL","Y",NA,NA,NA
89327,"bag",50,"mL","Y",NA,NA,NA
940,"ampoule",1,"mL","Y",NA,NA,NA
940,"ampoule",30,"mL","Y",NA,NA,NA
8352,"syringe",10,"mL","Y",NA,NA,NA
79244,"syringe",0.3,"mL","N",NA,NA,NA
79245,"syringe",0.3,"mL","N",NA,NA,NA
5970,"syringe",0.3,"mL","N",NA,NA,NA
91538,"syringe",0.3,"mL","N",NA,NA,NA
9164,"ampoule",1,"mL","Y",NA,NA,NA
3883,"syringe",0.3,"mL","N",NA,NA,NA
81063,"ampoule",1,"mL","Y",NA,NA,NA
91537,"syringe",0.3,"mL","N",NA,NA,NA
92016,"ampoule",1,"mL","Y",NA,NA,NA
44261,"vial",2,"mL","Y",NA,NA,NA
80550,"syringe",1,"mL","N",NA,NA,NA
80551,"syringe",1.5,"mL","N",NA,NA,NA
80549,"syringe",0.75,"mL","N",NA,NA,NA
94145,"syringe",0.35,"mL","N",NA,NA,NA
94163,"syringe",0.4,"mL","N",NA,NA,NA
94146,"syringe",0.45,"mL","N",NA,NA,NA
94164,"syringe",0.5,"mL","N",NA,NA,NA
19681,"vial",2,"mL","Y",NA,NA,NA
19681,"vial",20,"mL","Y",NA,NA,NA
19681,"vial",40,"mL","Y",NA,NA,NA
42844,"vial",20,"mL","Y",NA,NA,NA
44262,"vial",2,"mL","Y",NA,NA,NA
44264,"vial",40,"mL","Y",NA,NA,NA
88338,"vial",2,"mL","Y",NA,NA,NA
88338,"vial",20,"mL","Y",NA,NA,NA
90222,"vial",2,"mL","Y",NA,NA,NA
90222,"vial",40,"mL","Y",NA,NA,NA
90372,"vial",2,"mL","Y",NA,NA,NA
90372,"vial",40,"mL","Y",NA,NA,NA
90688,"syringe",0.4,"mL","N",NA,NA,NA
90689,"syringe",0.6,"mL","N",NA,NA,NA
90690,"syringe",0.8,"mL","N",NA,NA,NA
81253,"vial",2,"mL","Y",NA,NA,NA
81253,"vial",20,"mL","Y",NA,NA,NA
81253,"vial",40,"mL","Y",NA,NA,NA
90691,"syringe",1,"mL","N",NA,NA,NA
90687,"syringe",0.3,"mL","N",NA,NA,NA
12968,"ampoule",10,"mL","Y",NA,NA,NA
13966,"ampoule",10,"mL","Y",NA,NA,NA
6871,"vial",30,"mL","Y",NA,NA,NA
12728,"ampoule",5,"mL","Y",NA,NA,NA
14020,"ampoule",5,"mL","Y",NA,NA,NA
12991,"ampoule",1,"mL","Y",NA,NA,NA
86878,"ampoule",1,"mL","Y",NA,NA,NA
86878,"ampoule",5,"mL","Y",NA,NA,NA
12992,"ampoule",1,"mL","Y",NA,NA,NA
3042,"ampoule",1,"mL","Y",NA,NA,NA
12990,"ampoule",1,"mL","Y",NA,NA,NA
12701,"ampoule",1,"mL","Y",NA,NA,NA
12701,"ampoule",4,"mL","Y",NA,NA,NA
7136,"vial",30,"mL","Y",NA,NA,NA
12702,"ampoule",1,"mL","Y",NA,NA,NA
12702,"vial",20,"mL","N",NA,NA,NA
12702,"vial",50,"mL","N",NA,NA,NA
43511,"unit dose vial",2,"mL","Y",NA,NA,NA
13191,"unit dose vial",2,"mL","Y",NA,NA,NA
13190,"unit dose vial",2,"mL","Y",NA,NA,NA
19761,"unit dose vial",2.5,"mL","Y",NA,NA,NA
60224,"unit dose vial",2.5,"mL","Y",NA,NA,NA
62834,"unit dose vial",2.5,"mL","Y",NA,NA,NA
67769,"unit dose vial",2.5,"mL","Y",NA,NA,NA
13550,"unit dose vial",2.5,"mL","Y",NA,NA,NA
13668,"bottle",10,"mL","N",NA,NA,NA
19763,"unit dose vial",2.5,"mL","Y",NA,NA,NA
50819,"unit dose vial",2.5,"mL","Y",NA,NA,NA
43194,"unit dose vial",2.5,"mL","Y",NA,NA,NA
60225,"unit dose vial",2.5,"mL","Y",NA,NA,NA
43100,"unit dose vial",2.5,"mL","N",NA,NA,NA
19058,"unit dose vial",2.5,"mL","Y",NA,NA,NA
19762,"unit dose vial",2.5,"mL","Y",NA,NA,NA
51054,"unit dose vial",2.5,"mL","Y",NA,NA,NA
60226,"unit dose vial",2.5,"mL","Y",NA,NA,NA
62835,"unit dose vial",2.5,"mL","Y",NA,NA,NA
43101,"unit dose vial",2.5,"mL","N",NA,NA,NA
10391,"bottle",10,"mL","N",NA,NA,NA
16521,"bottle",10,"mL","N",NA,NA,NA
16452,"bottle",10,"mL","N",NA,NA,NA
43108,"bottle",10,"mL","N",NA,NA,NA
68321,"cartridge",3,"mL","N",NA,NA,NA
69441,"vial",10,"mL","N",NA,NA,NA
86282,"cartridge",3,"mL","N",NA,NA,NA
94775,"vial",10,"mL","N",NA,NA,NA
94776,"cartridge",3,"mL","N",NA,NA,NA
94777,"pen",3,"mL","N",NA,NA,NA
75736,"cartridge",3,"mL","N",NA,NA,NA
89748,"pen",3,"mL","N",NA,NA,NA
92621,"pen",1.5,"mL","N",NA,NA,NA
12570,"cartridge",3,"mL","N",NA,NA,NA
14261,"vial",10,"mL","N",NA,NA,NA
14266,"cartridge",3,"mL","N",NA,NA,NA
88825,"pen",3,"mL","N",NA,NA,NA
47871,"vial",10,"mL","N",NA,NA,NA
47872,"cartridge",3,"mL","N",NA,NA,NA
88822,"pen",3,"mL","N",NA,NA,NA
92402,"pen",3,"mL","N",NA,NA,NA
5326,"vial",10,"mL","N",NA,NA,NA
61553,"tube",0.5,"mL","Y",NA,NA,NA
61553,"tube",1,"mL","Y",NA,NA,NA
61553,"tube",1.5,"mL","Y",NA,NA,NA
61553,"tube",3,"mL","Y",NA,NA,NA
61553,"tube",4,"mL","Y",NA,NA,NA
69384,"sachet",2.5,"g","N",NA,NA,NA
69385,"sachet",5,"g","N",NA,NA,NA
11011,"vial",10,"mL","Y",NA,NA,NA
74553,"vial",10,"mL","Y",NA,NA,NA
9613,"vial",5,"mL","Y",NA,NA,NA
10312,"vial",10,"mL","Y",NA,NA,NA
31358,"vial",10,"mL","Y",NA,NA,NA
8118,"vial",1,"mL","Y",NA,NA,NA
50516,"vial",10,"mL","Y",NA,NA,NA
16848,"vial",10,"mL","Y",NA,NA,NA
93234,"vial",10,"mL","Y",NA,NA,NA
43431,"ampoule",1,"mL","Y",NA,NA,NA
70198,"vial",10,"mL","Y",NA,NA,NA
11224,"vial",10,"mL","Y",NA,NA,NA
13414,"vial",10,"mL","Y",NA,NA,NA
47450,"vial",5,"mL","Y",NA,NA,NA
13998,"vial",5,"mL","Y",NA,NA,NA
47461,"vial",5,"mL","Y",NA,NA,NA
35794,"vial",1,"mL","Y",NA,NA,NA
44212,"ampoule",1,"mL","Y",NA,NA,NA
82711,"vial",12.5,"mL","Y",NA,NA,NA
4703,"ampoule",5,"mL","Y",NA,NA,NA
36481,"vial",1,"mL","Y",NA,NA,NA
36481,"vial",10,"mL","Y",NA,NA,NA
6593,"vial",5,"mL","Y",NA,NA,NA
13255,"vial",5,"mL","Y",NA,NA,NA
36480,"vial",1,"mL","Y",NA,NA,NA
87333,"vial",1,"mL","Y",NA,NA,NA
12208,"vial",1,"mL","Y",NA,NA,NA
18325,"vial",1,"mL","Y",NA,NA,NA
18325,"vial",5,"mL","Y",NA,NA,NA
18325,"vial",50,"mL","Y",NA,NA,NA
86244,"vial",4,"mL","Y",NA,NA,NA
86244,"vial",8,"mL","Y",NA,NA,NA
6872,"vial",30,"mL","N",NA,NA,NA
65676,"vial",20,"mL","N",NA,NA,NA
31288,"vial",50,"mL","N",NA,NA,NA
49612,"vial",60,"mL","N",NA,NA,NA
49612,"vial",120,"mL","N",NA,NA,NA
49605,"vial",2,"mL","Y",NA,NA,NA
49605,"vial",4,"mL","Y",NA,NA,NA
49605,"vial",6,"mL","Y",NA,NA,NA
13077,"vial",5,"mL","Y",NA,NA,NA
13077,"vial",10,"mL","Y",NA,NA,NA
13077,"vial",50,"mL","N",NA,NA,NA
31285,"vial",5,"mL","Y",NA,NA,NA
31285,"vial",50,"mL","N",NA,NA,NA
3043,"ampoule",1,"ml","Y",NA,NA,NA
13078,"vial",1,"ml","Y",NA,NA,NA
13078,"vial",50,"mL","N",NA,NA,NA
31286,"vial",50,"mL","N",NA,NA,NA
66221,"vial",1,"ml","Y",NA,NA,NA
6690,"ampoule",1,"ml","Y",NA,NA,NA
6690,"ampoule",4,"ml","Y",NA,NA,NA
13079,"vial",30,"mL","N",NA,NA,NA
7421,"vial",1,"ml","Y",NA,NA,NA
7421,"vial",5,"mL","Y",NA,NA,NA
7421,"vial",10,"mL","Y",NA,NA,NA
7421,"vial",50,"mL","N",NA,NA,NA
70586,"bag",250,"mL","N",NA,NA,NA
70586,"bottle",250,"mL","N",NA,NA,NA
91749,"bag",250,"mL","N",NA,NA,NA
65646,"ampoule",1,"mL","Y",NA,NA,NA
10954,"bottle",100,"mL","Y",NA,NA,NA
74685,"bag",100,"mL","Y",NA,NA,NA
74685,"bag",200,"mL","Y",NA,NA,NA
87397,"bottle",100,"mL","Y",NA,NA,NA
51066,"vial",20,"mL","Y",NA,NA,NA
87646,"vial",20,"mL","Y",NA,NA,NA
87304,"vial",20,"mL","Y",NA,NA,NA
87304,"vial",40,"mL","Y",NA,NA,NA
42910,"vial",10,"mL","Y",NA,NA,NA
79483,"bag",250,"mL","N",NA,NA,NA
65675,"ampoule",1,"mL","Y",NA,NA,NA
8487,"ampoule",1,"mL","Y",NA,NA,NA
65673,"ampoule",1,"mL","Y",NA,NA,NA
8121,"ampoule",1,"mL","Y",NA,NA,NA
65674,"ampoule",1,"mL","Y",NA,NA,NA
8120,"ampoule",1,"mL","Y",NA,NA,NA
4226,"vial",10,"mL","Y",NA,NA,NA
5705,"vial",10,"mL","Y",NA,NA,NA
5704,"vial",10,"mL","Y",NA,NA,NA
94330,"vial",10,"mL","Y",NA,NA,NA
12237,"vial",1,"mL","Y",NA,NA,NA
