"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status"
"approved",97761,23201,"RISANKIZUMAB","90","MG","NEW"
"approved",97762,22944,"FOLLITROPIN DELTA","12","MCG","ADDED"
"approved",97763,22944,"FOLLITROPIN DELTA","36","MCG","ADDED"
"approved",97764,22944,"FOLLITROPIN DELTA","72","MCG","ADDED"
"approved",97769,197,"BENZALKONIUM CHLORIDE","0.1212","%","ADDED"
"approved",97769,2218,"OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","0.0909","%","ADDED"
"approved",97769,2232,"DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.0364","%","ADDED"
"approved",97769,2730,"DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.0545","%","ADDED"
"approved",97770,197,"BENZALKONIUM CHLORIDE","0.1212","%","ADDED"
"approved",97770,2218,"OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","0.0909","%","ADDED"
"approved",97770,2232,"DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.0364","%","ADDED"
"approved",97770,2730,"DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.0545","%","ADDED"
"approved",97771,197,"BENZALKONIUM CHLORIDE","0.1212","%","ADDED"
"approved",97771,2218,"OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","0.0909","%","ADDED"
"approved",97771,2232,"DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.0364","%","ADDED"
"approved",97771,2730,"DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.0545","%","ADDED"
"approved",97773,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.15","%","ADDED"
"approved",97773,197,"BENZALKONIUM CHLORIDE","0.15","%","ADDED"
"approved",97774,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.15","%","ADDED"
"approved",97774,197,"BENZALKONIUM CHLORIDE","0.15","%","ADDED"
"approved",97775,1,"OLANZAPINE","2.5","MG","ADDED"
"approved",97776,1,"OLANZAPINE","5","MG","ADDED"
"approved",97777,1,"OLANZAPINE","7.5","MG","ADDED"
"approved",97778,1,"OLANZAPINE","10","MG","ADDED"
"approved",97779,1,"OLANZAPINE","15","MG","ADDED"
"approved",97780,1,"OLANZAPINE","20","MG","ADDED"
"approved",97781,1,"OLANZAPINE","5","MG","ADDED"
"approved",97782,1,"OLANZAPINE","10","MG","ADDED"
"approved",97783,1,"OLANZAPINE","15","MG","ADDED"
"approved",97784,1,"OLANZAPINE","20","MG","ADDED"
"approved",97788,13090,"GEFITINIB","250","MG","ADDED"
"approved",97789,9197,"SODIUM BICARBONATE","900","G","ADDED"
"approved",97791,7218,"IODINE (Alkyl Poly Ethoxy Ethanol - Iodine Complex)","1","%","NEW"
"approved",97792,7218,"IODINE (Alkyl Poly Ethoxy Ethanol - Iodine Complex)","0.5","%","NEW"
"approved",97796,20636,"LACOSAMIDE","50","MG","ADDED"
"approved",97797,20636,"LACOSAMIDE","100","MG","ADDED"
"approved",97798,20636,"LACOSAMIDE","150","MG","ADDED"
"approved",97799,20636,"LACOSAMIDE","200","MG","ADDED"
"approved",97802,2730,"DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.33","%","ADDED"
"approved",97802,8890,"ALCOHOL ANHYDROUS","72.5","%","ADDED"
"approved",97803,2730,"DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.33","%","ADDED"
"approved",97803,8890,"ALCOHOL ANHYDROUS","72.5","%","ADDED"
"approved",97817,7160,"METHYLENE BLUE","10","MG","ADDED"
