"ntp_code","formal_description_ntp","en_display","fr_display","status","ntp_status_effective_time"
9001278,"baclofen 20 mg oral tablet",NA,NA,"active","20081017"
9001280,"beclomethasone dipropionate 0.025 % cutaneous cream",NA,NA,"active","20160726"
9001282,"beclomethasone dipropionate 50 mcg per act nasal spray, suspension",NA,NA,"active","20100816"
9001284,"beclomethasone dipropionate 50 mcg per spray nasal spray, suspension",NA,NA,"active","20141202"
9001281,"beclomethasone dipropionate 100 mcg per act pressurised inhalation",NA,NA,"active","20140609"
9001283,"beclomethasone dipropionate 50 mcg per act pressurised inhalation",NA,NA,"active","20100816"
9001368,"benzoyl peroxide 3 % per w/w and clindamycin (clindamycin phosphate) 1 % per w/w cutaneous gel",NA,NA,"active","20130823"
9001370,"benzoyl peroxide 5 % and clindamycin (clindamycin phosphate) 1 % cutaneous gel",NA,NA,"active","20121219"
9001375,"benzoyl peroxide 5 % per w/w and clindamycin (clindamycin phosphate) 1 % per w/w cutaneous gel",NA,NA,"active","20151026"
9001384,"benzoyl peroxide 50 mg per g and clindamycin (clindamycin phosphate) 10 mg per g cutaneous gel",NA,NA,"active","20130619"
9001387,"benztropine mesylate 1 mg oral tablet",NA,NA,"active","20150911"
9001389,"benztropine mesylate 2 mg oral tablet",NA,NA,"active","20090127"
9001398,"betahistine hydrochloride 16 mg oral tablet",NA,NA,"active","20140127"
9001399,"betahistine hydrochloride 24 mg oral tablet",NA,NA,"active","20140127"
9001400,"betahistine hydrochloride 8 mg oral tablet",NA,NA,"active","20150505"
9001407,"betamethasone (betamethasone dipropionate) 0.05 % per w/w cutaneous cream",NA,NA,"active","20150429"
9001415,"betamethasone (betamethasone dipropionate) 0.5 mg per g cutaneous cream",NA,NA,"active","20130108"
9001421,"betamethasone (betamethasone valerate) 0.05 % cutaneous cream",NA,NA,"active","20100722"
9001425,"betamethasone (betamethasone valerate) 0.1 % cutaneous cream",NA,NA,"active","20150429"
9001432,"betamethasone dipropionate 0.05 % cutaneous cream",NA,NA,"active","20121114"
9001435,"betamethasone dipropionate 0.05 % per % cutaneous cream",NA,NA,"active","20040716"
9001438,"betamethasone dipropionate 0.5 mg per g cutaneous cream",NA,NA,"active","20060124"
9001439,"betamethasone valerate 0.1 % cutaneous cream",NA,NA,"active","20131021"
9001440,"betamethasone valerate 0.1 % per % cutaneous cream",NA,NA,"active","20030810"
9001441,"betamethasone valerate 0.12 % cutaneous foam",NA,NA,"active","20131204"
9001408,"betamethasone (betamethasone dipropionate) 0.05 % per w/w cutaneous ointment",NA,NA,"active","20150429"
9001416,"betamethasone (betamethasone dipropionate) 0.5 mg per g cutaneous ointment",NA,NA,"active","20130325"
9001422,"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment",NA,NA,"active","20150429"
9001426,"betamethasone (betamethasone valerate) 0.1 % cutaneous ointment",NA,NA,"active","20150429"
9001429,"betamethasone (betamethasone valerate) 0.5 mg per g cutaneous ointment",NA,NA,"active","20060224"
9001433,"betamethasone dipropionate 0.05 % cutaneous ointment",NA,NA,"active","20121114"
9001436,"betamethasone dipropionate 0.05 % per % cutaneous ointment",NA,NA,"active","20040716"
9001442,"betamethasone valerate 1 mg per g cutaneous ointment",NA,NA,"active","20060124"
9001444,"betamethasone valerate 2.25 mg cutaneous patch",NA,NA,"active","20161116"
9001406,"betamethasone (betamethasone dipropionate) 0.05 % per % lotion",NA,NA,"active","20070918"
9001409,"betamethasone (betamethasone dipropionate) 0.05 % per w/w lotion",NA,NA,"active","20150429"
9001417,"betamethasone (betamethasone dipropionate) 0.5 mg per g lotion",NA,NA,"active","20130513"
9001423,"betamethasone (betamethasone valerate) 0.05 % lotion",NA,NA,"active","20150429"
9001427,"betamethasone (betamethasone valerate) 0.1 % lotion",NA,NA,"active","20150429"
9001428,"betamethasone (betamethasone valerate) 0.1 % per % lotion",NA,NA,"active","20040716"
9001434,"betamethasone dipropionate 0.05 % lotion",NA,NA,"active","20121114"
9001437,"betamethasone dipropionate 0.05 % per % lotion",NA,NA,"active","20040716"
9001443,"betamethasone valerate 1.22 mg per g lotion",NA,NA,"active","20060124"
9001458,"bimatoprost 0.03 % per w/v cutaneous solution",NA,NA,"active","20130222"
9001456,"bimatoprost 0.01 % per w/v opthalmic drops, solution",NA,NA,"active","20110615"
9001457,"bimatoprost 0.03 % opthalmic drops, solution",NA,NA,"active","20080915"
9001459,"bimatoprost 0.03 % per w/v opthalmic drops, solution",NA,NA,"active","20160615"
9001484,"bisoprolol fumarate 10 mg oral tablet",NA,NA,"active","20061211"
9001485,"bisoprolol fumarate 5 mg oral tablet",NA,NA,"active","20061211"
9001516,"bromazepam 1.5 mg oral tablet",NA,NA,"active","20080506"
9001517,"bromazepam 3 mg oral tablet",NA,NA,"active","20060307"
9001518,"bromazepam 6 mg oral tablet",NA,NA,"active","20060307"
9001543,"budesonide 100 mcg per act inhalation powder",NA,NA,"active","20060307"
9001550,"budesonide 200 mcg per act inhalation powder",NA,NA,"active","20080812"
9001554,"budesonide 400 mcg per act inhalation powder",NA,NA,"active","20060307"
9001557,"budesonide 9 mg modified release tablet",NA,NA,"active","20160811"
9001544,"budesonide 100 mcg per act nasal spray",NA,NA,"active","20100816"
9001556,"budesonide 64 mcg per act nasal spray",NA,NA,"active","20070312"
9001545,"budesonide 100 mcg per act pressurised inhalation",NA,NA,"active","20060307"
9001551,"budesonide 200 mcg per act pressurised inhalation",NA,NA,"active","20080812"
9001555,"budesonide 400 mcg per act pressurised inhalation",NA,NA,"active","20060307"
9001553,"budesonide 3 mg prolonged release oral capsule",NA,NA,"active","20160714"
9001571,"buprenorphine (buprenorphine hydrochloride) 2 mg and naloxone (naloxone hydrochloride dihydrate) 0.5 mg oral tablet",NA,NA,"active","20150108"
9001572,"buprenorphine (buprenorphine hydrochloride) 8 mg and naloxone (naloxone hydrochloride dihydrate) 2 mg oral tablet",NA,NA,"active","20150108"
9001577,"bupropion hydrochloride 100 mg prolonged release oral tablet",NA,NA,"active","20081208"
9001578,"bupropion hydrochloride 150 mg prolonged release oral tablet",NA,NA,"active","20081208"
9001579,"bupropion hydrochloride 300 mg prolonged release oral tablet",NA,NA,"active","20131021"
9001605,"calcitriol 3 mcg per g cutaneous ointment",NA,NA,"active","20100507"
9001601,"calcitriol 0.25 mcg oral capsule",NA,NA,"active","20100930"
9001602,"calcitriol 0.5 mcg oral capsule",NA,NA,"active","20091201"
9001704,"candesartan cilexetil 16 mg oral tablet",NA,NA,"active","20100114"
9001707,"candesartan cilexetil 32 mg oral tablet",NA,NA,"active","20100114"
9001708,"candesartan cilexetil 4 mg oral tablet",NA,NA,"active","20100114"
9001709,"candesartan cilexetil 8 mg oral tablet",NA,NA,"active","20100114"
9001703,"candesartan cilexetil 16 mg and hydrochlorothiazide 12.5 mg oral tablet",NA,NA,"active","20121015"
9001705,"candesartan cilexetil 32 mg and hydrochlorothiazide 12.5 mg oral tablet",NA,NA,"active","20090929"
9001706,"candesartan cilexetil 32 mg and hydrochlorothiazide 25 mg oral tablet",NA,NA,"active","20090929"
9001722,"carbamazepine 100 mg chewable tablet",NA,NA,"active","20150505"
9001725,"carbamazepine 200 mg chewable tablet",NA,NA,"active","20080424"
9001723,"carbamazepine 100 mg oral tablet",NA,NA,"active","20070808"
9001726,"carbamazepine 200 mg oral tablet",NA,NA,"active","20020517"
9001727,"carbamazepine 200 mg per srt prolonged release oral tablet",NA,NA,"active","20040129"
9001728,"carbamazepine 200 mg prolonged release oral tablet",NA,NA,"active","20060509"
9001729,"carbamazepine 400 mg per srt prolonged release oral tablet",NA,NA,"active","20040427"
9001730,"carbamazepine 400 mg prolonged release oral tablet",NA,NA,"active","20060509"
9001733,"carbidopa 10 mg and levodopa 100 mg oral tablet",NA,NA,"active","20080509"
9001737,"carbidopa 25 mg and levodopa 100 mg oral tablet",NA,NA,"active","20080509"
9001739,"carbidopa 25 mg and levodopa 250 mg oral tablet",NA,NA,"active","20080509"
9001738,"carbidopa 25 mg and levodopa 100 mg prolonged release oral tablet",NA,NA,"active","20100907"
9001742,"carbidopa 50 mg and levodopa 200 mg prolonged release oral tablet",NA,NA,"active","20100907"
9001760,"carvedilol 12.5 mg oral tablet",NA,NA,"active","20041006"
9001761,"carvedilol 25 mg oral tablet",NA,NA,"active","20041006"
9001762,"carvedilol 3.125 mg oral tablet",NA,NA,"active","20041006"
9001763,"carvedilol 6.25 mg oral tablet",NA,NA,"active","20040507"
9001798,"cefprozil 250 mg oral tablet",NA,NA,"active","20080527"
9001801,"cefprozil 500 mg oral tablet",NA,NA,"active","20080328"
9001822,"celecoxib 100 mg oral capsule",NA,NA,"active","20131219"
9001823,"celecoxib 200 mg oral capsule",NA,NA,"active","20131219"
9001832,"cephalexin 250 mg oral tablet",NA,NA,"active","20020306"
9001835,"cephalexin 500 mg oral tablet",NA,NA,"active","20020306"
9001838,"cetirizine hydrochloride 10 mg oral capsule",NA,NA,"active","20130529"
9001839,"cetirizine hydrochloride 10 mg oral tablet",NA,NA,"active","20111104"
9001841,"cetirizine hydrochloride 20 mg oral tablet",NA,NA,"active","20090601"
9001843,"cetirizine hydrochloride 5 mg oral tablet",NA,NA,"active","20120711"
9001840,"cetirizine hydrochloride 10 mg orodispersible tablet",NA,NA,"active","20140611"
9001913,"chlorhexidine gluconate 2 % per % cutaneous gel",NA,NA,"active","20160510"
9001931,"chlorhexidine gluconate 4 % per % cutaneous gel",NA,NA,"active","20160510"
9001933,"chlorhexidine gluconate 4 % per w/v cutaneous gel",NA,NA,"active","20130417"
9001887,"chlorhexidine gluconate 0.05 % cutaneous liquid",NA,NA,"active","20150429"
9001910,"chlorhexidine gluconate 2 % cutaneous liquid",NA,NA,"active","20120428"
9001923,"chlorhexidine gluconate 2 % per w/w cutaneous liquid",NA,NA,"active","20091026"
9001925,"chlorhexidine gluconate 20 % cutaneous liquid",NA,NA,"active","20160201"
9001926,"chlorhexidine gluconate 20 % per % cutaneous liquid",NA,NA,"active","20160510"
9001929,"chlorhexidine gluconate 4 % cutaneous liquid",NA,NA,"active","20160510"
9001932,"chlorhexidine gluconate 4 % per % cutaneous liquid",NA,NA,"active","20060308"
9001888,"chlorhexidine gluconate 0.05 % cutaneous solution",NA,NA,"active","20120213"
9001900,"chlorhexidine gluconate 0.5 % cutaneous solution",NA,NA,"active","20080214"
9001911,"chlorhexidine gluconate 2 % cutaneous solution",NA,NA,"active","20110616"
9001927,"chlorhexidine gluconate 20 % per w/v cutaneous solution",NA,NA,"active","20150429"
9001930,"chlorhexidine gluconate 4 % cutaneous solution",NA,NA,"active","20110616"
9001934,"chlorhexidine gluconate 4 % per w/v cutaneous solution",NA,NA,"active","20160711"
9001885,"chlorhexidine acetate 10 % dental solution",NA,NA,"active","20150505"
9001891,"chlorhexidine gluconate 0.12 % gargle/mouthwash",NA,NA,"active","20030810"
9001894,"chlorhexidine gluconate 0.12 % per w/w gargle/mouthwash",NA,NA,"active","20160318"
9001886,"chlorhexidine acetate 10 % kit",NA,NA,"active","20150505"
9001912,"chlorhexidine gluconate 2 % lotion",NA,NA,"active","20120711"
9001935,"chlorhexidine gluconate 4 % per w/v lotion",NA,NA,"active","20140108"
9001892,"chlorhexidine gluconate 0.12 % mouthwash",NA,NA,"active","20030810"
9001893,"chlorhexidine gluconate 0.12 % oral liquid",NA,NA,"active","20030810"
9001895,"chlorhexidine gluconate 0.12 % per w/w oral liquid",NA,NA,"active","20160318"
9001936,"chlorhexidine gluconate 4 % per w/v pressurised inhalation",NA,NA,"active","20150429"
9001889,"chlorhexidine gluconate 0.05 % per w/v sponge",NA,NA,"active","20140529"
9001920,"chlorhexidine gluconate 2 % per w/v sponge",NA,NA,"active","20140311"
9001937,"chlorhexidine gluconate 4 % per w/v sponge",NA,NA,"active","20150312"
9001921,"chlorhexidine gluconate 2 % per w/v swab",NA,NA,"active","20151119"
9001922,"chlorhexidine gluconate 2 % per w/v wipe",NA,NA,"active","20151119"
9001924,"chlorhexidine gluconate 2 % wipe",NA,NA,"active","20060925"
9006360,"vitamin d3 (cholecalciferol) 10000 unit oral capsule",NA,NA,"active","20160819"
9002006,"ciclesonide 50 mcg per act nasal spray",NA,NA,"active","20160705"
9002008,"ciclesonide 50 mcg per spray nasal spray",NA,NA,"active","20161128"
9002004,"ciclesonide 100 mcg per act pressurised inhalation",NA,NA,"active","20130226"
9002005,"ciclesonide 200 mcg per act pressurised inhalation",NA,NA,"active","20130226"
9002007,"ciclesonide 50 mcg per act pressurised inhalation",NA,NA,"active","20160705"
9002010,"ciclopirox olamine 1 % cutaneous cream",NA,NA,"active","20150505"
9002009,"ciclopirox 8 % per w/w cutaneous solution",NA,NA,"active","20100416"
9002011,"ciclopirox olamine 1 % lotion",NA,NA,"active","20130314"
9002012,"ciclopirox olamine 1.5 % shampoo",NA,NA,"active","20150505"
9002033,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % ophthalmic ointment",NA,NA,"active","20160219"
9002034,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % opthalmic drops, solution",NA,NA,"active","20061110"
9002035,"ciprofloxacin (ciprofloxacin hydrochloride) 250 mg oral tablet",NA,NA,"active","20040404"
9002036,"ciprofloxacin (ciprofloxacin hydrochloride) 500 mg oral tablet",NA,NA,"active","20040404"
9002037,"ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet",NA,NA,"active","20040404"
9002040,"ciprofloxacin (ciprofloxacin lactate) 0.2 % solution for injection",NA,NA,"active","20160601"
9002032,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % and dexamethasone 0.1 % otic drops, suspension",NA,NA,"active","20061214"
9002047,"citalopram (citalopram hydrobromide) 10 mg oral tablet",NA,NA,"active","20060308"
9002048,"citalopram (citalopram hydrobromide) 20 mg oral tablet",NA,NA,"active","20040503"
9002049,"citalopram (citalopram hydrobromide) 30 mg oral tablet",NA,NA,"active","20120104"
9002050,"citalopram (citalopram hydrobromide) 40 mg oral tablet",NA,NA,"active","20040503"
9002058,"clarithromycin 250 mg oral tablet",NA,NA,"active","20070823"
9002060,"clarithromycin 500 mg oral tablet",NA,NA,"active","20070823"
9002061,"clarithromycin 500 mg prolonged release oral tablet",NA,NA,"active","20140909"
9002065,"clindamycin (clindamycin phosphate) 1 % cutaneous solution",NA,NA,"active","20060320"
9002063,"clindamycin (clindamycin hydrochloride) 150 mg oral capsule",NA,NA,"active","20060303"
9002064,"clindamycin (clindamycin hydrochloride) 300 mg oral capsule",NA,NA,"active","20060303"
9002071,"clindamycin hydrochloride 150 mg oral capsule",NA,NA,"active","20150303"
9002072,"clindamycin hydrochloride 300 mg oral capsule",NA,NA,"active","20150303"
9002066,"clindamycin (clindamycin phosphate) 1 % pad",NA,NA,"active","20150505"
9002070,"clindamycin (clindamycin phosphate) 20 mg per g vaginal cream",NA,NA,"active","20070614"
9002077,"clobazam 10 mg oral tablet",NA,NA,"active","20140929"
9002078,"clobetasol propionate 0.05 % cutaneous cream",NA,NA,"active","20020119"
9002084,"clobetasol propionate 0.05 % per % cutaneous cream",NA,NA,"active","20040422"
9002086,"clobetasol propionate 0.05 % per w/w cutaneous cream",NA,NA,"active","20130102"
9002079,"clobetasol propionate 0.05 % cutaneous foam",NA,NA,"active","20130207"
9002080,"clobetasol propionate 0.05 % cutaneous liquid",NA,NA,"active","20021007"
9002081,"clobetasol propionate 0.05 % cutaneous ointment",NA,NA,"active","20020119"
9002085,"clobetasol propionate 0.05 % per % cutaneous ointment",NA,NA,"active","20040422"
9002087,"clobetasol propionate 0.05 % per w/w cutaneous ointment",NA,NA,"active","20130102"
9002082,"clobetasol propionate 0.05 % cutaneous solution",NA,NA,"active","20040503"
9002083,"clobetasol propionate 0.05 % lotion",NA,NA,"active","20100408"
9002088,"clobetasol propionate 0.05 % shampoo",NA,NA,"active","20061229"
9002099,"clonazepam 0.25 mg oral tablet",NA,NA,"active","20060918"
9002100,"clonazepam 0.5 mg oral tablet",NA,NA,"active","20020223"
9002101,"clonazepam 1 mg oral tablet",NA,NA,"active","20060330"
9002102,"clonazepam 2 mg oral tablet",NA,NA,"active","20020307"
9002103,"clonidine hydrochloride 0.025 mg oral tablet",NA,NA,"active","20061229"
9002104,"clonidine hydrochloride 0.1 mg oral tablet",NA,NA,"active","20030716"
9002105,"clonidine hydrochloride 0.2 mg oral tablet",NA,NA,"active","20030716"
9002106,"clopidogrel (clopidogrel bisulfate) 300 mg oral tablet",NA,NA,"active","20091016"
9002107,"clopidogrel (clopidogrel bisulfate) 75 mg oral tablet",NA,NA,"active","20090409"
9002145,"clozapine 100 mg oral tablet",NA,NA,"active","20091102"
9002146,"clozapine 200 mg oral tablet",NA,NA,"active","20101221"
9002147,"clozapine 25 mg oral tablet",NA,NA,"active","20101221"
9002148,"clozapine 50 mg oral tablet",NA,NA,"active","20101221"
9002188,"codeine phosphate 0.2 % per % oral liquid",NA,NA,"active","20121022"
9002192,"codeine phosphate 15 mg oral tablet",NA,NA,"active","20011220"
9002195,"codeine phosphate 30 mg oral tablet",NA,NA,"active","20020215"
9002199,"colchicine 0.6 mg oral tablet",NA,NA,"active","20090709"
9002245,"cyclobenzaprine hydrochloride 10 mg oral tablet",NA,NA,"active","20081017"
9002269,"cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet",NA,NA,"active","20150505"
9002270,"cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet",NA,NA,"active","20100621"
9002283,"dabigatran etexilate (dabigatran etexilate mesilate) 110 mg oral capsule",NA,NA,"active","20150323"
9002284,"dabigatran etexilate (dabigatran etexilate mesilate) 150 mg oral capsule",NA,NA,"active","20130523"
9002285,"dabigatran etexilate (dabigatran etexilate mesilate) 75 mg oral capsule",NA,NA,"active","20130409"
9002394,"desogestrel 0.1 mg and desogestrel 0.125 mg and desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet",NA,NA,"active","20160723"
9002395,"desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet",NA,NA,"active","20130206"
9002396,"desogestrel 0.15 mg per tab and ethinyl estradiol 0.03 mg per tab oral tablet",NA,NA,"active","20140520"
9002405,"desvenlafaxine (desvenlafaxine succinate) 100 mg prolonged release oral tablet",NA,NA,"active","20161006"
9002406,"desvenlafaxine (desvenlafaxine succinate) 50 mg prolonged release oral tablet",NA,NA,"active","20161006"
9002419,"dexamethasone 0.7 mg intravitreal implant",NA,NA,"active","20120312"
9002414,"dexamethasone 0.1 % ophthalmic ointment",NA,NA,"active","20050810"
9002415,"dexamethasone 0.1 % opthalmic drops",NA,NA,"active","20060504"
9002433,"dexamethasone sodium phosphate 0.1 % opthalmic drops, solution",NA,NA,"active","20060718"
9002416,"dexamethasone 0.5 mg oral tablet",NA,NA,"active","20040809"
9002420,"dexamethasone 0.75 mg oral tablet",NA,NA,"active","20040809"
9002427,"dexamethasone 2 mg oral tablet",NA,NA,"active","20060612"
9002428,"dexamethasone 4 mg oral tablet",NA,NA,"active","20040809"
9002434,"dexamethasone sodium phosphate 0.1 % otic drops, solution",NA,NA,"active","20060718"
9002438,"dexlansoprazole 30 mg modified release oral capsule",NA,NA,"active","20161130"
9002439,"dexlansoprazole 60 mg modified release oral capsule",NA,NA,"active","20161130"
9002457,"dextroamphetamine sulfate 5 mg oral tablet",NA,NA,"active","20151203"
