"tm_code","formal_description_tm","en_display","fr_display","status","tm_status_effective_time"
9000620,"digoxin",NA,NA,"active","20070213"
9000622,"diltiazem",NA,NA,"active","20030323"
9000644,"divalproex",NA,NA,"active","20010824"
9000652,"domperidone",NA,NA,"active","20110609"
9000653,"donepezil",NA,NA,"active","20060821"
9000656,"dorzolamide and timolol",NA,NA,"active","20110207"
9000657,"doxazosin",NA,NA,"active","20011022"
9000660,"doxycycline",NA,NA,"active","20040716"
9000667,"drospirenone and ethinylestradiol",NA,NA,"active","20110624"
9000670,"duloxetine",NA,NA,"active","20160513"
9000671,"dutasteride",NA,NA,"active","20090320"
9000692,"enalapril",NA,NA,"active","20100114"
9000711,"epinephrine",NA,NA,"active","20080605"
9000726,"erythromycin",NA,NA,"active","20080221"
9000728,"escitalopram",NA,NA,"active","20070228"
9000731,"esomeprazole",NA,NA,"active","20121218"
9000732,"estradiol",NA,NA,"active","20060605"
9000736,"estrogenic sub,conjugated",NA,NA,"active","20020517"
9000744,"ethinylestradiol and etonogestrel",NA,NA,"active","20130123"
9000745,"ethinylestradiol and levonorgestrel",NA,NA,"active","20080716"
9000746,"ethinylestradiol and norelgestromin",NA,NA,"active","20090210"
9000747,"ethinylestradiol and norethindrone",NA,NA,"active","20060306"
9000748,"ethinylestradiol and norgestimate",NA,NA,"active","20060322"
9000759,"ezetimibe",NA,NA,"active","20120208"
9000762,"felodipine",NA,NA,"active","20060829"
9000763,"fenofibrate",NA,NA,"active","20051206"
9000765,"fentanyl",NA,NA,"active","20091102"
9000771,"finasteride",NA,NA,"active","20070802"
9000792,"fluoxetine",NA,NA,"active","20030508"
9000795,"flurazepam",NA,NA,"active","20060329"
9000798,"fluticasone",NA,NA,"active","20060411"
9000799,"fluticasone and salmeterol",NA,NA,"active","20071003"
9000803,"folic acid",NA,NA,"active","20110610"
9000808,"fosinopril",NA,NA,"active","20090819"
9000814,"furosemide",NA,NA,"active","20100302"
9000815,"fusidic acid",NA,NA,"active","20141117"
9000817,"gabapentin",NA,NA,"active","20020415"
9000822,"galantamine",NA,NA,"active","20061031"
9000835,"gliclazide",NA,NA,"active","20060310"
9000840,"glyburide",NA,NA,"active","20060310"
9000861,"haloperidol",NA,NA,"active","20040429"
9000888,"human insulin isophane",NA,NA,"active","20130927"
9000890,"hydrochlorothiazide",NA,NA,"active","20090903"
9000891,"hydrochlorothiazide and irbesartan",NA,NA,"active","20100114"
9000892,"hydrochlorothiazide and lisinopril",NA,NA,"active","20090903"
9000893,"hydrochlorothiazide and losartan",NA,NA,"active","20110210"
9000896,"hydrochlorothiazide and olmesartan medoxomil",NA,NA,"active","20120808"
9000898,"hydrochlorothiazide and quinapril",NA,NA,"active","20090903"
9000899,"hydrochlorothiazide and ramipril",NA,NA,"active","20100204"
9000901,"hydrochlorothiazide and telmisartan",NA,NA,"active","20120307"
9000902,"hydrochlorothiazide and triamterene",NA,NA,"active","20090903"
9000903,"hydrochlorothiazide and valsartan",NA,NA,"active","20090812"
9000907,"hydrocortisone",NA,NA,"active","20060124"
9000912,"hydromorphone",NA,NA,"active","20080606"
9000919,"hydroxychloroquine",NA,NA,"active","20060303"
9000922,"hydroxyzine",NA,NA,"active","20100930"
9000925,"ibuprofen",NA,NA,"active","20060309"
9000941,"indapamide",NA,NA,"active","20090921"
9000942,"indapamide and perindopril",NA,NA,"active","20090921"
9000944,"indomethacin",NA,NA,"active","20100930"
9000947,"insulin aspart",NA,NA,"active","20150805"
9000949,"insulin detemir",NA,NA,"active","20140619"
9000950,"insulin glargine",NA,NA,"active","20100506"
9000951,"insulin lispro",NA,NA,"active","20130822"
9000968,"ipratropium",NA,NA,"active","20010522"
9000970,"irbesartan",NA,NA,"active","20090812"
9000977,"isosorbide-5-mononitrate",NA,NA,"active","20060517"
9000988,"ketorolac",NA,NA,"active","20060503"
9000996,"lamotrigine",NA,NA,"active","20051115"
9001000,"lansoprazole",NA,NA,"active","20090611"
9001002,"latanoprost",NA,NA,"active","20111017"
9001011,"levetiracetam",NA,NA,"active","20061201"
9001015,"levofloxacin",NA,NA,"active","20120124"
9001018,"levothyroxine",NA,NA,"active","20150505"
9001032,"lisdexamfetamine",NA,NA,"active","20151203"
9001033,"lisinopril",NA,NA,"active","20100114"
9001034,"lithium",NA,NA,"active","20051208"
9001043,"lorazepam",NA,NA,"active","20020528"
9001044,"losartan",NA,NA,"active","20090921"
9001059,"medroxyprogesterone",NA,NA,"active","20040908"
9001063,"meloxicam",NA,NA,"active","20040503"
9001075,"mesalamine",NA,NA,"active","20060504"
9001076,"metformin",NA,NA,"active","20020108"
9001079,"metformin and sitagliptin",NA,NA,"active","20111004"
9001081,"methadone",NA,NA,"active","20091130"
9001085,"methotrexate",NA,NA,"active","20090127"
9001092,"methylphenidate",NA,NA,"active","20131108"
9001095,"metoclopramide",NA,NA,"active","20060303"
9001097,"metoprolol",NA,NA,"active","20030303"
9001098,"metronidazole",NA,NA,"active","20050502"
9001111,"minocycline",NA,NA,"active","20050504"
9001114,"mirtazapine",NA,NA,"active","20040601"
9001121,"mometasone",NA,NA,"active","20051123"
9001123,"montelukast",NA,NA,"active","20080805"
9001124,"morphine",NA,NA,"active","20050525"
9001125,"moxifloxacin",NA,NA,"active","20051108"
9001218,"naproxen",NA,NA,"active","20060309"
9001228,"nifedipine",NA,NA,"active","20040430"
9001236,"nitrofurantoin",NA,NA,"active","20110518"
9001239,"nitroglycerin",NA,NA,"active","20060116"
9001246,"norethindrone",NA,NA,"active","20060323"
9001248,"nortriptyline",NA,NA,"active","20080319"
9001250,"nystatin",NA,NA,"active","20060227"
9001288,"olanzapine",NA,NA,"active","20050805"
9001291,"olmesartan medoxomil",NA,NA,"active","20120514"
9001293,"olopatadine",NA,NA,"active","20120921"
9001296,"omeprazole",NA,NA,"active","20060517"
9001304,"oxazepam",NA,NA,"active","20020517"
9001308,"oxybutynin",NA,NA,"active","20131230"
9001309,"oxycodone",NA,NA,"active","20081216"
9001321,"pantoprazole",NA,NA,"active","20080411"
9001324,"paroxetine",NA,NA,"active","20130527"
9001335,"penicillin v",NA,NA,"active","19990412"
9001342,"perindopril",NA,NA,"active","20160715"
9001361,"phenytoin",NA,NA,"active","20060412"
9001367,"pioglitazone",NA,NA,"active","20071219"
9001393,"pramipexole",NA,NA,"active","20081215"
9001396,"pravastatin",NA,NA,"active","20040517"
9001400,"prednisolone",NA,NA,"active","20050419"
9001402,"prednisone",NA,NA,"active","20050805"
9001403,"pregabalin",NA,NA,"active","20071128"
9001410,"procyclidine",NA,NA,"active","20150424"
9001411,"progesterone",NA,NA,"active","20090529"
9001415,"propranolol",NA,NA,"active","20060228"
9001425,"quetiapine",NA,NA,"active","20070303"
9001427,"quinapril",NA,NA,"active","20100726"
9001429,"quinine",NA,NA,"active","20131118"
9001431,"rabeprazole sodium",NA,NA,"active","20080616"
9001434,"ramipril",NA,NA,"active","20090901"
9001437,"ranitidine",NA,NA,"active","20010531"
9001442,"repaglinide",NA,NA,"active","20040806"
9001451,"risedronate",NA,NA,"active","20100728"
9001452,"risperidone",NA,NA,"active","20061024"
9001455,"rivaroxaban",NA,NA,"active","20131204"
9001456,"rivastigmine",NA,NA,"active","20150527"
9001457,"rizatriptan",NA,NA,"active","20080114"
9001465,"rosuvastatin",NA,NA,"active","20060714"
9001469,"salbutamol",NA,NA,"active","20071003"
9001475,"saxagliptin",NA,NA,"active","20150220"
9001481,"sertraline",NA,NA,"active","20021127"
9001484,"sildenafil",NA,NA,"active","20121115"
9001490,"simvastatin",NA,NA,"active","20040817"
9001494,"sitagliptin",NA,NA,"active","20120627"
9001497,"solifenacin",NA,NA,"active","20131230"
9001504,"spironolactone",NA,NA,"active","20130125"
9001515,"sulfamethoxazole and trimethoprim",NA,NA,"active","20060228"
9001520,"sumatriptan",NA,NA,"active","20051028"
9001522,"tacrolimus",NA,NA,"active","20090709"
9001523,"tadalafil",NA,NA,"active","20080408"
9001526,"tamsulosin",NA,NA,"active","20100430"
9001532,"telmisartan",NA,NA,"active","20120209"
9001533,"temazepam",NA,NA,"active","20061122"
9001540,"terazosin",NA,NA,"active","20100430"
9001541,"terbinafine",NA,NA,"active","20060420"
9001547,"testosterone",NA,NA,"active","20080207"
9001568,"timolol",NA,NA,"active","20080206"
9001571,"tiotropium bromide",NA,NA,"active","20101102"
9001580,"tolterodine",NA,NA,"active","20131230"
9001582,"topiramate",NA,NA,"active","20051205"
9001585,"tramadol",NA,NA,"active","20140205"
9001586,"trandolapril",NA,NA,"active","20151007"
9001592,"travoprost",NA,NA,"active","20130208"
9001593,"trazodone",NA,NA,"active","20020302"
9001597,"triamcinolone acetonide",NA,NA,"active","20050810"
9001617,"valacyclovir",NA,NA,"active","20060816"
9001619,"valsartan",NA,NA,"active","20090812"
9001622,"varenicline",NA,NA,"active","20080704"
9001629,"venlafaxine",NA,NA,"active","20080509"
9001630,"verapamil",NA,NA,"active","20030323"
9001639,"warfarin",NA,NA,"active","20050512"
9001649,"zopiclone",NA,NA,"active","20060309"
