drug_code,drug_identification_number,mp_formal_name,ntp_formal_name,brand_name,descriptor,company_name
87360,02388030,COLD + SINUS DAYTIME COLD + SINUS NIGHTTIME (chlorpheniramine maleate 2 mg and ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet) VITA HEALTH PRODUCTS INC,chlorpheniramine maleate 2 mg and ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet,COLD + SINUS DAYTIME COLD + SINUS NIGHTTIME,NA,VITA HEALTH PRODUCTS INC
3374,00471526,DEMULEN 30 (28 DAY PACK) (ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC,ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet,DEMULEN 30 (28 DAY PACK),NA,PFIZER CANADA ULC
92155,02437252,SIGNIFOR LAR (pasireotide (pasireotide pamoate) 20 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe) NOVARTIS PHARMACEUTICALS CANADA INC,pasireotide (pasireotide pamoate) 20 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe,SIGNIFOR LAR,KIT INCLUDES 2ML DILUENT IN A PREFILLED SYRINGE,RECORDATI RARE DISEASES CANADA INC
92157,02437260,SIGNIFOR LAR (pasireotide (pasireotide pamoate) 40 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe) NOVARTIS PHARMACEUTICALS CANADA INC,pasireotide (pasireotide pamoate) 40 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe,SIGNIFOR LAR,KIT INCLUDES 2ML DILUENT IN A PREFILLED SYRINGE,RECORDATI RARE DISEASES CANADA INC
92156,02437279,SIGNIFOR LAR (pasireotide (pasireotide pamoate) 60 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe) NOVARTIS PHARMACEUTICALS CANADA INC,pasireotide (pasireotide pamoate) 60 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe,SIGNIFOR LAR,KIT INCLUDES 2ML DILUENT IN A PREFILLED SYRINGE,RECORDATI RARE DISEASES CANADA INC
96881,02478080,SYMDEKO (ivacaftor 150 mg oral tablet with ivacaftor 150 mg and tezacaftor 100 mg oral tablet) VERTEX PHARMACEUTICALS (CANADA) INCORPORATED,ivacaftor 150 mg oral tablet with ivacaftor 150 mg and tezacaftor 100 mg oral tablet,SYMDEKO,YELLOW TABLET (TEZACAFTOR / IVACAFTOR) AND BLUE TABLET (IVACAFTOR),VERTEX PHARMACEUTICALS (CANADA) INCORPORATED
43151,02215136,SAIZEN (somatropin 3.3 mg per vial powder for solution for injection with diluent solution) EMD SERONO A DIVISION OF EMD INC CANADA,somatropin 3.3 mg per vial powder for solution for injection with diluent solution,SAIZEN 10IU  -  KIT,NA,EMD SERONO A DIVISION OF EMD INC CANADA
46885,01914022,UROCIT-K (potassium citrate 5 mEq prolonged-release oral tablet) MISSION PHARMACAL COMPANY,potassium citrate 5 mEq prolonged-release oral tablet,UROCIT K,NA,MISSION PHARMACAL COMPANY
97095,02480425,SIGNIFOR LAR (pasireotide (pasireotide pamoate) 10 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe) NOVARTIS PHARMACEUTICALS CANADA INC,pasireotide (pasireotide pamoate) 10 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe,SIGNIFOR LAR,KIT INCLUDES 1 VIAL OF POWDER AND 1 PRE-FILLED SYRINGE OF DILUENT,RECORDATI RARE DISEASES CANADA INC
97096,02480433,SIGNIFOR LAR (pasireotide (pasireotide pamoate) 30 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe) NOVARTIS PHARMACEUTICALS CANADA INC,pasireotide (pasireotide pamoate) 30 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe,SIGNIFOR LAR,KIT INCLUDES 1 VIAL OF POWDER AND 1 PRE-FILLED SYRINGE OF DILUENT,RECORDATI RARE DISEASES CANADA INC
91971,02435381,SPIRIVA RESPIMAT (tiotropium (tiotropium bromide monohydrate) 2.5 mcg per actuation inhalation solution) BOEHRINGER INGELHEIM (CANADA) LTD LTEE,tiotropium (tiotropium bromide) 2.5 mcg per actuation inhalation solution,SPIRIVA RESPIMAT,FOR ORAL INHALATION WITH RESPIMAT INHALER ONLY. 5µG/DOSE,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
90364,02419106,COMBIVENT RESPIMAT (ipratropium bromide (ipratropium bromide monohydrate) 20 mcg per actuation and salbutamol (salbutamol sulfate) 100 mcg per actuation inhalation solution) BOEHRINGER INGELHEIM (CANADA) LTD LTEE,ipratropium bromide 20 mcg per actuation and salbutamol (salbutamol sulfate) 100 mcg per actuation inhalation solution,COMBIVENT RESPIMAT,FOR ORAL INHALATION. FOR USE ONLY WITH COMBIVENT RESPIMAT INHALER,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
92626,02441888,INSPIOLTO RESPIMAT (olodaterol (olodaterol hydrochloride) 2.5 mcg per actuation and tiotropium (tiotropium bromide monohydrate) 2.5 mcg per actuation inhalation solution) BOEHRINGER INGELHEIM (CANADA) LTD LTEE,olodaterol (olodaterol hydrochloride) 2.5 mcg per actuation and tiotropium (tiotropium bromide) 2.5 mcg per actuation inhalation solution,INSPIOLTO RESPIMAT,FOR ORAL INHALATION. WITH INSPIOLTO RESPIMAT INHALER,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
95852,02469707,RODAN+FIELDS SPOTLESS (benzoyl peroxide 5 % cutaneous cream with benzoyl peroxide 2.5 % lotion) RODAN & FIELDS LLC,benzoyl peroxide 5 % cutaneous cream with benzoyl peroxide 2.5 % lotion,RODAN+FIELDS SPOTLESS,NA,RODAN & FIELDS LLC
