"mp_code","drug_identification_number","brand_name","reason"
"00607770","00607770","RATIO-MORPHINE","New DIN, existing TM"
"00664227","00664227","DEXAMETHASONE SODIUM PHOSPHATE INJ USP 4MG/ML","New DIN, existing TM"
"00653217","00653217","RATIO-ECTOSONE","New DIN, existing TM"
"00594636","00594636","STATEX TABLET 25MG","New DIN, existing TM"
"00594644","00594644","STATEX TAB 10MG","New DIN, existing TM"
"00594652","00594652","STATEX TAB 5MG","New DIN, existing TM"
"00664553","00664553","PMS DOCUSATE-CALCIUM CAP 240MG USP","New DIN, existing TM"
"00675962","00675962","STATEX TABLETS 50MG","New DIN, existing TM"
"00653209","00653209","RATIO-ECTOSONE MILD LOTION 0.05%","New DIN, existing TM"
"00636908","00636908","MORPHINE SULFATE INJECTION USP","New DIN, existing TM"
"00705438","00705438","DILAUDID","New DIN, existing TM"
"00690791","00690791","RATIO-MORPHINE","New DIN, existing TM"
"00690783","00690783","RATIO-MORPHINE","New DIN, existing TM"
"00649619","00649619","MORPHINE SULFATE INJECTION USP","New DIN, existing TM"
"00703494","00703494","PMS-DOCUSATE SODIUM","New DIN, existing TM"
"00703508","00703508","PMS-DOCUSATE SODIUM","New DIN, existing TM"
"00704431","00704431","ANDROCUR","New DIN, existing TM"
"700528","00617288","MORPHINE HP 50 - 50MG/ML USP","New DIN, existing TM"
"700529","00617288","MORPHINE HP 50 - 50MG/ML USP","New DIN, existing TM"
"700530","00617288","MORPHINE HP 50 - 50MG/ML USP","New DIN, existing TM"
"700531","00617288","MORPHINE HP 50 - 50MG/ML USP","New DIN, existing TM"
"00670901","00670901","VASOTEC","New DIN, existing TM"
"00670928","00670928","VASOTEC","New DIN, existing TM"
"00708879","00708879","VASOTEC","New DIN, existing TM"
"00710814","00710814","EPINEPHRINE INJ 0.1MG/ML USP","New DIN, existing TM"
"00723908","00723908","TYLENOL EXTRA-STRENGTH CAPLETS 500MG","New DIN, existing TM"
"00723894","00723894","TYLENOL REGULAR STRENGTH CAPLETS 325MG","New DIN, existing TM"
"00647217","00647217","STATEX SYRUP 10MG/ML","New DIN, existing TM"
"00716618","00716618","BETADERM CRM 0.05%","New DIN, existing TM"
"00716650","00716650","BETADERM ONT 0.1%","New DIN, existing TM"
"00716731","00716731","TARO-DOCUSATE","New DIN, existing TM"
"00721891","00721891","EPINEPHRINE INJ 1MG/ML USP","New DIN, existing TM"
"00716626","00716626","BETADERM CRM 0.1%","New DIN, existing TM"
"00716634","00716634","BETADERM LOTION 0.1%","New DIN, existing TM"
"00716642","00716642","BETADERM ONT 0.05%","New DIN, existing TM"
"00786543","00786543","DILAUDID","New DIN, existing TM"
"00808571","00808571","TRIAZOLAM","New DIN, existing TM"
"00789798","00789798","ACETAMINOPHEN TAB 500MG USP","New DIN, existing TM"
"00789801","00789801","ACETAMINOPHEN TAB 325MG USP","New DIN, existing TM"
"00832030","00832030","DEXIDIN 20","New DIN, existing TM"
"00843792","00843792","NEOCITRAN EXTRA STRENGTH COLD & CONGESTION","New DIN, existing TM"
"00816086","00816086","FOLIC ACID INJECTION USP","New DIN, existing TM"
"00809055","00809055","TEVA-DOCUSATE CALCIUM","New DIN, existing TM"
"00860808","00860808","RATIO-SALBUTAMOL","New DIN, existing TM"
"00792691","00792691","PDP-ACETAMINOPHEN SOLUTION 160MG/5ML","New DIN, existing TM"
"00792713","00792713","PDP-ACETAMINOPHEN SOLUTION 80MG/5ML","New DIN, existing TM"
"00705799","00705799","STATEX DPS 50MG/ML","New DIN, existing TM"
"00842044","00842044","NOVO-DOCUSATE CALCIUM","New DIN, existing TM"
"00848417","00848417","PMS-DOCUSATE SODIUM","New DIN, existing TM"
"00786616","00786616","BRICANYL TURBUHALER","New DIN, existing TM"
"00832111","00832111","DEXIDIN LIQ 4%","New DIN, existing TM"
"00832138","00832138","DEXIDIN 2 DETERGENT","New DIN, existing TM"
"00785547","00785547","ASA SUPPOSITORIES 150MG","New DIN, existing TM"
"00582867","00582867","ASA SUPPOSITORIES 650MG","New DIN, existing TM"
"00611174","00611174","LOTRIDERM CREAM","New DIN, existing TM"
"00658413","00658413","BAXEDIN LIQ 20%","New DIN, existing TM"
"00880140","00880140","PMS-DOCUSATE SODIUM DROPS 10MG/ML","New DIN, existing TM"
"00657298","00657298","VASERETIC","New DIN, existing TM"
"00891835","00891835","DIFLUCAN INJ 2MG/ML","New DIN, existing TM"
"00778915","00778915","TOBRADEX","New DIN, existing TM"
"00765104","00765104","PMS-DOCUSATE SODIUM","New DIN, existing TM"
"00792659","00792659","PMS-CHLORAL HYDRATE SYRUP 100MG/ML","New DIN, existing TM"
"00870196","00870196","TEVA-DOCUSATE SODIUM","New DIN, existing TM"
"00800821","00800821","EXPECTORANT SYRUP","New DIN, existing TM"
"00783900","00783900","PMS-DEXAMETHASONE SOD PHOSPHATE INJ 10MG/ML","New DIN, existing TM"
"00852015","00852015","ENTROPHEN ECT 500MG","New DIN, existing TM"
"00830267","00830267","DOCUSATE SODIUM CAP 100MG USP","New DIN, existing TM"
"00441619","00441619","APO-HYDRALAZINE","New DIN, existing TM"
"00887587","00887587","PDP-ACETAMINOPHEN SOLUTION 80MG/ML","New DIN, existing TM"
"00180041","00180041","A.C. & C 8MG TAB","New DIN, existing TM"
"00778907","00778907","TOBRADEX","New DIN, existing TM"
"00876534","00876534","EPHEDRINE SULFATE INJECTION USP","New DIN, existing TM"
"00891177","00891177","PMS-ACETAMINOPHEN TAB 325MG","New DIN, existing TM"
"00892505","00892505","PMS-ACETAMINOPHEN TAB 500MG","New DIN, existing TM"
"00582301","00582301","DALACIN T 1%","New DIN, existing TM"
"00885428","00885428","PMS-HYDROMORPHONE TAB 8MG","New DIN, existing TM"
"00885444","00885444","PMS-HYDROMORPHONE TAB 1MG","New DIN, existing TM"
"00885401","00885401","PMS-HYDROMORPHONE TAB 4MG","New DIN, existing TM"
"00885436","00885436","PMS-HYDROMORPHONE TAB 2MG","New DIN, existing TM"
"00870226","00870226","RATIO-DOCUSATE SODIUM","New DIN, existing TM"
"00870218","00870218","DOCUSATE SODIUM","New DIN, existing TM"
"00614505","00614505","DOLORAL 5 SIROP 5MG/ML","New DIN, existing TM"
"00441627","00441627","APO-HYDRALAZINE","New DIN, existing TM"
"00441635","00441635","APO-HYDRALAZINE","New DIN, existing TM"
"00587273","00587273","PMS-BISACODYL","New DIN, existing TM"
"01905856","01905856","ACETAMINOPHEN COMPRIME A CROQUER 80MG","New DIN, existing TM"
"01905864","01905864","ACETAMINOPHEN SOLUTION ORAL GTTE 80MG/ML USP","New DIN, existing TM"
"01905392","01905392","ENTROPHEN 650MG CAPLET ECT","New DIN, existing TM"
"01930079","01930079","GERMI STAT GEL 2%","New DIN, existing TM"
"01925199","01925199","BENZAC W WASH GEL 10%","New DIN, existing TM"
"01916394","01916394","PMS HYDROMORPHONE SUPPOSITOIRE 3MG","New DIN, existing TM"
"01916386","01916386","PMS HYDROMORPHONE SIROP 1MG/ML","New DIN, existing TM"
"00704423","00704423","ANDROCUR DEPOT","New DIN, existing TM"
"01931032","01931032","ROBITUSSIN MUCUS & PHLEGM","New DIN, existing TM"
"00833223","00833223","CHILDREN'S ACETAMINOPHEN ELX 160MG","New DIN, existing TM"
"00874582","00874582","DEXAMETHASONE SOD PHOSPH INJ 10MG/ML USP","New DIN, existing TM"
"00723754","00723754","APRESOLINE","New DIN, existing TM"
"00872644","00872644","AMPICILLIN SODIUM FOR INJECTION, USP","New DIN, existing TM"
"00872652","00872652","AMPICILLIN SODIUM FOR INJECTION, USP","New DIN, existing TM"
"01933345","01933345","AMPICILLIN SODIUM FOR INJECTION, USP","New DIN, existing TM"
"01933353","01933353","AMPICILLIN SODIUM FOR INJECTION, USP","New DIN, existing TM"
"00830275","00830275","DOCUSATE CALCIUM CAP 240MG","New DIN, existing TM"
"01958836","01958836","ACETAMINOPHEN ORAL SOL FOR CHILDREN USP","New DIN, existing TM"
"01904132","01904132","ACETAMINOPHEN TABLETS EXTRA STRENGTH","New DIN, existing TM"
"01952129","01952129","EXPECTORANT SYRUP (SUCROSE FREE)","New DIN, existing TM"
"01926829","01926829","FLAGYSTATIN VAGINAL OVULE","New DIN, existing TM"
"01930087","01930087","GERMI STAT GEL 4%","New DIN, existing TM"
"00582883","00582883","PMS-BISACODYL","New DIN, existing TM"
"01953583","01953583","PHENYLEPHRINE HYDROCHLORIDE INJECTION USP","New DIN, existing TM"
"01945270","01945270","CILOXAN","New DIN, existing TM"
"01946897","01946897","PMS DEXAMETHASONE ELIXIR 0.5MG/5ML","New DIN, existing TM"
"01939947","01939947","E-Z SCRUB 747 4%","New DIN, existing TM"
"01977547","01977547","DEXAMETHASONE SODIUM PHOSPHATE INJECTION, USP","New DIN, existing TM"
"01966219","01966219","THEOLAIR","New DIN, existing TM"
"01926934","01926934","TEVA-SALBUTAMOL STERINEBS P.F.","New DIN, existing TM"
"01986864","01986864","RATIO-SALBUTAMOL","New DIN, existing TM"
"02009277","02009277","CROMOLYN EYE DROPS","New DIN, existing TM"
"00863270","00863270","TYLENOL EXTRA STRENGTH GELCAPS TAB 500MG","New DIN, existing TM"
"02021056","02021056","MORPHINE LP EPIDURAL","New DIN, existing TM"
"02021048","02021048","MORPHINE LP EPIDURAL","New DIN, existing TM"
"00692700","00692700","APO-THEO-LA SRT 300MG","New DIN, existing TM"
"00692697","00692697","APO-THEO-LA SRT 200MG","New DIN, existing TM"
"00692689","00692689","APO-THEO-LA SRT 100MG","New DIN, existing TM"
"02022214","02022214","ACÉTAMINOPHÈNE COMPRIMÉ TABLET 325","New DIN, existing TM"
"02022222","02022222","ACÉTAMINOPHÈNE COMPRIMÉ TABLET 500","New DIN, existing TM"
"02014327","02014327","MS CONTIN SRT 200MG","New DIN, existing TM"
"02014211","02014211","MS.IR","New DIN, existing TM"
"02014297","02014297","MS CONTIN SRT 30MG","New DIN, existing TM"
"02014319","02014319","MS CONTIN SRT 100MG","New DIN, existing TM"
"02017458","02017458","ACETAMINOPHENE 80MGCO.CROQUABLE POUR ENFANT","New DIN, existing TM"
"01990675","01990675","EXCEDRIN EXTRA STRENGTH","New DIN, existing TM"
"01962353","01962353","ACETAMINOPHEN CAPLETS EXTRA STRENGTH","New DIN, existing TM"
"02020025","02020025","APO-ENALAPRIL TAB 2.5MG","New DIN, existing TM"
"02019884","02019884","APO-ENALAPRIL TAB 5MG","New DIN, existing TM"
"02019892","02019892","APO-ENALAPRIL TAB 10MG","New DIN, existing TM"
"02019906","02019906","APO-ENALAPRIL TAB 20MG","New DIN, existing TM"
"02014300","02014300","MS CONTIN SRT 60MG","New DIN, existing TM"
"02015439","02015439","MS CONTIN SRT 15MG","New DIN, existing TM"
"01996169","01996169","ACETAMINOPHENE COMPRIMES CROQUABLES 160MG","New DIN, existing TM"
"02017431","02017431","ACETAMINOPHENE 160MGCO.CROQUABLE POUR ENFANT","New DIN, existing TM"
"00743542","00743542","ACETAMINOPHEN 325 MG USP REGULAR STRENGTH","New DIN, existing TM"
"00813095","00813095","EXPECTORANT COUGH FORMULA SYR 100MG/5ML","New DIN, existing TM"
"01994344","01994344","SOFLAX CAPSULES 100MG","New DIN, existing TM"
"01994042","01994042","HENRY SCHEIN ANTIMICROBIAL SKIN CLEANSER","New DIN, existing TM"
"02019949","02019949","M-ESLON","New DIN, existing TM"
"02019965","02019965","M-ESLON","New DIN, existing TM"
"02019957","02019957","M-ESLON","New DIN, existing TM"
"02019930","02019930","M-ESLON","New DIN, existing TM"
"01950541","01950541","RHINARIS-CS ANTI-ALLERGIC NASAL MIST","New DIN, existing TM"
"02046679","02046679","PMS-ACETAMINOPHEN SUPPOSITORIES 160MG","New DIN, existing TM"
"02046687","02046687","PMS-ACETAMINOPHEN SUPPOSITORIES 325MG","New DIN, existing TM"
"02046660","02046660","PMS-ACETAMINOPHEN SUPPOSITORIES 120MG","New DIN, existing TM"
"02046695","02046695","PMS-ACETAMINOPHEN SUPPOSITORIES 650MG","New DIN, existing TM"
"02050161","02050161","ENTROPHEN 325MG CAPLETS","New DIN, existing TM"
"02046113","02046113","PMS-SODIUM CROMOGLYCATE","New DIN, existing TM"
"01919385","01919385","ABENOL","New DIN, existing TM"
"01919393","01919393","ABENOL","New DIN, existing TM"
"01919407","01919407","ABENOL","New DIN, existing TM"
"01916947","01916947","BACTROBAN","New DIN, existing TM"
"02046245","02046245","PREVORA STAGE 1","New DIN, existing TM"
"02047667","02047667","MERSYNDOL WITH CODEINE","New DIN, existing TM"
"02060604","02060604","DALACIN VAGINAL CREAM 20 MG","New DIN, existing TM"
"02014203","02014203","MS.IR","New DIN, existing TM"
"02014165","02014165","UNIPHYL","New DIN, existing TM"
"02014238","02014238","MS.IR","New DIN, existing TM"
"02014254","02014254","MS.IR","New DIN, existing TM"
"02014181","02014181","UNIPHYL","New DIN, existing TM"
"02020084","02020084","NOVO-DOCUSATE","New DIN, existing TM"
"02053632","02053632","CHLORHEXIDINE GLUCONATE SOLUTION USP 20%","New DIN, existing TM"
"02126222","02126222","APO-IPRAVENT SOLUTION - INH 250MCG/ML","New DIN, existing TM"
"00832146","00832146","CHLORHEXIDINE GLUCONATE SOLUTION 0.05%","New DIN, existing TM"
"02141442","02141442","DIFLUCAN ONE","New DIN, existing TM"
"02024152","02024152","DIFLUCAN PWS 50MG/5ML","New DIN, existing TM"
"02148714","02148714","NALOXONE HCL INJECTION - 1MG/ML USP","New DIN, existing TM"
"02148706","02148706","NALOXONE HCL INJECTION - 0.4MG/ML USP","New DIN, existing TM"
"02146851","02146851","APO-SALVENT TABLETS - 4MG","New DIN, existing TM"
"02146843","02146843","APO-SALVENT TABLETS - 2MG","New DIN, existing TM"
"02145901","02145901","HYDROMORPHONE HYDROCHLORIDE INJECTION USP","New DIN, existing TM"
"700532","02145928","HYDROMORPHONE HP 10","New DIN, existing TM"
"700533","02145928","HYDROMORPHONE HP 10","New DIN, existing TM"
"700534","02145928","HYDROMORPHONE HP 10","New DIN, existing TM"
"700535","02145928","HYDROMORPHONE HP 10","New DIN, existing TM"
"700536","02146126","HYDROMORPHONE HP 50","New DIN, existing TM"
"700537","02146126","HYDROMORPHONE HP 50","New DIN, existing TM"
"700538","02146126","HYDROMORPHONE HP 50","New DIN, existing TM"
"700539","02146126","HYDROMORPHONE HP 50","New DIN, existing TM"
"700540","02145936","HYDROMORPHONE HP 20","New DIN, existing TM"
"700541","02145936","HYDROMORPHONE HP 20","New DIN, existing TM"
"700542","02145936","HYDROMORPHONE HP 20","New DIN, existing TM"
"02009013","02009013","ASAPHEN","New DIN, existing TM"
"02125323","02125323","HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 3MG","New DIN, existing TM"
"02125331","02125331","HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 6MG","New DIN, existing TM"
"02148455","02148455","MINIMS PHENYLEPHRINE HYDROCHLORIDE 10%","New DIN, existing TM"
"02006758","02006758","SOFLAX SYRUP 4MG/ML","New DIN, existing TM"
"02148447","02148447","MINIMS PHENYLEPHRINE HYDROCHLORIDE 2.5%","New DIN, existing TM"
"02177757","02177757","M-ESLON","New DIN, existing TM"
"02177749","02177749","M-ESLON","New DIN, existing TM"
"700543","02139286","CLINDAMYCIN INJECTION","New DIN, existing TM"
"700544","02139286","CLINDAMYCIN INJECTION","New DIN, existing TM"
"700545","02139286","CLINDAMYCIN INJECTION","New DIN, existing TM"
"700546","02139286","CLINDAMYCIN INJECTION","New DIN, existing TM"
"02142783","02142783","ROBITUSSIN MUCUS & PHLEGM EXTRA STRENGTH","New DIN, existing TM"
"02173360","02173360","TEVA-SALBUTAMOL STERINEBS P.F.","New DIN, existing TM"
"02144514","02144514","PAINAID FREE ACETAMINOPHEN TABLETS - 500MG","New DIN, existing TM"
"00750050","00750050","RATIO-ECTOSONE REGULAR LOTION 0.1%","New DIN, existing TM"
"02163705","02163705","ATROVENT NASAL SPRAY","New DIN, existing TM"
"01977415","01977415","ACETAMINOPHEN CAPLET 325MG USP","New DIN, existing TM"
"01977474","01977474","ACETAMINOPHEN CAPLET 500MG","New DIN, existing TM"
"02182866","02182866","DALACIN C 300 MG","New DIN, existing TM"
"02150328","02150328","ASPIRIN REGULAR STRENGTH","New DIN, existing TM"
"02150336","02150336","ASPIRIN EXTRA STRENGTH","New DIN, existing TM"
"02150417","02150417","ASPIRIN COATED FOR DELAYED RELEASE REGULAR STRENGTH","New DIN, existing TM"
"02004992","02004992","CHLORHEXSEPTIC-LIQ 0.5MG/ML","New DIN, existing TM"
"02163713","02163713","ATROVENT NASAL SPRAY","New DIN, existing TM"
"700547","02099705","METHOTREXATE SODIUM INJECTION","New DIN, existing TM"
"700548","02099705","METHOTREXATE SODIUM INJECTION","New DIN, existing TM"
"700549","02099705","METHOTREXATE SODIUM INJECTION","New DIN, existing TM"
"02208245","02208245","PMS-SALBUTAMOL","New DIN, existing TM"
"02208237","02208237","PMS-SALBUTAMOL","New DIN, existing TM"
"02208229","02208229","PMS-SALBUTAMOL","New DIN, existing TM"
"700550","02097168","RATIO-IPRATROPIUM UDV","New DIN, existing TM"
"700551","02097168","RATIO-IPRATROPIUM UDV","New DIN, existing TM"
"01925202","01925202","SOLUPREP ANTISEPTIC SKIN CLEANSER","New DIN, existing TM"
"02216205","02216205","TRUSOPT","New DIN, existing TM"
"02125366","02125366","HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 12MG","New DIN, existing TM"
"02125382","02125382","HYDROMORPH CONTIN-CONTROLLED RELEASE CAP - 24MG","New DIN, existing TM"
"02209055","02209055","ORO-CLENSE","New DIN, existing TM"
"02162121","02162121","BENZAGEL 5 WASH","New DIN, existing TM"
"01936441","01936441","BAXEDIN PRE-OP","New DIN, existing TM"
"01938088","01938088","ACETAMINOPHEN 325MG TAB","New DIN, existing TM"
"01939122","01939122","ACETAMINOPHEN EXTRA STRENGTH TAB 500MG USP","New DIN, existing TM"
"01964070","01964070","PMS DEXAMETHASONE TAB 4MG","New DIN, existing TM"
"01964968","01964968","PMS DEXAMETHASONE TAB 0.75MG USP","New DIN, existing TM"
"01964976","01964976","PMS DEXAMETHASONE TAB 0.5MG USP","New DIN, existing TM"
"02015676","02015676","CHILDREN'S ACETAMINOPHEN TABLETS","New DIN, existing TM"
"02029529","02029529","SOFLAX","New DIN, existing TM"
"02072955","02072955","SOLUPREP LD SPONGE","New DIN, existing TM"
"02086018","02086018","COLACE SYRUP","New DIN, existing TM"
"02090163","02090163","COLACE","New DIN, existing TM"
"02106256","02106256","COLACE CAPSULES","New DIN, existing TM"
"02119242","02119242","FS ANTIMICROBIAL HAND CLEANER - 2.5% LIQ","New DIN, existing TM"
"02121999","02121999","BRONCHOPHAN EXPECTORANT (SANS SUCROSE)","New DIN, existing TM"
"02139480","02139480","FOLIC ACID INJECTION","New DIN, existing TM"
"02142805","02142805","JUNIOR STRENGTH ACETAMINOPHEN TABLETS-160MG","New DIN, existing TM"
"02226871","02226871","ACETAMINOPHENE - LIQ 160 MG/5 ML","New DIN, existing TM"
"02226898","02226898","ACETAMINOPHENE - LIQ 80 MG/ML","New DIN, existing TM"
"02162113","02162113","BENZAGEL 5 GEL","New DIN, existing TM"
