"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name","Health_Canada_identifier","Health_Canada_description"
"8000010","methylphenidate","9012386","methylphenidate hydrochloride 100 mg NA","02470357","FOQUEST (methylphenidate hydrochloride 100 mg NA) PURDUE PHARMA","02470357",""
"8000010","methylphenidate","9012387","methylphenidate hydrochloride 25 mg NA","02470292","FOQUEST (methylphenidate hydrochloride 25 mg NA) PURDUE PHARMA","02470292",""
"8000010","methylphenidate","9012388","methylphenidate hydrochloride 35 mg NA","02470306","FOQUEST (methylphenidate hydrochloride 35 mg NA) PURDUE PHARMA","02470306",""
"8000010","methylphenidate","9012389","methylphenidate hydrochloride 45 mg NA","02470314","FOQUEST (methylphenidate hydrochloride 45 mg NA) PURDUE PHARMA","02470314",""
"8000010","methylphenidate","9012390","methylphenidate hydrochloride 55 mg NA","02470322","FOQUEST (methylphenidate hydrochloride 55 mg NA) PURDUE PHARMA","02470322",""
"8000010","methylphenidate","9012391","methylphenidate hydrochloride 70 mg NA","02470330","FOQUEST (methylphenidate hydrochloride 70 mg NA) PURDUE PHARMA","02470330",""
"8000010","methylphenidate","9012392","methylphenidate hydrochloride 85 mg NA","02470349","FOQUEST (methylphenidate hydrochloride 85 mg NA) PURDUE PHARMA","02470349",""
"8000024","amitriptyline","9012371","amitriptyline hydrochloride 100 mg oral tablet","02468409","PMS-AMITRIPTYLINE (amitriptyline hydrochloride 100 mg oral tablet) PHARMASCIENCE INC","02468409",""
"8000028","dexamethasone (base)","9000037","dexamethasone 0.1 % ophthalmic ointment","00042579","MAXIDEX (dexamethasone 0.1 % ophthalmic ointment) NOVARTIS PHARMACEUTICALS CANADA INC","00042579",""
"8000028","dexamethasone (base)","9000099","dexamethasone 0.1 % ophthalmic drops","00042560","MAXIDEX (dexamethasone 0.1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","00042560",""
"8000028","dexamethasone (base)","9000413","dexamethasone 0.5 mg per 5 mL oral liquid","01946897","PMS DEXAMETHASONE ELIXIR 0.5MG/5ML (dexamethasone 0.5 mg per 5 mL oral liquid) PHARMASCIENCE INC","01946897",""
"8000028","dexamethasone (base)","9000648","dexamethasone 0.5 mg oral tablet","01964976","PMS DEXAMETHASONE TAB 0.5MG USP (dexamethasone 0.5 mg oral tablet) PHARMASCIENCE INC","01964976",""
"8000028","dexamethasone (base)","9000648","dexamethasone 0.5 mg oral tablet","02261081","APO-DEXAMETHASONE (dexamethasone 0.5 mg oral tablet) APOTEX INC","02261081",""
"8000028","dexamethasone (base)","9000650","dexamethasone 0.75 mg oral tablet","01964968","PMS DEXAMETHASONE TAB 0.75MG USP (dexamethasone 0.75 mg oral tablet) PHARMASCIENCE INC","01964968",""
"8000028","dexamethasone (base)","9000651","dexamethasone 4 mg oral tablet","01964070","PMS DEXAMETHASONE TAB 4MG (dexamethasone 4 mg oral tablet) PHARMASCIENCE INC","01964070",""
"8000028","dexamethasone (base)","9000651","dexamethasone 4 mg oral tablet","02240687","RATIO-DEXAMETHASONE (dexamethasone 4 mg oral tablet) TEVA CANADA LIMITED","02240687",""
"8000028","dexamethasone (base)","9000651","dexamethasone 4 mg oral tablet","02250055","APO-DEXAMETHASONE (dexamethasone 4 mg oral tablet) APOTEX INC","02250055",""
"8000028","dexamethasone (base)","9000651","dexamethasone 4 mg oral tablet","02311267","PRO-DEXAMETHASONE - 4 (dexamethasone 4 mg oral tablet) PRO DOC LIMITEE","02311267",""
"8000028","dexamethasone (base)","9001152","dexamethasone 2 mg oral tablet","02279363","PMS-DEXAMETHASONE (dexamethasone 2 mg oral tablet) PHARMASCIENCE INC","02279363",""
"8000028","dexamethasone (base)","9001348","dexamethasone 0.7 mg intravitreal implant","02363445","OZURDEX (dexamethasone 0.7 mg intravitreal implant) ALLERGAN INC","02363445","IMPLANT IN SINGLE-USE APPLICATOR. PRESERVATIVE-FREE"
"8000028","dexamethasone (base)","9006551","dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection vial","00874582","DEXAMETHASONE SOD PHOSPH INJ 10MG/ML USP (dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED","00874582",""
"8000036","clindamycin","9000048","clindamycin (clindamycin hydrochloride) 150 mg oral capsule","00030570","DALACIN C 150 MG (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) PFIZER CANADA INC","00030570",""
"8000036","clindamycin","9000048","clindamycin (clindamycin hydrochloride) 150 mg oral capsule","02241709","TEVA-CLINDAMYCIN (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) TEVA CANADA LIMITED","02241709",""
"8000036","clindamycin","9000048","clindamycin (clindamycin hydrochloride) 150 mg oral capsule","02245232","APO-CLINDAMYCIN (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) APOTEX INC","02245232",""
"8000036","clindamycin","9000048","clindamycin (clindamycin hydrochloride) 150 mg oral capsule","02248525","CLINDAMYCINE-150 (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) PRO DOC LIMITEE","02248525",""
"8000036","clindamycin","9000048","clindamycin (clindamycin hydrochloride) 150 mg oral capsule","02258331","MYLAN-CLINDAMYCIN (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) MYLAN PHARMACEUTICALS ULC","02258331",""
"8000036","clindamycin","9000048","clindamycin (clindamycin hydrochloride) 150 mg oral capsule","02468476","RIVA-CLINDAMYCIN (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) LABORATOIRE RIVA INC","02468476",""
"8000036","clindamycin","9000058","clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution","00225851","DALACIN C FLAVOURED GRANULES (clindamycin (clindamycin 2-palmitate hydrochloride) 75 mg per 5 mL powder for oral solution) PFIZER CANADA INC","00225851",""
"8000036","clindamycin","9000064","clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial","700524","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) PFIZER CANADA INC","00260436",""
"8000036","clindamycin","9000064","clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial","700543","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02139286",""
"8000036","clindamycin","9000064","clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial","700557","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02230535","PHARMACY BULK VIALS"
"8000036","clindamycin","9000065","clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial","700525","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) PFIZER CANADA INC","00260436",""
"8000036","clindamycin","9000065","clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial","700544","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02139286",""
"8000036","clindamycin","9000065","clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial","700558","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02230535","PHARMACY BULK VIALS"
"8000036","clindamycin","9000066","clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial","700527","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial) PFIZER CANADA INC","00260436",""
"8000036","clindamycin","9000066","clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial","700546","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02139286",""
"8000036","clindamycin","9000067","clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial","700526","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) PFIZER CANADA INC","00260436",""
"8000036","clindamycin","9000067","clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial","700545","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02139286",""
"8000036","clindamycin","9000067","clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial","700559","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) SANDOZ CANADA INCORPORATED","02230535","PHARMACY BULK VIALS"
"8000036","clindamycin","9000377","clindamycin (clindamycin phosphate) 1 % cutaneous solution","00582301","DALACIN T 1% (clindamycin (clindamycin phosphate) 1 % cutaneous solution) PFIZER CANADA INC","00582301",""
"8000036","clindamycin","9000377","clindamycin (clindamycin phosphate) 1 % cutaneous solution","02243659","CLINDA-T (clindamycin (clindamycin phosphate) 1 % cutaneous solution) VALEANT CANADA LP/VALEANT CANADA S.E.C.","02243659",""
"8000036","clindamycin","9000377","clindamycin (clindamycin phosphate) 1 % cutaneous solution","02266938","TARO-CLINDAMYCIN (clindamycin (clindamycin phosphate) 1 % cutaneous solution) TARO PHARMACEUTICALS INC","02266938",""
"8000036","clindamycin","9000510","clindamycin (clindamycin phosphate) 20 mg per g vaginal cream","02060604","DALACIN VAGINAL CREAM 20 MG (clindamycin (clindamycin phosphate) 20 mg per g vaginal cream) PFIZER CANADA INC","02060604",""
"8000036","clindamycin","9000562","clindamycin (clindamycin hydrochloride) 300 mg oral capsule","02182866","DALACIN C 300 MG (clindamycin (clindamycin hydrochloride) 300 mg oral capsule) PFIZER CANADA INC","02182866",""
"8000036","clindamycin","9000562","clindamycin (clindamycin hydrochloride) 300 mg oral capsule","02241710","TEVA-CLINDAMYCIN (clindamycin (clindamycin hydrochloride) 300 mg oral capsule) TEVA CANADA LIMITED","02241710",""
"8000036","clindamycin","9000562","clindamycin (clindamycin hydrochloride) 300 mg oral capsule","02245233","APO-CLINDAMYCIN (clindamycin (clindamycin hydrochloride) 300 mg oral capsule) APOTEX INC","02245233",""
"8000036","clindamycin","9000562","clindamycin (clindamycin hydrochloride) 300 mg oral capsule","02248526","CLINDAMYCINE-300 (clindamycin (clindamycin hydrochloride) 300 mg oral capsule) PRO DOC LIMITEE","02248526",""
"8000036","clindamycin","9000562","clindamycin (clindamycin hydrochloride) 300 mg oral capsule","02258358","MYLAN-CLINDAMYCIN (clindamycin (clindamycin hydrochloride) 300 mg oral capsule) MYLAN PHARMACEUTICALS ULC","02258358",""
"8000036","clindamycin","9000562","clindamycin (clindamycin hydrochloride) 300 mg oral capsule","02468484","RIVA-CLINDAMYCIN (clindamycin (clindamycin hydrochloride) 300 mg oral capsule) LABORATOIRE RIVA INC","02468484",""
"8000036","clindamycin","9001409","clindamycin (clindamycin phosphate) 600 mg per 50 mL solution for injection bag","02408511","CLINDAMYCIN IV INFUSION (clindamycin (clindamycin phosphate) 600 mg per 50 mL solution for injection bag) SANDOZ CANADA INCORPORATED","02408511","600MG/50ML MINIBAGS. SINGLE USE."
"8000036","clindamycin","9001410","clindamycin (clindamycin phosphate) 900 mg per 50 mL solution for injection bag","02408538","CLINDAMYCIN IV INFUSION (clindamycin (clindamycin phosphate) 900 mg per 50 mL solution for injection bag) SANDOZ CANADA INCORPORATED","02408538","900MG/50ML MINIBAGS. SINGLE USE."
"8000036","clindamycin","9001439","clindamycin hydrochloride 150 mg oral capsule","02436906","AURO-CLINDAMYCIN (clindamycin hydrochloride 150 mg oral capsule) AURO PHARMA INC","02436906",""
"8000036","clindamycin","9001440","clindamycin hydrochloride 300 mg oral capsule","02436914","AURO-CLINDAMYCIN (clindamycin hydrochloride 300 mg oral capsule) AURO PHARMA INC","02436914",""
"8000036","clindamycin","9006263","clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 120 mL vial","700561","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 120 mL vial) SANDOZ CANADA INCORPORATED","02230540",""
"8000036","clindamycin","9006264","clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 60 mL vial","700560","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 60 mL vial) SANDOZ CANADA INCORPORATED","02230540",""
"8000050","nitrofurantoin","9000485","nitrofurantoin 100 mg oral capsule","02466392","AURO-NITROFURANTOIN (nitrofurantoin 100 mg oral capsule) AURO PHARMA INC","02466392",""
"8000055","folic acid","9000089","folic acid 25 mg oral tablet","00356557","FOLIC ACID TAB 25MG (folic acid 25 mg oral tablet) KRIPPS PHARMACY LTD.","00356557",""
"8000055","folic acid","9000109","folic acid 5 mg oral tablet","00426849","APO FOLIC ACID TAB 5MG (folic acid 5 mg oral tablet) APOTEX INC","00426849",""
"8000055","folic acid","9000109","folic acid 5 mg oral tablet","02285673","SANDOZ FOLIC ACID (folic acid 5 mg oral tablet) SANDOZ CANADA INCORPORATED","02285673",""
"8000055","folic acid","9000109","folic acid 5 mg oral tablet","02366061","JAMP-FOLIC ACID (folic acid 5 mg oral tablet) JAMP PHARMA CORPORATION","02366061",""
"8000055","folic acid","9006567","folic acid (sodium folate) 50 mg per 10 mL solution for injection vial","00816086","FOLIC ACID INJECTION USP (folic acid (sodium folate) 50 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED","00816086",""
"8000055","folic acid","9006567","folic acid (sodium folate) 50 mg per 10 mL solution for injection vial","02139480","FOLIC ACID INJECTION (folic acid (sodium folate) 50 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02139480",""
"8000057","furosemide","9012383","furosemide 10 mg per mL solution for injection","02461404","FUROSEMIDE INJECTION USP (furosemide 10 mg per mL solution for injection) STERIMAX INC","02461404","SINGLE USE VIALS"
"8000066","baclofen","9012372","baclofen 0.05 mg per mL solution for injection","02457059","BACLOFEN INJECTION (baclofen 0.05 mg per mL solution for injection) TELIGENT OU","02457059",""
"8000066","baclofen","9012373","baclofen 0.5 mg per mL solution for injection","02457067","BACLOFEN INJECTION (baclofen 0.5 mg per mL solution for injection) TELIGENT OU","02457067",""
"8000066","baclofen","9012374","baclofen 2 mg per mL solution for injection","02457075","BACLOFEN INJECTION (baclofen 2 mg per mL solution for injection) TELIGENT OU","02457075",""
"8000071","morphine","9000111","morphine sulfate 15 mg per 1 mL solution for injection ampoule","00392561","MORPHINE SULFATE INJ 15MG/ML USP (morphine sulfate 15 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","00392561",""
"8000071","morphine","9000209","morphine hydrochloride 1 mg per mL syrup","00607762","RATIO-MORPHINE (morphine hydrochloride 1 mg per mL syrup) TEVA CANADA LIMITED","00607762",""
"8000071","morphine","9000209","morphine hydrochloride 1 mg per mL syrup","00614491","DOLORAL 1 (morphine hydrochloride 1 mg per mL syrup) LABORATOIRE ATLAS INC","00614491",""
"8000071","morphine","9000210","morphine sulfate 1 mg per mL syrup","00591467","STATEX SYRUP 1MG/ML (morphine sulfate 1 mg per mL syrup) PALADIN LABS INC","00591467",""
"8000071","morphine","9000211","morphine sulfate 20 mg per mL oral drops","00621935","STATEX DROPS 20MG/ML (morphine sulfate 20 mg per mL oral drops) PALADIN LABS INC","00621935",""
"8000071","morphine","9000212","morphine sulfate 5 mg per mL syrup","00591475","STATEX SYRUP 5MG/ML (morphine sulfate 5 mg per mL syrup) PALADIN LABS INC","00591475",""
"8000071","morphine","9000228","morphine hydrochloride 5 mg per mL syrup","00607770","RATIO-MORPHINE (morphine hydrochloride 5 mg per mL syrup) TEVA CANADA LIMITED","00607770",""
"8000071","morphine","9000228","morphine hydrochloride 5 mg per mL syrup","00614505","DOLORAL 5 SIROP 5MG/ML (morphine hydrochloride 5 mg per mL syrup) LABORATOIRE ATLAS INC","00614505",""
"8000071","morphine","9000229","morphine sulfate 10 mg oral tablet","00594644","STATEX TAB 10MG (morphine sulfate 10 mg oral tablet) PALADIN LABS INC","00594644",""
"8000071","morphine","9000229","morphine sulfate 10 mg oral tablet","02014211","MS.IR (morphine sulfate 10 mg oral tablet) PURDUE PHARMA","02014211",""
"8000071","morphine","9000230","morphine sulfate 10 mg suppository","00632201","STATEX-SUPPOSITORIES 10MG (morphine sulfate 10 mg suppository) PALADIN LABS INC","00632201",""
"8000071","morphine","9000231","morphine sulfate 20 mg suppository","00596965","STATEX SUPPOSITORIES 20MG (morphine sulfate 20 mg suppository) PALADIN LABS INC","00596965",""
"8000071","morphine","9000232","morphine sulfate 25 mg oral tablet","00594636","STATEX TABLET 25MG (morphine sulfate 25 mg oral tablet) PALADIN LABS INC","00594636",""
"8000071","morphine","9000233","morphine sulfate 5 mg oral tablet","00594652","STATEX TAB 5MG (morphine sulfate 5 mg oral tablet) PALADIN LABS INC","00594652",""
"8000071","morphine","9000233","morphine sulfate 5 mg oral tablet","02014203","MS.IR (morphine sulfate 5 mg oral tablet) PURDUE PHARMA","02014203",""
"8000071","morphine","9000258","morphine hydrochloride 10 mg per mL syrup","00690783","RATIO-MORPHINE (morphine hydrochloride 10 mg per mL syrup) TEVA CANADA LIMITED","00690783",""
"8000071","morphine","9000259","morphine hydrochloride 20 mg per mL syrup","00690791","RATIO-MORPHINE (morphine hydrochloride 20 mg per mL syrup) TEVA CANADA LIMITED","00690791",""
"8000071","morphine","9000260","morphine sulfate 150 mg per 30 mL solution for injection vial","00649619","MORPHINE SULFATE INJECTION USP (morphine sulfate 150 mg per 30 mL solution for injection vial) ICU MEDICAL CANADA INC","00649619","SINGLE-USE, PRESERVATIVE-FREE"
"8000071","morphine","9000262","morphine sulfate 30 mg per 30 mL solution for injection vial","00636908","MORPHINE SULFATE INJECTION USP (morphine sulfate 30 mg per 30 mL solution for injection vial) ICU MEDICAL CANADA INC","00636908","SINGLE-USE, PRESERVATIVE-FREE"
"8000071","morphine","9000263","morphine sulfate 50 mg oral tablet","00675962","STATEX TABLETS 50MG (morphine sulfate 50 mg oral tablet) PALADIN LABS INC","00675962",""
"8000071","morphine","9000264","morphine sulfate 50 mg per mL oral drops","00705799","STATEX DPS 50MG/ML (morphine sulfate 50 mg per mL oral drops) PALADIN LABS INC","00705799",""
"8000071","morphine","9000280","morphine sulfate 10 mg per mL syrup","00647217","STATEX SYRUP 10MG/ML (morphine sulfate 10 mg per mL syrup) PALADIN LABS INC","00647217",""
"8000071","morphine","9000299","morphine sulfate 10 mg per 1 mL solution for injection ampoule","00392588","MORPHINE SULFATE INJ 10MG/ML USP (morphine sulfate 10 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","00392588",""
"8000071","morphine","9000299","morphine sulfate 10 mg per 1 mL solution for injection ampoule","700573","MORPHINE SULFATE INJECTION SDZ (morphine sulfate 10 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","02382997","1ML & 5ML AMPOULES"
"8000071","morphine","9000389","morphine sulfate 20 mg oral tablet","02014238","MS.IR (morphine sulfate 20 mg oral tablet) PURDUE PHARMA","02014238",""
"8000071","morphine","9000390","morphine sulfate 30 mg oral tablet","02014254","MS.IR (morphine sulfate 30 mg oral tablet) PURDUE PHARMA","02014254",""
"8000071","morphine","9000432","morphine sulfate 5 mg per 10 mL solution for injection ampoule","02021056","MORPHINE LP EPIDURAL (morphine sulfate 5 mg per 10 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","02021056",""
"8000071","morphine","9000433","morphine sulfate 5 mg per 5 mL solution for injection ampoule","02021048","MORPHINE LP EPIDURAL (morphine sulfate 5 mg per 5 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","02021048",""
"8000071","morphine","9000474","morphine sulfate 100 mg prolonged-release oral capsule","02019965","M-ESLON (morphine sulfate 100 mg prolonged-release oral capsule) ETHYPHARM INC","02019965",""
"8000071","morphine","9000474","morphine sulfate 100 mg prolonged-release oral capsule","02184451","KADIAN (morphine sulfate 100 mg prolonged-release oral capsule) BGP PHARMA ULC","02184451",""
"8000071","morphine","9000475","morphine sulfate 100 mg prolonged-release oral tablet","02014319","MS CONTIN SRT 100MG (morphine sulfate 100 mg prolonged-release oral tablet) PURDUE PHARMA","02014319",""
"8000071","morphine","9000475","morphine sulfate 100 mg prolonged-release oral tablet","02302799","TEVA-MORPHINE SR (morphine sulfate 100 mg prolonged-release oral tablet) TEVA CANADA LIMITED","02302799",""
"8000071","morphine","9000476","morphine sulfate 10 mg prolonged-release oral capsule","02019930","M-ESLON (morphine sulfate 10 mg prolonged-release oral capsule) ETHYPHARM INC","02019930",""
"8000071","morphine","9000476","morphine sulfate 10 mg prolonged-release oral capsule","02242163","KADIAN (morphine sulfate 10 mg prolonged-release oral capsule) BGP PHARMA ULC","02242163",""
"8000071","morphine","9000477","morphine sulfate 15 mg prolonged-release oral tablet","02015439","MS CONTIN SRT 15MG (morphine sulfate 15 mg prolonged-release oral tablet) PURDUE PHARMA","02015439",""
"8000071","morphine","9000477","morphine sulfate 15 mg prolonged-release oral tablet","02244790","SANDOZ MORPHINE SR (morphine sulfate 15 mg prolonged-release oral tablet) SANDOZ CANADA INCORPORATED","02244790",""
"8000071","morphine","9000477","morphine sulfate 15 mg prolonged-release oral tablet","02302764","TEVA-MORPHINE SR (morphine sulfate 15 mg prolonged-release oral tablet) TEVA CANADA LIMITED","02302764",""
"8000071","morphine","9000477","morphine sulfate 15 mg prolonged-release oral tablet","02350815","MORPHINE SR (morphine sulfate 15 mg prolonged-release oral tablet) SANIS HEALTH INC","02350815",""
"8000071","morphine","9000478","morphine sulfate 200 mg prolonged-release oral tablet","02014327","MS CONTIN SRT 200MG (morphine sulfate 200 mg prolonged-release oral tablet) PURDUE PHARMA","02014327",""
"8000071","morphine","9000478","morphine sulfate 200 mg prolonged-release oral tablet","02302802","TEVA-MORPHINE SR (morphine sulfate 200 mg prolonged-release oral tablet) TEVA CANADA LIMITED","02302802",""
