"greater_than_5_AIs","ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name","n_mp"
"FALSE","9000385",NA,NA,"active","1991-12-31",NA,"hydromorphone hydrochloride 3 mg suppository","1"
"FALSE","9000389",NA,NA,"active","1991-12-31",NA,"morphine sulfate 20 mg oral tablet","1"
"FALSE","9000390",NA,NA,"active","1991-12-31",NA,"morphine sulfate 30 mg oral tablet","1"
"FALSE","9002330",NA,NA,"active","1991-12-31",NA,"acetaminophen 160 mg per 5 mL oral solution","4"
"FALSE","9002334",NA,NA,"active","1991-12-31",NA,"acetaminophen 80 mg oral tablet","4"
"FALSE","9002336",NA,NA,"active","1991-12-31",NA,"acetaminophen 80 mg per 5 mL syrup","1"
"FALSE","9002337",NA,NA,"active","1991-12-31",NA,"acetaminophen 80 mg per mL oral drops","2"
"FALSE","9002343",NA,NA,"active","1991-12-31",NA,"benzoyl peroxide 10 % cutaneous gel","1"
"FALSE","9002344",NA,NA,"active","1991-12-31",NA,"bisacodyl 5 mg oral tablet","10"
"FALSE","9002348",NA,NA,"active","1991-12-31",NA,"chlorhexidine gluconate 2 % cutaneous gel","1"
"FALSE","9002358",NA,NA,"active","1991-12-31",NA,"docusate sodium 10 mg per mL oral solution","2"
"FALSE","9002359",NA,NA,"active","1991-12-31",NA,"docusate sodium 20 mg per 5 mL syrup","3"
"FALSE","9002373",NA,NA,"active","1991-12-31",NA,"hydralazine hydrochloride 25 mg oral tablet","2"
"FALSE","9002374",NA,NA,"active","1991-12-31",NA,"hydralazine hydrochloride 50 mg oral tablet","2"
"FALSE","9006324",NA,NA,"active","1991-12-31",NA,"acetaminophen 80 mg per mL NA","1"
"FALSE","9000408",NA,NA,"active","1992-12-31",NA,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % ophthalmic drops","2"
"FALSE","9000413",NA,NA,"active","1992-12-31",NA,"dexamethasone 0.5 mg per 5 mL oral liquid","1"
"FALSE","9000444",NA,NA,"active","1992-12-31",NA,"salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL inhalation solution unit dose vial","2"
"FALSE","9002400",NA,NA,"active","1992-12-31",NA,"acetaminophen 120 mg suppository","3"
"FALSE","9002401",NA,NA,"active","1992-12-31",NA,"acetaminophen 160 mg per 5 mL oral liquid","2"
"FALSE","9002402",NA,NA,"active","1992-12-31",NA,"acetaminophen 160 mg per 5 mL oral suspension","4"
"FALSE","9002404",NA,NA,"active","1992-12-31",NA,"acetaminophen 325 mg suppository","3"
"FALSE","9002407",NA,NA,"active","1992-12-31",NA,"acetaminophen 650 mg suppository","3"
"FALSE","9002413",NA,NA,"active","1992-12-31",NA,"ampicillin (ampicillin sodium) 1000 mg per vial powder for solution for injection","1"
"FALSE","9002414",NA,NA,"active","1992-12-31",NA,"ampicillin (ampicillin sodium) 2000 mg per vial powder for solution for injection","1"
"FALSE","9002415",NA,NA,"active","1992-12-31",NA,"ampicillin (ampicillin sodium) 250 mg per vial powder for solution for injection","3"
"FALSE","9002416",NA,NA,"active","1992-12-31",NA,"ampicillin (ampicillin sodium) 500 mg per vial powder for solution for injection","3"
"FALSE","9002430",NA,NA,"active","1992-12-31",NA,"chlorhexidine gluconate 0.05 % cutaneous solution","3"
"FALSE","9002434",NA,NA,"active","1992-12-31",NA,"chlorhexidine gluconate 4 % cutaneous gel","2"
"FALSE","9002481",NA,NA,"active","1992-12-31",NA,"mupirocin 2 % cutaneous ointment","2"
"FALSE","9002487",NA,NA,"active","1992-12-31",NA,"phenylephrine (phenylephrine hydrochloride) 10 mg per mL solution for injection","1"
"FALSE","9002495",NA,NA,"active","1992-12-31",NA,"theophylline 80 mg per 15 mL oral liquid","1"
"FALSE","9006327",NA,NA,"active","1992-12-31",NA,"acetaminophen 80 mg per 1 mL NA","1"
"FALSE","9012384",NA,NA,"active","1992-12-31",NA,"hydralazine hydrochloride 20 mg per 1 mL solution for injection vial","1"
"FALSE","9000432",NA,NA,"active","1993-12-31",NA,"morphine sulfate 5 mg per 10 mL solution for injection ampoule","1"
"FALSE","9000433",NA,NA,"active","1993-12-31",NA,"morphine sulfate 5 mg per 5 mL solution for injection ampoule","1"
"FALSE","9000464",NA,NA,"active","1993-12-31",NA,"enalapril maleate 10 mg oral tablet","2"
"FALSE","9000465",NA,NA,"active","1993-12-31",NA,"enalapril maleate 20 mg oral tablet","2"
"FALSE","9000466",NA,NA,"active","1993-12-31",NA,"enalapril maleate 2.5 mg oral tablet","2"
"FALSE","9000467",NA,NA,"active","1993-12-31",NA,"enalapril maleate 5 mg oral tablet","2"
"FALSE","9000474",NA,NA,"active","1993-12-31",NA,"morphine sulfate 100 mg prolonged-release oral capsule","2"
"FALSE","9000475",NA,NA,"active","1993-12-31",NA,"morphine sulfate 100 mg prolonged-release oral tablet","2"
"FALSE","9000476",NA,NA,"active","1993-12-31",NA,"morphine sulfate 10 mg prolonged-release oral capsule","2"
"FALSE","9000477",NA,NA,"active","1993-12-31",NA,"morphine sulfate 15 mg prolonged-release oral tablet","4"
"FALSE","9000478",NA,NA,"active","1993-12-31",NA,"morphine sulfate 200 mg prolonged-release oral tablet","2"
"FALSE","9000479",NA,NA,"active","1993-12-31",NA,"morphine sulfate 30 mg prolonged-release oral capsule","1"
"FALSE","9000480",NA,NA,"active","1993-12-31",NA,"morphine sulfate 30 mg prolonged-release oral tablet","4"
"FALSE","9000481",NA,NA,"active","1993-12-31",NA,"morphine sulfate 60 mg prolonged-release oral capsule","1"
"FALSE","9000482",NA,NA,"active","1993-12-31",NA,"morphine sulfate 60 mg prolonged-release oral tablet","4"
"FALSE","9000493",NA,NA,"active","1993-12-31",NA,"salbutamol (salbutamol sulfate) 1 mg per mL inhalation solution 10 mL bottle","1"
"FALSE","9002508",NA,NA,"active","1993-12-31",NA,"acetaminophen 160 mg chewable tablet","7"
"FALSE","9002509",NA,NA,"active","1993-12-31",NA,"acetaminophen 160 mg oral tablet","3"
"FALSE","9002510",NA,NA,"active","1993-12-31",NA,"acetaminophen 160 mg suppository","2"
"FALSE","9002512",NA,NA,"active","1993-12-31",NA,"acetaminophen 80 mg chewable tablet","3"
"FALSE","9002514",NA,NA,"active","1993-12-31",NA,"acetylsalicylic acid 325 mg and caffeine 33 mg oral tablet","1"
"FALSE","9002547",NA,NA,"active","1993-12-31",NA,"cromolyn sodium 2 % nasal spray","1"
"FALSE","9002548",NA,NA,"active","1993-12-31",NA,"cromolyn sodium 2 % ophthalmic drops","2"
"FALSE","9002614",NA,NA,"active","1993-12-31",NA,"theophylline 100 mg prolonged-release oral tablet","2"
"FALSE","9002615",NA,NA,"active","1993-12-31",NA,"theophylline 200 mg prolonged-release oral tablet","2"
"FALSE","9002616",NA,NA,"active","1993-12-31",NA,"theophylline 300 mg prolonged-release oral tablet","2"
"FALSE","9006331",NA,NA,"active","1993-12-31",NA,"chlorhexidine acetate 10 % NA","1"
"FALSE","9006333",NA,NA,"active","1993-12-31",NA,"cromolyn sodium 1 % nebuliser solution","1"
"FALSE","9000510",NA,NA,"active","1994-12-31",NA,"clindamycin (clindamycin phosphate) 20 mg per g vaginal cream","1"
"FALSE","9000527",NA,NA,"active","1994-12-31",NA,"ipratropium bromide 250 mcg per mL inhalation solution 20 mL bottle","2"
"FALSE","9000201",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial","2"
"FALSE","9000203",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule","2"
"FALSE","9000206",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial","2"
"FALSE","9000562",NA,NA,"active","1995-12-31",NA,"clindamycin (clindamycin hydrochloride) 300 mg oral capsule","6"
"FALSE","9000579",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 100 mg per 10 mL solution for injection vial","1"
"FALSE","9000582",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 250 mg per 5 mL solution for injection vial","1"
"FALSE","9000583",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 3 mg prolonged-release oral capsule","1"
"FALSE","9000584",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 500 mg per 10 mL solution for injection vial","1"
"FALSE","9000585",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 50 mg per 1 mL solution for injection vial","1"
"FALSE","9000586",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 6 mg prolonged-release oral capsule","1"
"FALSE","9000610",NA,NA,"active","1995-12-31",NA,"methotrexate (methotrexate sodium) 1000 mg per 40 mL solution for injection vial","2"
"FALSE","9000611",NA,NA,"active","1995-12-31",NA,"methotrexate (methotrexate sodium) 500 mg per 20 mL solution for injection vial","3"
"FALSE","9000612",NA,NA,"active","1995-12-31",NA,"methotrexate (methotrexate sodium) 50 mg per 2 mL solution for injection vial","3"
"FALSE","9000617",NA,NA,"active","1995-12-31",NA,"morphine sulfate 15 mg prolonged-release oral capsule","1"
"FALSE","9000618",NA,NA,"active","1995-12-31",NA,"morphine sulfate 200 mg prolonged-release oral capsule","1"
"FALSE","9000632",NA,NA,"active","1995-12-31",NA,"salbutamol (salbutamol sulfate) 2 mg oral tablet","1"
"FALSE","9000633",NA,NA,"active","1995-12-31",NA,"salbutamol (salbutamol sulfate) 4 mg oral tablet","1"
"FALSE","9000634",NA,NA,"active","1995-12-31",NA,"salbutamol (salbutamol sulfate) 5 mg per 2.5 mL inhalation solution unit dose vial","3"
"FALSE","9000754",NA,NA,"active","1995-12-31",NA,"ipratropium bromide 250 mcg per 1 mL inhalation solution unit dose vial","2"
"FALSE","9000756",NA,NA,"active","1995-12-31",NA,"ipratropium bromide 500 mcg per 2 mL inhalation solution unit dose vial","2"
"FALSE","9001005",NA,NA,"active","1995-12-31",NA,"ipratropium bromide 0.03 % nasal spray","1"
"FALSE","9002736",NA,NA,"active","1995-12-31",NA,"acetylsalicylic acid 500 mg oral tablet","4"
"FALSE","9002737",NA,NA,"active","1995-12-31",NA,"acetylsalicylic acid 80 mg chewable tablet","7"
"FALSE","9002809",NA,NA,"active","1995-12-31",NA,"fluconazole 150 mg oral capsule","11"
"FALSE","9002810",NA,NA,"active","1995-12-31",NA,"fluconazole 50 mg per 5 mL powder for oral solution","1"
"FALSE","9002826",NA,NA,"active","1995-12-31",NA,"guaifenesin 200 mg per 5 mL syrup","4"
"FALSE","9002853",NA,NA,"active","1995-12-31",NA,"naloxone hydrochloride 0.4 mg per mL solution for injection","6"
"FALSE","9002854",NA,NA,"active","1995-12-31",NA,"naloxone hydrochloride 1 mg per mL solution for injection","2"
"FALSE","9002861",NA,NA,"active","1995-12-31",NA,"phenylephrine hydrochloride 10 % ophthalmic drops","1"
"FALSE","9006204",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial","2"
"FALSE","9006242",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 1000 mg per 50 mL solution for injection vial","1"
"FALSE","9006243",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 100 mg per 5 mL solution for injection vial","1"
"FALSE","9006244",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 20 mg per 1 mL solution for injection vial","1"
"FALSE","9006245",NA,NA,"active","1995-12-31",NA,"hydromorphone hydrochloride 50 mg per mL solution for injection 50 mL vial","1"
"FALSE","9001006",NA,NA,"active","1996-02-02",NA,"ipratropium bromide 0.06 % nasal spray","2"
"FALSE","9000648",NA,NA,"active","1996-08-26",NA,"dexamethasone 0.5 mg oral tablet","2"
"FALSE","9002908",NA,NA,"active","1996-08-29",NA,"benzoyl peroxide 5 % cutaneous gel","7"
"FALSE","9000650",NA,NA,"active","1996-09-05",NA,"dexamethasone 0.75 mg oral tablet","1"
"FALSE","9000651",NA,NA,"active","1996-09-05",NA,"dexamethasone 4 mg oral tablet","4"
"FALSE","9006250",NA,NA,"active","1996-09-26",NA,"azithromycin 100 mg per 5 mL oral suspension","4"
"FALSE","9006251",NA,NA,"active","1996-09-26",NA,"azithromycin 200 mg per 5 mL oral suspension","4"
"FALSE","9000660",NA,NA,"active","1996-10-10",NA,"ciprofloxacin (ciprofloxacin hydrochloride) 250 mg oral tablet","17"
"FALSE","9000661",NA,NA,"active","1996-10-10",NA,"ciprofloxacin (ciprofloxacin hydrochloride) 500 mg oral tablet","21"
"FALSE","9000662",NA,NA,"active","1996-10-11",NA,"ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet","13"
"FALSE","9000664",NA,NA,"active","1996-10-23",NA,"morphine sulfate 50 mg prolonged-release oral capsule","1"
"FALSE","9000665",NA,NA,"active","1996-10-25",NA,"morphine sulfate 20 mg prolonged-release oral capsule","1"
