"","dpd_ingredient","active_ingredient_code","hydrate","ccdd","top250name","ing_stem"
"110","QUETIAPINE (QUETIAPINE FUMARATE)",11718,FALSE,"Y","QUETIAPINE","QUETIAPINE"
"111","HEXYLRESORCINOL",700,FALSE,"","","HEXYLRESORCINOL"
"112","Collagenase Clostridium Histolyticum",21378,FALSE,NA,NA,NA
"113","PROTEIN S",20132,FALSE,"","","PROTEIN S"
"114","NIFEDIPINE",1966,FALSE,"Y","NIFEDIPINE","NIFEDIPINE"
"115","RANIBIZUMAB",20146,FALSE,"","","RANIBIZUMAB"
"116","TELMISARTAN (TELMISARTAN SODIUM)",11907,FALSE,"Y","TELMISARTAN","TELMISARTAN"
"117","ALOE",684,FALSE,"","","ALOE"
"118","GEMFIBROZIL",1904,FALSE,"","","GEMFIBROZIL"
"119","CITRIC ACID",10021,FALSE,"","","CITRIC ACID"
"120","LITHIUM (LITHIUM CITRATE)",1399,FALSE,"Y","LITHIUM","LITHIUM (ION)"
"121","ALLOPURINOL",9388,FALSE,"Y","ALLOPURINOL","ALLOPURINOL"
"122","Glycopyrronium (Glycopyrronium Bromide)",21481,FALSE,"","","Glycopyrronium (Glycopyrronium Bromide)"
"123","FLUNISOLIDE",2133,FALSE,"","","FLUNISOLIDE"
"124","CITRIC ACID MONOHYDRATE",17610,TRUE,"","","CITRIC ACID MONOHYDRATE"
"125","CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)",6750,TRUE,"Y","CODEINE","CODEINE"
"126","SILVER SULFADIAZINE",8195,FALSE,"","","SILVER SULFADIAZINE"
"127","ALTEPLASE",7297,FALSE,"","","ALTEPLASE"
"128","PREDNISONE",7566,FALSE,"Y","PREDNISONE","PREDNISONE"
"129","NITRAZEPAM",9558,FALSE,"","","NITRAZEPAM"
"130","PROTAMINE SULFATE",5881,FALSE,"","","PROTAMINE SULFATE"
"131","VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED (OKA/MERCK STRAIN)",20380,FALSE,"","","VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED (OKA/MERCK STRAIN)"
"132","LAMOTRIGINE",238,FALSE,"Y","LAMOTRIGINE","LAMOTRIGINE"
"133","STARCH",7238,FALSE,"","","STARCH"
"134","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)",11707,FALSE,"","","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)"
"135","PIPERAZINE",10006,FALSE,"","","PIPERAZINE"
"136","ALUMINUM CHLORIDE",5821,FALSE,"","","ALUMINUM CHLORIDE"
"137","FAMCICLOVIR",156,FALSE,"","","FAMCICLOVIR"
"138","RABIES IMMUNE GLOBULIN HUMAN",7918,FALSE,"","","RABIES IMMUNE GLOBULIN HUMAN"
"139","DEHYDROCHOLIC ACID",7287,FALSE,NA,NA,NA
"140","EXENATIDE",20660,FALSE,"","","EXENATIDE"
"141","TRIAMCINOLONE DIACETATE",7587,FALSE,NA,NA,NA
"142","DIGOXIN IMMUNE FAB (OVINE)",7676,FALSE,"","","DIGOXIN IMMUNE FAB (OVINE)"
"143","SILODOSIN",20659,FALSE,NA,NA,NA
"144","MISOPROSTOL",1859,FALSE,"Y","MISOPROSTOL","MISOPROSTOL"
"145","PIPERACILLIN (PIPERACILLIN SODIUM)",11241,FALSE,"","","PIPERACILLIN (PIPERACILLIN SODIUM)"
"146","TAZOBACTAM (TAZOBACTAM SODIUM)",11242,FALSE,"","","TAZOBACTAM (TAZOBACTAM SODIUM)"
"147","CLARITHROMYCIN",8318,FALSE,"Y","CLARITHROMYCIN","CLARITHROMYCIN"
"148","MUMPS VIRUS VACCINE LIVE ATTENUATED (JERYL LYNN STRAIN)",11271,FALSE,"","","MUMPS VIRUS VACCINE LIVE ATTENUATED (JERYL LYNN STRAIN)"
"149","ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE)",11104,TRUE,"","","ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE)"
"150","Secukinumab",22582,FALSE,"","","Secukinumab"
"151","PSEUDOEPHEDRINE HYDROCHLORIDE",6492,FALSE,"","","PSEUDOEPHEDRINE HYDROCHLORIDE"
"152","SINCALIDE",2111,FALSE,"","","SINCALIDE"
"153","Sodium phenylbutyrate",22565,FALSE,"","","Sodium phenylbutyrate"
"154","DEFEROXAMINE MESYLATE",2446,FALSE,"","","DEFEROXAMINE MESYLATE"
"155","SODIUM THIOSULFATE",8910,FALSE,"","","SODIUM THIOSULFATE"
"156","ALLERGENIC EXTRACTS POLLENS",13214,FALSE,"","","ALLERGENIC EXTRACTS POLLENS"
"157","METOLAZONE",8133,FALSE,"","","METOLAZONE"
"158","INDIGO CARMINE",6214,FALSE,"","","INDIGO CARMINE"
"159","MAGNESIUM OXIDE",778,FALSE,"","","MAGNESIUM OXIDE"
"160","CLOFARABINE",20504,FALSE,"","","CLOFARABINE"
"161","AZATHIOPRINE (AZATHIOPRINE SODIUM)",10128,FALSE,NA,NA,NA
"162","VITAMIN E (D-ALPHA TOCOPHERYL ACETATE)",701,FALSE,"","","VITAMIN E (D-ALPHA TOCOPHERYL ACETATE)"
"163","HAEMAGGLUTININ-STRAIN B (Victoria)",22250,FALSE,"","","HAEMAGGLUTININ-STRAIN B (Victoria)"
"164","IOPAMIDOL",8042,FALSE,"","","IOPAMIDOL"
"165","BILE SALTS",3671,FALSE,NA,NA,NA
"166","ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)",8618,FALSE,"Y","ERYTHROMYCIN","ERYTHROMYCIN"
"167","PIMECROLIMUS",12077,FALSE,"","","PIMECROLIMUS"
"168","SODIUM CARBOXYMETHYL CELLULOSE",6633,FALSE,"","","SODIUM CARBOXYMETHYL CELLULOSE"
"169","Naloxegol (Naloxegol oxalate)",22609,FALSE,"","","Naloxegol (Naloxegol oxalate)"
"170","PROCHLORPERAZINE",7991,FALSE,"","","PROCHLORPERAZINE"
"171","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F",20651,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F"
"172","LITHIUM CARBONATE",10227,FALSE,"Y","LITHIUM","LITHIUM CARBONATE"
"173","VALPROIC ACID (SODIUM VALPROATE)",2115,FALSE,"Y","VALPROIC ACID","VALPROIC ACID (VALPROATE)"
"174","INSULIN ISOPHANE (NPH)",7323,FALSE,"Y","HUMAN INSULIN ISOPHANE","INSULIN ISOPHANE HUMAN"
"175","ICODEXTRIN",11909,FALSE,"","","ICODEXTRIN"
"176","Bosutinib",22234,FALSE,"","","Bosutinib"
"177","PHENOL",6935,FALSE,"","","PHENOL"
"178","CHLORHEXIDINE GLUCONATE",626,FALSE,"Y","CHLORHEXIDINE","CHLORHEXIDINE"
"179","VITAMIN D",703,FALSE,"","","VITAMIN D"
"180","RIVAROXABAN",20387,FALSE,"Y","RIVAROXABAN","RIVAROXABAN"
"181","MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)",720,FALSE,"","","MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)"
"182","SORBITOL",9192,FALSE,"","","SORBITOL"
"183","OCRIPLASMIN",22139,FALSE,"","","OCRIPLASMIN"
"184","ISONIAZID",6618,FALSE,"","","ISONIAZID"
"185","BLINATUMOMAB",22674,FALSE,"","","BLINATUMOMAB"
"186","DERMATOPHAGOIDES FARINAE",7660,FALSE,"","","DERMATOPHAGOIDES FARINAE"
"187","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE",12152,FALSE,"","","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE"
"188","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT",7638,FALSE,"","","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT"
"189","SODIUM GLUCONATE",6787,FALSE,"","","SODIUM GLUCONATE"
"190","BENZTROPINE MESYLATE",5922,FALSE,"Y","BENZTROPINE","BENZTROPINE"
"191","METHAZOLAMIDE",5863,FALSE,"","","METHAZOLAMIDE"
"192","PYRETHRINS",6441,FALSE,"","","PYRETHRINS"
"193","AZACITIDINE",20554,FALSE,"","","AZACITIDINE"
"194","KETOROLAC TROMETHAMINE",1241,FALSE,"Y","KETOROLAC","KETOROLAC"
"195","ASPARAGINASE",2433,FALSE,NA,NA,NA
"196","SILTUXIMAB",22547,FALSE,"","","SILTUXIMAB"
"197","ROSIGLITAZONE (ROSIGLITAZONE MALEATE)",11925,FALSE,"","","ROSIGLITAZONE (ROSIGLITAZONE MALEATE)"
"198","CALAMINE",7296,FALSE,"","","CALAMINE"
"199","CROTAMITON",9260,FALSE,"","","CROTAMITON"
"200","PEANUT OIL",6572,FALSE,"","","PEANUT OIL"
"201","VITAMIN E",701,FALSE,"","","VITAMIN E"
"202","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)",11108,FALSE,"","","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)"
"203","IODINE (POTASSIUM IODIDE)",7218,FALSE,"","","IODINE (POTASSIUM IODIDE)"
"204","PERPHENAZINE",8003,FALSE,"","","PERPHENAZINE"
"205","SULFASALAZINE",8138,FALSE,"","","SULFASALAZINE"
"206","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 2 MEF1",7654,FALSE,"","","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 2 MEF1"
"207","QUINIDINE SULFATE",6714,FALSE,"","","QUINIDINE SULFATE"
"208","TRIPELENNAMINE HYDROCHLORIDE",20364,FALSE,"","","TRIPELENNAMINE HYDROCHLORIDE"
"209","TRAVOPROST",12477,FALSE,"Y","TRAVOPROST","TRAVOPROST"
"210","TAZAROTENE",11373,FALSE,"","","TAZAROTENE"
"211","GOSERELIN (GOSERELIN ACETATE)",11167,FALSE,"","","GOSERELIN (GOSERELIN ACETATE)"
"212","METHOCARBAMOL",6340,FALSE,"","","METHOCARBAMOL"
"213","EPTIFIBATIDE",11891,FALSE,"","","EPTIFIBATIDE"
"214","GLATIRAMER ACETATE",11533,FALSE,"","","GLATIRAMER ACETATE"
"215","MITOMYCIN",2195,FALSE,"","","MITOMYCIN"
"216","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2",20646,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2"
"217","SODIUM OXYBATE",15411,FALSE,"","","SODIUM OXYBATE"
"218","PYRITHIONE ZINC",662,FALSE,"","","PYRITHIONE ZINC"
"219","LANOLIN",6974,FALSE,"","","LANOLIN"
"220","RABEPRAZOLE SODIUM",12149,FALSE,"Y","RABEPRAZOLE SODIUM","RABEPRAZOLE"
"221","BISMUTH SUBGALLATE",7149,FALSE,"","","BISMUTH SUBGALLATE"
"222","RABIES VACCINE INACTIVATED (PURIFIED CHICK EMBRYO CELL CULTURE)",15082,FALSE,"","","RABIES VACCINE INACTIVATED (PURIFIED CHICK EMBRYO CELL CULTURE)"
"223","DIGOXIN",6731,FALSE,"Y","DIGOXIN","DIGOXIN"
"224","TRIPROLIDINE HYDROCHLORIDE",6494,FALSE,"","","TRIPROLIDINE HYDROCHLORIDE"
"225","MOMETASONE FUROATE (MOMETASONE FUROATE MONOHYDRATE)",7504,TRUE,"Y","MOMETASONE","MOMETASONE"
"226","SULFINPYRAZONE",8151,FALSE,"","","SULFINPYRAZONE"
"227","TERBUTALINE SULFATE",2345,FALSE,"","","TERBUTALINE SULFATE"
"228","HAEMOPHILUS INFLUENZAE TYPE B-PRP",7795,FALSE,"","","HAEMOPHILUS INFLUENZAE TYPE B-PRP"
"229","PALIPERIDONE (Paliperidone Palmitate)",20163,FALSE,"","","PALIPERIDONE (Paliperidone Palmitate)"
"230","CIMETIDINE",2165,FALSE,"","","CIMETIDINE"
"231","INDOMETHACIN",10126,FALSE,"Y","INDOMETHACIN","INDOMETHACIN"
"232","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT",127,FALSE,"","","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT"
"233","POLYETHYLENE GLYCOL 3350",698,FALSE,"","","POLYETHYLENE GLYCOL 3350"
"234","ZINC CHLORIDE",6321,FALSE,"","","ZINC CHLORIDE"
"235","TESTOSTERONE CYPIONATE",7487,FALSE,"Y","TESTOSTERONE","TESTOSTERONE"
"236","BETAMETHASONE ACETATE",7606,FALSE,"Y","BETAMETHASONE","BETAMETHASONE ACETATE"
"237","LEVOCABASTINE (LEVOCABASTINE HYDROCHLORIDE)",923,FALSE,"","","LEVOCABASTINE (LEVOCABASTINE HYDROCHLORIDE)"
"238","Paritaprevir",22556,FALSE,"","","Paritaprevir"
"239","COAL TAR",6849,FALSE,"","","COAL TAR"
"240","CYPROHEPTADINE HYDROCHLORIDE",10029,FALSE,"","","CYPROHEPTADINE HYDROCHLORIDE"
"241","WHITE FACED HORNET VENOM PROTEIN",2029,FALSE,"","","WHITE FACED HORNET VENOM PROTEIN"
"242","ROPIVACAINE HYDROCHLORIDE",11081,FALSE,"","","ROPIVACAINE HYDROCHLORIDE"
"243","ZINC OXIDE",7289,FALSE,"","","ZINC OXIDE"
"244","AIR",2328,FALSE,"","","AIR"
"245","BIMATOPROST",12108,FALSE,"Y","BIMATOPROST","BIMATOPROST"
"246","GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE)",12072,FALSE,"","","GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE)"
"247","LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE)",7645,FALSE,"","","LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE)"
"248","IFOSFAMIDE",1747,FALSE,"","","IFOSFAMIDE"
"249","ARGININE HYDROCHLORIDE",13800,FALSE,"","","ARGININE HYDROCHLORIDE"
"250","POLYVINYL ALCOHOL",6033,FALSE,"","","POLYVINYL ALCOHOL"
"251","OXYBUTYNIN",13333,FALSE,NA,NA,NA
"252","CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN",12153,FALSE,"","","CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN"
"253","HEPATITIS B IMMUNE GLOBULIN HUMAN",7764,FALSE,"","","HEPATITIS B IMMUNE GLOBULIN HUMAN"
"254","L-LYSINE (L-LYSINE ACETATE)",193,FALSE,"","","L-LYSINE (L-LYSINE ACETATE)"
"255","DAPTOMYCIN",20161,FALSE,"","","DAPTOMYCIN"
"256","DEFERASIROX",20022,FALSE,"","","DEFERASIROX"
"257","HALOPERIDOL",10146,FALSE,"Y","HALOPERIDOL","HALOPERIDOL"
"258","MAGNESIUM CHLORIDE",49,FALSE,"","","MAGNESIUM CHLORIDE"
"259","ENALAPRILAT",1776,FALSE,"","","ENALAPRILAT"
"260","MAGNESIUM (MAGNESIUM OXIDE)",6487,FALSE,"","","MAGNESIUM (MAGNESIUM OXIDE)"
"261","METOCLOPRAMIDE HYDROCHLORIDE",3776,FALSE,"Y","METOCLOPRAMIDE","METOCLOPRAMIDE"
"262","Indacaterol (Indacaterol Maleate)",21063,FALSE,"","","Indacaterol (Indacaterol Maleate)"
"263","BRINZOLAMIDE",11799,FALSE,NA,NA,NA
"264","Cobicistat",21508,FALSE,"","","Cobicistat"
"265","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL",4070,FALSE,"","","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL"
"266","CLONAZEPAM",2192,FALSE,"Y","CLONAZEPAM","CLONAZEPAM"
"267","FAMOTIDINE",1395,FALSE,"","","FAMOTIDINE"
"268","ETHAMBUTOL HYDROCHLORIDE",20261,FALSE,"","","ETHAMBUTOL HYDROCHLORIDE"
"269","HYDROXYETHYLCELLULOSE",3977,FALSE,NA,NA,NA
"270","CORTISONE ACETATE",7530,FALSE,"","","CORTISONE ACETATE"
"271","METHOXSALEN",5303,FALSE,"","","METHOXSALEN"
"272","LOTEPREDNOL ETABONATE",20429,FALSE,"","","LOTEPREDNOL ETABONATE"
"273","BACLOFEN",2104,FALSE,"Y","BACLOFEN","BACLOFEN"
"274","DARIFENACIN (DARIFENACIN HYDROBROMIDE)",17051,FALSE,"","","DARIFENACIN (DARIFENACIN HYDROBROMIDE)"
"275","ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE)",13353,TRUE,"Y","ALENDRONATE","ALENDRONIC ACID"
