"schedule","ing_stem","n"
"Narcotic (CDSA I)","PSEUDOEPHEDRINE HYDROCHLORIDE",7
"Narcotic (CDSA I)","REMIFENTANIL (REMIFENTANIL HYDROCHLORIDE)",2
"Narcotic (CDSA I)","SODIUM CITRATE",2
"Narcotic (CDSA I)","SODIUM OXYBATE",1
"Narcotic (CDSA I)","SUFENTANIL (SUFENTANIL CITRATE)",2
"Narcotic (CDSA I)","TRIPROLIDINE HYDROCHLORIDE",4
"Narcotic (CDSA I)",NA,8
"Narcotic (CDSA II)","CANNABIDIOL (CANNABIS SATIVA EXTRACT)",1
"Narcotic (CDSA II)","DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)",1
"Narcotic (CDSA II)","NABILONE",13
"Prescription Recommended","HYDROXYETHYL STARCH 130/0.4",2
"Prescription Recommended","RESLIZUMAB",1
"Schedule G (CDSA I)","AMPHETAMINE",48
"Schedule G (CDSA I)","DEXTROAMPHETAMINE",52
"Schedule G (CDSA I)","LISDEXAMFETAMINE",7
"Schedule G (CDSA III)","METHYLPHENIDATE",44
"Schedule G (CDSA IV)","ACETYLSALICYLIC ACID",6
"Schedule G (CDSA IV)","BELLADONNA",1
"Schedule G (CDSA IV)","BUTALBITAL",6
"Schedule G (CDSA IV)","BUTORPHANOL TARTRATE",2
"Schedule G (CDSA IV)","CAFFEINE",6
"Schedule G (CDSA IV)","ERGOTAMINE TARTRATE",1
"Schedule G (CDSA IV)","NALBUPHINE",2
"Schedule G (CDSA IV)","PHENOBARBITAL",6
"Schedule G (CDSA IV)","PHENOBARBITAL SODIUM",2
"Schedule G (CDSA IV)","TESTOSTERONE",16
"Schedule G (CDSA IV)","THIOPENTAL SODIUM",5
"Targeted (CDSA IV)","ALPRAZOLAM",31
"Targeted (CDSA IV)","BROMAZEPAM",9
"Targeted (CDSA IV)","CHLORDIAZEPOXIDE HYDROCHLORIDE",5
"Targeted (CDSA IV)","CHOLINE",1
"Targeted (CDSA IV)","CLIDINIUM BROMIDE",2
"Targeted (CDSA IV)","CLOBAZAM",5
"Targeted (CDSA IV)","CLONAZEPAM",38
"Targeted (CDSA IV)","CLORAZEPATE DIPOTASSIUM",3
"Targeted (CDSA IV)","DIAZEPAM",18
"Targeted (CDSA IV)","FLURAZEPAM",9
"Targeted (CDSA IV)","INOSITOL",1
"Targeted (CDSA IV)","LORAZEPAM",33
"Targeted (CDSA IV)","MIDAZOLAM",12
"Targeted (CDSA IV)","MIDAZOLAM (MIDAZOLAM HYDROCHLORIDE)",2
"Targeted (CDSA IV)","NICOTINAMIDE",1
"Targeted (CDSA IV)","NITRAZEPAM",6
"Targeted (CDSA IV)","OXAZEPAM",18
"Targeted (CDSA IV)","PIPRADROL HYDROCHLORIDE",1
"Targeted (CDSA IV)","PYRIDOXINE HYDROCHLORIDE",1
"Targeted (CDSA IV)","TEMAZEPAM",10
"Targeted (CDSA IV)","THIAMINE HYDROCHLORIDE",1
"Targeted (CDSA IV)","TRIAZOLAM",1
"Targeted (CDSA IV)","VITAMIN B2",1
"Targeted (CDSA IV)","ZOLPIDEM TARTRATE",6
