ntp_code,ntp_formal_name,changes,QA Suggested Fixes ,
9006120,benzoyl peroxide 2.5 % and benzoyl peroxide 5 % kit,ADDED,,
9006435,benzoyl peroxide 2.5 % and benzoyl peroxide 5 % NA,DELETED,,
9005659,benzoyl peroxide 2.5 % kit,ADDED,,
9006418,benzoyl peroxide 2.5 % NA,DELETED,,
,benzoyl peroxide 3.5 % and benzoyl peroxide 2.5 % kit,ADDED,Assign 9006436,
9006436,benzoyl peroxide 3.5 % and benzoyl peroxide 2.5 % NA,DELETED,,
9005762,benzoyl peroxide 5 % kit,ADDED,,
9006427,benzoyl peroxide 5 % NA,DELETED,,
,betamethasone (betamethasone sodium phosphate) 3 mg per mL and betamethasone acetate 3 mg per mL suspension for injection,ADDED,,ingred order issue
9001611,betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection,DELETED,,
,buprenorphine (buprenorphine hydrochloride) 12 mg and naloxone (naloxone hydrochloride) 3 mg sublingual tablet,ADDED,Assign new NTP,
,buprenorphine (buprenorphine hydrochloride) 16 mg and naloxone (naloxone hydrochloride) 4 mg sublingual tablet,ADDED,Assign new NTP,
9001033,calcitriol 1 mcg per 1 mL solution for injection ampoule,"ntp_status_effective_time: ""20030707"" -> ""20150327""",,
9003382,cefadroxil (cefadroxil monohydrate) 500 mg oral capsule,DELETED,,
9003412,cefadroxil 500 mg oral capsule,"ntp_status_effective_time: ""19990831"" -> ""19990602""",,
9002534,chlorhexidine acetate 10 % kit,ADDED,,
9006331,chlorhexidine acetate 10 % NA,DELETED,,
,chlorhexidine gluconate 4 % cutaneous spray,ADDED,Assign new NTP,
9001384,ciprofloxacin (ciprofloxacin lactate) 2 mg per mL solution for injection,DELETED,,
,ciprofloxacin (ciprofloxacin lactate) 200 mg per 100 mL solution for injection bag,ADDED,Assign new NTP,
,ciprofloxacin (ciprofloxacin lactate) 400 mg per 200 mL solution for injection bag,ADDED,Assign new NTP,
9001190,ciprofloxacin 10 mg per mL solution for injection,DELETED,,
9001240,ciprofloxacin 2 mg per mL solution for injection,DELETED,,
,ciprofloxacin 200 mg per 100 mL solution for injection bag,ADDED,Assign new NTP,
,ciprofloxacin 200 mg per 20 mL solution for injection vial,ADDED,Assign new NTP,
,ciprofloxacin 400 mg per 200 mL solution for injection bag,ADDED,Assign new NTP,
,ciprofloxacin 400 mg per 40 mL solution for injection vial,ADDED,Assign new NTP,
9000989,clindamycin (clindamycin phosphate) 1 % pad,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20020610"" -> ""20170914""",,
9006468,clotrimazole 1 % cutaneous cream with clotrimazole 10 % vaginal cream,"ntp_type: ""comb"" -> ""Comb""",,
9006482,clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet,"ntp_type: ""comb"" -> ""Comb""",,
9006481,clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet,"ntp_type: ""comb"" -> ""Comb""",,
9000348,conjugated estrogens 0.3 mg oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19901231"" -> ""20170930""",,
9003532,conjugated estrogens 0.625 mg and medroxyprogesterone acetate 2.5 mg kit,ADDED,,
9006367,conjugated estrogens 0.625 mg and medroxyprogesterone acetate 2.5 mg NA,DELETED,,
9003715,conjugated estrogens 0.625 mg and medroxyprogesterone acetate 5 mg kit,ADDED,,
9006373,conjugated estrogens 0.625 mg and medroxyprogesterone acetate 5 mg NA,DELETED,,
9000030,conjugated estrogens 0.625 mg oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19631231"" -> ""20170930""",,
9000183,conjugated estrogens 1.25 mg oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19831231"" -> ""20170930""",,
9006357,cromolyn sodium 2 % NA,DELETED,,
9002272,cyproterone acetate 100 mg per mL solution for injection,DELETED,,
,cyproterone acetate 300 mg per 3 mL solution for injection ampoule,ADDED,Assign 9002272,
,defibrotide 200 mg per 2.5 mL solution for injection vial,ADDED,Assign 9012415,
9012415,defibrotide 80 mg per mL solution for injection,DELETED,,
9008749,desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9008750,desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
,desvenlafaxine 100 mg prolonged-release oral tablet,ADDED,Assign new NTP,
,desvenlafaxine 50 mg prolonged-release oral tablet,ADDED,Assign new NTP,
9012372,dexamethasone phosphate (dexamethasone sodium phosphate) 0.1 % ophthalmic/otic drops,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19891231"" -> ""20170803""",,
9004648,dexmedetomidine (dexmedetomidine hydrochloride) 100 mcg per mL solution for injection,DELETED,,
,dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 2 mL solution for injection vial,ADDED,Assign new NTP,
,dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 50 mL solution for injection vial,ADDED,Assign new NTP,
9005962,dexmedetomidine (dexmedetomidine hydrochloride) 4 mcg per mL solution for injection,DELETED,,
,dexmedetomidine (dexmedetomidine hydrochloride) 400 mcg per 100 mL solution for injection vial,ADDED,Assign new NTP,
,dexmedetomidine (dexmedetomidine hydrochloride) 80 mcg per 20 mL solution for injection vial,ADDED,Assign new NTP,
9000517,digoxin 0.5 mg per 2 mL solution for injection ampoule,ADDED,,
9006236,digoxin 1 mg per 2 mL solution for injection ampoule,DELETED,,
9002047,docusate sodium 100 mg oral capsule,"ntp_status_effective_time: ""NA"" -> ""19851231""",,
,dupilumab 300 mg per 2 mL solution for injection syringe,ADDED,Assign new NTP,OK New
,durvalumab 120 mg per 2.4 mL solution for injection vial,ADDED,Assign new NTP,OK New
9012434,durvalumab 50 mg per mL solution for injection,DELETED,,
,durvalumab 500 mg per 10 mL solution for injection vial,ADDED,Assign new NTP,
9000272,epinephrine 1 mg per 10 mL solution for injection syringe,DELETED,,
,epinephrine 10 mg per 10 mL solution for injection syringe,ADDED,Assign new NTP,
9009374,ethinyl estradiol 10 mcg and norethindrone acetate 1 mg oral tablet with ethinyl estradiol 10 mcg oral tablet with lactose oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009380,ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009381,ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009384,ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 100 mcg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009386,ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009387,ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet with lactose oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009391,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19831231"" -> ""20170929""
ntp_type: ""comb"" -> ""Comb""",,
9009392,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19831231"" -> ""20170901""
ntp_type: ""comb"" -> ""Comb""",,
9009395,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009396,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009398,ethinyl estradiol 35 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9009399,ethinyl estradiol 35 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9002303,fluconazole 2 mg per mL solution for injection,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20030923"" -> ""20170915""",,
9000452,fluticasone propionate 50 mcg per actuation nasal spray,"ntp_status_effective_time: ""20070607"" -> ""19930312""",,
9001328,galantamine (galantamine hydrobromide) 16 mg prolonged-release oral capsule,"ntp_status_effective_time: ""20101112"" -> ""20050429""",,
9001330,galantamine (galantamine hydrobromide) 8 mg prolonged-release oral capsule,"ntp_status_effective_time: ""20101112"" -> ""20050429""",,
,granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection ampoule,ADDED,Assign new NTP,Pseudo DINs required
,granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection vial,ADDED,Assign new NTP,
9004516,granisetron (granisetron hydrochloride) 1 mg per mL solution for injection,DELETED,,
,granisetron (granisetron hydrochloride) 3 mg per 3 mL solution for injection ampoule,ADDED,Assign new NTP,
,granisetron (granisetron hydrochloride) 4 mg per 4 mL solution for injection vial,ADDED,Assign new NTP,
9012435,guselkumab 100 mg per 1 mL solution for injection,DELETED,,
,guselkumab 100 mg per 1 mL solution for injection syringe,ADDED,Assign 9012435,Update keep old NTP
9012385,ibutilide fumrate 0.1 mg per mL solution for injection,DELETED,,
,ibutilide fumrate 1 mg per 10 mL solution for injection vial,ADDED,Assign new NTP,Update keep old NTP
9012424,insulin degludec 100 unit per mL solution for injection,DELETED,,
,insulin degludec 100 unit per mL solution for injection 3 mL pen,ADDED,Assign new NTP,Update keep old NTP
9012425,insulin degludec 200 unit per mL solution for injection,DELETED,,
,insulin degludec 200 unit per mL solution for injection 3 mL pen,ADDED,Assign new NTP,Update keep old NTP
9004877,irinotecan hydrochloride (irinotecan hydrochloride trihydrate) 20 mg per mL solution for injection,DELETED,,
,irinotecan hydrochloride (irinotecan hydrochloride) 100 mg per 5 mL solution for injection vial,ADDED,Assign new NTP,
,irinotecan hydrochloride (irinotecan hydrochloride) 20 mg per mL solution for injection,ADDED,Assign new NTP,
,irinotecan hydrochloride (irinotecan hydrochloride) 300 mg per 15 mL solution for injection vial,ADDED,Assign new NTP,
,irinotecan hydrochloride (irinotecan hydrochloride) 40 mg per 2 mL solution for injection vial,ADDED,Assign new NTP,
,irinotecan hydrochloride (irinotecan hydrochloride) 500 mg per 25 mL solution for injection vial,ADDED,Assign new NTP,
9012443,letermovir 20 mg per mL solution for injection,DELETED,,
,letermovir 240 mg per 12 mL solution for injection vial,ADDED,Assign new NTP,
,letermovir 480 mg per 24 mL solution for injection vial,ADDED,Assign new NTP,
9006075,levofloxacin 240 mg per 2.4 mL inhalation solution,DELETED,,
,levofloxacin 240 mg per 2.4 mL inhalation solution unit dose ampoule,ADDED,Assign 9006075,
,lifitegrast 5 % ophthalmic drops,ADDED,Assign new NTP,Ok New
9012416,lixisenatide 0.05 mg per mL and lixisenatide 0.1 mg per mL NA,DELETED,,
,lixisenatide 0.05 mg per mL and lixisenatide 0.1 mg per mL solution for injection,ADDED,Assign 9012416,
,mepolizumab 100 mg per vial powder for solution for injection,ADDED,Assign 9005907,Updated keep old NTP
9005907,mepolizumab 144 mg per vial powder for solution for injection,DELETED,,
9010499,mesalazine 500 mg gastro-resistant tablet,"ntp_status_effective_time: ""19951231"" -> ""19921231""",,
,metformin hydrochloride 1000 mg and rosiglitazone (rosiglitazone maleate) 2 mg oral tablet,ADDED,Assign new NTP,
,metformin hydrochloride 1000 mg and rosiglitazone (rosiglitazone maleate) 4 mg oral tablet,ADDED,Assign new NTP,
,metformin hydrochloride 500 mg and rosiglitazone (rosiglitazone maleate) 2 mg oral tablet,ADDED,Assign new NTP,
,metformin hydrochloride 500 mg and rosiglitazone (rosiglitazone maleate) 4 mg oral tablet,ADDED,Assign new NTP,
,methotrexate (methotrexate sodium) 20 mg per 2 mL solution for injection,ADDED,Assign new NTP,
,methotrexate (methotrexate sodium) 25 mg per 2.5 mL solution for injection,ADDED,Assign new NTP,
,methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per 1 mL solution for injection ampoule,ADDED,Assign 9001567,
9001567,methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per mL solution for injection,DELETED,,
9001765,metronidazole 500 mg per 4.5 g and nystatin 100000 unit per 4.5 g vaginal cream,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19761231"" -> ""20170824""",,
,migalastat (migalastat hydrochloride) 123 mg oral capsule,ADDED,Assign new NTP,Ok New
9003376,mupirocin (mupirocin calcium dihydrate) 2 % cutaneous cream,DELETED,,
,mupirocin (mupirocin calcium) 2 % cutaneous cream,ADDED,Assign 9003376,Trihydrate fix. Keep old NTP
,naloxone hydrochloride 0.4 mg per 1 mL solution for injection ampoule,ADDED,Assign new NTP,
,naloxone hydrochloride 0.4 mg per 1 mL solution for injection vial,ADDED,Assign new NTP,
9002853,naloxone hydrochloride 0.4 mg per mL solution for injection,DELETED,,
9002854,naloxone hydrochloride 1 mg per mL solution for injection,DELETED,,
,naloxone hydrochloride 2 mg per 2 mL solution for injection vial,ADDED,Assign new NTP,
,naloxone hydrochloride 4 mg per 10 mL solution for injection vial,ADDED,Assign new NTP,
,netupitant 300 mg and palonosetron (palonosetron hydrochloride) 0.5 mg oral capsule,ADDED,Assign new NTP,
9000366,nitroglycerin 10 mg per 10 mL solution for injection vial,ADDED,,
9010880,nitroglycerin 100 mg per 10 mL solution for injection vial,DELETED,,
9000302,nitroglycerin 50 mg per 10 mL solution for injection vial,ADDED,,
9010882,nitroglycerin 500 mg per 10 mL solution for injection vial,DELETED,,
,nusinersen (nusinersen sodium) 12 mg per 5 mL solution for injection vial,ADDED,Assign 9012414,
9012414,nusinersen (nusinersen sodium) 2.4 mg per mL solution for injection,DELETED,,
9012426,ocrelizumab 30 mg per mL solution for injection,DELETED,,
,ocrelizumab 300 mg per 10 mL solution for injection vial,ADDED,Assign 9012426,
9012446,olaratumab 500 mg per 50 mL solution for injection,DELETED,,
,olaratumab 500 mg per 50 mL solution for injection vial,ADDED,Assign 9012446,
9012408,omalizumab 150 mg per mL solution for injection,DELETED,,
,omalizumab 150 mg per mL solution for injection syringe,ADDED,Assign 9012408,
9006197,omalizumab 75 mg per 0.5 mL solution for injection,DELETED,,
,omalizumab 75 mg per 0.5 mL solution for injection syringe,ADDED,Assign 9006197,
9003407,ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection,DELETED,,
9003241,ondansetron (ondansetron hydrochloride dihydrate) 4 mg oral tablet,DELETED,,
9002963,ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 5 mL oral solution,DELETED,,
9003082,ondansetron (ondansetron hydrochloride dihydrate) 8 mg oral tablet,DELETED,,
,ondansetron (ondansetron hydrochloride) 2 mg per mL solution for injection 20 mL vial,ADDED,Assign new NTP,
9004408,ondansetron (ondansetron hydrochloride) 4 mg oral tablet,"ntp_status_effective_time: ""20080423"" -> ""19980330""",,
,ondansetron (ondansetron hydrochloride) 4 mg per 2 mL solution for injection ampoule,ADDED,Assign new NTP,
,ondansetron (ondansetron hydrochloride) 4 mg per 2 mL solution for injection vial,ADDED,Assign new NTP,
,ondansetron (ondansetron hydrochloride) 4 mg per 5 mL oral solution,ADDED,Assign 9002963,
9004409,ondansetron (ondansetron hydrochloride) 8 mg oral tablet,"ntp_status_effective_time: ""20080423"" -> ""19970414""",,OK
,ondansetron (ondansetron hydrochloride) 8 mg per 4 mL solution for injection ampoule,ADDED,Assign new NTP,
,ondansetron (ondansetron hydrochloride) 8 mg per 4 mL solution for injection vial,ADDED,Assign new NTP,
9006643,palonosetron (palonosetron hydrochloride) 0.25 mg per 5 mL solution for injection,ADDED,,
9005078,palonosetron (palonosetron hydrochloride) 0.5 mg oral capsule,ADDED,,
9001196,pantoprazole (pantoprazole sodium) 40 mg per vial powder for solution for injection,"ntp_status_effective_time: ""20070403"" -> ""19990406""",,
9006198,penicillin v potassium 300 mg per 5 mL powder for oral solution,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19771231"" -> ""20180124""",,
,peramivir 200 mg per 20 mL solution for injection vial,ADDED,Assign new NTP,
,phenylephrine hydrochloride 0.12 % ophthalmic drops,ADDED,Assign new NTP,
9006272,ranitidine (ranitidine hydrochloride) 100 mg per 2 mL solution for injection vial,DELETED,,
9000894,ranitidine (ranitidine hydrochloride) 50 mg per 2 mL solution for injection vial,ADDED,,
9001191,risperidone 0.5 mg orodispersible tablet,"ntp_status_effective_time: ""20070313"" -> ""20030727""",,
9006499,rivaroxaban 15 mg oral tablet with rivaroxaban 20 mg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
,roflumilast 500 mcg oral tablet,ADDED,Assign new NTP,
,sofosbuvir 400 mg and velpatasvir 100 mg and voxilaprevir 100 mg oral tablet,ADDED,Assign 9006017,
9006017,sofosbuvir 400 mg and velpatasvir 100 mg oral tablet,ADDED,,
9005390,sofosbuvir 400 mg oral tablet,ADDED,,
9000982,testosterone 1 % cutaneous gel,"ntp_status_effective_time: ""20040920"" -> ""20171031""",,DPD Update required. Change route to trasdermal.  Marketed in Oct 2017 so not on our original list…
9000983,testosterone 1 % cutaneous gel 2.5 g sachet,DELETED,,OK
9000984,testosterone 1 % cutaneous gel 5 g sachet,DELETED,,OK
,testosterone 1 % transdermal gel,ADDED,Assign new NTP,OK
,testosterone 1 % transdermal gel 2.5 g sachet,ADDED,Assign new NTP,OK
,testosterone 1 % transdermal gel 5 g sachet,ADDED,Assign new NTP,OK
,testosterone 1 % transdermal gel 5 g tube,ADDED,Assign new NTP,OK
9001401,testosterone 2 % cutaneous solution,DELETED,,OK
,testosterone 2 % NA,ADDED,Assign new NTP,Transdermal solution - product cancelled.  Update in DPD??
9003358,tobramycin 3 mg per mL ophthalmic drops,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19990218"" -> ""20170930""",,
9012160,tolvaptan 15 mg oral tablet with tolvaptan 45 mg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9012162,tolvaptan 30 mg oral tablet with tolvaptan 60 mg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
9012163,tolvaptan 30 mg oral tablet with tolvaptan 90 mg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
,triamcinolone diacetate 40 mg per mL suspension for injection,ADDED,Assign new NTP,
9005468,umeclidinium (umeclidinium bromide) 62.5 mcg and vilanterol (vilanterol trifenatate) 25 mcg inhalation powder,DELETED,,minor change. keep orig  code
,umeclidinium (umeclidinium bromide) 62.5 mcg per actuation and vilanterol (vilanterol trifenatate) 25 mcg per actuation inhalation powder,ADDED,Assign 9005468,minor change. keep orig  code
,valproic acid (sodium valproate) 250 mg oral capsule,ADDED,Assign new NTP,OK
9001216,varenicline (varenicline tartrate) 0.5 mg oral tablet with varenicline (varenicline tartrate) 1 mg oral tablet,"ntp_type: ""comb"" -> ""Comb""",,
,vernakalant hydrochloride 500 mg per 25 mL solution for injection vial,ADDED,Assign new NTP,
,vilazodone hydrochloride 10 mg oral tablet,ADDED,Assign new NTP,
,vilazodone hydrochloride 20 mg oral tablet,ADDED,Assign new NTP,
,vilazodone hydrochloride 40 mg oral tablet,ADDED,Assign new NTP,
,zolmitriptan 2.5 mg per actuation nasal spray,ADDED,Assign 9003995,minor change. keep orig  code
9003995,zolmitriptan 2.5 mg per spray nasal spray,DELETED,,minor change. keep orig  code
,zolmitriptan 5 mg per actuation nasal spray,ADDED,Assign 9003997,minor change. keep orig  code
9003997,zolmitriptan 5 mg per spray nasal spray,DELETED,,minor change. keep orig  code
