"route_of_administration_code","pharm_form_code","route_of_administration","pharmaceutical_form","n_human_din","n_any_ccdd","n_all_ccdd","n_tm","ntp_dosage_form_code","ntp_dosage_form","route_of_administration_f","pharmaceutical_form_f"
"22-33-49-65","56","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SOLUTION",5,0,0,1,40017,"powder for solution for injection","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","Poudre pour solution"
"22-34-49-65","56","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SOLUTION",1,0,0,1,40017,"powder for solution for injection","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","Poudre pour solution"
"22-42-49","134","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","SOLUTION",2,2,2,1,40001,"solution for injection","Intramusculaire, Intrasynoviale, Intraveineuse","Solution"
"22-42-49","34","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","LIQUID",1,1,1,1,40001,"solution for injection","Intramusculaire, Intrasynoviale, Intraveineuse","Liquide"
"22-49","134","INTRAMUSCULAR, INTRAVENOUS","SOLUTION",76,31,31,34,40001,"solution for injection","Intramusculaire, Intraveineuse","Solution"
"22-49","32-56","INTRAMUSCULAR, INTRAVENOUS","KIT, POWDER FOR SOLUTION",6,0,0,1,NA,NA,NA,NA
"22-49","34","INTRAMUSCULAR, INTRAVENOUS","LIQUID",43,18,18,27,40001,"solution for injection","Intramusculaire, Intraveineuse","Liquide"
"22-49","56","INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SOLUTION",89,21,21,24,40017,"powder for solution for injection","Intramusculaire, Intraveineuse","Poudre pour solution"
"22-49-65","134","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","SOLUTION",74,37,37,25,40001,"solution for injection","Intramusculaire, Intraveineuse, Sous-cutanée","Solution"
"22-49-65","19","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","EMULSION",2,0,0,1,40015,"emulsion for injection","Intramusculaire, Intraveineuse, Sous-cutanée","Émulsion"
"22-49-65","32-56","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","KIT, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"22-49-65","34","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","LIQUID",28,12,12,15,40001,"solution for injection","Intramusculaire, Intraveineuse, Sous-cutanée","Liquide"
"22-49-65","56","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SOLUTION",1,1,1,1,40017,"powder for solution for injection","Intramusculaire, Intraveineuse, Sous-cutanée","Poudre pour solution"
"22-65","134","INTRAMUSCULAR, SUBCUTANEOUS","SOLUTION",15,3,3,9,40001,"solution for injection","Intramusculaire, Sous-cutanée","Solution"
"22-65","32-56","INTRAMUSCULAR, SUBCUTANEOUS","KIT, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"22-65","34","INTRAMUSCULAR, SUBCUTANEOUS","LIQUID",11,1,1,3,40001,"solution for injection","Intramusculaire, Sous-cutanée","Liquide"
"22-65","34-56","INTRAMUSCULAR, SUBCUTANEOUS","LIQUID, POWDER FOR SOLUTION",3,0,0,1,NA,NA,NA,NA
"22-65","56","INTRAMUSCULAR, SUBCUTANEOUS","POWDER FOR SOLUTION",9,0,0,6,40017,"powder for solution for injection","Intramusculaire, Sous-cutanée","Poudre pour solution"
"22-65","79","INTRAMUSCULAR, SUBCUTANEOUS","SUSPENSION",2,0,0,2,40019,"suspension for injection","Intramusculaire, Sous-cutanée","Suspension"
"22-70","56","INTRAMUSCULAR, TOPICAL","POWDER FOR SOLUTION",2,0,0,1,40017,"powder for solution for injection","Intramusculaire, Topique","Poudre pour solution"
"29","1","INHALATION","METERED-DOSE AEROSOL",9,9,9,3,40021,"pressurised inhalation","Inhalation","Aérosol à dose mesurée"
"29","134","INHALATION","SOLUTION",44,40,40,13,40027,"inhalation solution","Inhalation","Solution"
"29","153","INHALATION","POWDER (METERED DOSE)",3,3,3,3,40025,"inhalation powder","Inhalation","Poudre (à dose mesurée)"
"29","1-55","INHALATION","METERED-DOSE AEROSOL, POWDER",3,3,3,1,40025,"inhalation powder","Inhalation","Aérosol à dose mesurée, Poudre"
"29","162","INHALATION","AEROSOL, METERED DOSE",6,6,6,3,40021,"pressurised inhalation","Inhalation","Aérosol, dose mesurée"
"29","25","INHALATION","GAS",69,0,0,15,40023,"medicinal gas","Inhalation","Gaz"
"29","2-56","INHALATION","AEROSOL, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"29","34","INHALATION","LIQUID",8,1,1,4,40024,"inhalation vapour (liquid)","Inhalation","Liquide"
"29","5","INHALATION","CAPSULE",6,6,6,6,40022,"inhalation powder capsule","Inhalation","Capsule"
"29","55","INHALATION","POWDER",19,19,19,10,40025,"inhalation powder","Inhalation","Poudre"
"29","56","INHALATION","POWDER FOR SOLUTION",9,0,0,2,40026,"powder for nebuliser solution","Inhalation","Poudre pour solution"
"29","79","INHALATION","SUSPENSION",3,3,3,1,40028,"nebuliser suspension","Inhalation","Suspension"
"29-49-56","134","INHALATION, INTRAVENOUS, ORAL","SOLUTION",1,0,0,1,NA,NA,NA,NA
"29-49-56","34","INHALATION, INTRAVENOUS, ORAL","LIQUID",1,0,0,1,NA,NA,NA,NA
"29-53","34","INHALATION, NASAL","LIQUID",1,1,1,1,40029,"nasal spray","Inhalation, Nasale","Liquide"
"29-53","55","INHALATION, NASAL","POWDER",1,1,1,1,40030,"nasal powder","Inhalation, Nasale","Poudre"
"29-56","1","INHALATION, ORAL","METERED-DOSE AEROSOL",3,3,3,1,40021,"pressurised inhalation","Inhalation, Orale","Aérosol à dose mesurée"
"29-56","134","INHALATION, ORAL","SOLUTION",3,3,3,2,40031,"nebuliser solution","Inhalation, Orale","Solution"
"29-56","34","INHALATION, ORAL","LIQUID",1,0,0,1,NA,NA,NA,NA
"29-56","55","INHALATION, ORAL","POWDER",4,3,3,3,40025,"inhalation powder","Inhalation, Orale","Poudre"
"29-70","88","INHALATION, TOPICAL","TINCTURE",1,0,0,1,40027,"inhalation solution","Inhalation, Topique","Teinture"
"3","114","BUCCAL","GEL",1,0,0,1,40002,"oromucosal gel","Buccale","Gel"
"3","134","BUCCAL","SOLUTION",3,1,1,3,40003,"mouthwash","Buccale","Solution"
"3","34","BUCCAL","LIQUID",2,0,0,2,40003,"mouthwash","Buccale","Liquide"
"3","42","BUCCAL","MOUTHWASH/GARGLE",13,6,6,3,40004,"gargle/mouthwash","Buccale","Rince-bouche/Gargarisme"
"3","98","BUCCAL","SPRAY",1,0,0,1,40005,"oromucosal spray","Buccale","Pulvérisation"
"31","134","INTRATHECAL","SOLUTION",10,10,10,2,40001,"solution for injection","Intrathécale","Solution"
"31-49-65","134","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","SOLUTION",3,0,0,1,40001,"solution for injection","Intrathécale, Intraveineuse, Sous-cutanée","Solution"
"31-49-65","56","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SOLUTION",5,0,0,1,40017,"powder for solution for injection","Intrathécale, Intraveineuse, Sous-cutanée","Poudre pour solution"
"32","12","INTRAOCULAR","DROPS",1,0,0,1,40001,"solution for injection","Intraoculaire","Gouttes"
"32","134","INTRAOCULAR","SOLUTION",2,0,0,2,40001,"solution for injection","Intraoculaire","Solution"
"32","32-134","INTRAOCULAR","KIT, SOLUTION",1,0,0,1,NA,NA,NA,NA
"33","134","INTRAPERITONEAL","SOLUTION",1,0,0,1,40036,"solution for peritoneal dialysis","Intrapéritonéale","Solution"
"33-36","134","INTRAPERITONEAL, IRRIGATION","SOLUTION",1,0,0,1,40001,"solution for injection","Intrapéritonéale, Irrigation","Solution"
"33-36","34","INTRAPERITONEAL, IRRIGATION","LIQUID",1,0,0,1,40001,"solution for injection","Intrapéritonéale, Irrigation","Liquide"
"33-36-70","134","INTRAPERITONEAL, IRRIGATION, TOPICAL","SOLUTION",1,0,0,1,NA,NA,NA,NA
"33-36-70","34","INTRAPERITONEAL, IRRIGATION, TOPICAL","LIQUID",1,0,0,1,NA,NA,NA,NA
"3-56","32-85","BUCCAL, ORAL","KIT, TABLET",1,1,0,1,NA,NA,NA,NA
"3-56","42","BUCCAL, ORAL","MOUTHWASH/GARGLE",2,2,2,1,NA,NA,NA,NA
"3-56","42-134","BUCCAL, ORAL","MOUTHWASH/GARGLE, SOLUTION",1,0,0,1,NA,NA,NA,NA
"36","134","IRRIGATION","SOLUTION",10,0,0,8,40035,"irrigation solution","Irrigation","Solution"
"36","34","IRRIGATION","LIQUID",11,0,0,8,40035,"irrigation solution","Irrigation","Liquide"
"3-66","23","BUCCAL, SUBLINGUAL","TABLET (EFFERVESCENT)",5,5,5,1,40007,"buccal tablet","Buccale, Sublinguale","Comprimé (effervescent)"
"3-70","34","BUCCAL, TOPICAL","LIQUID",1,0,0,1,40008,"oromucosal solution","Buccale, Topique","Liquide"
"39","134","INSTILLATION","SOLUTION",1,0,0,1,40032,"solution for cardioplegia","Instillation","Solution"
"39","56","INSTILLATION","POWDER FOR SOLUTION",1,0,0,1,40017,"powder for solution for injection","Instillation","Poudre pour solution"
"40","134","INTRASPINAL","SOLUTION",1,0,0,1,40001,"solution for injection","Intrarachidienne","Solution"
"40","56","INTRASPINAL","POWDER FOR SOLUTION",1,0,0,1,40017,"powder for solution for injection","Intrarachidienne","Poudre pour solution"
"45","79","INTRATRACHEAL","SUSPENSION",3,0,0,3,40037,"endotracheopulmonary instillation","Intratrachéale","Suspension"
"48","130","INTRAUTERINE","INSERT (EXTENDED-RELEASE)",3,3,3,1,40038,"intrauterine delivery system","Intra-utérine","Insert (À libération prolongée)"
"48","34","INTRAUTERINE","LIQUID",1,0,0,1,40001,"solution for injection","Intra-utérine","Liquide"
"49","126","INTRAVENOUS","POWDER FOR SUSPENSION",2,0,0,2,40016,"powder for suspension for injection","Intraveineuse","Poudre pour suspension"
"49","134","INTRAVENOUS","SOLUTION",488,93,87,203,40001,"solution for injection","Intraveineuse","Solution"
"49","135","INTRAVENOUS","LIPOSOMES",1,0,0,1,40039,"powder for suspension for infusion","Intraveineuse","Liposomes"
"49","19","INTRAVENOUS","EMULSION",19,0,0,9,40015,"emulsion for injection","Intraveineuse","Émulsion"
"49","32-56","INTRAVENOUS","KIT, POWDER FOR SOLUTION",37,0,0,11,NA,NA,NA,NA
"49","32-56-134","INTRAVENOUS","KIT, POWDER FOR SOLUTION, SOLUTION",1,0,0,1,NA,NA,NA,NA
"49","34","INTRAVENOUS","LIQUID",91,13,11,69,40001,"solution for injection","Intraveineuse","Liquide"
"49","34-56","INTRAVENOUS","LIQUID, POWDER FOR SOLUTION",4,0,0,2,NA,NA,NA,NA
"49","55","INTRAVENOUS","POWDER",1,0,0,1,40017,"powder for solution for injection","Intraveineuse","Poudre"
"49","56","INTRAVENOUS","POWDER FOR SOLUTION",272,29,29,96,40017,"powder for solution for injection","Intraveineuse","Poudre pour solution"
"49","79","INTRAVENOUS","SUSPENSION",4,1,1,4,40019,"suspension for injection","Intraveineuse","Suspension"
"49-36","134","INTRAVENOUS, IRRIGATION","SOLUTION",2,0,0,1,40001,"solution for injection","Intraveineuse, Irrigation","Solution"
"49-56","134","INTRAVENOUS, ORAL","SOLUTION",2,0,0,1,40001,"solution for injection","Intraveineuse, Orale","Solution"
"49-65","134","INTRAVENOUS, SUBCUTANEOUS","SOLUTION",86,3,3,15,40001,"solution for injection","Intraveineuse, Sous-cutanée","Solution"
"49-65","34","INTRAVENOUS, SUBCUTANEOUS","LIQUID",4,2,2,3,40001,"solution for injection","Intraveineuse, Sous-cutanée","Liquide"
"49-65","56","INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SOLUTION",5,0,0,2,40017,"powder for solution for injection","Intraveineuse, Sous-cutanée","Poudre pour solution"
"49-96","134","INTRAVENOUS, INTRAVESICAL","SOLUTION",6,0,0,1,40001,"solution for injection","Intraveineuse, Intravésicale","Solution"
"49-96","56","INTRAVENOUS, INTRAVESICAL","POWDER FOR SOLUTION",6,0,0,2,40017,"powder for solution for injection","Intraveineuse, Intravésicale","Poudre pour solution"
"5","32-134","DENTAL","KIT, SOLUTION",1,1,1,1,NA,NA,NA,NA
"5","34","DENTAL","LIQUID",3,0,0,3,40011,"dental solution","Dentaire","Liquide"
"5","52","DENTAL","PASTE",2,1,1,2,40009,"oromucosal paste","Dentaire","Pâte"
"5","85","DENTAL","TABLET",1,0,0,1,NA,NA,NA,NA
"5","94","DENTAL","TOOTHPASTE",5,0,0,2,40012,"toothpaste","Dentaire","Pâte dentifrice"
"53","1","NASAL","METERED-DOSE AEROSOL",5,1,1,4,40029,"nasal spray","Nasale","Aérosol à dose mesurée"
"53","114","NASAL","GEL",4,1,1,2,40044,"nasal gel","Nasale","Gel"
"53","117","NASAL","METERED-DOSE PUMP",2,1,1,2,40029,"nasal spray","Nasale","Pompe à dose mesurée"
"53","12","NASAL","DROPS",1,0,0,1,40043,"nasal drops","Nasale","Gouttes"
"53","134","NASAL","SOLUTION",15,6,6,7,40029,"nasal spray","Nasale","Solution"
"53","134-98","NASAL","SOLUTION, SPRAY",1,1,1,1,NA,NA,NA,NA
"53","158","NASAL","SPRAY, METERED DOSE",22,17,16,11,40029,"nasal spray","Nasale","Pulvérisation, à dose mesurée"
"53","1-79","NASAL","METERED-DOSE AEROSOL, SUSPENSION",1,1,1,1,40029,"nasal spray","Nasale","Aérosol à dose mesurée, Suspension"
"53","34","NASAL","LIQUID",2,0,0,2,40029,"nasal spray","Nasale","Liquide"
"53","79","NASAL","SUSPENSION",1,1,1,1,40029,"nasal spray","Nasale","Suspension"
"53","98","NASAL","SPRAY",28,5,3,8,40029,"nasal spray","Nasale","Pulvérisation"
"53","98-79","NASAL","SPRAY, SUSPENSION",1,0,0,1,NA,NA,NA,NA
"53-56","98","NASAL, ORAL","SPRAY",2,2,2,1,40029,"nasal spray","Nasale, Orale","Pulvérisation"
"55","101","OPHTHALMIC","SOLUTION (LONG-ACTING)",2,2,2,1,40055,"prolonged-release eye drops","Ophtalmique",NA
"55","114","OPHTHALMIC","GEL",1,0,0,1,40051,"ophthalmic gel","Ophtalmique","Gel"
"55","116","OPHTHALMIC","INSERT",1,0,0,1,40052,"ophthalmic insert","Ophtalmique","Insert"
"55","12","OPHTHALMIC","DROPS",49,8,7,26,40050,"ophthalmic drops","Ophtalmique","Gouttes"
"55","134","OPHTHALMIC","SOLUTION",162,90,84,64,40050,"ophthalmic drops","Ophtalmique","Solution"
"55","19","OPHTHALMIC","EMULSION",3,0,0,3,40050,"ophthalmic drops","Ophtalmique","Émulsion"
"55","32-134","OPHTHALMIC","KIT, SOLUTION",1,0,0,1,NA,NA,NA,NA
"55","34","OPHTHALMIC","LIQUID",27,11,10,15,40050,"ophthalmic drops","Ophtalmique","Liquide"
"55","43","OPHTHALMIC","OINTMENT",26,14,10,21,40053,"ophthalmic ointment","Ophtalmique","Pommade"
