ntp_code,ntp_formal_name,changes,
9003858,atazanavir (atazanavir sulfate) 200 mg oral capsule,ADDED,
9004300,atazanavir (atazanavir sulfate) 300 mg oral capsule,ADDED,
9005205,azilsartan medoxomil (azilsartan medoxomil potassium) 80 mg and chlorthalidone 12.5 mg oral tablet,DELETED,
9006284,azithromycin (azithromycin hemiethanolate) 100 mg per 5 mL oral suspension,DELETED,
9001295,azithromycin (azithromycin hydrogen citrate) 500 mg per vial powder for solution for injection,DELETED,
9001129,azithromycin (azithromycin isopropanolate) 250 mg oral tablet,DELETED,
9000736,azithromycin 600 mg oral tablet,"ntp_status_effective_time: ""19970721"" -> ""20051102""",
9004600,aztreonam 75 mg per vial powder for nebuliser solution,ADDED,
9007802,benazepril hydrochloride 5 mg oral tablet,"ntp_status_effective_time: ""19931231"" -> ""20070515""",
9004469,benzalkonium chloride 0.1 % cutaneous solution,"ntp_status_effective_time: ""20081024"" -> ""20100615""",
9004929,benzalkonium chloride 0.12 % cutaneous gel,DELETED,
9004671,benzalkonium chloride 0.13 % wipe,"ntp_status_effective_time: ""20100405"" -> ""20111206""",
9004297,benzalkonium chloride 0.15 % cutaneous gel,DELETED,
9001501,benzalkonium chloride 13 % cutaneous liquid,DELETED,
9005256,benzoyl peroxide 5 % cutaneous solution,DELETED,
9003009,benzoyl peroxide 5 % lotion,"ntp_status_effective_time: ""19961231"" -> ""19980715""",
9006256,benztropine mesylate 2 mg per 5 mL oral solution,DELETED,
9001654,betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous cream,ADDED,
9001681,betamethasone (betamethasone valerate) 1 mg per g and gentamicin (gentamicin sulfate) 1 mg per g cutaneous ointment,ADDED,
9000987,bimatoprost 0.03 % ophthalmic drops,"ntp_status_effective_time: ""20020524"" -> ""20160513""",
9004195,brompheniramine maleate 1 mg and phenylephrine hydrochloride 2.5 mg chewable tablet,DELETED,
9004243,brompheniramine maleate 2 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL syrup,DELETED,
9004245,brompheniramine maleate 4 mg per 5 mL and phenylephrine hydrochloride 10 mg per 5 mL syrup,DELETED,
9001033,calcitriol 1 mcg per 1 mL solution for injection ampoule,"ntp_status_effective_time: ""20150327"" -> ""20030707""",
9001443,calcitriol 4 mcg per 2 mL solution for injection ampoule,DELETED,
9000220,carbamazepine 200 mg chewable tablet,"ntp_status_effective_time: ""19851231"" -> ""20020419""",
9003635,caspofungin (caspofungin acetate) 50 mg per vial powder for solution for injection,ADDED,
9003659,caspofungin (caspofungin acetate) 70 mg per vial powder for solution for injection,ADDED,
9002756,cefazolin (cefazolin sodium) 0.5 g per vial powder for solution for injection,ADDED,
9002758,cefazolin (cefazolin sodium) 1 g per vial powder for solution for injection,ADDED,
9002757,cefazolin (cefazolin sodium) 10 g per vial powder for solution for injection,ADDED,
9005258,cefazolin (cefazolin sodium) 100 g powder for solution for injection,ADDED,
9003322,cefazolin (cefazolin sodium) 20 g per vial powder for solution for injection,ADDED,
9003323,cefazolin (cefazolin sodium) 500 mg per vial powder for solution for injection,ADDED,
9004526,cefepime (cefepime hydrochloride) 2 g per vial powder for solution for injection,ADDED,
9003830,cefotaxime sodium 1 g per vial powder for solution for injection,ADDED,
9003817,cefotaxime sodium 2 g per vial powder for solution for injection,ADDED,
9002759,cefoxitin (cefoxitin sodium) 1 g per vial powder for solution for injection,ADDED,
9003449,cefoxitin (cefoxitin sodium) 10 g per vial powder for solution for injection,ADDED,
9002760,cefoxitin (cefoxitin sodium) 2 g per vial powder for solution for injection,ADDED,
9000556,cefprozil 250 mg oral tablet,"ntp_status_effective_time: ""19951231"" -> ""20070312""",
9000558,cefprozil 500 mg oral tablet,"ntp_status_effective_time: ""19951231"" -> ""20070312""",
9003622,ceftazidime (ceftazidime pentahydrate) 1 g per vial powder for solution for injection,ADDED,
9003680,ceftazidime (ceftazidime pentahydrate) 2 g per vial powder for solution for injection,ADDED,
9005730,ceftazidime (ceftazidime pentahydrate) 3 g per vial powder for solution for injection,ADDED,
9003656,ceftazidime (ceftazidime pentahydrate) 6 g per vial powder for solution for injection,ADDED,
9002345,ceftazidime 1 g per vial powder for solution for injection,ADDED,
9002346,ceftazidime 2 g per vial powder for solution for injection,ADDED,
9002347,ceftazidime 6 g per vial powder for solution for injection,ADDED,
9004263,ceftriaxone (ceftriaxone sodium) 0.25 g per vial powder for solution for injection,ADDED,
9004265,ceftriaxone (ceftriaxone sodium) 1 g per vial powder for solution for injection,ADDED,
9004264,ceftriaxone (ceftriaxone sodium) 10 g per vial powder for solution for injection,ADDED,
9005538,ceftriaxone (ceftriaxone sodium) 100 g powder for solution for injection,ADDED,
9004266,ceftriaxone (ceftriaxone sodium) 2 g per vial powder for solution for injection,ADDED,
9004294,ceftriaxone (ceftriaxone sodium) 250 mg per vial powder for solution for injection,ADDED,
9000559,cephalexin 125 mg per 5 mL oral suspension,"ntp_status_effective_time: ""19711231"" -> ""19821231""",
9000096,cephalexin 250 mg oral tablet,"ntp_status_effective_time: ""19771231"" -> ""19831231""",
9000057,cephalexin 500 mg oral tablet,"ntp_status_effective_time: ""19721231"" -> ""19831231""",
9002266,chloral hydrate 100 mg per mL syrup,DELETED,
9002940,chloral hydrate 500 mg oral capsule,DELETED,
NA,chloral hydrate 500 mg per 5 mL syrup,ADDED,not published
9002430,chlorhexidine gluconate 0.05 % cutaneous solution,"ntp_status_effective_time: ""19891231"" -> ""19921231""",
9002951,chlorhexidine gluconate 0.12 % oral liquid,DELETED,
9012474,chlorhexidine gluconate 4 % cutaneous spray,DELETED,
9008377,chlorthalidone 100 mg oral tablet,DELETED,
9012479,ciprofloxacin (ciprofloxacin lactate) 200 mg per 100 mL solution for injection bag,DELETED,
9012480,ciprofloxacin (ciprofloxacin lactate) 400 mg per 200 mL solution for injection bag,DELETED,
9012476,ciprofloxacin 200 mg per 20 mL solution for injection vial,DELETED,
9012478,ciprofloxacin 400 mg per 40 mL solution for injection vial,DELETED,
9000989,clindamycin (clindamycin phosphate) 1 % pad,DELETED,
9000945,clobetasol propionate 0.05 % cutaneous solution,"ntp_status_effective_time: ""19980618"" -> ""20010625""",
9001081,clonidine hydrochloride 0.025 mg oral tablet,"ntp_status_effective_time: ""20040713"" -> ""20080626""",
9000346,clonidine hydrochloride 0.1 mg oral tablet,"ntp_status_effective_time: ""19901231"" -> ""19931231""",
9000347,clonidine hydrochloride 0.2 mg oral tablet,"ntp_status_effective_time: ""19901231"" -> ""19931231""",
9000166,codeine phosphate 60 mg per 1 mL solution for injection ampoule,DELETED,
9001712,colistin (colistimethate sodium) 150 mg per vial powder for solution for injection,ADDED,
9000348,conjugated estrogens 0.3 mg oral tablet,DELETED,
9003532,conjugated estrogens 0.625 mg and medroxyprogesterone acetate 2.5 mg kit,DELETED,
9003715,conjugated estrogens 0.625 mg and medroxyprogesterone acetate 5 mg kit,DELETED,
9000030,conjugated estrogens 0.625 mg oral tablet,DELETED,
9000349,conjugated estrogens 0.9 mg oral tablet,DELETED,
9000183,conjugated estrogens 1.25 mg oral tablet,DELETED,
9000350,conjugated estrogens 2.5 mg oral tablet,DELETED,
9012411,cromolyn sodium 1 % inhalation solution 2 mL unit dose vial,"ntp_status: ""INACTIVE"" -> ""ACTIVE""
ntp_status_effective_time: ""20170804"" -> ""19931231""",
9012374,cromolyn sodium 1 % nebuliser solution 2 mL unit dose vial,DELETED,
9005767,daclatasvir (daclatasvir dihydrochloride) 30 mg oral tablet,ADDED,
9005768,daclatasvir (daclatasvir dihydrochloride) 60 mg oral tablet,ADDED,
9002656,dapsone 100 mg oral tablet,ADDED,
9004944,dapsone 5 % cutaneous gel,ADDED,
9004358,daptomycin 500 mg per vial powder for solution for injection,ADDED,
9005560,darunavir (darunavir ethanolate) 100 mg per mL oral suspension,ADDED,
9005019,darunavir (darunavir ethanolate) 150 mg oral tablet,ADDED,
9004524,darunavir (darunavir ethanolate) 600 mg oral tablet,ADDED,
9004609,darunavir (darunavir ethanolate) 75 mg oral tablet,ADDED,
9005128,darunavir (darunavir ethanolate) 800 mg oral tablet,ADDED,
9012372,dexamethasone phosphate (dexamethasone sodium phosphate) 0.1 % ophthalmic/otic drops,DELETED,
9006235,dexamethasone sodium phosphate 0.1 % ophthalmic/otic drops,DELETED,
9000145,diazepam 20 mg per 2 mL solution for injection ampoule,ADDED,
9003053,dibucaine hydrochloride 5 mg and esculin 10 mg and framycetin sulfate 10 mg and hydrocortisone 5 mg suppository,"ntp_status_effective_time: ""19970123"" -> ""20010105""",
9003684,didanosine 125 mg gastro-resistant capsule,ADDED,
9003685,didanosine 200 mg gastro-resistant capsule,ADDED,
9003686,didanosine 250 mg gastro-resistant capsule,ADDED,
9003687,didanosine 400 mg gastro-resistant capsule,ADDED,
9000516,digoxin 0.05 mg per 1 mL solution for injection ampoule,DELETED,
9001155,digoxin 0.0625 mg oral tablet,"ntp_status_effective_time: ""20060622"" -> ""20091223""",
9001156,digoxin 0.125 mg oral tablet,"ntp_status_effective_time: ""20060622"" -> ""20091223""",
9001157,digoxin 0.25 mg oral tablet,"ntp_status_effective_time: ""20060622"" -> ""20091223""",
9006236,digoxin 1 mg per 2 mL solution for injection ampoule,ADDED,
9000569,diltiazem hydrochloride 120 mg prolonged-release oral capsule,"ntp_status_effective_time: ""19951231"" -> ""19970609""",
9000570,diltiazem hydrochloride 180 mg prolonged-release oral capsule,"ntp_status_effective_time: ""19951231"" -> ""19970609""",
9000571,diltiazem hydrochloride 240 mg prolonged-release oral capsule,"ntp_status_effective_time: ""19951231"" -> ""19970609""",
9000720,diltiazem hydrochloride 25 mg per 5 mL solution for injection vial,"ntp_status_effective_time: ""19970410"" -> ""20020109""",
9000572,diltiazem hydrochloride 300 mg prolonged-release oral capsule,"ntp_status_effective_time: ""19951231"" -> ""19970609""",
9000721,diltiazem hydrochloride 50 mg per 10 mL solution for injection vial,"ntp_status_effective_time: ""19970410"" -> ""20020109""",
9000654,diltiazem hydrochloride 60 mg prolonged-release oral capsule,DELETED,
9000655,diltiazem hydrochloride 90 mg prolonged-release oral capsule,DELETED,
9003228,diphenhydramine hydrochloride 12.5 mg chewable tablet,ADDED,
9004798,diphenhydramine hydrochloride 12.5 mg oral tablet,ADDED,
9005453,diphenhydramine hydrochloride 12.5 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL syrup,ADDED,
9003164,diphenhydramine hydrochloride 12.5 mg per 5 mL oral liquid,ADDED,
9002356,diphenhydramine hydrochloride 12.5 mg per 5 mL oral solution,ADDED,
9002568,diphenhydramine hydrochloride 2 % cutaneous cream,ADDED,
9005025,diphenhydramine hydrochloride 2 % cutaneous spray,ADDED,
9002297,diphenhydramine hydrochloride 2.5 mg per mL oral solution,ADDED,
9006414,diphenhydramine hydrochloride 25 mg and ibuprofen 200 mg and ibuprofen 200 mg NA,ADDED,
9004807,diphenhydramine hydrochloride 25 mg and ibuprofen 200 mg oral capsule,ADDED,
9005895,diphenhydramine hydrochloride 25 mg and naproxen sodium 220 mg oral tablet,ADDED,
9002296,diphenhydramine hydrochloride 25 mg oral capsule,ADDED,
9001841,diphenhydramine hydrochloride 25 mg oral tablet,ADDED,
9001882,diphenhydramine hydrochloride 50 mg oral capsule,ADDED,
9001939,diphenhydramine hydrochloride 50 mg oral tablet,ADDED,
9005572,diphenhydramine hydrochloride 50 mg per 30 mL oral liquid,ADDED,
9005685,diphenhydramine hydrochloride 50 mg per 30 mL oral solution,ADDED,
9001974,diphenhydramine hydrochloride 50 mg per mL solution for injection,ADDED,
9004625,diphenhydramine hydrochloride 6.25 mg per 5 mL and phenylephrine hydrochloride 2.5 mg per 5 mL oral liquid,ADDED,
9005559,diphenhydramine hydrochloride 6.25 mg per 5 mL and phenylephrine hydrochloride 2.5 mg per 5 mL syrup,ADDED,
9002357,diphenhydramine hydrochloride 6.25 mg per 5 mL oral liquid,ADDED,
9003730,diphenhydramine hydrochloride 6.25 mg per 5 mL syrup,ADDED,
9002455,docusate sodium 20 mg per 5 mL oral liquid,DELETED,
9004847,docusate sodium 250 mg oral capsule,DELETED,
9006194,dolutegravir (dolutegravir sodium) 10 mg oral tablet,ADDED,
9006195,dolutegravir (dolutegravir sodium) 25 mg oral tablet,ADDED,
9005361,dolutegravir (dolutegravir sodium) 50 mg oral tablet,ADDED,
9002105,doxylamine succinate 25 mg oral tablet,DELETED,
9003368,efavirenz 200 mg oral capsule,ADDED,
9003369,efavirenz 50 mg oral capsule,ADDED,
9004343,efavirenz 600 mg and emtricitabine 200 mg and tenofovir disoproxil fumarate 300 mg oral tablet,ADDED,
9003764,efavirenz 600 mg oral tablet,ADDED,
9005863,elbasvir 50 mg and grazoprevir 100 mg oral tablet,ADDED,
9006139,emtricitabine 200 mg and rilpivirine (rilpivirine hydrochloride) 25 mg and tenofovir alafenamide (tenofovir alafenamide hemifumarate) 25 mg oral tablet,ADDED,
9004942,emtricitabine 200 mg and rilpivirine (rilpivirine hydrochloride) 25 mg and tenofovir disoproxil fumarate 300 mg oral tablet,ADDED,
9005979,emtricitabine 200 mg and tenofovir alafenamide (tenofovir alafenamide hemifumarate) 10 mg oral tablet,ADDED,
9005980,emtricitabine 200 mg and tenofovir alafenamide (tenofovir alafenamide hemifumarate) 25 mg oral tablet,ADDED,
9004149,emtricitabine 200 mg and tenofovir disoproxil fumarate 300 mg oral tablet,ADDED,
9001281,enalapril sodium 32 mg oral tablet,DELETED,
9004341,enalapril sodium 4 mg and hydrochlorothiazide 12.5 mg oral tablet,DELETED,
9004212,entecavir 0.5 mg oral tablet,ADDED,
9003822,ertapenem (ertapenem sodium) 1 g per vial powder for solution for injection,ADDED,
9000049,erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension,DELETED,
9000247,erythromycin (erythromycin ethylsuccinate) 600 mg oral tablet,DELETED,
9009350,estradiol 0.1 % transdermal gel,DELETED,
NA,estradiol 0.1 % transdermal gel 0.25 mg sachet,ADDED,
NA,estradiol 0.1 % transdermal gel 0.5 mg sachet,ADDED,
NA,estradiol 0.1 % transdermal gel 1 mg sachet,ADDED,
9001686,ethambutol hydrochloride 100 mg oral tablet,ADDED,
9001687,ethambutol hydrochloride 400 mg oral tablet,ADDED,
9009390,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet,"ntp_status_effective_time: ""19741231"" -> ""19761231""",
9009391,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet,DELETED,
9009392,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet,DELETED,
9009393,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet,"ntp_status_effective_time: ""19741231"" -> ""19960814""",
9009397,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet,"ntp_status_effective_time: ""19801231"" -> ""19960916""",
9004386,etravirine 100 mg oral tablet,ADDED,
9004954,etravirine 200 mg oral tablet,ADDED,
9005265,etravirine 25 mg oral tablet,ADDED,
9002928,famciclovir 125 mg oral tablet,ADDED,
9002929,famciclovir 250 mg oral tablet,ADDED,
9002808,famciclovir 500 mg oral tablet,ADDED,
9001175,fenofibrate 160 mg oral capsule,DELETED,
9000321,fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule,"ntp_status_effective_time: ""19891231"" -> ""20000210""",
9000319,fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection ampoule,DELETED,
9000320,fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial,"ntp_status_effective_time: ""19891231"" -> ""20000210""",
9000322,fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection ampoule,DELETED,
9000323,fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection ampoule,"ntp_status_effective_time: ""19891231"" -> ""20130221""",
9000324,fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection vial,"ntp_status_effective_time: ""19891231"" -> ""20000210""",
9002302,fluconazole 100 mg oral tablet,"ntp_status_effective_time: ""19901231"" -> ""20020605""",
9006593,fluconazole 200 mg per 100 mL solution for injection bag,"ntp_status_effective_time: ""20031128"" -> ""20050901""",
9002304,fluconazole 50 mg oral tablet,"ntp_status_effective_time: ""19901231"" -> ""20020605""",
9000168,flurazepam hydrochloride 15 mg oral capsule,"ntp_status_effective_time: ""19811231"" -> ""19821231""",
9000169,flurazepam hydrochloride 30 mg oral capsule,"ntp_status_effective_time: ""19811231"" -> ""19821231""",
9000452,fluticasone propionate 50 mcg per actuation nasal spray,"ntp_status_effective_time: ""19930312"" -> ""20070607""",
9004019,fosamprenavir (fosamprenavir calcium) 50 mg per mL oral suspension,ADDED,
9003992,fosamprenavir (fosamprenavir calcium) 700 mg oral tablet,ADDED,
9002673,framycetin sulfate 1 % dressing,DELETED,
9003631,framycetin sulfate 5 mg per g ophthalmic ointment,DELETED,
9003632,framycetin sulfate 5 mg per mL ophthalmic drops,DELETED,
9009616,furosemide 20 mg per 2 mL solution for injection syringe,DELETED,
9009620,furosemide 40 mg per 2 mL solution for injection ampoule,ADDED,
9009622,furosemide 40 mg per 4 mL solution for injection syringe,DELETED,
9000949,fusidic acid 1 % ophthalmic drops,"ntp_status_effective_time: ""20010807"" -> ""20010829""",
9001328,galantamine (galantamine hydrobromide) 16 mg prolonged-release oral capsule,"ntp_status_effective_time: ""20050429"" -> ""20101112""",
9001330,galantamine (galantamine hydrobromide) 8 mg prolonged-release oral capsule,"ntp_status_effective_time: ""20050429"" -> ""20101112""",
9002820,ganciclovir (ganciclovir sodium) 500 mg per vial powder for solution for injection,ADDED,
NA,gentamicin (gentamicin sulfate) 100 mg per 100 mL solution for injection bag,ADDED,
NA,gentamicin (gentamicin sulfate) 20 mg per 2 mL solution for injection vial,ADDED,
NA,gentamicin (gentamicin sulfate) 80 mg per 2 mL solution for injection ampoule,ADDED,
NA,gentamicin (gentamicin sulfate) 80 mg per 2 mL solution for injection vial,ADDED,
NA,gentamicin (gentamicin sulfate) 80 mg per 50 mL solution for injection bag,ADDED,
9000250,glyburide 5 mg oral tablet,"ntp_status_effective_time: ""19861231"" -> ""19911231""",
9012494,granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection vial,"ntp_status_effective_time: ""20090220"" -> ""20090514""",
9012496,granisetron (granisetron hydrochloride) 4 mg per 4 mL solution for injection vial,"ntp_status_effective_time: ""20090220"" -> ""20090514""",
9004591,guaifenesin 200 mg per 15 mL oral liquid,DELETED,
9003503,guaifenesin 200 mg per 15 mL syrup,DELETED,
9000741,haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection vial,DELETED,
9000523,haloperidol (haloperidol decanoate) 250 mg per 5 mL solution for injection vial,DELETED,
9000149,haloperidol 0.5 mg oral tablet,"ntp_status_effective_time: ""19801231"" -> ""19861231""",
9000150,haloperidol 1 mg oral tablet,"ntp_status_effective_time: ""19801231"" -> ""19861231""",
9000186,haloperidol 2 mg per mL oral solution,DELETED,
9000129,hydrochlorothiazide 100 mg oral tablet,DELETED,
9002024,hydrochlorothiazide 15 mg and methyldopa 250 mg oral tablet,DELETED,
9001339,hydrochlorothiazide 25 mg and irbesartan 300 mg oral tablet,"ntp_status_effective_time: ""20060519"" -> ""20110321""",
9002025,hydrochlorothiazide 25 mg and methyldopa 250 mg oral tablet,DELETED,
9006224,hydrocortisone acetate 2.5 % ophthalmic ointment,DELETED,
9000201,hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial,"ntp_status_effective_time: ""19841231"" -> ""19951231""",
9006204,hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial,"ntp_status_effective_time: ""19841231"" -> ""19951231""",
9000203,hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule,"ntp_status_effective_time: ""19841231"" -> ""19951231""",
9000206,hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial,"ntp_status_effective_time: ""19841231"" -> ""19951231""",
9000726,hydroxyzine hydrochloride 500 mg per 10 mL solution for injection vial,DELETED,
9006290,ibuprofen 400 mg per 4 mL solution for injection vial,DELETED,
9006291,ibuprofen 800 mg per 8 mL solution for injection vial,DELETED,
NA,ibutilide fumarate 1 mg per 10 mL solution for injection vial,ADDED,
9012498,ibutilide fumrate 1 mg per 10 mL solution for injection vial,DELETED,
9003452,inosine pranobex 500 mg oral tablet,ADDED,
9000786,ipratropium bromide 0.025 % per 1 mL inhalation solution unit dose vial,DELETED,
9006574,ipratropium bromide 0.03 % inhalation vapour (liquid),DELETED,
9001005,ipratropium bromide 0.03 % nasal spray,DELETED,
9000787,ipratropium bromide 0.05 % per 2 mL inhalation solution unit dose vial,DELETED,
9001006,ipratropium bromide 0.06 % nasal spray,DELETED,
9000827,ipratropium bromide 0.25 mg per 1 mL inhalation solution unit dose vial,DELETED,
9000828,ipratropium bromide 0.25 mg per mL inhalation solution 20 mL bottle,DELETED,
9000829,ipratropium bromide 0.5 mg per 2 mL inhalation solution unit dose vial,DELETED,
9000588,ipratropium bromide 21 mcg per actuation nasal spray,ADDED,
9000640,ipratropium bromide 42 mcg per actuation nasal spray,ADDED,
9012502,irinotecan hydrochloride (irinotecan hydrochloride) 20 mg per mL solution for injection,"ntp_status_effective_time: ""20110527"" -> ""20130506""",
9003146,irinotecan hydrochloride 20 mg per mL solution for injection,"ntp_status_effective_time: ""19970827"" -> ""20060201""",
9003125,itraconazole 10 mg per mL oral solution,ADDED,
9002587,itraconazole 100 mg oral capsule,ADDED,
9003719,ketoconazole 2 % cutaneous cream,ADDED,
9002234,ketoconazole 2 % shampoo,ADDED,
9003213,ketoconazole 200 mg oral tablet,ADDED,
9000965,ketorolac tromethamine 30 mg per mL solution for injection,ADDED,
9002834,lamivudine 10 mg per mL oral solution,ADDED,
9003336,lamivudine 100 mg oral tablet,ADDED,
9003343,lamivudine 150 mg and zidovudine 300 mg oral tablet,ADDED,
9002835,lamivudine 150 mg oral tablet,ADDED,
9003827,lamivudine 300 mg oral tablet,ADDED,
9003370,lamivudine 5 mg per mL oral solution,ADDED,
9005599,ledipasvir 90 mg and sofosbuvir 400 mg oral tablet,ADDED,
NA,linaclotide 72 mcg oral capsule,ADDED,
9000666,lisinopril 40 mg oral tablet,DELETED,
9002593,loperamide hydrochloride 0.2 mg per mL oral solution,ADDED,
9005282,loperamide hydrochloride 2 mg oral capsule,ADDED,
9002841,loperamide hydrochloride 2 mg oral tablet,ADDED,
9004307,loperamide hydrochloride 2 mg per 15 mL oral solution,ADDED,
