"","DRUG_CODE","DRUG_IDENTIFICATION_NUMBER","ai_set_str","ai_set","ai_group","AI_GROUP_NO"
"41","10294","00441643","IBUPROFEN 200 MG","IBUPROFEN","0108883","0108883004"
"42","1030","00021520","IMIPRAMINE HYDROCHLORIDE 50 MG","IMIPRAMINE HYDROCHLORIDE","0103832","0103832001"
"43","1031","00021504","IMIPRAMINE HYDROCHLORIDE 10 MG","IMIPRAMINE HYDROCHLORIDE","0103832","0103832003"
"44","10312","00816086","FOLIC ACID 5 MG","FOLIC ACID","0108418","0108418001"
"45","10312","00816086","FOLIC ACID 5 MG","FOLIC ACID","0108418","0108418001"
"46","10312","00816086","FOLIC ACID 5 MG","FOLIC ACID","0108418","0108418001"
"47","10314","00745790","PETROLATUM 100 %","PETROLATUM","0108784","0108784002"
"48","10316","00809055","DOCUSATE CALCIUM 240 MG","DOCUSATE CALCIUM","0117478","0117478001"
"49","10318","00836273","LEUPROLIDE ACETATE 7.5 MG","LEUPROLIDE ACETATE","0116959","0116959002"
"50","1032","00021512","IMIPRAMINE HYDROCHLORIDE 25 MG","IMIPRAMINE HYDROCHLORIDE","0103832","0103832002"
"51","1033","00021555","METRONIDAZOLE 250 MG","METRONIDAZOLE","0102572","0102572001"
"52","1036","00022772","PHENYTOIN SODIUM 30 MG","PHENYTOIN SODIUM","0101375","0101375001"
"53","1037","00022780","PHENYTOIN SODIUM 100 MG","PHENYTOIN SODIUM","0101375","0101375002"
"54","10383","00874256","DOXYCYCLINE 100 MG","DOXYCYCLINE","0105569","0105569001"
"55","10391","00860808","SALBUTAMOL 5 MG","SALBUTAMOL","0108887","0108887006"
"56","10393","00749834","HYDROCORTISONE ACETATE 2 %","HYDROCORTISONE ACETATE","0131221","0131221004"
"57","10394","00862924","DILTIAZEM HYDROCHLORIDE 30 MG","DILTIAZEM HYDROCHLORIDE","0115863","0115863001"
"58","10395","00862932","DILTIAZEM HYDROCHLORIDE 60 MG","DILTIAZEM HYDROCHLORIDE","0115863","0115863002"
"59","10398","00584991","METHYLPHENIDATE HYDROCHLORIDE 10 MG","METHYLPHENIDATE HYDROCHLORIDE","0107548","0107548001"
"60","10399","00585009","METHYLPHENIDATE HYDROCHLORIDE 20 MG","METHYLPHENIDATE HYDROCHLORIDE","0107548","0107548002"
"61","10433","00789739","OXYCODONE HYDROCHLORIDE 5 MG","OXYCODONE HYDROCHLORIDE","0107552","0107552003"
"62","10435","00779121","NYSTATIN 100000 UNIT","NYSTATIN","0105858","0105858002"
"63","10438","00060704","DEXTROSE 5 G|SODIUM CHLORIDE 200 MG","DEXTROSE|SODIUM CHLORIDE","0200203","0200203004"
"64","10439","00060739","DEXTROSE 5 G|SODIUM CHLORIDE 450 MG","DEXTROSE|SODIUM CHLORIDE","0200203","0200203002"
"65","10440","00060747","DEXTROSE 5 G|SODIUM CHLORIDE 900 MG","DEXTROSE|SODIUM CHLORIDE","0200203","0200203001"
"66","10441","00060755","DEXTROSE 10 G|SODIUM CHLORIDE 900 MG","DEXTROSE|SODIUM CHLORIDE","0200203","0200203005"
"67","10442","00060186","SODIUM CHLORIDE 450 MG","SODIUM CHLORIDE","0100053","0100053005"
"68","10450","00792691","ACETAMINOPHEN 32 MG","ACETAMINOPHEN","0102009","0102009005"
"69","10451","00792713","ACETAMINOPHEN 16 MG","ACETAMINOPHEN","0102009","0102009004"
"70","10485","00705799","MORPHINE SULFATE 50 MG","MORPHINE SULFATE","0104545","0104545006"
"71","10486","00792705","DIPHENHYDRAMINE HYDROCHLORIDE 2.5 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639003"
"72","10488","00755575","FLUPHENAZINE DECANOATE 100 MG","FLUPHENAZINE DECANOATE","0110769","0110769002"
"73","10488","00755575","FLUPHENAZINE DECANOATE 100 MG","FLUPHENAZINE DECANOATE","0110769","0110769002"
"74","10492","00860786","DINOPROSTONE 0.5 MG","DINOPROSTONE","0111999","0111999005"
"75","10494","00784400","AMILORIDE HYDROCHLORIDE 5 MG|HYDROCHLOROTHIAZIDE 50 MG","AMILORIDE HYDROCHLORIDE|HYDROCHLOROTHIAZIDE","0213868","0213868001"
"76","10495","00842826","METOCLOPRAMIDE HYDROCHLORIDE 5 MG","METOCLOPRAMIDE HYDROCHLORIDE","0109394","0109394003"
"77","10496","00842834","METOCLOPRAMIDE HYDROCHLORIDE 10 MG","METOCLOPRAMIDE HYDROCHLORIDE","0109394","0109394001"
"78","10497","00060313","SODIUM CITRATE 4 G","SODIUM CITRATE","0100377","0100377001"
"79","10509","00804789","POTASSIUM PHOSPHATE DIBASIC 236 MG|POTASSIUM PHOSPHATE MONOBASIC 224 MG","POTASSIUM PHOSPHATE DIBASIC|POTASSIUM PHOSPHATE MONOBASIC","0207483","0207483001"
"80","10511","00060348","DEXTROSE 5 G","DEXTROSE","0102181","0102181006"
"81","10512","00799793","CALCIUM CHLORIDE 23.9 MG|DEXTROSE 500 MG|MAGNESIUM CHLORIDE 15.2 MG|SODIUM CHLORIDE 567 MG|SODIUM LACTATE 392 MG","CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500162","0500162015"
"82","10515","00060712","DEXTROSE 3.3 G|SODIUM CHLORIDE 300 MG","DEXTROSE|SODIUM CHLORIDE","0200203","0200203006"
"83","10516","00060437","MANNITOL 20 G","MANNITOL","0103277","0103277003"
"84","10517","00060410","MANNITOL 10 G","MANNITOL","0103277","0103277002"
"85","10519","00828602","DEXTROSE 50 MG|LIDOCAINE HYDROCHLORIDE 4 MG","DEXTROSE|LIDOCAINE HYDROCHLORIDE","0201281","0201281001"
"86","10521","00828750","HEPARIN 2 UNIT|SODIUM CHLORIDE 9 MG","HEPARIN|SODIUM CHLORIDE","0231405","0231405001"
"87","10523","00868965","CEFIXIME 100 MG","CEFIXIME","0122105","0122105001"
"88","10525","00868981","CEFIXIME 400 MG","CEFIXIME","0122105","0122105003"
"89","10526","00453811","HEPARIN SODIUM 1000 UNIT","HEPARIN SODIUM","0104596","0104596004"
"90","10526","00453811","HEPARIN SODIUM 1000 UNIT","HEPARIN SODIUM","0104596","0104596004"
"91","10533","00782696","LORATADINE 10 MG","LORATADINE","0120416","0120416001"
"92","10535","00846465","SULFAMETHOXAZOLE 40 MG|TRIMETHOPRIM 8 MG","SULFAMETHOXAZOLE|TRIMETHOPRIM","0208901","0208901006"
"93","10565","00873195","CETRIMONIUM BROMIDE .5 %","CETRIMONIUM BROMIDE","0106863","0106863001"
"94","10567","00869961","PYRIDOSTIGMINE BROMIDE 60 MG","PYRIDOSTIGMINE BROMIDE","0107514","0107514003"
"95","10569","00842044","DOCUSATE CALCIUM 240 MG","DOCUSATE CALCIUM","0117478","0117478001"
"96","10575","00848417","DOCUSATE SODIUM 50 MG","DOCUSATE SODIUM","0104351","0104351005"
"97","10602","00792594","TETRACYCLINE HYDROCHLORIDE 10 MG","TETRACYCLINE HYDROCHLORIDE","0105499","0105499001"
"98","1062","00070254","BENZOCAINE 23 %|METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL .1 %","BENZOCAINE|METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","0204988","0204988001"
"99","10664","00812404","TAMOXIFEN 10 MG","TAMOXIFEN","0131293","0131293001"
"100","10665","00786616","TERBUTALINE SULFATE 0.5 MG","TERBUTALINE SULFATE","0110482","0110482003"
"101","10666","00851752","BUDESONIDE 200 MCG","BUDESONIDE","0116807","0116807001"
"102","10666","00851752","BUDESONIDE 200 MCG","BUDESONIDE","0116807","0116807001"
"103","10667","00852074","BUDESONIDE 100 MCG","BUDESONIDE","0116807","0116807002"
"104","10667","00852074","BUDESONIDE 100 MCG","BUDESONIDE","0116807","0116807002"
"105","10668","00832111","CHLORHEXIDINE GLUCONATE 4 %","CHLORHEXIDINE GLUCONATE","0107629","0107629001"
"106","10669","00832138","CHLORHEXIDINE GLUCONATE 2 %","CHLORHEXIDINE GLUCONATE","0107629","0107629004"
"107","10705","00614262","NITROGLYCERIN 1 MG","NITROGLYCERIN","0103615","0103615004"
"108","10706","00778869","NITROGLYCERIN 5 MG","NITROGLYCERIN","0103615","0103615007"
"109","10707","00873454","ERYTHROMYCIN 333 MG","ERYTHROMYCIN","0105708","0105708013"
"110","10708","00739162","BETHANECHOL CHLORIDE 25 MG","BETHANECHOL CHLORIDE","0107779","0107779004"
"111","10709","00759171","BETHANECHOL CHLORIDE 10 MG","BETHANECHOL CHLORIDE","0107779","0107779001"
"112","10710","00759198","BETHANECHOL CHLORIDE 50 MG","BETHANECHOL CHLORIDE","0107779","0107779003"
"113","10711","00785547","ACETYLSALICYLIC ACID 150 MG","ACETYLSALICYLIC ACID","0101169","0101169010"
"114","10712","00582867","ACETYLSALICYLIC ACID 650 MG","ACETYLSALICYLIC ACID","0101169","0101169002"
"115","10748","00611174","BETAMETHASONE 0.05 %|CLOTRIMAZOLE 1 %","BETAMETHASONE|CLOTRIMAZOLE","0216399","0216399001"
"116","10762","00812390","TAMOXIFEN 20 MG","TAMOXIFEN","0131293","0131293002"
"117","10767","00658413","CHLORHEXIDINE GLUCONATE 20 %","CHLORHEXIDINE GLUCONATE","0107629","0107629002"
"118","10770","00821780","CALCIUM CHLORIDE 100 MG","CALCIUM CHLORIDE","0108565","0108565001"
"119","10772","00870978","DICLOFENAC SODIUM 50 MG","DICLOFENAC SODIUM","0114417","0114417002"
"120","10790","00851965","TAMOXIFEN 10 MG","TAMOXIFEN","0131293","0131293001"
"121","10791","00851973","TAMOXIFEN 20 MG","TAMOXIFEN","0131293","0131293002"
"122","10806","00870943","AMILORIDE HYDROCHLORIDE 5 MG|HYDROCHLOROTHIAZIDE 50 MG","AMILORIDE HYDROCHLORIDE|HYDROCHLOROTHIAZIDE","0213868","0213868001"
"123","10820","00890197","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 7.49 G|DEXTROSE 45 G|MAGNESIUM CHLORIDE 2.14 G|POTASSIUM CHLORIDE 10.05 G|SODIUM CHLORIDE 263 G","ACETIC ACID|CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0617386","0617386352"
"124","10828","00882801","PRAZOSIN 1 MG","PRAZOSIN","0111527","0111527001"
"125","10829","00882828","PRAZOSIN 2 MG","PRAZOSIN","0111527","0111527002"
"126","10830","00882836","PRAZOSIN 5 MG","PRAZOSIN","0111527","0111527003"
"127","10832","00577308","KETOTIFEN 1 MG","KETOTIFEN","0115676","0115676001"
"128","10834","00720941","GLYBURIDE 5 MG","GLYBURIDE","0108708","0108708001"
"129","1084","00010391","ACENOCOUMAROL 4 MG","ACENOCOUMAROL","0104595","0104595002"
"130","1086","00023698","PHENYTOIN 50 MG","PHENYTOIN","0101372","0101372003"
"131","10860","00600784","KETOTIFEN 1 MG","KETOTIFEN","0115676","0115676002"
"132","10863","00865095","CALCIUM CHLORIDE 18.3 MG|DEXTROSE 1.5 G|MAGNESIUM CHLORIDE 5.08 MG|SODIUM CHLORIDE 538 MG|SODIUM LACTATE 448 MG","CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500162","0500162036"
"133","10864","00865109","CALCIUM CHLORIDE 18.3 MG|DEXTROSE 2.5 G|MAGNESIUM CHLORIDE 5.08 MG|SODIUM CHLORIDE 538 MG|SODIUM LACTATE 448 MG","CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500162","0500162032"
"134","10865","00865117","CALCIUM CHLORIDE 18.3 MG|DEXTROSE 4.25 G|MAGNESIUM CHLORIDE 5.08 MG|SODIUM CHLORIDE 538 MG|SODIUM LACTATE 448 MG","CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500162","0500162030"
"135","10866","00786292","DEXTROSE 5 G|POTASSIUM CHLORIDE 150 MG|SODIUM CHLORIDE 900 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097006"
"136","10867","00786306","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 900 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097007"
"137","10871","00870420","METRONIDAZOLE 5 MG","METRONIDAZOLE","0102572","0102572002"
"138","10874","00757683","DIPHENHYDRAMINE HYDROCHLORIDE 25 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639002"
"139","10875","00757691","DIPHENHYDRAMINE HYDROCHLORIDE 50 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639001"
"140","10876","00868906","NEOSTIGMINE METHYLSULFATE .5 MG","NEOSTIGMINE METHYLSULFATE","0102263","0102263002"
"141","10876","00868906","NEOSTIGMINE METHYLSULFATE .5 MG","NEOSTIGMINE METHYLSULFATE","0102263","0102263002"
"142","10876","00868906","NEOSTIGMINE METHYLSULFATE .5 MG","NEOSTIGMINE METHYLSULFATE","0102263","0102263002"
"143","10877","00868930","NEOSTIGMINE METHYLSULFATE 1 MG","NEOSTIGMINE METHYLSULFATE","0102263","0102263003"
"144","10877","00868930","NEOSTIGMINE METHYLSULFATE 1 MG","NEOSTIGMINE METHYLSULFATE","0102263","0102263003"
"145","10877","00868930","NEOSTIGMINE METHYLSULFATE 1 MG","NEOSTIGMINE METHYLSULFATE","0102263","0102263003"
"146","10878","00880140","DOCUSATE SODIUM 10 MG","DOCUSATE SODIUM","0104351","0104351004"
"147","10883","00830208","CONJUGATED ESTROGENS 2.5 MG","CONJUGATED ESTROGENS","0106442","0106442004"
"148","10884","00830216","CONJUGATED ESTROGENS 1.25 MG","CONJUGATED ESTROGENS","0106442","0106442003"
"149","10885","00830224","CONJUGATED ESTROGENS 0.9 MG","CONJUGATED ESTROGENS","0106442","0106442007"
"150","10886","00830232","CONJUGATED ESTROGENS 0.625 MG","CONJUGATED ESTROGENS","0106442","0106442006"
"151","10887","00830240","CONJUGATED ESTROGENS 0.3 MG","CONJUGATED ESTROGENS","0106442","0106442002"
"152","10897","00887064","DOXYCYCLINE HYCLATE 100 MG","DOXYCYCLINE HYCLATE","0131288","0131288002"
"153","10899","00860697","CLORAZEPATE DIPOTASSIUM 15 MG","CLORAZEPATE DIPOTASSIUM","0108895","0108895003"
"154","1090","00065927","BISMUTH DIPROPYLACETATE 135 MG","BISMUTH DIPROPYLACETATE","0108681","0108681002"
"155","10900","00893625","CAPTOPRIL 100 MG","CAPTOPRIL","0114954","0114954003"
"156","10902","00860689","CLORAZEPATE DIPOTASSIUM 3.75 MG","CLORAZEPATE DIPOTASSIUM","0108895","0108895001"
"157","10903","00860700","CLORAZEPATE DIPOTASSIUM 7.5 MG","CLORAZEPATE DIPOTASSIUM","0108895","0108895002"
"158","10904","00865397","ALPRAZOLAM 0.25 MG","ALPRAZOLAM","0115008","0115008001"
"159","10905","00865400","ALPRAZOLAM .5 MG","ALPRAZOLAM","0115008","0115008002"
"160","10906","00893595","CAPTOPRIL 12.5 MG","CAPTOPRIL","0114954","0114954004"
"161","10907","00893609","CAPTOPRIL 25 MG","CAPTOPRIL","0114954","0114954001"
"162","10908","00893617","CAPTOPRIL 50 MG","CAPTOPRIL","0114954","0114954002"
"163","10909","00868949","CLONIDINE HYDROCHLORIDE .1 MG","CLONIDINE HYDROCHLORIDE","0108891","0108891001"
"164","10910","00868957","CLONIDINE HYDROCHLORIDE .2 MG","CLONIDINE HYDROCHLORIDE","0108891","0108891002"
"165","10912","00874949","LIDOCAINE HYDROCHLORIDE 50 MG|POLYMYXIN B SULFATE 10000 UNIT","LIDOCAINE HYDROCHLORIDE|POLYMYXIN B SULFATE","0231410","0231410001"
"166","10913","00657298","ENALAPRIL SODIUM 8 MG|HYDROCHLOROTHIAZIDE 25 MG","ENALAPRIL SODIUM|HYDROCHLOROTHIAZIDE","0252326","0252326001"
"167","10918","00765996","GLICLAZIDE 80 MG","GLICLAZIDE","0119934","0119934001"
"168","10924","00060879","ALCOHOL ANHYDROUS 5 ML|DEXTROSE 5 G","ALCOHOL ANHYDROUS|DEXTROSE","0202193","0202193001"
"169","10926","00786179","DEXTROSE 5 G|SODIUM CHLORIDE 330 MG","DEXTROSE|SODIUM CHLORIDE","0200203","0200203008"
"170","10927","00786187","DEXTROSE 5 G|POTASSIUM CHLORIDE 75 MG","DEXTROSE|POTASSIUM CHLORIDE","0200305","0200305004"
"171","10928","00786195","DEXTROSE 5 G|POTASSIUM CHLORIDE 224 MG","DEXTROSE|POTASSIUM CHLORIDE","0200305","0200305002"
"172","10929","00786225","DEXTROSE 5 G|POTASSIUM CHLORIDE 75 MG|SODIUM CHLORIDE 200 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097008"
"173","10930","00786233","DEXTROSE 5 G|POTASSIUM CHLORIDE 224 MG|SODIUM CHLORIDE 200 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097009"
"174","10931","00503150","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 200 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097021"
"175","10932","00786241","DEXTROSE 5 G|POTASSIUM CHLORIDE 150 MG|SODIUM CHLORIDE 330 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097022"
"176","10933","00786268","DEXTROSE 5 G|POTASSIUM CHLORIDE 224 MG|SODIUM CHLORIDE 330 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097010"
"177","10934","00786276","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 330 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097011"
"178","10935","00786284","DEXTROSE 5 G|POTASSIUM CHLORIDE 224 MG|SODIUM CHLORIDE 450 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097020"
"179","10936","00786314","CALCIUM CHLORIDE 20 MG|DEXTROSE 5 G|POTASSIUM CHLORIDE 179 MG|SODIUM CHLORIDE 600 MG|SODIUM LACTATE 310 MG","CALCIUM CHLORIDE|DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500106","0500106007"
"180","10937","00786322","CALCIUM CHLORIDE 20 MG|DEXTROSE 5 G|POTASSIUM CHLORIDE 328 MG|SODIUM CHLORIDE 600 MG|SODIUM LACTATE 310 MG","CALCIUM CHLORIDE|DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE|SODIUM LACTATE","0500106","0500106008"
"181","10938","00790109","DEXTROSE 5 G|POTASSIUM CHLORIDE 75 MG|SODIUM CHLORIDE 450 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097012"
"182","10939","00800007","MAGNESIUM SULFATE 20 MG|POTASSIUM CHLORIDE 40 MG|POTASSIUM PHOSPHATE MONOBASIC 6.25 MG|SODIUM CHLORIDE 800 MG|SODIUM PHOSPHATE DIBASIC 8.75 MG","MAGNESIUM SULFATE|POTASSIUM CHLORIDE|POTASSIUM PHOSPHATE MONOBASIC|SODIUM CHLORIDE|SODIUM PHOSPHATE DIBASIC","0515394","0515394001"
"183","10940","00849669","BETAMETHASONE 0.5 MG","BETAMETHASONE","0106299","0106299003"
"184","10941","00809187","BETAMETHASONE 0.05 %","BETAMETHASONE","0106299","0106299002"
"185","10947","00884332","SIMVASTATIN 10 MG","SIMVASTATIN","0122415","0122415004"
"186","10949","00869007","PINDOLOL 5 MG","PINDOLOL","0112362","0112362001"
"187","10950","00869015","PINDOLOL 10 MG","PINDOLOL","0112362","0112362003"
"188","10951","00869023","PINDOLOL 15 MG","PINDOLOL","0112362","0112362002"
"189","10952","00891800","FLUCONAZOLE 50 MG","FLUCONAZOLE","0122529","0122529001"
"190","10953","00891819","FLUCONAZOLE 100 MG","FLUCONAZOLE","0122529","0122529002"
"191","10954","00891835","FLUCONAZOLE 2 MG","FLUCONAZOLE","0122529","0122529003"
"192","10971","00778915","DEXAMETHASONE 0.1 %|TOBRAMYCIN 0.3 %","DEXAMETHASONE|TOBRAMYCIN","0220325","0220325001"
"193","10975","00765104","DOCUSATE SODIUM 200 MG","DOCUSATE SODIUM","0104351","0104351006"
"194","10976","00792659","CHLORAL HYDRATE 100 MG","CHLORAL HYDRATE","0101992","0101992002"
"195","10977","00811874","LIDOCAINE HYDROCHLORIDE 2 %","LIDOCAINE HYDROCHLORIDE","0101280","0101280001"
"196","10986","00870196","DOCUSATE SODIUM 100 MG","DOCUSATE SODIUM","0104351","0104351002"
"197","10995","00872881","GENTAMICIN 1 MG","GENTAMICIN","0105695","0105695001"
"198","10999","00800686","MENTHOL 0.3 %|PYRITHIONE ZINC 2 %","MENTHOL|PYRITHIONE ZINC","0220841","0220841001"
