"","ai_set_str","ai_set","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","num_ais","num_dins","ai_group","num_ai_groups","num_strengths","AI_GROUP_NO"
"34","AMOXICILLIN 125 MG","AMOXICILLIN","SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314002"
"35","AMOXICILLIN 250 MG","AMOXICILLIN","TABLET (CHEWABLE)","ORAL","1",1,"0131314",1,1,"0131314001"
"36","AMOXICILLIN 125 MG","AMOXICILLIN","TABLET (CHEWABLE)","ORAL","1",1,"0131314",1,1,"0131314009"
"37","AMOXICILLIN 50 MG","AMOXICILLIN","GRANULES FOR SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314003"
"38","AMOXICILLIN 25 MG","AMOXICILLIN","GRANULES FOR SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314002"
"39","AMOXICILLIN 250 MG","AMOXICILLIN","GRANULES FOR SUSPENSION","ORAL","1",5,"0131314",1,1,"0131314003"
"40","AMOXICILLIN 125 MG","AMOXICILLIN","GRANULES FOR SUSPENSION","ORAL","1",3,"0131314",1,1,"0131314002"
"41","AMOXICILLIN 125 MG","AMOXICILLIN","POWDER FOR SUSPENSION","ORAL","1",4,"0131314",1,1,"0131314002"
"42","AMOXICILLIN 250 MG","AMOXICILLIN","POWDER FOR SUSPENSION","ORAL","1",4,"0131314",1,1,"0131314003"
"43","AMOXICILLIN 250 MG","AMOXICILLIN","POWDER FOR SOLUTION","ORAL","1",1,"0131314",1,1,"0131314003"
"44","AMOXICILLIN 125 MG!CLAVULANIC ACID 31.25 MG","AMOXICILLIN!CLAVULANIC ACID","POWDER FOR SUSPENSION","ORAL","2",2,"0234720",1,1,"0234720010"
"45","AMOXICILLIN 250 MG!CLAVULANIC ACID 62.5 MG","AMOXICILLIN!CLAVULANIC ACID","POWDER FOR SUSPENSION","ORAL","2",2,"0234720",1,1,"0234720001"
"46","AMOXICILLIN 500 MG!CLAVULANIC ACID 125 MG","AMOXICILLIN!CLAVULANIC ACID","TABLET","ORAL","2",4,"0234720",1,1,"0234720009"
"47","AMOXICILLIN 875 MG!CLAVULANIC ACID 125 MG","AMOXICILLIN!CLAVULANIC ACID","TABLET","ORAL","2",4,"0234720",1,1,"0234720005"
"48","AMOXICILLIN 400 MG!CLAVULANIC ACID 57 MG","AMOXICILLIN!CLAVULANIC ACID","POWDER FOR SUSPENSION","ORAL","2",2,"0234720",1,1,"0234720004"
"49","AMOXICILLIN 200 MG!CLAVULANIC ACID 28.5 MG","AMOXICILLIN!CLAVULANIC ACID","POWDER FOR SUSPENSION","ORAL","2",1,"0234720",1,1,"0234720006"
"50","AMOXICILLIN 250 MG!CLAVULANIC ACID 125 MG","AMOXICILLIN!CLAVULANIC ACID","TABLET","ORAL","2",1,"0234720",1,1,"0234720008"
"51","AMOXICILLIN 125 MG!CLAVULANIC ACID 31.25 MG","AMOXICILLIN!CLAVULANIC ACID","SUSPENSION","ORAL","2",1,"0234720",1,1,"0234720010"
"52","AMOXICILLIN 250 MG!CLAVULANIC ACID 62.5 MG","AMOXICILLIN!CLAVULANIC ACID","SUSPENSION","ORAL","2",1,"0234720",1,1,"0234720001"
"53","ARIPIPRAZOLE 2.0 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514001"
"54","ARIPIPRAZOLE 5.0 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514002"
"55","ARIPIPRAZOLE 10.0 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514006"
"56","ARIPIPRAZOLE 15.0 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514003"
"57","ARIPIPRAZOLE 20.0 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514004"
"58","ARIPIPRAZOLE 30.0 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514005"
"59","ARIPIPRAZOLE 300 MG","ARIPIPRAZOLE","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR","1",1,"0152514",1,1,"0152514007"
"60","ARIPIPRAZOLE 300 MG","ARIPIPRAZOLE","KIT","INTRAMUSCULAR","1",1,"0152514",1,1,"0152514007"
"61","ARIPIPRAZOLE 400 MG","ARIPIPRAZOLE","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR","1",1,"0152514",1,1,"0152514008"
"62","ARIPIPRAZOLE 400 MG","ARIPIPRAZOLE","KIT","INTRAMUSCULAR","1",1,"0152514",1,1,"0152514008"
"63","ATENOLOL 50 MG","ATENOLOL","TABLET","ORAL","1",17,"0113847",1,1,"0113847002"
"64","ATENOLOL 100 MG","ATENOLOL","TABLET","ORAL","1",17,"0113847",1,1,"0113847001"
"65","ATENOLOL 25 MG","ATENOLOL","TABLET","ORAL","1",12,"0113847",1,1,"0113847004"
"66","ATOMOXETINE 10 MG","ATOMOXETINE","CAPSULE","ORAL","1",8,"0150434",1,1,"0150434001"
"67","ATOMOXETINE 18 MG","ATOMOXETINE","CAPSULE","ORAL","1",9,"0150434",1,1,"0150434002"
"68","ATOMOXETINE 25 MG","ATOMOXETINE","CAPSULE","ORAL","1",10,"0150434",1,1,"0150434003"
"69","ATOMOXETINE 40 MG","ATOMOXETINE","CAPSULE","ORAL","1",10,"0150434",1,1,"0150434004"
"70","ATOMOXETINE 60 MG","ATOMOXETINE","CAPSULE","ORAL","1",10,"0150434",1,1,"0150434005"
"71","ATOMOXETINE 80 MG","ATOMOXETINE","CAPSULE","ORAL","1",5,"0150434",1,1,"0150434006"
"72","ATOMOXETINE 100 MG","ATOMOXETINE","CAPSULE","ORAL","1",5,"0150434",1,1,"0150434007"
"73","ATORVASTATIN 10 MG","ATORVASTATIN","TABLET","ORAL","1",21,"0133055",1,1,"0133055001"
"74","ATORVASTATIN 20 MG","ATORVASTATIN","TABLET","ORAL","1",21,"0133055",1,1,"0133055002"
"75","ATORVASTATIN 40 MG","ATORVASTATIN","TABLET","ORAL","1",21,"0133055",1,1,"0133055003"
"76","ATORVASTATIN 80 MG","ATORVASTATIN","TABLET","ORAL","1",19,"0133055",1,1,"0133055004"
"77","AZATHIOPRINE 50 MG","AZATHIOPRINE","TABLET","ORAL","1",6,"0101830",1,1,"0101830001"
"78","AZATHIOPRINE 50 MG","AZATHIOPRINE","POWDER FOR SOLUTION","INTRAVENOUS","1",1,"0101830",1,1,"0101830001"
"79","AZITHROMYCIN 250 MG","AZITHROMYCIN","TABLET","ORAL","1",16,"0126072",1,1,"0126072001"
"80","AZITHROMYCIN 100 MG","AZITHROMYCIN","POWDER FOR SUSPENSION","ORAL","1",7,"0126072",1,1,"0126072002"
"81","AZITHROMYCIN 200 MG","AZITHROMYCIN","POWDER FOR SOLUTION","ORAL","1",1,"0126072",1,1,"0126072003"
"82","AZITHROMYCIN 600 MG","AZITHROMYCIN","TABLET","ORAL","1",4,"0126072",1,1,"0126072005"
"83","AZITHROMYCIN 500 MG","AZITHROMYCIN","POWDER FOR SOLUTION","INTRAVENOUS","1",5,"0126072",1,2,"0126072006, 0126072008"
"84","AZITHROMYCIN 200 MG","AZITHROMYCIN","POWDER FOR SUSPENSION","ORAL","1",6,"0126072",1,1,"0126072003"
"85","BACLOFEN 10 MG","BACLOFEN","TABLET","ORAL","1",10,"0113246",1,1,"0113246001"
"86","BACLOFEN 20 MG","BACLOFEN","TABLET","ORAL","1",10,"0113246",1,1,"0113246002"
"87","BACLOFEN 2 MG","BACLOFEN","SOLUTION","INTRATHECAL","1",2,"0113246",1,1,"0113246003"
"88","BACLOFEN 0.05 MG","BACLOFEN","SOLUTION","INTRATHECAL","1",2,"0113246",1,1,"0113246004"
"89","BACLOFEN 0.5 MG","BACLOFEN","SOLUTION","INTRATHECAL","1",2,"0113246",1,1,"0113246005"
"90","BENZOYL PEROXIDE 50 MG!CLINDAMYCIN 10 MG","BENZOYL PEROXIDE!CLINDAMYCIN","GEL","TOPICAL","2",1,"0242561",1,1,"0242561001"
"91","BENZOYL PEROXIDE 5 %!CLINDAMYCIN 1 %","BENZOYL PEROXIDE!CLINDAMYCIN","GEL","TOPICAL","2",2,"0242561",1,1,"0242561001"
"92","BENZOYL PEROXIDE 3 %!CLINDAMYCIN 1 %","BENZOYL PEROXIDE!CLINDAMYCIN","GEL","TOPICAL","2",1,"0242561",1,1,"0242561002"
"93","BETAMETHASONE 0.5 MG","BETAMETHASONE","LOTION","TOPICAL","1",2,"0106299",1,1,"0106299003"
"94","BETAMETHASONE 0.5 MG","BETAMETHASONE","OINTMENT","TOPICAL","1",3,"0106299",1,2,"0106299003, 0106299002"
"95","BETAMETHASONE 0.05 %","BETAMETHASONE","LOTION","TOPICAL","1",2,"0106299",1,1,"0106299002"
"96","BETAMETHASONE 0.1 %","BETAMETHASONE","LOTION","TOPICAL","1",3,"0106299",1,1,"0106299001"
"97","BETAMETHASONE .05 %","BETAMETHASONE","LOTION","TOPICAL","1",1,"0106299",1,1,"0106299002"
"98","BETAMETHASONE 0.05 %","BETAMETHASONE","OINTMENT","TOPICAL","1",2,"0106299",1,1,"0106299002"
"99","BETAMETHASONE .05 %","BETAMETHASONE","CREAM","TOPICAL","1",1,"0106299",1,1,"0106299002"
"100","BETAMETHASONE .1 %","BETAMETHASONE","LOTION","TOPICAL","1",1,"0106299",1,1,"0106299001"
"101","BETAMETHASONE 0.5 MG","BETAMETHASONE","CREAM","TOPICAL","1",2,"0106299",1,1,"0106299003"
"102","BETAMETHASONE 5 MG","BETAMETHASONE","ENEMA","RECTAL","1",1,"0106299",1,1,"0106299005"
"103","BETAMETHASONE 0.05 %","BETAMETHASONE","CREAM","TOPICAL","1",3,"0106299",1,1,"0106299002"
"104","BETAMETHASONE 0.1 %","BETAMETHASONE","CREAM","TOPICAL","1",2,"0106299",1,1,"0106299001"
"105","BETAMETHASONE 0.1 %","BETAMETHASONE","OINTMENT","TOPICAL","1",1,"0106299",1,1,"0106299001"
"106","BIMATOPROST 0.03 %","BIMATOPROST","SOLUTION","OPHTHALMIC","1",2,"0147303",1,1,"0147303001"
"107","BIMATOPROST 0.01 %","BIMATOPROST","SOLUTION","OPHTHALMIC","1",1,"0147303",1,1,"0147303002"
"108","BIMATOPROST 0.03 %","BIMATOPROST","SOLUTION","TOPICAL","1",1,"0147303",1,1,"0147303001"
"109","BROMAZEPAM 6 MG","BROMAZEPAM","TABLET","ORAL","1",4,"0114488",1,1,"0114488001"
"110","BROMAZEPAM 3 MG","BROMAZEPAM","TABLET","ORAL","1",4,"0114488",1,1,"0114488003"
"111","BROMAZEPAM 1.5 MG","BROMAZEPAM","TABLET","ORAL","1",1,"0114488",1,1,"0114488002"
"112","BUDESONIDE 200 MCG","BUDESONIDE","METERED-DOSE AEROSOL","INHALATION","1",1,"0116807",1,1,"0116807001"
"113","BUDESONIDE 200 MCG","BUDESONIDE","POWDER","INHALATION","1",1,"0116807",1,1,"0116807001"
"114","BUDESONIDE 100 MCG","BUDESONIDE","METERED-DOSE AEROSOL","INHALATION","1",1,"0116807",1,1,"0116807002"
"115","BUDESONIDE 100 MCG","BUDESONIDE","POWDER","INHALATION","1",2,"0116807",1,1,"0116807002"
"116","BUDESONIDE 400 MCG","BUDESONIDE","METERED-DOSE AEROSOL","INHALATION","1",1,"0116807",1,1,"0116807003"
"117","BUDESONIDE 400 MCG","BUDESONIDE","POWDER","INHALATION","1",1,"0116807",1,1,"0116807003"
"118","BUDESONIDE 0.5 MG","BUDESONIDE","SUSPENSION","INHALATION","1",1,"0116807",1,1,"0116807011"
"119","BUDESONIDE 0.25 MG","BUDESONIDE","SUSPENSION","INHALATION","1",1,"0116807",1,1,"0116807004"
"120","BUDESONIDE 100 MCG","BUDESONIDE","POWDER","NASAL","1",1,"0116807",1,1,"0116807002"
"121","BUDESONIDE 0.125 MG","BUDESONIDE","SUSPENSION","INHALATION","1",1,"0116807",1,1,"0116807005"
"122","BUDESONIDE 3 MG","BUDESONIDE","CAPSULE (SUSTAINED-RELEASE)","ORAL","1",1,"0116807",1,1,"0116807006"
"123","BUDESONIDE 100 MCG","BUDESONIDE","SPRAY, METERED DOSE","NASAL","1",1,"0116807",1,1,"0116807002"
"124","BUDESONIDE 64 MCG","BUDESONIDE","SPRAY, METERED DOSE","NASAL","1",2,"0116807",1,1,"0116807010"
"125","BUDESONIDE 9 MG","BUDESONIDE","TABLET (DELAYED AND EXTENDED RELEASE)","ORAL","1",1,"0116807",1,1,"0116807012"
"126","BUPRENORPHINE 2 MG!NALOXONE 0.5 MG","BUPRENORPHINE!NALOXONE","TABLET","SUBLINGUAL","2",3,"0252216",1,1,"0252216001"
"127","BUPRENORPHINE 8 MG!NALOXONE 2 MG","BUPRENORPHINE!NALOXONE","TABLET","SUBLINGUAL","2",3,"0252216",1,1,"0252216002"
"128","CALCITRIOL 1 MCG","CALCITRIOL","SOLUTION","INTRAVENOUS","1",3,"0113628",1,1,"0113628002"
"129","CALCITRIOL 2 MCG","CALCITRIOL","SOLUTION","INTRAVENOUS","1",2,"0113628",1,1,"0113628003"
"130","CALCITRIOL 0.5 MCG","CALCITRIOL","CAPSULE","ORAL","1",2,"0113628",1,1,"0113628005"
"131","CALCITRIOL 0.25 MCG","CALCITRIOL","CAPSULE","ORAL","1",2,"0113628",1,1,"0113628007"
"132","CALCITRIOL 3 MCG","CALCITRIOL","OINTMENT","TOPICAL","1",1,"0113628",1,1,"0113628006"
"133","CANDESARTAN CILEXETIL 4 MG","CANDESARTAN CILEXETIL","TABLET","ORAL","1",13,"0135220",1,1,"0135220001"
"134","CANDESARTAN CILEXETIL 8 MG","CANDESARTAN CILEXETIL","TABLET","ORAL","1",16,"0135220",1,1,"0135220002"
"135","CANDESARTAN CILEXETIL 16 MG","CANDESARTAN CILEXETIL","TABLET","ORAL","1",15,"0135220",1,1,"0135220003"
"136","CANDESARTAN CILEXETIL 32 MG","CANDESARTAN CILEXETIL","TABLET","ORAL","1",15,"0135220",1,1,"0135220004"
"137","CANDESARTAN CILEXETIL 16 MG!HYDROCHLOROTHIAZIDE 12.5 MG","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE","TABLET","ORAL","2",7,"0244181",1,1,"0244181001"
"138","CANDESARTAN CILEXETIL 32 MG!HYDROCHLOROTHIAZIDE 12.5 MG","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE","TABLET","ORAL","2",5,"0244181",1,1,"0244181002"
"139","CANDESARTAN CILEXETIL 32 MG!HYDROCHLOROTHIAZIDE 25 MG","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE","TABLET","ORAL","2",4,"0244181",1,1,"0244181003"
"140","CANDESARTAN CILEXETIL 16.0 MG!HYDROCHLOROTHIAZIDE 12.5 MG","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE","TABLET","ORAL","2",4,"0244181",1,1,"0244181001"
"141","CARBAMAZEPINE 100 MG","CARBAMAZEPINE","SUSPENSION","ORAL","1",2,"0108674",1,1,"0108674002"
"142","CARBAMAZEPINE 200 MG","CARBAMAZEPINE","TABLET","ORAL","1",8,"0108674",1,1,"0108674001"
"143","CARBAMAZEPINE 200 MG","CARBAMAZEPINE","TABLET (CHEWABLE)","ORAL","1",2,"0108674",1,1,"0108674001"
"144","CARBAMAZEPINE 100 MG","CARBAMAZEPINE","TABLET (CHEWABLE)","ORAL","1",2,"0108674",1,1,"0108674003"
"145","CARBAMAZEPINE 200 MG","CARBAMAZEPINE","TABLET (EXTENDED-RELEASE)","ORAL","1",7,"0108674",1,1,"0108674001"
"146","CARBAMAZEPINE 400 MG","CARBAMAZEPINE","TABLET (EXTENDED-RELEASE)","ORAL","1",7,"0108674",1,1,"0108674004"
"147","CARBAMAZEPINE 100 MG","CARBAMAZEPINE","TABLET","ORAL","1",2,"0108674",1,1,"0108674003"
"148","CARBIDOPA 50 MG!LEVODOPA 200 MG","CARBIDOPA!LEVODOPA","TABLET (EXTENDED-RELEASE)","ORAL","2",3,"0210315",1,1,"0210315004"
"149","CARBIDOPA 25 MG!LEVODOPA 100 MG","CARBIDOPA!LEVODOPA","TABLET (EXTENDED-RELEASE)","ORAL","2",3,"0210315",1,1,"0210315003"
"150","CARBIDOPA 10 MG!LEVODOPA 100 MG","CARBIDOPA!LEVODOPA","TABLET","ORAL","2",3,"0210315",1,1,"0210315002"
"151","CARBIDOPA 25 MG!LEVODOPA 250 MG","CARBIDOPA!LEVODOPA","TABLET","ORAL","2",3,"0210315",1,1,"0210315001"
"152","CARBIDOPA 25 MG!LEVODOPA 100 MG","CARBIDOPA!LEVODOPA","TABLET","ORAL","2",5,"0210315",1,1,"0210315003"
"153","CARBIDOPA 5 MG!LEVODOPA 20 MG","CARBIDOPA!LEVODOPA","GEL","INTRAINTESTINAL (UPPER)","2",1,"0210315",1,1,"0210315005"
"154","CARVEDILOL 3.125 MG","CARVEDILOL","TABLET","ORAL","1",11,"0122683",1,1,"0122683003"
"155","CARVEDILOL 6.25 MG","CARVEDILOL","TABLET","ORAL","1",11,"0122683",1,1,"0122683004"
"156","CARVEDILOL 12.5 MG","CARVEDILOL","TABLET","ORAL","1",11,"0122683",1,1,"0122683005"
"157","CARVEDILOL 25 MG","CARVEDILOL","TABLET","ORAL","1",10,"0122683",1,1,"0122683001"
"158","CARVEDILOL 25.0 MG","CARVEDILOL","TABLET","ORAL","1",1,"0122683",1,1,"0122683001"
"159","CEFPROZIL 250 MG","CEFPROZIL","POWDER FOR SOLUTION","ORAL","1",1,"0127613",1,1,"0127613004"
"160","CEFPROZIL 125 MG","CEFPROZIL","POWDER FOR SOLUTION","ORAL","1",1,"0127613",1,1,"0127613001"
"161","CEFPROZIL 500 MG","CEFPROZIL","TABLET","ORAL","1",5,"0127613",1,1,"0127613002"
"162","CEFPROZIL 250 MG","CEFPROZIL","TABLET","ORAL","1",5,"0127613",1,1,"0127613003"
"163","CEFPROZIL 250 MG","CEFPROZIL","POWDER FOR SUSPENSION","ORAL","1",3,"0127613",1,1,"0127613004"
"164","CEFPROZIL 125 MG","CEFPROZIL","POWDER FOR SUSPENSION","ORAL","1",3,"0127613",1,1,"0127613001"
"165","CELECOXIB 100 MG","CELECOXIB","CAPSULE","ORAL","1",21,"0137043",1,1,"0137043001"
"166","CELECOXIB 200 MG","CELECOXIB","CAPSULE","ORAL","1",21,"0137043",1,1,"0137043002"
"167","CEPHALEXIN 125 MG","CEPHALEXIN","POWDER FOR SUSPENSION","ORAL","1",2,"0105911",1,1,"0105911001"
"168","CEPHALEXIN 250 MG","CEPHALEXIN","POWDER FOR SUSPENSION","ORAL","1",2,"0105911",1,1,"0105911002"
"169","CEPHALEXIN 500 MG","CEPHALEXIN","TABLET","ORAL","1",6,"0105911",1,1,"0105911003"
"170","CEPHALEXIN 250 MG","CEPHALEXIN","TABLET","ORAL","1",5,"0105911",1,1,"0105911004"
"171","CEPHALEXIN 125 MG","CEPHALEXIN","SUSPENSION","ORAL","1",2,"0105911",1,1,"0105911001"
"172","CEPHALEXIN 250 MG","CEPHALEXIN","SUSPENSION","ORAL","1",2,"0105911",1,1,"0105911002"
"173","CEPHALEXIN 250 MG","CEPHALEXIN","CAPSULE","ORAL","1",1,"0105911",1,1,"0105911004"
"174","CEPHALEXIN 500 MG","CEPHALEXIN","CAPSULE","ORAL","1",1,"0105911",1,1,"0105911003"
"175","CICLESONIDE 100 MCG","CICLESONIDE","AEROSOL, METERED DOSE","INHALATION","1",1,"0151669",1,1,"0151669003"
"176","CICLESONIDE 200 MCG","CICLESONIDE","AEROSOL, METERED DOSE","INHALATION","1",1,"0151669",1,1,"0151669002"
"177","CICLESONIDE 50 MCG","CICLESONIDE","SPRAY, METERED DOSE","NASAL","1",1,"0151669",1,1,"0151669001"
"178","CICLESONIDE 50 MCG","CICLESONIDE","AEROSOL, METERED DOSE","NASAL","1",1,"0151669",1,1,"0151669001"
"179","CICLOPIROX 8 %","CICLOPIROX","SOLUTION","TOPICAL","1",5,"0150022",1,1,"0150022001"
"180","CIPROFLOXACIN 0.3 %","CIPROFLOXACIN","SOLUTION","OPHTHALMIC","1",3,"0123207",1,1,"0123207004"
"181","CIPROFLOXACIN 0.3 %","CIPROFLOXACIN","OINTMENT","OPHTHALMIC","1",1,"0123207",1,1,"0123207004"
"182","CIPROFLOXACIN 250 MG","CIPROFLOXACIN","TABLET","ORAL","1",23,"0123207",1,1,"0123207006"
"183","CIPROFLOXACIN 500 MG","CIPROFLOXACIN","TABLET","ORAL","1",25,"0123207",1,1,"0123207001"
"184","CIPROFLOXACIN 750 MG","CIPROFLOXACIN","TABLET","ORAL","1",20,"0123207",1,1,"0123207002"
"185","CIPROFLOXACIN 10 G","CIPROFLOXACIN","SUSPENSION","ORAL","1",1,"0123207",1,1,"0123207005"
"186","CIPROFLOXACIN 500 MG","CIPROFLOXACIN","TABLET (EXTENDED-RELEASE)","ORAL","1",2,"0123207",1,1,"0123207001"
"187","CIPROFLOXACIN 1000 MG","CIPROFLOXACIN","TABLET (EXTENDED-RELEASE)","ORAL","1",1,"0123207",1,1,"0123207009"
"188","CIPROFLOXACIN 10 MG","CIPROFLOXACIN","SOLUTION","INTRAVENOUS","1",1,"0123207",1,1,"0123207003"
"189","CIPROFLOXACIN 2.0 MG","CIPROFLOXACIN","SOLUTION","INTRAVENOUS","1",1,"0123207",1,1,"0123207007"
"190","CIPROFLOXACIN 0.2 %","CIPROFLOXACIN","SOLUTION","INTRAVENOUS","1",1,"0123207",1,1,"0123207007"
"191","CIPROFLOXACIN 2 MG","CIPROFLOXACIN","SOLUTION","INTRAVENOUS","1",4,"0123207",1,1,"0123207007"
"192","CIPROFLOXACIN 0.3 %!DEXAMETHASONE 0.1 %","CIPROFLOXACIN!DEXAMETHASONE","SUSPENSION","OTIC","2",1,"0250083",1,1,"0250083001"
"193","CITALOPRAM 20 MG","CITALOPRAM","TABLET","ORAL","1",27,"0136243",1,1,"0136243001"
"194","CITALOPRAM 40 MG","CITALOPRAM","TABLET","ORAL","1",27,"0136243",1,1,"0136243002"
"195","CITALOPRAM 10 MG","CITALOPRAM","TABLET","ORAL","1",20,"0136243",1,1,"0136243003"
"196","CITALOPRAM 30 MG","CITALOPRAM","TABLET","ORAL","1",1,"0136243",1,1,"0136243004"
"197","CLARITHROMYCIN 250 MG","CLARITHROMYCIN","TABLET","ORAL","1",9,"0123752",1,1,"0123752001"
"198","CLARITHROMYCIN 500 MG","CLARITHROMYCIN","TABLET","ORAL","1",11,"0123752",1,1,"0123752002"
"199","CLARITHROMYCIN 125 MG","CLARITHROMYCIN","GRANULES FOR SUSPENSION","ORAL","1",3,"0123752",1,1,"0123752003"
"200","CLARITHROMYCIN 250 MG","CLARITHROMYCIN","GRANULES FOR SUSPENSION","ORAL","1",3,"0123752",1,1,"0123752004"
"201","CLARITHROMYCIN 500 MG","CLARITHROMYCIN","TABLET (EXTENDED-RELEASE)","ORAL","1",3,"0123752",1,1,"0123752002"
"202","CLINDAMYCIN 1 %","CLINDAMYCIN","SOLUTION","TOPICAL","1",3,"0105830",1,1,"0105830004"
"203","CLINDAMYCIN 75 MG","CLINDAMYCIN","POWDER FOR SOLUTION","ORAL","1",1,"0105830",1,1,"0105830007"
"204","CLINDAMYCIN 20 MG","CLINDAMYCIN","CREAM","VAGINAL","1",1,"0105830",1,1,"0105830001"
"205","CLINDAMYCIN 150 MG","CLINDAMYCIN","SOLUTION","INTRAMUSCULAR","1",2,"0105830",1,1,"0105830002"
