"","DRUG_CODE","DRUG_IDENTIFICATION_NUMBER","DPD_BRAND_NAME","ai_set_str","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","COMPANY_NAME","ai_set","ai_group","AI_GROUP_NO"
"62","10904","00865397","APO-ALPRAZ TAB 0.25MG","ALPRAZOLAM 0.25 MG","TABLET","ORAL","APOTEX INC","ALPRAZOLAM","0115008","0115008001"
"63","11484","01908189","ALPRAZOLAM-0.25 TAB 0.25MG","ALPRAZOLAM 0.25 MG","TABLET","ORAL","PRO DOC LIMITEE","ALPRAZOLAM","0115008","0115008001"
"64","11803","01913484","TEVA-ALPRAZOLAM","ALPRAZOLAM 0.25 MG","TABLET","ORAL","TEVA CANADA LIMITED","ALPRAZOLAM","0115008","0115008001"
"65","17972","02137534","MYLAN-ALPRAZOLAM","ALPRAZOLAM 0.25 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ALPRAZOLAM","0115008","0115008001"
"66","4471","00548359","XANAX TAB 0.25MG","ALPRAZOLAM 0.25 MG","TABLET","ORAL","PFIZER CANADA INC","ALPRAZOLAM","0115008","0115008001"
"67","83451","02349191","ALPRAZOLAM","ALPRAZOLAM 0.25 MG","TABLET","ORAL","SANIS HEALTH INC","ALPRAZOLAM","0115008","0115008001"
"68","88494","02400111","JAMP-ALPRAZOLAM","ALPRAZOLAM 0.25 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","ALPRAZOLAM","0115008","0115008001"
"69","88970","02404877","RIVA-ALPRAZOLAM","ALPRAZOLAM 0.25 MG","TABLET","ORAL","LABORATOIRE RIVA INC","ALPRAZOLAM","0115008","0115008001"
"70","90223","02417634","NAT-ALPRAZOLAM","ALPRAZOLAM 0.25 MG","TABLET","ORAL","NATCO PHARMA (CANADA) INC","ALPRAZOLAM","0115008","0115008001"
"71","10905","00865400","APO-ALPRAZ TAB 0.5MG","ALPRAZOLAM 0.5 MG","TABLET","ORAL","APOTEX INC","ALPRAZOLAM","0115008","0115008002"
"72","11485","01908170","ALPRAZOLAM-0.5 TAB 0.5MG","ALPRAZOLAM 0.5 MG","TABLET","ORAL","PRO DOC LIMITEE","ALPRAZOLAM","0115008","0115008002"
"73","11804","01913492","TEVA-ALPRAZOLAM","ALPRAZOLAM 0.5 MG","TABLET","ORAL","TEVA CANADA LIMITED","ALPRAZOLAM","0115008","0115008002"
"74","17973","02137542","MYLAN-ALPRAZOLAM","ALPRAZOLAM 0.5 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ALPRAZOLAM","0115008","0115008002"
"75","4472","00548367","XANAX TAB 0.5MG","ALPRAZOLAM 0.5 MG","TABLET","ORAL","PFIZER CANADA INC","ALPRAZOLAM","0115008","0115008002"
"76","83452","02349205","ALPRAZOLAM","ALPRAZOLAM 0.5 MG","TABLET","ORAL","SANIS HEALTH INC","ALPRAZOLAM","0115008","0115008002"
"77","88495","02400138","JAMP-ALPRAZOLAM","ALPRAZOLAM 0.5 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","ALPRAZOLAM","0115008","0115008002"
"78","88971","02404885","RIVA-ALPRAZOLAM","ALPRAZOLAM 0.5 MG","TABLET","ORAL","LABORATOIRE RIVA INC","ALPRAZOLAM","0115008","0115008002"
"79","90224","02417642","NAT-ALPRAZOLAM","ALPRAZOLAM 0.5 MG","TABLET","ORAL","NATCO PHARMA (CANADA) INC","ALPRAZOLAM","0115008","0115008002"
"80","13685","00723770","XANAX TAB 1MG","ALPRAZOLAM 1 MG","TABLET","ORAL","PFIZER CANADA INC","ALPRAZOLAM","0115008","0115008003"
"81","48166","02229813","MYLAN-ALPRAZOLAM","ALPRAZOLAM 1 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ALPRAZOLAM","0115008","0115008003"
"82","67530","02243611","APO-ALPRAZ","ALPRAZOLAM 1 MG","TABLET","ORAL","APOTEX INC","ALPRAZOLAM","0115008","0115008003"
"83","73070","02248706","ALPRAZOLAM-1","ALPRAZOLAM 1 MG","TABLET","ORAL","PRO DOC LIMITEE","ALPRAZOLAM","0115008","0115008003"
"84","88496","02400146","JAMP-ALPRAZOLAM","ALPRAZOLAM 1 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","ALPRAZOLAM","0115008","0115008003"
"85","88972","02404893","RIVA-ALPRAZOLAM","ALPRAZOLAM 1 MG","TABLET","ORAL","LABORATOIRE RIVA INC","ALPRAZOLAM","0115008","0115008003"
"86","90225","02417650","NAT-ALPRAZOLAM","ALPRAZOLAM 1 MG","TABLET","ORAL","NATCO PHARMA (CANADA) INC","ALPRAZOLAM","0115008","0115008003"
"87","13686","00813958","XANAX TS TAB 2MG","ALPRAZOLAM 2 MG","TABLET","ORAL","PFIZER CANADA INC","ALPRAZOLAM","0115008","0115008004"
"88","48167","02229814","MYLAN-ALPRAZOLAM","ALPRAZOLAM 2 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","ALPRAZOLAM","0115008","0115008004"
"89","67531","02243612","APO-ALPRAZ TS","ALPRAZOLAM 2 MG","TABLET","ORAL","APOTEX INC","ALPRAZOLAM","0115008","0115008004"
"90","88497","02400154","JAMP-ALPRAZOLAM","ALPRAZOLAM 2 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","ALPRAZOLAM","0115008","0115008004"
"91","88973","02404907","RIVA-ALPRAZOLAM","ALPRAZOLAM 2 MG","TABLET","ORAL","LABORATOIRE RIVA INC","ALPRAZOLAM","0115008","0115008004"
"92","90226","02417669","NAT-ALPRAZOLAM","ALPRAZOLAM 2 MG","TABLET","ORAL","NATCO PHARMA (CANADA) INC","ALPRAZOLAM","0115008","0115008004"
"93","12939","00878936","NORVASC TAB 10MG","AMLODIPINE 10 MG","TABLET","ORAL","PFIZER CANADA INC","AMLODIPINE","0131437","0131437001"
"94","73530","02250500","TEVA-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","TEVA CANADA LIMITED","AMLODIPINE","0131437","0131437001"
"95","75766","02272121","MYLAN-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","AMLODIPINE","0131437","0131437001"
"96","75887","02273381","APO-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","APOTEX INC","AMLODIPINE","0131437","0131437001"
"97","76582","02280140","GD-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","GENMED A DIVISION OF PFIZER CANADA INC","AMLODIPINE","0131437","0131437001"
"98","76964","02284073","PMS-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","PHARMASCIENCE INC","AMLODIPINE","0131437","0131437001"
"99","76998","02284391","SANDOZ AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","AMLODIPINE","0131437","0131437001"
"100","78284","02297493","ACT AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","ACTAVIS PHARMA COMPANY","AMLODIPINE","0131437","0131437001"
"101","80727","02321866","RAN-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","RANBAXY PHARMACEUTICALS CANADA INC.","AMLODIPINE","0131437","0131437001"
"102","81212","02326787","PHL-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","PHARMEL INC","AMLODIPINE","0131437","0131437001"
"103","81215","02326817","AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","PRO DOC LIMITEE","AMLODIPINE","0131437","0131437001"
"104","81218","02326841","DOM-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","DOMINION PHARMACAL","AMLODIPINE","0131437","0131437001"
"105","81700","02331292","AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","SANIS HEALTH INC","AMLODIPINE","0131437","0131437001"
"106","81719","02331500","RIVA-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","LABORATOIRE RIVA INC","AMLODIPINE","0131437","0131437001"
"107","84233","02357208","JAMP-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","AMLODIPINE","0131437","0131437001"
"108","84282","02357720","SEPTA-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","SEPTA PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437001"
"109","84767","02362678","MINT-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","MINT PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437001"
"110","85418","02369249","AG-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","ANGITA PHARMA INC.","AMLODIPINE","0131437","0131437001"
"111","85686","02371723","MAR-AMLODIPINE TABLETS","AMLODIPINE 10 MG","TABLET","ORAL","MARCAN PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437001"
"112","87142","02385805","AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","SIVEM PHARMACEUTICALS ULC","AMLODIPINE","0131437","0131437001"
"113","87743","02392143","BIO-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","BIOMED PHARMA","AMLODIPINE","0131437","0131437001"
"114","88207","02397080","AURO-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","AURO PHARMA INC","AMLODIPINE","0131437","0131437001"
"115","91153","02426994","VAN-AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","VANC PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437001"
"116","91366","02429225","AMLODIPINE","AMLODIPINE 10 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","AMLODIPINE","0131437","0131437001"
"117","76580","02280124","GD-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","GENMED A DIVISION OF PFIZER CANADA INC","AMLODIPINE","0131437","0131437003"
"118","78046","02295148","PMS-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","PHARMASCIENCE INC","AMLODIPINE","0131437","0131437003"
"119","78282","02297477","ACT AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","ACTAVIS PHARMA COMPANY","AMLODIPINE","0131437","0131437003"
"120","81210","02326760","PHL-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","PHARMEL INC","AMLODIPINE","0131437","0131437003"
"121","81213","02326795","AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","PRO DOC LIMITEE","AMLODIPINE","0131437","0131437003"
"122","81216","02326825","DOM-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","DOMINION PHARMACAL","AMLODIPINE","0131437","0131437003"
"123","81620","02330474","SANDOZ AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","AMLODIPINE","0131437","0131437003"
"124","81717","02331489","RIVA-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","LABORATOIRE RIVA INC","AMLODIPINE","0131437","0131437003"
"125","84231","02357186","JAMP-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","AMLODIPINE","0131437","0131437003"
"126","84280","02357704","SEPTA-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","SEPTA PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437003"
"127","85684","02371707","MAR-AMLODIPINE TABLETS","AMLODIPINE 2.5 MG","TABLET","ORAL","MARCAN PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437003"
"128","87140","02385783","AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","SIVEM PHARMACEUTICALS ULC","AMLODIPINE","0131437","0131437003"
"129","87741","02392127","BIO-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","BIOMED PHARMA","AMLODIPINE","0131437","0131437003"
"130","88379","02398877","RAN-AMLODIPINE","AMLODIPINE 2.5 MG","TABLET","ORAL","RANBAXY PHARMACEUTICALS CANADA INC.","AMLODIPINE","0131437","0131437003"
"131","12938","00878928","NORVASC TAB 5MG","AMLODIPINE 5 MG","TABLET","ORAL","PFIZER CANADA INC","AMLODIPINE","0131437","0131437002"
"132","73529","02250497","TEVA-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","TEVA CANADA LIMITED","AMLODIPINE","0131437","0131437002"
"133","75765","02272113","MYLAN-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","AMLODIPINE","0131437","0131437002"
"134","75886","02273373","APO-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","APOTEX INC","AMLODIPINE","0131437","0131437002"
"135","76581","02280132","GD-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","GENMED A DIVISION OF PFIZER CANADA INC","AMLODIPINE","0131437","0131437002"
"136","76963","02284065","PMS-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","PHARMASCIENCE INC","AMLODIPINE","0131437","0131437002"
"137","76997","02284383","SANDOZ AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","AMLODIPINE","0131437","0131437002"
"138","78283","02297485","ACT AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","ACTAVIS PHARMA COMPANY","AMLODIPINE","0131437","0131437002"
"139","80726","02321858","RAN-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","RANBAXY PHARMACEUTICALS CANADA INC.","AMLODIPINE","0131437","0131437002"
"140","81211","02326779","PHL-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","PHARMEL INC","AMLODIPINE","0131437","0131437002"
"141","81214","02326809","AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","PRO DOC LIMITEE","AMLODIPINE","0131437","0131437002"
"142","81217","02326833","DOM-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","DOMINION PHARMACAL","AMLODIPINE","0131437","0131437002"
"143","81699","02331284","AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","SANIS HEALTH INC","AMLODIPINE","0131437","0131437002"
"144","81718","02331497","RIVA-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","LABORATOIRE RIVA INC","AMLODIPINE","0131437","0131437002"
"145","84232","02357194","JAMP-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","AMLODIPINE","0131437","0131437002"
"146","84281","02357712","SEPTA-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","SEPTA PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437002"
"147","84766","02362651","MINT-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","MINT PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437002"
"148","85417","02369230","AG-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","ANGITA PHARMA INC.","AMLODIPINE","0131437","0131437002"
"149","85685","02371715","MAR-AMLODIPINE TABLETS","AMLODIPINE 5 MG","TABLET","ORAL","MARCAN PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437002"
"150","87141","02385791","AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","SIVEM PHARMACEUTICALS ULC","AMLODIPINE","0131437","0131437002"
"151","87742","02392135","BIO-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","BIOMED PHARMA","AMLODIPINE","0131437","0131437002"
"152","88206","02397072","AURO-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","AURO PHARMA INC","AMLODIPINE","0131437","0131437002"
"153","91152","02426986","VAN-AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","VANC PHARMACEUTICALS INC","AMLODIPINE","0131437","0131437002"
"154","91365","02429217","AMLODIPINE","AMLODIPINE 5 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","AMLODIPINE","0131437","0131437002"
"155","3345","00452149","NOVAMOXIN","AMOXICILLIN 125 MG","GRANULES FOR SUSPENSION","ORAL","TEVA CANADA LIMITED","AMOXICILLIN","0131314","0131314002"
"156","83800","02352745","AMOXICILLIN","AMOXICILLIN 125 MG","GRANULES FOR SUSPENSION","ORAL","SANIS HEALTH INC","AMOXICILLIN","0131314","0131314002"
"157","83802","02352761","AMOXICILLIN","AMOXICILLIN 125 MG","GRANULES FOR SUSPENSION","ORAL","SANIS HEALTH INC","AMOXICILLIN","0131314","0131314002"
"158","48977","02230245","PMS-AMOXICILLIN","AMOXICILLIN 125 MG","POWDER FOR SUSPENSION","ORAL","PHARMASCIENCE INC","AMOXICILLIN","0131314","0131314002"
"159","50155","02230879","APO-AMOXI SUGAR FREE","AMOXICILLIN 125 MG","POWDER FOR SUSPENSION","ORAL","APOTEX INC","AMOXICILLIN","0131314","0131314002"
"160","5824","00628131","APO-AMOXI PWR FOR SUSP 125MG/5ML","AMOXICILLIN 125 MG","POWDER FOR SUSPENSION","ORAL","APOTEX INC","AMOXICILLIN","0131314","0131314002"
