"","ai_set_str","ai_set","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","num_ais","num_dins","ai_group","num_ai_groups","num_strengths","AI_GROUP_NO"
"33","AMOXICILLIN 125 MG","AMOXICILLIN","GRANULES FOR SUSPENSION","ORAL","1",3,"0131314",1,1,"0131314002"
"34","AMOXICILLIN 125 MG","AMOXICILLIN","POWDER FOR SUSPENSION","ORAL","1",4,"0131314",1,1,"0131314002"
"35","AMOXICILLIN 250 MG","AMOXICILLIN","POWDER FOR SUSPENSION","ORAL","1",4,"0131314",1,1,"0131314003"
"36","AMOXICILLIN 250 MG","AMOXICILLIN","POWDER FOR SOLUTION","ORAL","1",1,"0131314",1,1,"0131314003"
"37","AMOXICILLIN 125 MG!CLAVULANIC ACID 31.25 MG","AMOXICILLIN!CLAVULANIC ACID","POWDER FOR SUSPENSION","ORAL","2",2,"0234720",1,1,"0234720010"
"38","AMOXICILLIN 250 MG!CLAVULANIC ACID 62.5 MG","AMOXICILLIN!CLAVULANIC ACID","POWDER FOR SUSPENSION","ORAL","2",2,"0234720",1,1,"0234720001"
"39","AMOXICILLIN 500 MG!CLAVULANIC ACID 125 MG","AMOXICILLIN!CLAVULANIC ACID","TABLET","ORAL","2",4,"0234720",1,1,"0234720009"
"40","AMOXICILLIN 875 MG!CLAVULANIC ACID 125 MG","AMOXICILLIN!CLAVULANIC ACID","TABLET","ORAL","2",4,"0234720",1,1,"0234720005"
"41","AMOXICILLIN 400 MG!CLAVULANIC ACID 57 MG","AMOXICILLIN!CLAVULANIC ACID","POWDER FOR SUSPENSION","ORAL","2",2,"0234720",1,1,"0234720004"
"42","AMOXICILLIN 200 MG!CLAVULANIC ACID 28.5 MG","AMOXICILLIN!CLAVULANIC ACID","POWDER FOR SUSPENSION","ORAL","2",1,"0234720",1,1,"0234720006"
"43","AMOXICILLIN 250 MG!CLAVULANIC ACID 125 MG","AMOXICILLIN!CLAVULANIC ACID","TABLET","ORAL","2",1,"0234720",1,1,"0234720008"
"44","AMOXICILLIN 125 MG!CLAVULANIC ACID 31.25 MG","AMOXICILLIN!CLAVULANIC ACID","SUSPENSION","ORAL","2",1,"0234720",1,1,"0234720010"
"45","AMOXICILLIN 250 MG!CLAVULANIC ACID 62.5 MG","AMOXICILLIN!CLAVULANIC ACID","SUSPENSION","ORAL","2",1,"0234720",1,1,"0234720001"
"46","ARIPIPRAZOLE 2 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514001"
"47","ARIPIPRAZOLE 5 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514002"
"48","ARIPIPRAZOLE 10 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514006"
"49","ARIPIPRAZOLE 15 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514003"
"50","ARIPIPRAZOLE 20 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514004"
"51","ARIPIPRAZOLE 30 MG","ARIPIPRAZOLE","TABLET","ORAL","1",1,"0152514",1,1,"0152514005"
"52","ARIPIPRAZOLE 300 MG","ARIPIPRAZOLE","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR","1",1,"0152514",1,1,"0152514007"
"53","ARIPIPRAZOLE 300 MG","ARIPIPRAZOLE","KIT","INTRAMUSCULAR","1",1,"0152514",1,1,"0152514007"
"54","ARIPIPRAZOLE 400 MG","ARIPIPRAZOLE","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR","1",1,"0152514",1,1,"0152514008"
"55","ARIPIPRAZOLE 400 MG","ARIPIPRAZOLE","KIT","INTRAMUSCULAR","1",1,"0152514",1,1,"0152514008"
"56","ATENOLOL 50 MG","ATENOLOL","TABLET","ORAL","1",17,"0113847",1,1,"0113847002"
"57","ATENOLOL 100 MG","ATENOLOL","TABLET","ORAL","1",17,"0113847",1,1,"0113847001"
"58","ATENOLOL 25 MG","ATENOLOL","TABLET","ORAL","1",12,"0113847",1,1,"0113847004"
"59","ATOMOXETINE 10 MG","ATOMOXETINE","CAPSULE","ORAL","1",8,"0150434",1,1,"0150434001"
"60","ATOMOXETINE 18 MG","ATOMOXETINE","CAPSULE","ORAL","1",9,"0150434",1,1,"0150434002"
"61","ATOMOXETINE 25 MG","ATOMOXETINE","CAPSULE","ORAL","1",10,"0150434",1,1,"0150434003"
"62","ATOMOXETINE 40 MG","ATOMOXETINE","CAPSULE","ORAL","1",10,"0150434",1,1,"0150434004"
"63","ATOMOXETINE 60 MG","ATOMOXETINE","CAPSULE","ORAL","1",10,"0150434",1,1,"0150434005"
"64","ATOMOXETINE 80 MG","ATOMOXETINE","CAPSULE","ORAL","1",5,"0150434",1,1,"0150434006"
"65","ATOMOXETINE 100 MG","ATOMOXETINE","CAPSULE","ORAL","1",5,"0150434",1,1,"0150434007"
"66","ATORVASTATIN 10 MG","ATORVASTATIN","TABLET","ORAL","1",21,"0133055",1,1,"0133055001"
"67","ATORVASTATIN 20 MG","ATORVASTATIN","TABLET","ORAL","1",21,"0133055",1,1,"0133055002"
"68","ATORVASTATIN 40 MG","ATORVASTATIN","TABLET","ORAL","1",21,"0133055",1,1,"0133055003"
"69","ATORVASTATIN 80 MG","ATORVASTATIN","TABLET","ORAL","1",19,"0133055",1,1,"0133055004"
"70","AZATHIOPRINE 50 MG","AZATHIOPRINE","TABLET","ORAL","1",6,"0101830",1,1,"0101830001"
"71","AZATHIOPRINE 50 MG","AZATHIOPRINE","POWDER FOR SOLUTION","INTRAVENOUS","1",1,"0101830",1,1,"0101830001"
"72","AZITHROMYCIN 250 MG","AZITHROMYCIN","TABLET","ORAL","1",16,"0126072",1,1,"0126072001"
"73","AZITHROMYCIN 100 MG","AZITHROMYCIN","POWDER FOR SUSPENSION","ORAL","1",7,"0126072",1,1,"0126072002"
"74","AZITHROMYCIN 200 MG","AZITHROMYCIN","POWDER FOR SOLUTION","ORAL","1",1,"0126072",1,1,"0126072003"
"75","AZITHROMYCIN 600 MG","AZITHROMYCIN","TABLET","ORAL","1",4,"0126072",1,1,"0126072005"
"76","AZITHROMYCIN 500 MG","AZITHROMYCIN","POWDER FOR SOLUTION","INTRAVENOUS","1",5,"0126072",1,2,"0126072006, 0126072008"
"77","AZITHROMYCIN 200 MG","AZITHROMYCIN","POWDER FOR SUSPENSION","ORAL","1",6,"0126072",1,1,"0126072003"
"78","BACLOFEN 10 MG","BACLOFEN","TABLET","ORAL","1",10,"0113246",1,1,"0113246001"
"79","BACLOFEN 20 MG","BACLOFEN","TABLET","ORAL","1",10,"0113246",1,1,"0113246002"
"80","BACLOFEN 2 MG","BACLOFEN","SOLUTION","INTRATHECAL","1",2,"0113246",1,1,"0113246003"
"81","BACLOFEN 0.05 MG","BACLOFEN","SOLUTION","INTRATHECAL","1",2,"0113246",1,1,"0113246004"
"82","BACLOFEN 0.5 MG","BACLOFEN","SOLUTION","INTRATHECAL","1",2,"0113246",1,1,"0113246005"
"83","BENZOYL PEROXIDE 50 MG!CLINDAMYCIN 10 MG","BENZOYL PEROXIDE!CLINDAMYCIN","GEL","TOPICAL","2",1,"0242561",1,1,"0242561001"
"84","BENZOYL PEROXIDE 5 %!CLINDAMYCIN 1 %","BENZOYL PEROXIDE!CLINDAMYCIN","GEL","TOPICAL","2",2,"0242561",1,1,"0242561001"
"85","BENZOYL PEROXIDE 3 %!CLINDAMYCIN 1 %","BENZOYL PEROXIDE!CLINDAMYCIN","GEL","TOPICAL","2",1,"0242561",1,1,"0242561002"
"86","BETAMETHASONE 0.5 MG","BETAMETHASONE","LOTION","TOPICAL","1",2,"0106299",1,1,"0106299003"
"87","BETAMETHASONE 0.5 MG","BETAMETHASONE","OINTMENT","TOPICAL","1",3,"0106299",1,2,"0106299003, 0106299002"
"88","BETAMETHASONE 0.05 %","BETAMETHASONE","LOTION","TOPICAL","1",3,"0106299",1,1,"0106299002"
"89","BETAMETHASONE 0.1 %","BETAMETHASONE","LOTION","TOPICAL","1",4,"0106299",1,1,"0106299001"
"90","BETAMETHASONE 0.05 %","BETAMETHASONE","OINTMENT","TOPICAL","1",2,"0106299",1,1,"0106299002"
"91","BETAMETHASONE 0.05 %","BETAMETHASONE","CREAM","TOPICAL","1",4,"0106299",1,1,"0106299002"
"92","BETAMETHASONE 0.5 MG","BETAMETHASONE","CREAM","TOPICAL","1",2,"0106299",1,1,"0106299003"
"93","BETAMETHASONE 5 MG","BETAMETHASONE","ENEMA","RECTAL","1",1,"0106299",1,1,"0106299005"
"94","BETAMETHASONE 0.1 %","BETAMETHASONE","CREAM","TOPICAL","1",2,"0106299",1,1,"0106299001"
"95","BETAMETHASONE 0.1 %","BETAMETHASONE","OINTMENT","TOPICAL","1",1,"0106299",1,1,"0106299001"
"96","BIMATOPROST 0.03 %","BIMATOPROST","SOLUTION","OPHTHALMIC","1",2,"0147303",1,1,"0147303001"
"97","BIMATOPROST 0.01 %","BIMATOPROST","SOLUTION","OPHTHALMIC","1",1,"0147303",1,1,"0147303002"
"98","BIMATOPROST 0.03 %","BIMATOPROST","SOLUTION","TOPICAL","1",1,"0147303",1,1,"0147303001"
"99","BROMAZEPAM 6 MG","BROMAZEPAM","TABLET","ORAL","1",4,"0114488",1,1,"0114488001"
"100","BROMAZEPAM 3 MG","BROMAZEPAM","TABLET","ORAL","1",4,"0114488",1,1,"0114488003"
"101","BROMAZEPAM 1.5 MG","BROMAZEPAM","TABLET","ORAL","1",1,"0114488",1,1,"0114488002"
"102","BUDESONIDE 200 MCG","BUDESONIDE","METERED-DOSE AEROSOL","INHALATION","1",1,"0116807",1,1,"0116807001"
"103","BUDESONIDE 200 MCG","BUDESONIDE","POWDER","INHALATION","1",1,"0116807",1,1,"0116807001"
"104","BUDESONIDE 100 MCG","BUDESONIDE","METERED-DOSE AEROSOL","INHALATION","1",1,"0116807",1,1,"0116807002"
"105","BUDESONIDE 100 MCG","BUDESONIDE","POWDER","INHALATION","1",2,"0116807",1,1,"0116807002"
"106","BUDESONIDE 400 MCG","BUDESONIDE","METERED-DOSE AEROSOL","INHALATION","1",1,"0116807",1,1,"0116807003"
"107","BUDESONIDE 400 MCG","BUDESONIDE","POWDER","INHALATION","1",1,"0116807",1,1,"0116807003"
"108","BUDESONIDE 0.5 MG","BUDESONIDE","SUSPENSION","INHALATION","1",1,"0116807",1,1,"0116807011"
"109","BUDESONIDE 0.25 MG","BUDESONIDE","SUSPENSION","INHALATION","1",1,"0116807",1,1,"0116807004"
"110","BUDESONIDE 100 MCG","BUDESONIDE","POWDER","NASAL","1",1,"0116807",1,1,"0116807002"
"111","BUDESONIDE 0.125 MG","BUDESONIDE","SUSPENSION","INHALATION","1",1,"0116807",1,1,"0116807005"
"112","BUDESONIDE 3 MG","BUDESONIDE","CAPSULE (SUSTAINED-RELEASE)","ORAL","1",1,"0116807",1,1,"0116807006"
"113","BUDESONIDE 100 MCG","BUDESONIDE","SPRAY, METERED DOSE","NASAL","1",1,"0116807",1,1,"0116807002"
"114","BUDESONIDE 64 MCG","BUDESONIDE","SPRAY, METERED DOSE","NASAL","1",2,"0116807",1,1,"0116807010"
"115","BUDESONIDE 9 MG","BUDESONIDE","TABLET (DELAYED AND EXTENDED RELEASE)","ORAL","1",1,"0116807",1,1,"0116807012"
"116","BUPRENORPHINE 2 MG!NALOXONE 0.5 MG","BUPRENORPHINE!NALOXONE","TABLET","SUBLINGUAL","2",3,"0252216",1,1,"0252216001"
"117","BUPRENORPHINE 8 MG!NALOXONE 2 MG","BUPRENORPHINE!NALOXONE","TABLET","SUBLINGUAL","2",3,"0252216",1,1,"0252216002"
"118","CALCITRIOL 1 MCG","CALCITRIOL","SOLUTION","INTRAVENOUS","1",3,"0113628",1,1,"0113628002"
"119","CALCITRIOL 2 MCG","CALCITRIOL","SOLUTION","INTRAVENOUS","1",2,"0113628",1,1,"0113628003"
"120","CALCITRIOL 0.5 MCG","CALCITRIOL","CAPSULE","ORAL","1",2,"0113628",1,1,"0113628005"
"121","CALCITRIOL 0.25 MCG","CALCITRIOL","CAPSULE","ORAL","1",2,"0113628",1,1,"0113628007"
"122","CALCITRIOL 3 MCG","CALCITRIOL","OINTMENT","TOPICAL","1",1,"0113628",1,1,"0113628006"
"123","CANDESARTAN CILEXETIL 4 MG","CANDESARTAN CILEXETIL","TABLET","ORAL","1",13,"0135220",1,1,"0135220001"
"124","CANDESARTAN CILEXETIL 8 MG","CANDESARTAN CILEXETIL","TABLET","ORAL","1",16,"0135220",1,1,"0135220002"
"125","CANDESARTAN CILEXETIL 16 MG","CANDESARTAN CILEXETIL","TABLET","ORAL","1",15,"0135220",1,1,"0135220003"
"126","CANDESARTAN CILEXETIL 32 MG","CANDESARTAN CILEXETIL","TABLET","ORAL","1",15,"0135220",1,1,"0135220004"
"127","CANDESARTAN CILEXETIL 16 MG!HYDROCHLOROTHIAZIDE 12.5 MG","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE","TABLET","ORAL","2",11,"0244181",1,1,"0244181001"
"128","CANDESARTAN CILEXETIL 32 MG!HYDROCHLOROTHIAZIDE 12.5 MG","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE","TABLET","ORAL","2",5,"0244181",1,1,"0244181002"
"129","CANDESARTAN CILEXETIL 32 MG!HYDROCHLOROTHIAZIDE 25 MG","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE","TABLET","ORAL","2",4,"0244181",1,1,"0244181003"
"130","CARBAMAZEPINE 100 MG","CARBAMAZEPINE","SUSPENSION","ORAL","1",2,"0108674",1,1,"0108674002"
"131","CARBAMAZEPINE 200 MG","CARBAMAZEPINE","TABLET","ORAL","1",8,"0108674",1,1,"0108674001"
"132","CARBAMAZEPINE 200 MG","CARBAMAZEPINE","TABLET (CHEWABLE)","ORAL","1",2,"0108674",1,1,"0108674001"
"133","CARBAMAZEPINE 100 MG","CARBAMAZEPINE","TABLET (CHEWABLE)","ORAL","1",2,"0108674",1,1,"0108674003"
"134","CARBAMAZEPINE 200 MG","CARBAMAZEPINE","TABLET (EXTENDED-RELEASE)","ORAL","1",7,"0108674",1,1,"0108674001"
"135","CARBAMAZEPINE 400 MG","CARBAMAZEPINE","TABLET (EXTENDED-RELEASE)","ORAL","1",7,"0108674",1,1,"0108674004"
"136","CARBAMAZEPINE 100 MG","CARBAMAZEPINE","TABLET","ORAL","1",2,"0108674",1,1,"0108674003"
"137","CARBIDOPA 50 MG!LEVODOPA 200 MG","CARBIDOPA!LEVODOPA","TABLET (EXTENDED-RELEASE)","ORAL","2",3,"0210315",1,1,"0210315004"
"138","CARBIDOPA 25 MG!LEVODOPA 100 MG","CARBIDOPA!LEVODOPA","TABLET (EXTENDED-RELEASE)","ORAL","2",3,"0210315",1,1,"0210315003"
"139","CARBIDOPA 10 MG!LEVODOPA 100 MG","CARBIDOPA!LEVODOPA","TABLET","ORAL","2",3,"0210315",1,1,"0210315002"
"140","CARBIDOPA 25 MG!LEVODOPA 250 MG","CARBIDOPA!LEVODOPA","TABLET","ORAL","2",3,"0210315",1,1,"0210315001"
"141","CARBIDOPA 25 MG!LEVODOPA 100 MG","CARBIDOPA!LEVODOPA","TABLET","ORAL","2",5,"0210315",1,1,"0210315003"
"142","CARBIDOPA 5 MG!LEVODOPA 20 MG","CARBIDOPA!LEVODOPA","GEL","INTRAINTESTINAL (UPPER)","2",1,"0210315",1,1,"0210315005"
"143","CARVEDILOL 3.125 MG","CARVEDILOL","TABLET","ORAL","1",11,"0122683",1,1,"0122683003"
"144","CARVEDILOL 6.25 MG","CARVEDILOL","TABLET","ORAL","1",11,"0122683",1,1,"0122683004"
"145","CARVEDILOL 12.5 MG","CARVEDILOL","TABLET","ORAL","1",11,"0122683",1,1,"0122683005"
"146","CARVEDILOL 25 MG","CARVEDILOL","TABLET","ORAL","1",11,"0122683",1,1,"0122683001"
"147","CEFPROZIL 250 MG","CEFPROZIL","POWDER FOR SOLUTION","ORAL","1",1,"0127613",1,1,"0127613004"
"148","CEFPROZIL 125 MG","CEFPROZIL","POWDER FOR SOLUTION","ORAL","1",1,"0127613",1,1,"0127613001"
"149","CEFPROZIL 500 MG","CEFPROZIL","TABLET","ORAL","1",5,"0127613",1,1,"0127613002"
"150","CEFPROZIL 250 MG","CEFPROZIL","TABLET","ORAL","1",5,"0127613",1,1,"0127613003"
"151","CEFPROZIL 250 MG","CEFPROZIL","POWDER FOR SUSPENSION","ORAL","1",3,"0127613",1,1,"0127613004"
"152","CEFPROZIL 125 MG","CEFPROZIL","POWDER FOR SUSPENSION","ORAL","1",3,"0127613",1,1,"0127613001"
"153","CELECOXIB 100 MG","CELECOXIB","CAPSULE","ORAL","1",21,"0137043",1,1,"0137043001"
"154","CELECOXIB 200 MG","CELECOXIB","CAPSULE","ORAL","1",21,"0137043",1,1,"0137043002"
"155","CEPHALEXIN 125 MG","CEPHALEXIN","POWDER FOR SUSPENSION","ORAL","1",2,"0105911",1,1,"0105911001"
"156","CEPHALEXIN 250 MG","CEPHALEXIN","POWDER FOR SUSPENSION","ORAL","1",2,"0105911",1,1,"0105911002"
"157","CEPHALEXIN 500 MG","CEPHALEXIN","TABLET","ORAL","1",6,"0105911",1,1,"0105911003"
"158","CEPHALEXIN 250 MG","CEPHALEXIN","TABLET","ORAL","1",5,"0105911",1,1,"0105911004"
"159","CEPHALEXIN 125 MG","CEPHALEXIN","SUSPENSION","ORAL","1",2,"0105911",1,1,"0105911001"
"160","CEPHALEXIN 250 MG","CEPHALEXIN","SUSPENSION","ORAL","1",2,"0105911",1,1,"0105911002"
"161","CEPHALEXIN 250 MG","CEPHALEXIN","CAPSULE","ORAL","1",1,"0105911",1,1,"0105911004"
"162","CEPHALEXIN 500 MG","CEPHALEXIN","CAPSULE","ORAL","1",1,"0105911",1,1,"0105911003"
"163","CICLESONIDE 100 MCG","CICLESONIDE","AEROSOL, METERED DOSE","INHALATION","1",1,"0151669",1,1,"0151669003"
"164","CICLESONIDE 200 MCG","CICLESONIDE","AEROSOL, METERED DOSE","INHALATION","1",1,"0151669",1,1,"0151669002"
"165","CICLESONIDE 50 MCG","CICLESONIDE","SPRAY, METERED DOSE","NASAL","1",1,"0151669",1,1,"0151669001"
"166","CICLESONIDE 50 MCG","CICLESONIDE","AEROSOL, METERED DOSE","NASAL","1",1,"0151669",1,1,"0151669001"
"167","CICLOPIROX 8 %","CICLOPIROX","SOLUTION","TOPICAL","1",5,"0150022",1,1,"0150022001"
"168","CIPROFLOXACIN 0.3 %","CIPROFLOXACIN","SOLUTION","OPHTHALMIC","1",3,"0123207",1,1,"0123207004"
"169","CIPROFLOXACIN 0.3 %","CIPROFLOXACIN","OINTMENT","OPHTHALMIC","1",1,"0123207",1,1,"0123207004"
"170","CIPROFLOXACIN 250 MG","CIPROFLOXACIN","TABLET","ORAL","1",23,"0123207",1,1,"0123207006"
"171","CIPROFLOXACIN 500 MG","CIPROFLOXACIN","TABLET","ORAL","1",25,"0123207",1,1,"0123207001"
"172","CIPROFLOXACIN 750 MG","CIPROFLOXACIN","TABLET","ORAL","1",20,"0123207",1,1,"0123207002"
"173","CIPROFLOXACIN 10 G","CIPROFLOXACIN","SUSPENSION","ORAL","1",1,"0123207",1,1,"0123207005"
"174","CIPROFLOXACIN 500 MG","CIPROFLOXACIN","TABLET (EXTENDED-RELEASE)","ORAL","1",2,"0123207",1,1,"0123207001"
"175","CIPROFLOXACIN 1000 MG","CIPROFLOXACIN","TABLET (EXTENDED-RELEASE)","ORAL","1",1,"0123207",1,1,"0123207009"
"176","CIPROFLOXACIN 10 MG","CIPROFLOXACIN","SOLUTION","INTRAVENOUS","1",1,"0123207",1,1,"0123207003"
"177","CIPROFLOXACIN 2 MG","CIPROFLOXACIN","SOLUTION","INTRAVENOUS","1",5,"0123207",1,1,"0123207007"
"178","CIPROFLOXACIN 0.2 %","CIPROFLOXACIN","SOLUTION","INTRAVENOUS","1",1,"0123207",1,1,"0123207007"
"179","CIPROFLOXACIN 0.3 %!DEXAMETHASONE 0.1 %","CIPROFLOXACIN!DEXAMETHASONE","SUSPENSION","OTIC","2",1,"0250083",1,1,"0250083001"
"180","CITALOPRAM 20 MG","CITALOPRAM","TABLET","ORAL","1",27,"0136243",1,1,"0136243001"
"181","CITALOPRAM 40 MG","CITALOPRAM","TABLET","ORAL","1",27,"0136243",1,1,"0136243002"
"182","CITALOPRAM 10 MG","CITALOPRAM","TABLET","ORAL","1",20,"0136243",1,1,"0136243003"
"183","CITALOPRAM 30 MG","CITALOPRAM","TABLET","ORAL","1",1,"0136243",1,1,"0136243004"
"184","CLARITHROMYCIN 250 MG","CLARITHROMYCIN","TABLET","ORAL","1",9,"0123752",1,1,"0123752001"
"185","CLARITHROMYCIN 500 MG","CLARITHROMYCIN","TABLET","ORAL","1",11,"0123752",1,1,"0123752002"
"186","CLARITHROMYCIN 125 MG","CLARITHROMYCIN","GRANULES FOR SUSPENSION","ORAL","1",3,"0123752",1,1,"0123752003"
"187","CLARITHROMYCIN 250 MG","CLARITHROMYCIN","GRANULES FOR SUSPENSION","ORAL","1",3,"0123752",1,1,"0123752004"
"188","CLARITHROMYCIN 500 MG","CLARITHROMYCIN","TABLET (EXTENDED-RELEASE)","ORAL","1",3,"0123752",1,1,"0123752002"
"189","CLINDAMYCIN 1 %","CLINDAMYCIN","SOLUTION","TOPICAL","1",3,"0105830",1,1,"0105830004"
"190","CLINDAMYCIN 75 MG","CLINDAMYCIN","POWDER FOR SOLUTION","ORAL","1",1,"0105830",1,1,"0105830007"
"191","CLINDAMYCIN 20 MG","CLINDAMYCIN","CREAM","VAGINAL","1",1,"0105830",1,1,"0105830001"
"192","CLINDAMYCIN 150 MG","CLINDAMYCIN","SOLUTION","INTRAMUSCULAR","1",2,"0105830",1,1,"0105830002"
"193","CLINDAMYCIN 150 MG","CLINDAMYCIN","SOLUTION","INTRAVENOUS","1",2,"0105830",1,1,"0105830002"
"194","CLINDAMYCIN 300 MG","CLINDAMYCIN","CAPSULE","ORAL","1",7,"0105830",1,1,"0105830003"
"195","CLINDAMYCIN 150 MG","CLINDAMYCIN","LIQUID","INTRAVENOUS","1",3,"0105830",1,1,"0105830002"
"196","CLINDAMYCIN 150 MG","CLINDAMYCIN","LIQUID","INTRAMUSCULAR","1",2,"0105830",1,1,"0105830002"
"197","CLINDAMYCIN 150 MG","CLINDAMYCIN","CAPSULE","ORAL","1",7,"0105830",1,1,"0105830002"
"198","CLINDAMYCIN 1 %","CLINDAMYCIN","PAD","TOPICAL","1",1,"0105830",1,1,"0105830004"
"199","CLINDAMYCIN 12 MG","CLINDAMYCIN","SOLUTION","INTRAVENOUS","1",1,"0105830",1,1,"0105830009"
"200","CLINDAMYCIN 18 MG","CLINDAMYCIN","SOLUTION","INTRAVENOUS","1",1,"0105830",1,1,"0105830010"
"201","CLOBAZAM 10 MG","CLOBAZAM","TABLET","ORAL","1",5,"0114637",1,1,"0114637001"
"202","CLONAZEPAM 1 MG","CLONAZEPAM","TABLET","ORAL","1",7,"0111558",1,1,"0111558004"
"203","CLONAZEPAM 0.5 MG","CLONAZEPAM","TABLET","ORAL","1",16,"0111558",1,1,"0111558001"
"204","CLONAZEPAM 2 MG","CLONAZEPAM","TABLET","ORAL","1",13,"0111558",1,1,"0111558002"
"205","CLONAZEPAM 0.25 MG","CLONAZEPAM","TABLET","ORAL","1",2,"0111558",1,1,"0111558003"
"206","CLOPIDOGREL 75 MG","CLOPIDOGREL","TABLET","ORAL","1",17,"0134440",1,1,"0134440001"
