"","ai_set_str","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","num_ais","num_dins","ai_group","num_ai_groups","num_strengths","AI_GROUP_NO"
"16","HYDROCORTISONE 1 %|PRAMOXINE HYDROCHLORIDE 1 %","CREAM","TOPICAL","2",1,"0220065",1,1,"0220065001"
"17","DEXTROMETHORPHAN HYDROBROMIDE 15 MG","SYRUP","ORAL","1",13,"0100807",1,1,"0100807001"
"18","GRAMICIDIN 0.025 MG|NEOMYCIN 1.75 MG|POLYMYXIN B 10000 UNIT","DROPS","OPHTHALMIC","3",1,"0331392",1,1,"0331392001"
"19","GRAMICIDIN 0.025 MG|NEOMYCIN 1.75 MG|POLYMYXIN B 10000 UNIT","DROPS","OTIC","3",1,"0331392",1,1,"0331392001"
"20","THIAMINE HYDROCHLORIDE 100 MG","SOLUTION","INTRAMUSCULAR","1",2,"0108220",1,1,"0108220001"
"21","THIAMINE HYDROCHLORIDE 100 MG","SOLUTION","INTRAVENOUS","1",2,"0108220",1,1,"0108220001"
"22","METHYLENE BLUE 10 MG","SOLUTION","PARENTERAL (UNSPECIFIED)","1",1,"0106816",1,1,"0106816001"
"23","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 6.24 G|DEXTROSE 67.54 G|MAGNESIUM CHLORIDE 1.61 G|SODIUM CHLORIDE 263 G","SOLUTION","DIALYSIS","5",1,"0517387",1,1,"0517387076"
"24","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 6.24 G|DEXTROSE 67.54 G|MAGNESIUM CHLORIDE 1.61 G|POTASSIUM CHLORIDE 6.71 G|SODIUM CHLORIDE 263 G","SOLUTION","DIALYSIS","6",1,"0617386",1,1,"0617386366"
"25","NITROGLYCERIN 50 MG","PATCH (EXTENDED RELEASE)","TRANSDERMAL","1",1,"0103615",1,1,"0103615006"
"26","DOXYCYCLINE 100 MG","CAPSULE","ORAL","1",5,"0105569",1,1,"0105569001"
"27","PYRANTEL 35 MG","TABLET","ORAL","1",1,"0108709",1,1,"0108709002"
"28","KETOPROFEN 100 MG","TABLET (ENTERIC-COATED)","ORAL","1",2,"0110497",1,1,"0110497002"
"29","KETOPROFEN 50 MG","TABLET (ENTERIC-COATED)","ORAL","1",2,"0110497",1,1,"0110497001"
"30","KETOPROFEN 50 MG","CAPSULE","ORAL","1",2,"0110497",1,1,"0110497001"
"31","CALCIUM CHLORIDE 23.9 MG|DEXTROSE 4.25 G|MAGNESIUM CHLORIDE 15.2 MG|SODIUM CHLORIDE 567 MG|SODIUM LACTATE 392 MG","SOLUTION","DIALYSIS","5",1,"0500162",1,1,"0500162041"
"32","CALCIUM CHLORIDE 23.9 MG|DEXTROSE 1.5 G|MAGNESIUM CHLORIDE 15.2 MG|SODIUM CHLORIDE 567 MG|SODIUM LACTATE 392 MG","LIQUID","DIALYSIS","5",1,"0500162",1,1,"0500162042"
"33","PREDNISOLONE ACETATE 0.2 %|SULFACETAMIDE SODIUM 10 %","DROPS","OPHTHALMIC","2",1,"0206094",1,1,"0206094001"
"34","HYDROMORPHONE HYDROCHLORIDE 1 MG","LIQUID","ORAL","1",1,"0108698",1,1,"0108698004"
"35","CHLORHEXIDINE GLUCONATE 0.05 %","LIQUID","TOPICAL","1",1,"0107629",1,1,"0107629005"
"36","ACETAMINOPHEN 650 MG|PHENYLEPHRINE HYDROCHLORIDE 10 MG","POWDER","ORAL","2",1,"0217793",1,1,"0217793001"
"37","ACETYLSALICYLIC ACID 325 MG","TABLET","ORAL","1",8,"0101169",1,1,"0101169001"
"38","BETAMETHASONE 0.5 MG","LOTION","TOPICAL","1",2,"0106299",1,1,"0106299003"
"39","ALUMINUM HYDROXIDE 200 MG|DIMETHICONE 25 MG|MAGNESIUM HYDROXIDE 200 MG","SUSPENSION","ORAL","3",3,"0301453",1,1,"0301453001"
"40","ACETYLSALICYLIC ACID 375 MG|CAFFEINE 15 MG|CODEINE PHOSPHATE 8 MG","TABLET","ORAL","3",4,"0301235",1,1,"0301235001"
"41","IBUPROFEN 200 MG","TABLET","ORAL","1",16,"0108883",1,1,"0108883004"
"42","IMIPRAMINE HYDROCHLORIDE 50 MG","TABLET","ORAL","1",3,"0103832",1,1,"0103832001"
"43","IMIPRAMINE HYDROCHLORIDE 10 MG","TABLET","ORAL","1",3,"0103832",1,1,"0103832003"
"44","FOLIC ACID 5 MG","LIQUID","INTRAMUSCULAR","1",1,"0108418",1,1,"0108418001"
"45","FOLIC ACID 5 MG","LIQUID","INTRAVENOUS","1",1,"0108418",1,1,"0108418001"
"46","FOLIC ACID 5 MG","LIQUID","SUBCUTANEOUS","1",1,"0108418",1,1,"0108418001"
"47","PETROLATUM 100 %","CREAM","TOPICAL","1",1,"0108784",1,1,"0108784002"
"48","DOCUSATE CALCIUM 240 MG","CAPSULE","ORAL","1",8,"0117478",1,1,"0117478001"
"49","LEUPROLIDE ACETATE 7.5 MG","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR","1",1,"0116959",1,1,"0116959002"
"50","IMIPRAMINE HYDROCHLORIDE 25 MG","TABLET","ORAL","1",3,"0103832",1,1,"0103832002"
"51","METRONIDAZOLE 250 MG","TABLET","ORAL","1",3,"0102572",1,1,"0102572001"
"52","PHENYTOIN SODIUM 30 MG","CAPSULE","ORAL","1",1,"0101375",1,1,"0101375001"
"53","PHENYTOIN SODIUM 100 MG","CAPSULE","ORAL","1",2,"0101375",1,1,"0101375002"
"54","SALBUTAMOL 5 MG","SOLUTION","INHALATION","1",6,"0108887",1,2,"0108887006, 0108887001"
"55","HYDROCORTISONE ACETATE 2 %","CREAM","TOPICAL","1",1,"0131221",1,1,"0131221004"
"56","DILTIAZEM HYDROCHLORIDE 30 MG","TABLET","ORAL","1",2,"0115863",1,1,"0115863001"
"57","DILTIAZEM HYDROCHLORIDE 60 MG","TABLET","ORAL","1",2,"0115863",1,1,"0115863002"
"58","METHYLPHENIDATE HYDROCHLORIDE 10 MG","TABLET","ORAL","1",6,"0107548",1,1,"0107548001"
"59","METHYLPHENIDATE HYDROCHLORIDE 20 MG","TABLET","ORAL","1",6,"0107548",1,1,"0107548002"
"60","OXYCODONE HYDROCHLORIDE 5 MG","TABLET","ORAL","1",4,"0107552",1,1,"0107552003"
"61","NYSTATIN 100000 UNIT","SUSPENSION","ORAL","1",2,"0105858",1,1,"0105858002"
"62","DEXTROSE 5 G|SODIUM CHLORIDE 200 MG","LIQUID","INTRAVENOUS","2",1,"0200203",1,1,"0200203004"
"63","DEXTROSE 5 G|SODIUM CHLORIDE 450 MG","LIQUID","INTRAVENOUS","2",1,"0200203",1,1,"0200203002"
"64","DEXTROSE 5 G|SODIUM CHLORIDE 900 MG","LIQUID","INTRAVENOUS","2",1,"0200203",1,1,"0200203001"
"65","DEXTROSE 10 G|SODIUM CHLORIDE 900 MG","SOLUTION","INTRAVENOUS","2",2,"0200203",1,1,"0200203005"
"66","SODIUM CHLORIDE 450 MG","LIQUID","INTRAVENOUS","1",1,"0100053",1,1,"0100053005"
"67","ACETAMINOPHEN 32 MG","SOLUTION","ORAL","1",2,"0102009",1,1,"0102009005"
"68","ACETAMINOPHEN 16 MG","SOLUTION","ORAL","1",1,"0102009",1,1,"0102009004"
"69","MORPHINE SULFATE 50 MG","DROPS","ORAL","1",1,"0104545",1,1,"0104545006"
"70","DIPHENHYDRAMINE HYDROCHLORIDE 2.5 MG","ELIXIR","ORAL","1",1,"0102639",1,1,"0102639003"
"71","FLUPHENAZINE DECANOATE 100 MG","LIQUID","INTRAMUSCULAR","1",3,"0110769",1,1,"0110769002"
"72","FLUPHENAZINE DECANOATE 100 MG","LIQUID","SUBCUTANEOUS","1",3,"0110769",1,1,"0110769002"
"73","DINOPROSTONE 0.5 MG","GEL","INTRACERVICAL","1",1,"0111999",1,1,"0111999005"
"74","AMILORIDE HYDROCHLORIDE 5 MG|HYDROCHLOROTHIAZIDE 50 MG","TABLET","ORAL","2",3,"0213868",1,1,"0213868001"
"75","METOCLOPRAMIDE HYDROCHLORIDE 5 MG","TABLET","ORAL","1",2,"0109394",1,1,"0109394003"
"76","METOCLOPRAMIDE HYDROCHLORIDE 10 MG","TABLET","ORAL","1",2,"0109394",1,1,"0109394001"
"77","SODIUM CITRATE 4 G","SOLUTION","0-UNASSIGNED","1",2,"0100377",1,2,"0100377001, 0100377004"
"78","POTASSIUM PHOSPHATE DIBASIC 236 MG|POTASSIUM PHOSPHATE MONOBASIC 224 MG","LIQUID","INTRAVENOUS","2",1,"0207483",1,1,"0207483001"
"79","DEXTROSE 5 G","LIQUID","INTRAVENOUS","1",1,"0102181",1,1,"0102181006"
"80","CALCIUM CHLORIDE 23.9 MG|DEXTROSE 500 MG|MAGNESIUM CHLORIDE 15.2 MG|SODIUM CHLORIDE 567 MG|SODIUM LACTATE 392 MG","SOLUTION","DIALYSIS","5",1,"0500162",1,1,"0500162015"
"81","DEXTROSE 3.3 G|SODIUM CHLORIDE 300 MG","LIQUID","INTRAVENOUS","2",1,"0200203",1,1,"0200203006"
"82","MANNITOL 20 G","SOLUTION","INTRAVENOUS","1",1,"0103277",1,1,"0103277003"
"83","MANNITOL 10 G","LIQUID","INTRAVENOUS","1",1,"0103277",1,1,"0103277002"
"84","DEXTROSE 50 MG|LIDOCAINE HYDROCHLORIDE 4 MG","SOLUTION","INTRAVENOUS","2",2,"0201281",1,1,"0201281001"
"85","HEPARIN 2 UNIT|SODIUM CHLORIDE 9 MG","SOLUTION","INTRAVENOUS","2",1,"0231405",1,1,"0231405001"
"86","CEFIXIME 100 MG","POWDER FOR SUSPENSION","ORAL","1",1,"0122105",1,1,"0122105001"
"87","CEFIXIME 400 MG","TABLET","ORAL","1",2,"0122105",1,1,"0122105003"
"88","HEPARIN SODIUM 1000 UNIT","LIQUID","INTRAVENOUS","1",1,"0104596",1,1,"0104596004"
"89","HEPARIN SODIUM 1000 UNIT","LIQUID","SUBCUTANEOUS","1",1,"0104596",1,1,"0104596004"
"90","LORATADINE 10 MG","TABLET","ORAL","1",5,"0120416",1,1,"0120416001"
"91","SULFAMETHOXAZOLE 40 MG|TRIMETHOPRIM 8 MG","SUSPENSION","ORAL","2",2,"0208901",1,2,"0208901006, 0208901002"
"92","CETRIMONIUM BROMIDE .5 %","TINCTURE","TOPICAL","1",1,"0106863",1,1,"0106863001"
"93","PYRIDOSTIGMINE BROMIDE 60 MG","TABLET","ORAL","1",1,"0107514",1,1,"0107514003"
"94","DOCUSATE SODIUM 50 MG","SYRUP","ORAL","1",2,"0104351",1,1,"0104351005"
"95","TETRACYCLINE HYDROCHLORIDE 10 MG","OINTMENT","OPHTHALMIC","1",1,"0105499",1,1,"0105499001"
"96","BENZOCAINE 23 %|METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL .1 %","PASTE","DENTAL","2",1,"0204988",1,1,"0204988001"
"97","TAMOXIFEN 10 MG","TABLET","ORAL","1",3,"0131293",1,1,"0131293001"
"98","TERBUTALINE SULFATE 0.5 MG","POWDER (METERED DOSE)","INHALATION","1",1,"0110482",1,1,"0110482003"
"99","BUDESONIDE 200 MCG","METERED-DOSE AEROSOL","INHALATION","1",1,"0116807",1,1,"0116807001"
"100","BUDESONIDE 200 MCG","POWDER","INHALATION","1",1,"0116807",1,1,"0116807001"
"101","BUDESONIDE 100 MCG","METERED-DOSE AEROSOL","INHALATION","1",1,"0116807",1,1,"0116807002"
"102","BUDESONIDE 100 MCG","POWDER","INHALATION","1",2,"0116807",1,1,"0116807002"
"103","CHLORHEXIDINE GLUCONATE 4 %","LIQUID","TOPICAL","1",3,"0107629",1,1,"0107629001"
"104","CHLORHEXIDINE GLUCONATE 2 %","LIQUID","TOPICAL","1",6,"0107629",1,1,"0107629004"
"105","NITROGLYCERIN 1 MG","LIQUID","INTRAVENOUS","1",1,"0103615",1,1,"0103615004"
"106","NITROGLYCERIN 5 MG","LIQUID","INTRAVENOUS","1",1,"0103615",1,1,"0103615007"
"107","ERYTHROMYCIN 333 MG","CAPSULE (ENTERIC-COATED)","ORAL","1",1,"0105708",1,1,"0105708013"
"108","BETHANECHOL CHLORIDE 25 MG","TABLET","ORAL","1",2,"0107779",1,1,"0107779004"
"109","BETHANECHOL CHLORIDE 10 MG","TABLET","ORAL","1",2,"0107779",1,1,"0107779001"
"110","BETHANECHOL CHLORIDE 50 MG","TABLET","ORAL","1",2,"0107779",1,1,"0107779003"
"111","ACETYLSALICYLIC ACID 150 MG","SUPPOSITORY","RECTAL","1",1,"0101169",1,1,"0101169010"
"112","ACETYLSALICYLIC ACID 650 MG","SUPPOSITORY","RECTAL","1",1,"0101169",1,1,"0101169002"
"113","BETAMETHASONE 0.05 %|CLOTRIMAZOLE 1 %","CREAM","TOPICAL","2",1,"0216399",1,1,"0216399001"
"114","TAMOXIFEN 20 MG","TABLET","ORAL","1",4,"0131293",1,1,"0131293002"
"115","CHLORHEXIDINE GLUCONATE 20 %","LIQUID","TOPICAL","1",2,"0107629",1,1,"0107629002"
"116","CALCIUM CHLORIDE 100 MG","LIQUID","INTRAVENOUS","1",1,"0108565",1,1,"0108565001"
"117","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 7.49 G|DEXTROSE 45 G|MAGNESIUM CHLORIDE 2.14 G|POTASSIUM CHLORIDE 10.05 G|SODIUM CHLORIDE 263 G","SOLUTION","DIALYSIS","6",1,"0617386",1,1,"0617386352"
"118","PRAZOSIN 1 MG","TABLET","ORAL","1",3,"0111527",1,1,"0111527001"
"119","PRAZOSIN 2 MG","TABLET","ORAL","1",3,"0111527",1,1,"0111527002"
"120","PRAZOSIN 5 MG","TABLET","ORAL","1",3,"0111527",1,1,"0111527003"
"121","KETOTIFEN 1 MG","TABLET","ORAL","1",1,"0115676",1,1,"0115676001"
"122","GLYBURIDE 5 MG","TABLET","ORAL","1",11,"0108708",1,1,"0108708001"
"123","ACENOCOUMAROL 4 MG","TABLET","ORAL","1",1,"0104595",1,1,"0104595002"
"124","PHENYTOIN 50 MG","TABLET","ORAL","1",1,"0101372",1,1,"0101372003"
"125","KETOTIFEN 1 MG","SYRUP","ORAL","1",1,"0115676",1,1,"0115676002"
"126","CALCIUM CHLORIDE 18.3 MG|DEXTROSE 1.5 G|MAGNESIUM CHLORIDE 5.08 MG|SODIUM CHLORIDE 538 MG|SODIUM LACTATE 448 MG","SOLUTION","DIALYSIS","5",1,"0500162",1,1,"0500162036"
"127","CALCIUM CHLORIDE 18.3 MG|DEXTROSE 2.5 G|MAGNESIUM CHLORIDE 5.08 MG|SODIUM CHLORIDE 538 MG|SODIUM LACTATE 448 MG","SOLUTION","DIALYSIS","5",1,"0500162",1,1,"0500162032"
"128","CALCIUM CHLORIDE 18.3 MG|DEXTROSE 4.25 G|MAGNESIUM CHLORIDE 5.08 MG|SODIUM CHLORIDE 538 MG|SODIUM LACTATE 448 MG","SOLUTION","DIALYSIS","5",1,"0500162",1,1,"0500162030"
"129","DEXTROSE 5 G|POTASSIUM CHLORIDE 150 MG|SODIUM CHLORIDE 900 MG","SOLUTION","INTRAVENOUS","3",2,"0300097",1,1,"0300097006"
"130","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 900 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097007"
"131","METRONIDAZOLE 5 MG","LIQUID","INTRAVENOUS","1",1,"0102572",1,1,"0102572002"
"132","DIPHENHYDRAMINE HYDROCHLORIDE 25 MG","CAPSULE","ORAL","1",9,"0102639",1,1,"0102639002"
"133","DIPHENHYDRAMINE HYDROCHLORIDE 50 MG","CAPSULE","ORAL","1",9,"0102639",1,1,"0102639001"
"134","NEOSTIGMINE METHYLSULFATE .5 MG","LIQUID","INTRAMUSCULAR","1",1,"0102263",1,1,"0102263002"
"135","NEOSTIGMINE METHYLSULFATE .5 MG","LIQUID","INTRAVENOUS","1",1,"0102263",1,1,"0102263002"
"136","NEOSTIGMINE METHYLSULFATE .5 MG","LIQUID","SUBCUTANEOUS","1",1,"0102263",1,1,"0102263002"
"137","NEOSTIGMINE METHYLSULFATE 1 MG","LIQUID","INTRAMUSCULAR","1",3,"0102263",1,1,"0102263003"
"138","NEOSTIGMINE METHYLSULFATE 1 MG","LIQUID","INTRAVENOUS","1",3,"0102263",1,1,"0102263003"
"139","NEOSTIGMINE METHYLSULFATE 1 MG","LIQUID","SUBCUTANEOUS","1",3,"0102263",1,1,"0102263003"
"140","DOCUSATE SODIUM 10 MG","DROPS","ORAL","1",2,"0104351",1,1,"0104351004"
"141","CONJUGATED ESTROGENS 2.5 MG","TABLET","ORAL","1",1,"0106442",1,1,"0106442004"
"142","CONJUGATED ESTROGENS 1.25 MG","TABLET","ORAL","1",3,"0106442",1,1,"0106442003"
"143","CONJUGATED ESTROGENS 0.9 MG","TABLET","ORAL","1",2,"0106442",1,1,"0106442007"
"144","CONJUGATED ESTROGENS 0.625 MG","TABLET","ORAL","1",4,"0106442",1,1,"0106442006"
"145","CONJUGATED ESTROGENS 0.3 MG","TABLET","ORAL","1",3,"0106442",1,1,"0106442002"
"146","DOXYCYCLINE HYCLATE 100 MG","TABLET","ORAL","1",1,"0131288",1,1,"0131288002"
"147","CLORAZEPATE DIPOTASSIUM 15 MG","CAPSULE","ORAL","1",1,"0108895",1,1,"0108895003"
"148","BISMUTH DIPROPYLACETATE 135 MG","SUPPOSITORY","RECTAL","1",1,"0108681",1,1,"0108681002"
"149","CAPTOPRIL 100 MG","TABLET","ORAL","1",5,"0114954",1,1,"0114954003"
"150","CLORAZEPATE DIPOTASSIUM 3.75 MG","CAPSULE","ORAL","1",1,"0108895",1,1,"0108895001"
"151","CLORAZEPATE DIPOTASSIUM 7.5 MG","CAPSULE","ORAL","1",1,"0108895",1,1,"0108895002"
"152","ALPRAZOLAM 0.25 MG","TABLET","ORAL","1",8,"0115008",1,1,"0115008001"
"153","ALPRAZOLAM .5 MG","TABLET","ORAL","1",2,"0115008",1,1,"0115008002"
"154","CAPTOPRIL 12.5 MG","TABLET","ORAL","1",5,"0114954",1,1,"0114954004"
"155","CAPTOPRIL 25 MG","TABLET","ORAL","1",5,"0114954",1,1,"0114954001"
"156","CAPTOPRIL 50 MG","TABLET","ORAL","1",5,"0114954",1,1,"0114954002"
"157","CLONIDINE HYDROCHLORIDE .1 MG","TABLET","ORAL","1",2,"0108891",1,1,"0108891001"
"158","CLONIDINE HYDROCHLORIDE .2 MG","TABLET","ORAL","1",2,"0108891",1,1,"0108891002"
"159","LIDOCAINE HYDROCHLORIDE 50 MG|POLYMYXIN B SULFATE 10000 UNIT","LIQUID","OTIC","2",1,"0231410",1,1,"0231410001"
"160","ENALAPRIL SODIUM 8 MG|HYDROCHLOROTHIAZIDE 25 MG","TABLET","ORAL","2",2,"0252326",1,1,"0252326001"
"161","GLICLAZIDE 80 MG","TABLET","ORAL","1",7,"0119934",1,1,"0119934001"
"162","ALCOHOL ANHYDROUS 5 ML|DEXTROSE 5 G","SOLUTION","INTRAVENOUS","2",1,"0202193",1,1,"0202193001"
"163","DEXTROSE 5 G|SODIUM CHLORIDE 330 MG","SOLUTION","INTRAVENOUS","2",1,"0200203",1,1,"0200203008"
"164","DEXTROSE 5 G|POTASSIUM CHLORIDE 75 MG","SOLUTION","INTRAVENOUS","2",1,"0200305",1,1,"0200305004"
"165","DEXTROSE 5 G|POTASSIUM CHLORIDE 224 MG","SOLUTION","INTRAVENOUS","2",1,"0200305",1,1,"0200305002"
"166","DEXTROSE 5 G|POTASSIUM CHLORIDE 75 MG|SODIUM CHLORIDE 200 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097008"
"167","DEXTROSE 5 G|POTASSIUM CHLORIDE 224 MG|SODIUM CHLORIDE 200 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097009"
"168","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 200 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097021"
"169","DEXTROSE 5 G|POTASSIUM CHLORIDE 150 MG|SODIUM CHLORIDE 330 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097022"
"170","DEXTROSE 5 G|POTASSIUM CHLORIDE 224 MG|SODIUM CHLORIDE 330 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097010"
"171","DEXTROSE 5 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 330 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097011"
"172","DEXTROSE 5 G|POTASSIUM CHLORIDE 224 MG|SODIUM CHLORIDE 450 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097020"
"173","CALCIUM CHLORIDE 20 MG|DEXTROSE 5 G|POTASSIUM CHLORIDE 179 MG|SODIUM CHLORIDE 600 MG|SODIUM LACTATE 310 MG","SOLUTION","INTRAVENOUS","5",1,"0500106",1,1,"0500106007"
"174","CALCIUM CHLORIDE 20 MG|DEXTROSE 5 G|POTASSIUM CHLORIDE 328 MG|SODIUM CHLORIDE 600 MG|SODIUM LACTATE 310 MG","SOLUTION","INTRAVENOUS","5",1,"0500106",1,1,"0500106008"
"175","DEXTROSE 5 G|POTASSIUM CHLORIDE 75 MG|SODIUM CHLORIDE 450 MG","SOLUTION","INTRAVENOUS","3",1,"0300097",1,1,"0300097012"
"176","MAGNESIUM SULFATE 20 MG|POTASSIUM CHLORIDE 40 MG|POTASSIUM PHOSPHATE MONOBASIC 6.25 MG|SODIUM CHLORIDE 800 MG|SODIUM PHOSPHATE DIBASIC 8.75 MG","LIQUID","IRRIGATION","5",1,"0515394",1,1,"0515394001"
"177","BETAMETHASONE 0.5 MG","OINTMENT","TOPICAL","1",3,"0106299",1,2,"0106299003, 0106299002"
"178","BETAMETHASONE 0.05 %","LOTION","TOPICAL","1",2,"0106299",1,1,"0106299002"
"179","SIMVASTATIN 10 MG","TABLET","ORAL","1",21,"0122415",1,1,"0122415004"
"180","PINDOLOL 5 MG","TABLET","ORAL","1",6,"0112362",1,1,"0112362001"
"181","PINDOLOL 10 MG","TABLET","ORAL","1",6,"0112362",1,1,"0112362003"
"182","PINDOLOL 15 MG","TABLET","ORAL","1",6,"0112362",1,1,"0112362002"
"183","FLUCONAZOLE 50 MG","TABLET","ORAL","1",8,"0122529",1,1,"0122529001"
"184","FLUCONAZOLE 100 MG","TABLET","ORAL","1",9,"0122529",1,1,"0122529002"
"185","FLUCONAZOLE 2 MG","SOLUTION","INTRAVENOUS","1",6,"0122529",1,1,"0122529003"
"186","DEXAMETHASONE 0.1 %|TOBRAMYCIN 0.3 %","OINTMENT","OPHTHALMIC","2",1,"0220325",1,1,"0220325001"
"187","DOCUSATE SODIUM 200 MG","CAPSULE","ORAL","1",3,"0104351",1,1,"0104351006"
"188","CHLORAL HYDRATE 100 MG","SYRUP","ORAL","1",2,"0101992",1,1,"0101992002"
"189","LIDOCAINE HYDROCHLORIDE 2 %","LIQUID","DENTAL","1",1,"0101280",1,1,"0101280001"
"190","DOCUSATE SODIUM 100 MG","CAPSULE","ORAL","1",24,"0104351",1,1,"0104351002"
"191","GENTAMICIN 1 MG","OINTMENT","TOPICAL","1",1,"0105695",1,1,"0105695001"
"192","MENTHOL 0.3 %|PYRITHIONE ZINC 2 %","SHAMPOO","TOPICAL","2",1,"0220841",1,1,"0220841001"
"193","GUAIFENESIN 100 MG","SYRUP","ORAL","1",9,"0103181",1,1,"0103181002"
"194","DEXAMETHASONE PHOSPHATE 10 MG","LIQUID","INTRAMUSCULAR","1",3,"0106305",1,1,"0106305005"
"195","DEXAMETHASONE PHOSPHATE 10 MG","LIQUID","INTRAVENOUS","1",3,"0106305",1,1,"0106305005"
"196","ACETYLSALICYLIC ACID 500 MG","TABLET (ENTERIC-COATED)","ORAL","1",1,"0101169",1,1,"0101169012"
"197","PRAVASTATIN SODIUM 10 MG","TABLET","ORAL","1",17,"0122563",1,1,"0122563001"
"198","CHLOROBUTANOL 5 %|DICHLOROBENZENE 2 %|OIL OF TURPENTINE 10 %|PEANUT OIL 57 %","DROPS","OTIC","4",1,"0455610",1,1,"0455610001"
"199","PRAVASTATIN SODIUM 20 MG","TABLET","ORAL","1",17,"0122563",1,1,"0122563002"
"200","DIPYRIDAMOLE 25 MG","TABLET","ORAL","1",2,"0106621",1,1,"0106621001"
"201","DIPYRIDAMOLE 50 MG","TABLET","ORAL","1",2,"0106621",1,1,"0106621002"
"202","DIPYRIDAMOLE 75 MG","TABLET","ORAL","1",2,"0106621",1,1,"0106621003"
"203","SODIUM CHLORIDE 3 G","SOLUTION","INTRAVENOUS","1",1,"0100053",1,1,"0100053014"
"204","SODIUM CHLORIDE 5 G","SOLUTION","INTRAVENOUS","1",2,"0100053",1,1,"0100053004"
"205","HYDRALAZINE HYDROCHLORIDE 10 MG","TABLET","ORAL","1",1,"0107444",1,1,"0107444003"
"206","CARBON DIOXIDE 12 %|OXYGEN 88 %","GAS","INHALATION","2",1,"0213351",1,1,"0213351005"
"207","CARBON DIOXIDE 23 %|OXYGEN 77 %","GAS","INHALATION","2",1,"0213351",1,1,"0213351003"
"208","CARBON DIOXIDE 50 %|OXYGEN 50 %","GAS","INHALATION","2",2,"0213351",1,1,"0213351004"
"209","GENTAMICIN 1 MG","CREAM","TOPICAL","1",1,"0105695",1,1,"0105695001"
"210","ACETAMINOPHEN 80 MG","SOLUTION","ORAL","1",7,"0102009",1,2,"0102009003, 0102009004"
