tm_set,dpd_values,tm_set_map,fda_map,precise_ing_NAME_CHANGE
INDAPAMIDE!PERINDOPRIL,"INDAPAMIDE, INDAPAMIDE HEMIHYDRATE",PERINDOPRIL,PERINDOPRILAT,
ISOSORBIDE-5-MONONITRATE,ISOSORBIDE DINITRATE,ISOSORBIDE-5-MONONITRATE,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE
ISOSORBIDE-5-MONONITRATE,ISOSORBIDE-5-MONONITRATE,ISOSORBIDE-5-MONONITRATE,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE
LEVOFLOXACIN,"LEVOFLOXACIN, LEVOFLOXACIN HEMIHYDRATE",LEVOFLOXACIN,LEVOFLOXACIN ANHYDROUS,LEVOFLOXACIN
LISINOPRIL,"LISINOPRIL, LISINOPRIL DIHYDRATE",LISINOPRIL,LISINOPRIL ANHYDROUS,LISINOPRIL
LITHIUM,"LITHIUM, LITHIUM CITRATE, LITHIUM CARBONATE, LITHIUM GLUCONATE, LITHIUM HVP CHELATE",LITHIUM,LITHIUM CATION,
MESALAMINE,MESALAZINE,MESALAMINE,MESALAMINE,MESALAMINE
METFORMIN!SITAGLIPTIN,SITAGLIPTIN PHOSPHATE MONOHYDRATE,SITAGLIPTIN,SITAGLIPTIN,SITAGLIPTIN PHOSPHATE
OLMESARTAN MEDOXOMIL,OLMESARTAN  MEDOXOMIL,OLMESARTAN MEDOXOMIL,OLMESARTAN,OLMESARTAN MEDOXOMIL
PERINDOPRIL,"PERINDORPIL ARGININE, PERINDOPRIL ERBUMINE",PERINDOPRIL,PERINDOPRILAT,
PRAMIPEXOLE,PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE,PRAMIPEXOLE,PRAMIPEXOLE,PRAMIPEXOLE DIHYDROCHLORIDE
QUINAPRIL,QUINAPRIL HYDROCHLORIDE,QUINAPRIL,QUINAPRILAT,
RABEPRAZOLE SODIUM,RABEPRAZOLE SODIUM,RABEPRAZOLE SODIUM,RABEPRAZOLE,
RAMIPRIL,RAMIPRIL,RAMIPRIL,RAMIPRILAT,
RISEDRONATE,RISEDRONATE SODIUM,RISEDRONATE,RISEDRONIC ACID,
SALBUTAMOL,SALBUTAMOL,SALBUTAMOL,ALBUTEROL,ALBUTEROL
SALBUTAMOL,SALBUTAMOL SULFATE,SALBUTAMOL,ALBUTEROL,ALBUTEROL
SAXAGLIPTIN,SAXAGLIPTIN HYDROCHLORIDE,SAXAGLIPTIN,SAXAGLIPTIN ANHYDROUS,
SITAGLIPTIN,SITAGLIPTIN PHOSPHATE MONOHYDRATE,SITAGLIPTIN,SITAGLIPTIN,SITAGLIPTIN PHOSPHATE
TACROLIMUS,TACROLIMUS MONOHYDRATE,TACROLIMUS,TACROLIMUS ANHYDROUS,TACROLIMUS
TIMOLOL,"TIMOLOL, TIMOLOL MALEATE",TIMOLOL,TIMOLOL ANHYDROUS,
TIOTROPIUM BROMIDE,TIOTROPIUM BROMIDE,TIOTROPIUM BROMIDE,TIOTROPIUM,
TRANDOLAPRIL,TRANDOLAPRIL,TRANDOLAPRIL,TRANDOLAPRILAT,
"VACCINE, HEPATITIS A INACTIVATED!VACCINE, HEPATITIS B",??,,,
VALACYCLOVIR,VALACYCLOVIR HYDROCHLORIDE MONOHYDRATE,VALACYCLOVIR,ACYCLOVIR,VALACYCLOVIR HYDROCHLORIDE
PAROXETINE,"PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE",PAROXETINE,PAROXETINE,PAROXETINE
PAROXETINE,"PAROXETINE HYDROCHLORIDE",PAROXETINE,PAROXETINE,PAROXETINE
PAROXETINE,"PAROXETINE HYDROCHLORIDE ACETONE SOLVATE",PAROXETINE,PAROXETINE,PAROXETINE
