"","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing"
"44","9150",1,"DOCUSATE CALCIUM","DOCUSATE CALCIUM","DOCUSATE CALCIUM"
"45","1756",1,"LEUPROLIDE ACETATE","LEUPROLIDE ACETATE","LEUPROLIDE ACETATE"
"46","9880",1,"METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE"
"47","10207",1,"PHENYTOIN SODIUM","PHENYTOIN SODIUM","PHENYTOIN SODIUM"
"48","2585",2,"SALBUTAMOL|SALBUTAMOL (SALBUTAMOL SULFATE)","SALBUTAMOL","SALBUTAMOL SULFATE"
"49","7531",1,"HYDROCORTISONE ACETATE","HYDROCORTISONE ACETATE","HYDROCORTISONE ACETATE"
"50","1926",1,"DILTIAZEM HYDROCHLORIDE","DILTIAZEM HYDROCHLORIDE","DILTIAZEM HYDROCHLORIDE"
"51","6186",1,"METHYLPHENIDATE HYDROCHLORIDE","METHYLPHENIDATE HYDROCHLORIDE","METHYLPHENIDATE HYDROCHLORIDE"
"52","6165",1,"OXYCODONE HYDROCHLORIDE","OXYCODONE HYDROCHLORIDE","OXYCODONE HYDROCHLORIDE"
"53","8508",1,"NYSTATIN","NYSTATIN","NYSTATIN"
"54","9117",1,"MORPHINE SULFATE","MORPHINE SULFATE","MORPHINE SULFATE"
"55","182",1,"DIPHENHYDRAMINE HYDROCHLORIDE","DIPHENHYDRAMINE HYDROCHLORIDE","DIPHENHYDRAMINE HYDROCHLORIDE"
"56","8007",1,"FLUPHENAZINE DECANOATE","FLUPHENAZINE DECANOATE","FLUPHENAZINE DECANOATE"
"57","2161",1,"DINOPROSTONE","DINOPROSTONE","DINOPROSTONE"
"58","10234",1,"HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE"
"59","20230",1,"AMILORIDE HYDROCHLORIDE","AMILORIDE HYDROCHLORIDE","AMILORIDE HYDROCHLORIDE"
"60","3776",1,"METOCLOPRAMIDE HYDROCHLORIDE","METOCLOPRAMIDE HYDROCHLORIDE","METOCLOPRAMIDE HYDROCHLORIDE"
"61","10290",1,"SODIUM CITRATE","SODIUM CITRATE","SODIUM CITRATE"
"62","5319",1,"POTASSIUM PHOSPHATE DIBASIC","POTASSIUM PHOSPHATE DIBASIC","POTASSIUM PHOSPHATE DIBASIC"
"63","6337",1,"POTASSIUM PHOSPHATE MONOBASIC","POTASSIUM PHOSPHATE MONOBASIC","POTASSIUM PHOSPHATE MONOBASIC"
"64","9547",1,"MANNITOL","MANNITOL","MANNITOL"
"65","10225",2,"LIDOCAINE HYDROCHLORIDE|LIDOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE MONOHYDRATE)","LIDOCAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE MONOHYDRATE"
"66","11364",1,"HEPARIN (HEPARIN SODIUM)","HEPARIN","HEPARIN SODIUM"
"67","1236",1,"CEFIXIME","CEFIXIME","CEFIXIME"
"68","9060",1,"HEPARIN SODIUM","HEPARIN SODIUM","HEPARIN SODIUM"
"69","1299",1,"LORATADINE","LORATADINE","LORATADINE"
"70","8174",1,"SULFAMETHOXAZOLE","SULFAMETHOXAZOLE","SULFAMETHOXAZOLE"
"71","8452",2,"TRIMETHOPRIM|TRIMETHOPRIM (TRIMETHOPRIM SULFATE)","TRIMETHOPRIM","TRIMETHOPRIM SULFATE"
"72","7145",1,"CETRIMONIUM BROMIDE","CETRIMONIUM BROMIDE","CETRIMONIUM BROMIDE"
"73","6296",1,"PYRIDOSTIGMINE BROMIDE","PYRIDOSTIGMINE BROMIDE","PYRIDOSTIGMINE BROMIDE"
"74","9152",1,"DOCUSATE SODIUM","DOCUSATE SODIUM","DOCUSATE SODIUM"
"75","8683",1,"TETRACYCLINE HYDROCHLORIDE","TETRACYCLINE HYDROCHLORIDE","TETRACYCLINE HYDROCHLORIDE"
"76","4070",1,"METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL"
"77","8903",1,"BENZOCAINE","BENZOCAINE","BENZOCAINE"
"78","11164",1,"TAMOXIFEN (TAMOXIFEN CITRATE)","TAMOXIFEN","TAMOXIFEN CITRATE"
"79","2345",1,"TERBUTALINE SULFATE","TERBUTALINE SULFATE","TERBUTALINE SULFATE"
"80","7581",1,"BUDESONIDE","BUDESONIDE","BUDESONIDE"
"81","8618",5,"ERYTHROMYCIN|ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)|ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)|ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE)|ERYTHROMYCIN (ERYTHROMYCIN STEARATE)","ERYTHROMYCIN","ERYTHROMYCIN ESTOLATE|ERYTHROMYCIN ETHYLSUCCINATE|ERYTHROMYCIN LACTOBIONATE|ERYTHROMYCIN STEARATE"
"82","5440",1,"BETHANECHOL CHLORIDE","BETHANECHOL CHLORIDE","BETHANECHOL CHLORIDE"
"83","2375",1,"CLOTRIMAZOLE","CLOTRIMAZOLE","CLOTRIMAZOLE"
"84","11108",1,"PRAZOSIN (PRAZOSIN HYDROCHLORIDE)","PRAZOSIN","PRAZOSIN HYDROCHLORIDE"
"85","11175",1,"KETOTIFEN (KETOTIFEN FUMARATE)","KETOTIFEN","KETOTIFEN FUMARATE"
"86","4007",1,"GLYBURIDE","GLYBURIDE","GLYBURIDE"
"87","9062",1,"ACENOCOUMAROL","ACENOCOUMAROL","ACENOCOUMAROL"
"88","10209",1,"PHENYTOIN","PHENYTOIN","PHENYTOIN"
"89","10010",1,"NEOSTIGMINE METHYLSULFATE","NEOSTIGMINE METHYLSULFATE","NEOSTIGMINE METHYLSULFATE"
"90","12708",1,"CONJUGATED ESTROGENS","CONJUGATED ESTROGENS","CONJUGATED ESTROGENS"
"91","8644",1,"DOXYCYCLINE HYCLATE","DOXYCYCLINE HYCLATE","DOXYCYCLINE HYCLATE"
"92","2495",1,"CLORAZEPATE DIPOTASSIUM","CLORAZEPATE DIPOTASSIUM","CLORAZEPATE DIPOTASSIUM"
"93","4161",1,"BISMUTH DIPROPYLACETATE","BISMUTH DIPROPYLACETATE","BISMUTH DIPROPYLACETATE"
"94","1983",1,"CAPTOPRIL","CAPTOPRIL","CAPTOPRIL"
"95","2072",1,"ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM"
"96","2564",1,"CLONIDINE HYDROCHLORIDE","CLONIDINE HYDROCHLORIDE","CLONIDINE HYDROCHLORIDE"
"97","8519",1,"POLYMYXIN B SULFATE","POLYMYXIN B SULFATE","POLYMYXIN B SULFATE"
"98","20170",2,"ENALAPRIL SODIUM|ENALAPRIL SODIUM (ENALAPRIL MALEATE)","ENALAPRIL SODIUM","ENALAPRIL MALEATE"
"99","1327",1,"GLICLAZIDE","GLICLAZIDE","GLICLAZIDE"
"100","8890",1,"ALCOHOL ANHYDROUS","ALCOHOL ANHYDROUS","ALCOHOL ANHYDROUS"
"101","4759",1,"SODIUM PHOSPHATE DIBASIC","SODIUM PHOSPHATE DIBASIC","SODIUM PHOSPHATE DIBASIC"
"102","8750",1,"MAGNESIUM SULFATE","MAGNESIUM SULFATE","MAGNESIUM SULFATE"
"103","1221",1,"SIMVASTATIN","SIMVASTATIN","SIMVASTATIN"
"104","2144",1,"PINDOLOL","PINDOLOL","PINDOLOL"
"105","1204",1,"FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOLE"
"106","7600",3,"DEXAMETHASONE|DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE)|DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE","DEXAMETHASONE SODIUM METASULPHOBENZOATE|DEXAMETHASONE SODIUM PHOSPHATE"
"107","8565",2,"TOBRAMYCIN|TOBRAMYCIN (TOBRAMYCIN SULFATE)","TOBRAMYCIN","TOBRAMYCIN SULFATE"
"108","10068",1,"CHLORAL HYDRATE","CHLORAL HYDRATE","CHLORAL HYDRATE"
"109","8632",2,"GENTAMICIN (GENTAMICIN SULFATE)|GENTAMICIN (GENTAMYCIN SULFATE)","GENTAMICIN","GENTAMICIN SULFATE|GENTAMYCIN SULFATE"
"110","265",1,"MENTHOL","MENTHOL","MENTHOL"
"111","662",1,"PYRITHIONE ZINC","PYRITHIONE ZINC","PYRITHIONE ZINC"
"112","9615",1,"GUAIFENESIN","GUAIFENESIN","GUAIFENESIN"
"113","12030",1,"DEXAMETHASONE PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE PHOSPHATE","DEXAMETHASONE SODIUM PHOSPHATE"
"114","1201",1,"PRAVASTATIN SODIUM","PRAVASTATIN SODIUM","PRAVASTATIN SODIUM"
"115","3510",1,"OIL OF TURPENTINE","OIL OF TURPENTINE","OIL OF TURPENTINE"
"116","3989",1,"DICHLOROBENZENE","DICHLOROBENZENE","DICHLOROBENZENE"
"117","6572",1,"PEANUT OIL","PEANUT OIL","PEANUT OIL"
"118","6995",1,"CHLOROBUTANOL","CHLOROBUTANOL","CHLOROBUTANOL"
"119","7219",1,"DIPYRIDAMOLE","DIPYRIDAMOLE","DIPYRIDAMOLE"
"120","6436",1,"HYDRALAZINE HYDROCHLORIDE","HYDRALAZINE HYDROCHLORIDE","HYDRALAZINE HYDROCHLORIDE"
"121","2333",1,"OXYGEN","OXYGEN","OXYGEN"
"122","2335",1,"CARBON DIOXIDE","CARBON DIOXIDE","CARBON DIOXIDE"
"123","8937",1,"EPHEDRINE SULFATE","EPHEDRINE SULFATE","EPHEDRINE SULFATE"
"124","1253",2,"LISINOPRIL|LISINOPRIL (LISINOPRIL DIHYDRATE)","LISINOPRIL","LISINOPRIL DIHYDRATE"
"125","6057",1,"TETRAHYDROZOLINE HYDROCHLORIDE","TETRAHYDROZOLINE HYDROCHLORIDE","TETRAHYDROZOLINE HYDROCHLORIDE"
"126","6633",1,"SODIUM CARBOXYMETHYL CELLULOSE","SODIUM CARBOXYMETHYL CELLULOSE","SODIUM CARBOXYMETHYL CELLULOSE"
"127","4893",1,"CALCITRIOL","CALCITRIOL","CALCITRIOL"
"128","5054",1,"TRETINOIN","TRETINOIN","TRETINOIN"
"129","7504",2,"MOMETASONE FUROATE|MOMETASONE FUROATE (MOMETASONE FUROATE MONOHYDRATE)","MOMETASONE FUROATE","MOMETASONE FUROATE MONOHYDRATE"
"130","4439",1,"HYDROQUINONE","HYDROQUINONE","HYDROQUINONE"
"131","7486",1,"TESTOSTERONE ENANTHATE","TESTOSTERONE ENANTHATE","TESTOSTERONE ENANTHATE"
"132","318",1,"AMMONIUM CHLORIDE","AMMONIUM CHLORIDE","AMMONIUM CHLORIDE"
"133","8450",3,"AMPICILLIN|AMPICILLIN (AMPICILLIN SODIUM)|AMPICILLIN (AMPICILLIN TRIHYDRATE)","AMPICILLIN","AMPICILLIN SODIUM|AMPICILLIN TRIHYDRATE"
"134","5019",1,"NICOTINIC ACID","NICOTINIC ACID","NICOTINIC ACID"
"135","672",1,"BELLADONNA","BELLADONNA","BELLADONNA"
"136","6897",1,"OPIUM","OPIUM","OPIUM"
"137","4753",1,"SODIUM PHOSPHATE MONOBASIC","SODIUM PHOSPHATE MONOBASIC","SODIUM PHOSPHATE MONOBASIC"
"138","8551",3,"CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE)|CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)|CLINDAMYCIN (CLINDAMYCIN PHOSPHATE)","CLINDAMYCIN","CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE|CLINDAMYCIN HYDROCHLORIDE|CLINDAMYCIN PHOSPHATE"
"139","7626",2,"METHYLPREDNISOLONE|METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE)","METHYLPREDNISOLONE","METHYLPREDNISOLONE SODIUM SUCCINATE"
"140","1185",1,"ZIDOVUDINE","ZIDOVUDINE","ZIDOVUDINE"
"141","700",1,"HEXYLRESORCINOL","HEXYLRESORCINOL","HEXYLRESORCINOL"
"142","1187",1,"IOVERSOL","IOVERSOL","IOVERSOL"
"143","10223",1,"PHENYLALANINE","PHENYLALANINE","PHENYLALANINE"
"144","10237",1,"HISTIDINE","HISTIDINE","HISTIDINE"
"145","10238",1,"TRYPTOPHAN","TRYPTOPHAN","TRYPTOPHAN"
"146","10239",1,"LEUCINE","LEUCINE","LEUCINE"
"147","10242",1,"ARGININE","ARGININE","ARGININE"
"148","10243",1,"THREONINE","THREONINE","THREONINE"
"149","193",4,"L-LYSINE|L-LYSINE (L-LYSINE ACETATE)|L-LYSINE (L-LYSINE HYDROCHLORIDE)|L-LYSINE (LYSINE ACETATE)","L-LYSINE","L-LYSINE ACETATE|L-LYSINE HYDROCHLORIDE|LYSINE ACETATE"
"150","2959",1,"L-ALANINE","L-ALANINE","L-ALANINE"
"151","7217",1,"METHIONINE","METHIONINE","METHIONINE"
"152","8865",1,"GLYCINE","GLYCINE","GLYCINE"
"153","9396",1,"PROLINE","PROLINE","PROLINE"
"154","9750",1,"TYROSINE","TYROSINE","TYROSINE"
"155","9927",1,"SERINE","SERINE","SERINE"
"156","9928",1,"VALINE","VALINE","VALINE"
"157","9929",1,"ISOLEUCINE","ISOLEUCINE","ISOLEUCINE"
"158","7104",1,"GLYCERINE","GLYCERINE","GLYCERINE"
"159","5883",1,"CHLORZOXAZONE","CHLORZOXAZONE","CHLORZOXAZONE"
"160","7624",1,"METHYLPREDNISOLONE ACETATE","METHYLPREDNISOLONE ACETATE","METHYLPREDNISOLONE ACETATE"
"161","78",1,"CHARCOAL ACTIVATED","CHARCOAL ACTIVATED","CHARCOAL ACTIVATED"
"162","8344",2,"CEFTAZIDIME|CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)","CEFTAZIDIME","CEFTAZIDIME PENTAHYDRATE"
"163","10021",1,"CITRIC ACID","CITRIC ACID","CITRIC ACID"
"164","1950",2,"ACYCLOVIR|ACYCLOVIR (ACYCLOVIR SODIUM)","ACYCLOVIR","ACYCLOVIR SODIUM"
"165","1196",1,"CLOZAPINE","CLOZAPINE","CLOZAPINE"
"166","5776",1,"PRILOCAINE","PRILOCAINE","PRILOCAINE"
"167","9471",2,"LIDOCAINE|LIDOCAINE (LIDOCAINE HYDROCHLORIDE)","LIDOCAINE","LIDOCAINE HYDROCHLORIDE"
"168","9627",1,"ISOSORBIDE DINITRATE","ISOSORBIDE DINITRATE","ISOSORBIDE DINITRATE"
"169","1197",1,"TERCONAZOLE","TERCONAZOLE","TERCONAZOLE"
"170","1914",1,"FLURBIPROFEN","FLURBIPROFEN","FLURBIPROFEN"
"171","2370",2,"CARBIDOPA|CARBIDOPA (CARBIDOPA MONOHYDRATE)","CARBIDOPA","CARBIDOPA MONOHYDRATE"
"172","4068",1,"LEVODOPA","LEVODOPA","LEVODOPA"
"173","774",1,"CHLOROXYLENOL","CHLOROXYLENOL","CHLOROXYLENOL"
"174","2813",1,"TRICLOSAN","TRICLOSAN","TRICLOSAN"
"175","9913",1,"MORPHINE HYDROCHLORIDE","MORPHINE HYDROCHLORIDE","MORPHINE HYDROCHLORIDE"
"176","2322",1,"DOPAMINE HYDROCHLORIDE","DOPAMINE HYDROCHLORIDE","DOPAMINE HYDROCHLORIDE"
"177","7140",1,"MINERAL OIL","MINERAL OIL","MINERAL OIL"
"178","7393",1,"NOREPINEPHRINE (NOREPINEPHRINE BITARTRATE)","NOREPINEPHRINE","NOREPINEPHRINE BITARTRATE"
"179","10114",1,"ISOPROTERENOL HYDROCHLORIDE","ISOPROTERENOL HYDROCHLORIDE","ISOPROTERENOL HYDROCHLORIDE"
"180","10193",1,"BISACODYL","BISACODYL","BISACODYL"
"181","7579",1,"FLUOCINONIDE","FLUOCINONIDE","FLUOCINONIDE"
"182","8826",1,"WATER","WATER","WATER"
"183","20365",1,"PROXYMETACAINE HYDROCHLORIDE","PROXYMETACAINE HYDROCHLORIDE","PROXYMETACAINE HYDROCHLORIDE"
"184","7746",1,"HEPATITIS B SURFACE ANTIGEN (RECOMBINANT)","HEPATITIS B SURFACE ANTIGEN","RECOMBINANT"
"185","1925",1,"TRIMEBUTINE MALEATE","TRIMEBUTINE MALEATE","TRIMEBUTINE MALEATE"
"186","1212",1,"FLUVOXAMINE MALEATE","FLUVOXAMINE MALEATE","FLUVOXAMINE MALEATE"
"187","9785",1,"CLOMIPHENE CITRATE","CLOMIPHENE CITRATE","CLOMIPHENE CITRATE"
"188","8376",2,"CEPHALEXIN|CEPHALEXIN (CEPHALEXIN MONOHYDRATE)","CEPHALEXIN","CEPHALEXIN MONOHYDRATE"
"189","11101",3,"AMOXICILLIN|AMOXICILLIN (AMOXICILLIN TRIHYDRATE)|AMOXICILLIN (AMOXICILLIN)","AMOXICILLIN","AMOXICILLIN TRIHYDRATE|AMOXICILLIN"
"190","6850",1,"BENZOYL PEROXIDE","BENZOYL PEROXIDE","BENZOYL PEROXIDE"
"191","9887",1,"TOLNAFTATE","TOLNAFTATE","TOLNAFTATE"
"192","7572",1,"CYPROTERONE ACETATE","CYPROTERONE ACETATE","CYPROTERONE ACETATE"
"193","5869",1,"XYLOMETAZOLINE HYDROCHLORIDE","XYLOMETAZOLINE HYDROCHLORIDE","XYLOMETAZOLINE HYDROCHLORIDE"
"194","1848",1,"LEVOBUNOLOL HYDROCHLORIDE","LEVOBUNOLOL HYDROCHLORIDE","LEVOBUNOLOL HYDROCHLORIDE"
"195","719",1,"SIMETHICONE","SIMETHICONE","SIMETHICONE"
"196","10128",2,"AZATHIOPRINE|AZATHIOPRINE (AZATHIOPRINE SODIUM)","AZATHIOPRINE","AZATHIOPRINE SODIUM"
"197","10153",1,"CHLORAMBUCIL","CHLORAMBUCIL","CHLORAMBUCIL"
"198","9872",2,"MELPHALAN|MELPHALAN (MELPHALAN HYDROCHLORIDE)","MELPHALAN","MELPHALAN HYDROCHLORIDE"
"199","9099",1,"NYLIDRIN HYDROCHLORIDE","NYLIDRIN HYDROCHLORIDE","NYLIDRIN HYDROCHLORIDE"
"200","773",1,"PSEUDOEPHEDRINE SULFATE","PSEUDOEPHEDRINE SULFATE","PSEUDOEPHEDRINE SULFATE"
"201","12859",1,"IOTHALAMATE MEGLUMINE","IOTHALAMATE MEGLUMINE","IOTHALAMATE MEGLUMINE"
"202","20371",1,"YOHIMBINE HYDROCHLORIDE","YOHIMBINE HYDROCHLORIDE","YOHIMBINE HYDROCHLORIDE"
"203","11190",1,"KETAMINE (KETAMINE HYDROCHLORIDE)","KETAMINE","KETAMINE HYDROCHLORIDE"
"204","6492",1,"PSEUDOEPHEDRINE HYDROCHLORIDE","PSEUDOEPHEDRINE HYDROCHLORIDE","PSEUDOEPHEDRINE HYDROCHLORIDE"
"205","910",1,"PODOPHYLLOTOXIN","PODOPHYLLOTOXIN","PODOPHYLLOTOXIN"
"206","3977",1,"HYDROXYETHYLCELLULOSE","HYDROXYETHYLCELLULOSE","HYDROXYETHYLCELLULOSE"
"207","8970",1,"ATROPINE SULFATE","ATROPINE SULFATE","ATROPINE SULFATE"
"208","20386",1,"HYDROCODONE","HYDROCODONE","HYDROCODONE"
"209","6044",1,"PHENYLTOLOXAMINE","PHENYLTOLOXAMINE","PHENYLTOLOXAMINE"
"210","10091",1,"FUROSEMIDE","FUROSEMIDE","FUROSEMIDE"
"211","7968",1,"PIPOTIAZINE PALMITATE","PIPOTIAZINE PALMITATE","PIPOTIAZINE PALMITATE"
"212","10259",1,"CHLORPHENIRAMINE MALEATE","CHLORPHENIRAMINE MALEATE","CHLORPHENIRAMINE MALEATE"
"213","6599",1,"PILOCARPINE HYDROCHLORIDE","PILOCARPINE HYDROCHLORIDE","PILOCARPINE HYDROCHLORIDE"
"214","8630",1,"GENTAMICIN SULFATE","GENTAMICIN SULFATE","GENTAMICIN SULFATE"
"215","7603",1,"BETAMETHASONE DIPROPIONATE","BETAMETHASONE DIPROPIONATE","BETAMETHASONE DIPROPIONATE"
"216","8231",1,"BUTALBITAL","BUTALBITAL","BUTALBITAL"
"217","11161",1,"QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","QUINAPRIL","QUINAPRIL HYDROCHLORIDE"
"218","8435",1,"PENICILLIN G SODIUM","PENICILLIN G SODIUM","PENICILLIN G SODIUM"
"219","703",2,"VITAMIN D|VITAMIN D (VITAMIN D3)","VITAMIN D","VITAMIN D3"
"220","2662",1,"PITCHER PLANT","PITCHER PLANT","PITCHER PLANT"
"221","7961",1,"TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)","TRIMEPRAZINE","TRIMEPRAZINE TARTRATE"
"222","11162",1,"ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)","ACEBUTOLOL","ACEBUTOLOL HYDROCHLORIDE"
"223","13098",1,"PERICIAZINE","PERICIAZINE","PERICIAZINE"
"224","1200",1,"ZOPICLONE","ZOPICLONE","ZOPICLONE"
"225","8411",1,"CLOXACILLIN SODIUM","CLOXACILLIN SODIUM","CLOXACILLIN SODIUM"
"226","7999",1,"THIOPROPERAZINE (THIOPROPERAZINE MESYLATE)","THIOPROPERAZINE","THIOPROPERAZINE MESYLATE"
"227","11258",1,"DOXAZOSIN (DOXAZOSIN MESYLATE)","DOXAZOSIN","DOXAZOSIN MESYLATE"
"228","1249",1,"FELODIPINE","FELODIPINE","FELODIPINE"
"229","7657",1,"FILGRASTIM (R-METHUG-CSF)","FILGRASTIM","R-METHUG-CSF"
"230","3836",1,"DISODIUM EDETATE","DISODIUM EDETATE","DISODIUM EDETATE"
"231","7948",1,"ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)","ETHOPROPAZINE","ETHOPROPAZINE HYDROCHLORIDE"
"232","9782",1,"DIMENHYDRINATE","DIMENHYDRINATE","DIMENHYDRINATE"
"233","7671",1,"INSULIN ISOPHANE HUMAN BIOSYNTHETIC","INSULIN ISOPHANE HUMAN BIOSYNTHETIC","INSULIN ISOPHANE HUMAN BIOSYNTHETIC"
