"","Active Ingredient","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing","AI UNII","AM UNII","Active Moiety","Basis of Strength","RD UNII","Referenced Drug"
"37","ALFENTANIL","11173",1,"ALFENTANIL (ALFENTANIL HYDROCHLORIDE)","ALFENTANIL","ALFENTANIL HYDROCHLORIDE","1N74HM2BS7","1N74HM2BS7","ALFENTANIL","Active Ingredient","",""
"38","ALFUZOSIN HYDROCHLORIDE","12699",1,"ALFUZOSIN HYDROCHLORIDE","ALFUZOSIN HYDROCHLORIDE","ALFUZOSIN HYDROCHLORIDE","75046A1XTN","90347YTW5F","ALFUZOSIN","Active Ingredient","",""
"39","ALGLUCOSIDASE ALFA","19883",1,"ALGLUCOSIDASE ALFA","ALGLUCOSIDASE ALFA","ALGLUCOSIDASE ALFA","DTI67O9503","DTI67O9503","ALGLUCOSIDASE ALFA","Active Ingredient","",""
"40","ALIROCUMAB","22706",1,"ALIROCUMAB","ALIROCUMAB","ALIROCUMAB","PP0SHH6V16","PP0SHH6V16","ALIROCUMAB","Active Ingredient","",""
"41","ALISKIREN","20175",1,"ALISKIREN (ALISKIREN FUMARATE)","ALISKIREN","ALISKIREN FUMARATE","502FWN4Q32","502FWN4Q32","ALISKIREN","Active Ingredient","",""
"42","ALITRETINOIN","11885",1,"ALITRETINOIN","ALITRETINOIN","ALITRETINOIN","1UA8E65KDZ","1UA8E65KDZ","ALITRETINOIN","Active Ingredient","",""
"43","ALLANTOIN","7150",1,"ALLANTOIN","ALLANTOIN","ALLANTOIN","344S277G0Z","344S277G0Z","ALLANTOIN","Active Ingredient","",""
"44","ALLERGEN EXTRACT - ALUM PRECIPITATED","12020",1,"ALLERGEN EXTRACT - ALUM PRECIPITATED","ALLERGEN EXTRACT - ALUM PRECIPITATED","ALLERGEN EXTRACT - ALUM PRECIPITATED",NA,NA,NA,NA,NA,NA
"45","ALLERGEN EXTRACT - DIAGNOSTIC","12022",1,"ALLERGEN EXTRACT - DIAGNOSTIC","ALLERGEN EXTRACT - DIAGNOSTIC","ALLERGEN EXTRACT - DIAGNOSTIC",NA,NA,NA,NA,NA,NA
"46","ALLERGENIC EXTRACT NON-POLLEN","13215",1,"ALLERGENIC EXTRACT NON-POLLEN","ALLERGENIC EXTRACT NON-POLLEN","ALLERGENIC EXTRACT NON-POLLEN",NA,NA,NA,NA,NA,NA
"47","ALLERGENIC EXTRACTS","3876",1,"ALLERGENIC EXTRACTS","ALLERGENIC EXTRACTS","ALLERGENIC EXTRACTS",NA,NA,NA,NA,NA,NA
"48","ALLERGENIC EXTRACTS POLLENS","13214",1,"ALLERGENIC EXTRACTS POLLENS","ALLERGENIC EXTRACTS POLLENS","ALLERGENIC EXTRACTS POLLENS",NA,NA,NA,NA,NA,NA
"49","ALLOPURINOL","9388",1,"ALLOPURINOL","ALLOPURINOL","ALLOPURINOL","63CZ7GJN5I","63CZ7GJN5I","ALLOPURINOL","Active Ingredient","",""
"50","ALMOTRIPTAN","13247",1,"ALMOTRIPTAN (ALMOTRIPTAN MALATE)","ALMOTRIPTAN","ALMOTRIPTAN MALATE","1O4XL5SN61","1O4XL5SN61","ALMOTRIPTAN","Active Ingredient","",""
"51","ALOE","684",1,"ALOE","ALOE","ALOE","V5VD430YW9","V5VD430YW9","ALOE","Active Ingredient","",""
"52","ALOGLIPTIN","22181",1,"Alogliptin (Alogliptin benzoate)","Alogliptin","Alogliptin benzoate","JHC049LO86","JHC049LO86","ALOGLIPTIN","Active Ingredient","",""
"53","ALPHA 1-PROTEINASE INHIBITOR","7762",1,"ALPHA 1-PROTEINASE INHIBITOR (HUMAN)","ALPHA 1-PROTEINASE INHIBITOR","HUMAN",NA,NA,NA,NA,NA,NA
"54","ALPRAZOLAM","2072",1,"ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM","YU55MQ3IZY","YU55MQ3IZY","ALPRAZOLAM","Active Ingredient","",""
"55","ALPROSTADIL","7335",1,"ALPROSTADIL","ALPROSTADIL","ALPROSTADIL","F5TD010360","F5TD010360","ALPROSTADIL","Active Ingredient","",""
"56","ALTEPLASE","7297",1,"ALTEPLASE","ALTEPLASE","ALTEPLASE","1RXS4UE564","1RXS4UE564","ALTEPLASE","Active Ingredient","",""
"57","ALUMINUM CHLORIDE","5821",1,"ALUMINUM CHLORIDE","ALUMINUM CHLORIDE","ALUMINUM CHLORIDE","3CYT62D3GA","3XHB1D032B","ALUMINUM CATION","Active Ingredient","",""
"58","ALUMINUM CHLOROHYDRATE","6984",1,"ALUMINUM CHLOROHYDRATE","ALUMINUM CHLOROHYDRATE","ALUMINUM CHLOROHYDRATE","HPN8MZW13M","HPN8MZW13M","ALUMINUM CHLOROHYDRATE","Active Ingredient","",""
"59","ALUMINUM DIACETATE","6400",1,"ALUMINUM DIACETATE","ALUMINUM DIACETATE","ALUMINUM DIACETATE",NA,NA,NA,NA,NA,NA
"60","ALUMINUM HYDROXIDE","721",2,"ALUMINUM HYDROXIDE|ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","ALUMINUM HYDROXIDE","DRIED ALUMINUM HYDROXIDE GEL","5QB0T2IUN0","5QB0T2IUN0","ALUMINUM HYDROXIDE","Active Ingredient","",""
"61","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL","3980",1,"ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL",NA,NA,NA,NA,NA,NA
"62","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL","2372",1,"ALUMINUM HYDROXIDE-SUCROSE DRIED GEL","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL",NA,NA,NA,NA,NA,NA
"63","AMANTADINE HYDROCHLORIDE","9905",1,"AMANTADINE HYDROCHLORIDE","AMANTADINE HYDROCHLORIDE","AMANTADINE HYDROCHLORIDE","M6Q1EO9TD0","BF4C9Z1J53","AMANTADINE","Active Ingredient","",""
"64","AMBRISENTAN","13310",1,"AMBRISENTAN","AMBRISENTAN","AMBRISENTAN","HW6NV07QEC","HW6NV07QEC","AMBRISENTAN","Active Ingredient","",""
"65","AMCINONIDE","7508",1,"AMCINONIDE","AMCINONIDE","AMCINONIDE","423W026MA9","423W026MA9","AMCINONIDE","Active Ingredient","",""
"66","AMIKACIN","11178",1,"AMIKACIN (AMIKACIN SULFATE)","AMIKACIN","AMIKACIN SULFATE","84319SGC3C","84319SGC3C","AMIKACIN","Active Ingredient","",""
"67","AMILORIDE HYDROCHLORIDE","20230",1,"AMILORIDE HYDROCHLORIDE","AMILORIDE HYDROCHLORIDE","AMILORIDE HYDROCHLORIDE","FZJ37245UC","7DZO8EB0Z3","AMILORIDE","Reference Drug","7M458Q65S3","AMILORIDE HYDROCHLORIDE ANHYDROUS"
"68","AMINOLEVULINIC ACID HYDROCHLORIDE","12216",1,"AMINOLEVULINIC ACID HYDROCHLORIDE","AMINOLEVULINIC ACID HYDROCHLORIDE","AMINOLEVULINIC ACID HYDROCHLORIDE","V35KBM8JGR","88755TAZ87","AMINOLEVULINIC ACID","Active Ingredient","",""
"69","AMINOPHYLLINE","9963",1,"AMINOPHYLLINE","AMINOPHYLLINE","AMINOPHYLLINE","27Y3KJK423","0I55128JYK","THEOPHYLLINE ANHYDROUS","Reference Drug","C229N9DX94","AMINOPHYLLINE DIHYDRATE"
"70","AMIODARONE HYDROCHLORIDE","1400",1,"AMIODARONE HYDROCHLORIDE","AMIODARONE HYDROCHLORIDE","AMIODARONE HYDROCHLORIDE","976728SY6Z","N3RQ532IUT","AMIODARONE","Active Ingredient","",""
"71","AMITRIPTYLINE HYDROCHLORIDE","10187",1,"AMITRIPTYLINE HYDROCHLORIDE","AMITRIPTYLINE HYDROCHLORIDE","AMITRIPTYLINE HYDROCHLORIDE","26LUD4JO9K","1806D8D52K","AMITRIPTYLINE","Active Ingredient","",""
"72","AMLODIPINE","11344",1,"AMLODIPINE (AMLODIPINE BESYLATE)","AMLODIPINE","AMLODIPINE BESYLATE","1J444QC288","1J444QC288","AMLODIPINE","Active Ingredient","",""
"73","AMMONIUM CHLORIDE","318",1,"AMMONIUM CHLORIDE","AMMONIUM CHLORIDE","AMMONIUM CHLORIDE","01Q9PC255D","54S68520I4","AMMONIUM CATION","Active Moiety","",""
"74","AMOXICILLIN","11101",3,"AMOXICILLIN|AMOXICILLIN (AMOXICILLIN TRIHYDRATE)|AMOXICILLIN (AMOXICILLIN)","AMOXICILLIN","AMOXICILLIN TRIHYDRATE|AMOXICILLIN","804826J2HU","9EM05410Q9","AMOXICILLIN ANHYDROUS","Active Moiety","",""
"75","AMPHETAMINE ASPARTATE MONOHYDRATE","8300",1,"AMPHETAMINE ASPARTATE MONOHYDRATE","AMPHETAMINE ASPARTATE MONOHYDRATE","AMPHETAMINE ASPARTATE MONOHYDRATE","O1ZPV620O4","CK833KGX7E","AMPHETAMINE","Active Ingredient","",""
"76","AMPHETAMINE SULFATE","8309",1,"AMPHETAMINE SULFATE","AMPHETAMINE SULFATE","AMPHETAMINE SULFATE","6DPV8NK46S","CK833KGX7E","AMPHETAMINE","Active Ingredient","",""
"77","AMPHOTERICIN B","8493",1,"AMPHOTERICIN B","AMPHOTERICIN B","AMPHOTERICIN B","7XU7A7DROE","7XU7A7DROE","AMPHOTERICIN B","Active Ingredient","",""
"78","AMPICILLIN","8450",3,"AMPICILLIN|AMPICILLIN (AMPICILLIN SODIUM)|AMPICILLIN (AMPICILLIN TRIHYDRATE)","AMPICILLIN","AMPICILLIN SODIUM|AMPICILLIN TRIHYDRATE","7C782967RD","7C782967RD","AMPICILLIN","Active Ingredient","",""
"79","AMSACRINE","1930",1,"AMSACRINE","AMSACRINE","AMSACRINE","00DPD30SOY","00DPD30SOY","AMSACRINE","Active Ingredient","",""
"80","AMYLASE","253",1,"AMYLASE","AMYLASE","AMYLASE",NA,NA,NA,NA,NA,NA
"81","AMYLMETACRESOL","7095",1,"AMYLMETACRESOL","AMYLMETACRESOL","AMYLMETACRESOL","05W904P57F","05W904P57F","AMYLMETACRESOL","Active Ingredient","",""
"82","ANAGRELIDE","11707",2,"ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)|ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)","ANAGRELIDE","ANAGRELIDE HYDROCHLORIDE MONOHYDRATE|ANAGRELIDE HYDROCHLORIDE","K9X45X0051","K9X45X0051","ANAGRELIDE","Active Ingredient","",""
"83","ANAKINRA","12604",1,"ANAKINRA","ANAKINRA","ANAKINRA","9013DUQ28K","9013DUQ28K","ANAKINRA","Active Ingredient","",""
"84","ANASTROZOLE","27",1,"ANASTROZOLE","ANASTROZOLE","ANASTROZOLE","2Z07MYW1AZ","2Z07MYW1AZ","ANASTROZOLE","Active Ingredient","",""
"85","ANETHOLE TRITHIONE","5080",1,"ANETHOLE TRITHIONE","ANETHOLE TRITHIONE","ANETHOLE TRITHIONE",NA,NA,NA,NA,NA,NA
"86","ANIDULAFUNGIN","20177",1,"ANIDULAFUNGIN","ANIDULAFUNGIN","ANIDULAFUNGIN","9HLM53094I","9HLM53094I","ANIDULAFUNGIN","Active Ingredient","",""
"87","ANTAZOLINE PHOSPHATE","6614",1,"ANTAZOLINE PHOSPHATE","ANTAZOLINE PHOSPHATE","ANTAZOLINE PHOSPHATE","VPR5FPH326","DHA8014SS1","ANTAZOLINE","","",""
"88","ANTI-INHIBITOR COAGULANT COMPLEX","96",1,"ANTI-INHIBITOR COAGULANT COMPLEX","ANTI-INHIBITOR COAGULANT COMPLEX","ANTI-INHIBITOR COAGULANT COMPLEX","CS849DUN3M","CS849DUN3M","ANTI-INHIBITOR COAGULANT COMPLEX","Active Ingredient","",""
"89","ANTI-THYMOCYTE GLOBULIN","12118",1,"ANTI-THYMOCYTE GLOBULIN (RABBIT)","ANTI-THYMOCYTE GLOBULIN","RABBIT",NA,NA,NA,NA,NA,NA
"90","ANTIHEMOPHILIC FACTOR","745",1,"ANTIHEMOPHILIC FACTOR (RECOMBINANT)","ANTIHEMOPHILIC FACTOR","RECOMBINANT",NA,NA,NA,NA,NA,NA
"91","ANTIHEMOPHILIC FACTOR","9847",1,"ANTIHEMOPHILIC FACTOR (HUMAN)","ANTIHEMOPHILIC FACTOR","HUMAN",NA,NA,NA,NA,NA,NA
"92","ANTIHEMOPHILIC FACTOR (RECOMBINANT BDD), FC FUSION PROTEIN","22511",1,"Antihemophilic Factor (Recombinant BDD), FC Fusion Protein","Antihemophilic Factor (Recombinant BDD), FC Fusion Protein","Recombinant BDD",NA,NA,NA,NA,NA,NA
"93","ANTIPYRINE","8859",1,"ANTIPYRINE","ANTIPYRINE","ANTIPYRINE","T3CHA1B51H","T3CHA1B51H","ANTIPYRINE","Active Ingredient","",""
"94","ANTITHROMBIN III","733",1,"ANTITHROMBIN III (HUMAN)","ANTITHROMBIN III","HUMAN",NA,NA,NA,NA,NA,NA
"95","APIS MELLIFERA VENOM PROTEIN EXTRACT","7640",1,"APIS MELLIFERA VENOM PROTEIN EXTRACT","APIS MELLIFERA VENOM PROTEIN EXTRACT","APIS MELLIFERA VENOM PROTEIN EXTRACT",NA,NA,NA,NA,NA,NA
"96","APIXABAN","21078",1,"Apixaban","Apixaban","Apixaban","3Z9Y7UWC1J","3Z9Y7UWC1J","APIXABAN","Active Ingredient","",""
"97","APRACLONIDINE","11372",1,"APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)","APRACLONIDINE","APRACLONIDINE HYDROCHLORIDE","843CEN85DI","843CEN85DI","APRACLONIDINE","Active Ingredient","",""
"98","APREMILAST","22541",1,"APREMILAST","APREMILAST","APREMILAST","UP7QBP99PN","UP7QBP99PN","APREMILAST","Active Ingredient","",""
"99","APREPITANT","20156",1,"APREPITANT","APREPITANT","APREPITANT","1NF15YR6UY","1NF15YR6UY","APREPITANT","Active Ingredient","",""
"100","APROTININ","11567",1,"APROTININ (BOVINE)","APROTININ","BOVINE","04XPW8C0FL","04XPW8C0FL","APROTININ","Active Ingredient","",""
"101","APROTININ","20461",1,"APROTININ (SYNTHETIC)","APROTININ","SYNTHETIC","04XPW8C0FL","04XPW8C0FL","APROTININ","Active Ingredient","",""
"102","ARGATROBAN","12184",1,"ARGATROBAN","ARGATROBAN","ARGATROBAN","IY90U61Z3S","OCY3U280Y3","ARGATROBAN ANHYDROUS","Active Moiety","",""
"103","ARGATROBAN","12184",1,"ARGATROBAN","ARGATROBAN","ARGATROBAN","IY90U61Z3S","OCY3U280Y3","ARGATROBAN ANHYDROUS","Active Ingredient","",""
"104","ARGININE","10242",1,"ARGININE","ARGININE","ARGININE","94ZLA3W45F","94ZLA3W45F","ARGININE","Active Ingredient","",""
"105","ARGININE HYDROCHLORIDE","13800",1,"ARGININE HYDROCHLORIDE","ARGININE HYDROCHLORIDE","ARGININE HYDROCHLORIDE","F7LTH1E20Y","94ZLA3W45F","ARGININE","Active Ingredient","",""
"106","ARIPIPRAZOLE","20435",1,"ARIPIPRAZOLE","ARIPIPRAZOLE","ARIPIPRAZOLE","82VFR53I78","82VFR53I78","ARIPIPRAZOLE","Active Ingredient","",""
"107","ARSENIC TRIOXIDE","3812",1,"ARSENIC TRIOXIDE","ARSENIC TRIOXIDE","ARSENIC TRIOXIDE","S7V92P67HO","C96613F5AV","ARSENIC CATION (3+)","","",""
"108","ARTICAINE HYDROCHLORIDE","308",1,"ARTICAINE HYDROCHLORIDE","ARTICAINE HYDROCHLORIDE","ARTICAINE HYDROCHLORIDE","QS9014Q792","D3SQ406G9X","ARTICAINE","Active Ingredient","",""
"109","ASENAPINE","21015",1,"Asenapine (Asenapine maleate)","Asenapine","Asenapine maleate","JKZ19V908O","JKZ19V908O","ASENAPINE","Active Ingredient","",""
"110","ASFOTASE ALFA","22632",1,"ASFOTASE ALFA","ASFOTASE ALFA","ASFOTASE ALFA","Z633861EIM","Z633861EIM","ASFOTASE ALFA","Active Ingredient","",""
"111","ASPARAGINASE","2433",1,"ASPARAGINASE","ASPARAGINASE","ASPARAGINASE","G4FQ3CKY5R","G4FQ3CKY5R","ASPARAGINASE","Active Ingredient","",""
"112","ASUNAPREVIR","22694",1,"ASUNAPREVIR","ASUNAPREVIR","ASUNAPREVIR",NA,NA,NA,NA,NA,NA
"113","ATAZANAVIR","13026",1,"ATAZANAVIR (ATAZANAVIR SULFATE)","ATAZANAVIR","ATAZANAVIR SULFATE","QZU4H47A3S","QZU4H47A3S","ATAZANAVIR","Active Ingredient","",""
"114","ATENOLOL","2041",1,"ATENOLOL","ATENOLOL","ATENOLOL","50VV3VW0TI","50VV3VW0TI","ATENOLOL","Active Ingredient","",""
"115","ATOMOXETINE","13584",1,"ATOMOXETINE (ATOMOXETINE HYDROCHLORIDE)","ATOMOXETINE","ATOMOXETINE HYDROCHLORIDE","ASW034S0B8","ASW034S0B8","ATOMOXETINE","Active Ingredient","",""
"116","ATORVASTATIN","11366",2,"ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE)|ATORVASTATIN (ATORVASTATIN CALCIUM)","ATORVASTATIN","ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE|ATORVASTATIN CALCIUM","A0JWA85V8F","A0JWA85V8F","ATORVASTATIN","Active Ingredient","",""
"117","ATOVAQUONE","8317",1,"ATOVAQUONE","ATOVAQUONE","ATOVAQUONE","Y883P1Z2LT","Y883P1Z2LT","ATOVAQUONE","Active Ingredient","",""
"118","ATRACURIUM BESYLATE","1844",1,"ATRACURIUM BESYLATE","ATRACURIUM BESYLATE","ATRACURIUM BESYLATE","40AX66P76P","2GQ1IRY63P","ATRACURIUM","Active Ingredient","",""
"119","ATROPINE SULFATE","8970",1,"ATROPINE SULFATE","ATROPINE SULFATE","ATROPINE SULFATE","03J5ZE7KA5","7C0697DR9I","ATROPINE","Active Ingredient","",""
"120","AURANOFIN","1898",1,"AURANOFIN","AURANOFIN","AURANOFIN","3H04W2810V","3H04W2810V","AURANOFIN","Active Ingredient","",""
"121","AVOBENZONE","755",1,"AVOBENZONE","AVOBENZONE","AVOBENZONE","G63QQF2NOX","G63QQF2NOX","AVOBENZONE","Active Ingredient","",""
"122","AXITINIB","21398",1,"Axitinib","Axitinib","Axitinib","C9LVQ0YUXG","C9LVQ0YUXG","AXITINIB","Active Ingredient","",""
"123","AZACITIDINE","20554",1,"AZACITIDINE","AZACITIDINE","AZACITIDINE","M801H13NRU","M801H13NRU","AZACITIDINE","Active Ingredient","",""
"124","AZATHIOPRINE","10128",2,"AZATHIOPRINE|AZATHIOPRINE (AZATHIOPRINE SODIUM)","AZATHIOPRINE","AZATHIOPRINE SODIUM","MRK240IY2L","MRK240IY2L","AZATHIOPRINE","Active Ingredient","",""
"125","AZELAIC ACID","277",1,"AZELAIC ACID","AZELAIC ACID","AZELAIC ACID","F2VW3D43YT","F2VW3D43YT","AZELAIC ACID","Active Ingredient","",""
"126","AZELASTINE HYDROCHLORIDE","22525",1,"azelastine hydrochloride","azelastine hydrochloride","azelastine hydrochloride","0L591QR10I","ZQI909440X","AZELASTINE","Active Ingredient","",""
"127","AZILSARTAN MEDOXOMIL","21230",1,"Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)","Azilsartan Medoxomil","Azilsartan Medoxomil Potassium","LL0G25K7I2","F9NUX55P23","AZILSARTAN","","",""
"128","AZITHROMYCIN","424",6,"AZITHROMYCIN|AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)|AZITHROMYCIN (AZITHROMYCIN HYDROGEN CITRATE)|AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE)|AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE)|AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE)","AZITHROMYCIN","AZITHROMYCIN DIHYDRATE|AZITHROMYCIN HYDROGEN CITRATE|AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE|AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE|AZITHROMYCIN MONOHYDRATE",NA,NA,NA,NA,NA,NA
"129","AZTREONAM","8325",1,"AZTREONAM","AZTREONAM","AZTREONAM","G2B4VE5GH8","G2B4VE5GH8","AZTREONAM","Active Ingredient","",""
"130","BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE","214",1,"BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE","BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE","BCG",NA,NA,NA,NA,NA,NA
