AI UNII,Active Ingredient,AM UNII,Active Moiety,Basis of Strength,RD UNII,Referenced Drug
376T7G5N1P,"12-(HYDROXYMETHYL)RETINOIC ACID .DELTA.-LACTONE, 11-CIS-",376T7G5N1P,"12-(HYDROXYMETHYL)RETINOIC ACID .DELTA.-LACTONE, 11-CIS-",Active Ingredient,,
Y8U3B6ZM8D,13-CIS-12-(3'-CARBOXYPHENYL)RETINOIC ACID,Y8U3B6ZM8D,13-CIS-12-(3'-CARBOXYPHENYL)RETINOIC ACID,Active Ingredient,,
X07F7694NW,19-ALDOANDROSTENEDIONE,X07F7694NW,19-ALDOANDROSTENEDIONE,Active Ingredient,,
U90987PVU5,"19-NORANDROST-4-ENE-3,17-DIONE",U90987PVU5,"19-NORANDROST-4-ENE-3,17-DIONE",Active Ingredient,,
B505A7QA68,"1H-BENZIMIDAZOLE-5-CARBOXAMIDE, N-1H-INDAZOL-6-YL-6-(1-PIPERAZINYL)-2-((2-(TRIFLUOROMETHYL)PHENYL)AMINO)-",B505A7QA68,"1H-BENZIMIDAZOLE-5-CARBOXAMIDE, N-1H-INDAZOL-6-YL-6-(1-PIPERAZINYL)-2-((2-(TRIFLUOROMETHYL)PHENYL)AMINO)-",Active Ingredient,,
81I2215OVK,1-OCTACOSANOL,81I2215OVK,1-OCTACOSANOL,Active Ingredient,,
T52TI8BMQ6,"1-PALMITOYL-2-OLEOYL-SN-GLYCERO-3-(PHOSPHO-RAC-(1-GLYCEROL)), SODIUM SALT",F72017VPR7,1-PALMITOYL-2-OLEOYL-SN-GLYCERO-3-(PHOSPHO-RAC-(1-GLYCEROL)),,,
AW835AJ62N,"2,2,2-TRICHLOROETHANOL",AW835AJ62N,"2,2,2-TRICHLOROETHANOL",Active Ingredient,,
P55V4GVI5W,"2,3-DIHYDROXY NAPHTHOQUINONE",P55V4GVI5W,"2,3-DIHYDROXY NAPHTHOQUINONE",Active Ingredient,,
1L0OD70295,"2,4-DINITROANISOLE",1L0OD70295,"2,4-DINITROANISOLE",Active Ingredient,,
Q13SKS21MN,"2,4-DINITROPHENOL",Q13SKS21MN,"2,4-DINITROPHENOL",Active Ingredient,,
240L69DTV7,"2,5-PIPERAZINEDIONE",240L69DTV7,"2,5-PIPERAZINEDIONE",Active Ingredient,,
SN331791VY,"25-HYDROXYCHOLECALCIFEROL, 5-TRANS-",SN331791VY,"25-HYDROXYCHOLECALCIFEROL, 5-TRANS-",Active Ingredient,,
WSX981HEWU,2-AMINOPYRIDINE,WSX981HEWU,2-AMINOPYRIDINE,Active Ingredient,,
149RBS03P0,"2-CYCLOHEXYL-4,6-DINITROPHENOL",149RBS03P0,"2-CYCLOHEXYL-4,6-DINITROPHENOL",Active Ingredient,,
28002VFS3H,2-ETHYLBUTANOL,28002VFS3H,2-ETHYLBUTANOL,Active Ingredient,,
93NOD9WBCS,2-ETHYLHEXYL 4-PHENYLBENZOPHENONE-2'-CARBOXYLATE,93NOD9WBCS,2-ETHYLHEXYL 4-PHENYLBENZOPHENONE-2'-CARBOXYLATE,Active Ingredient,,
UQS3A06ILY,2-HYDROXYESTRONE,UQS3A06ILY,2-HYDROXYESTRONE,Active Ingredient,,
6E1I4IV47V,2-HYDROXYETHYL METHACRYLATE,6E1I4IV47V,2-HYDROXYETHYL METHACRYLATE,Active Ingredient,,
6I2QW73SR5,2-METHOXYESTRADIOL,6I2QW73SR5,2-METHOXYESTRADIOL,Active Ingredient,,
P024OE4203,"3-(((2S,4S)-4-SULFANYLPYRROLIDINE-2-CARBONYL)AMINO)BENZOIC ACID HYDROCHLORIDE",908TT08A2N,"3-(((2S,4S)-4-SULFANYLPYRROLIDINE-2-CARBONYL)AMINO)BENZOIC ACID",,,
08CL3G94GH,"3,3,5-TRIMETHYLCYCLOHEXANOL",08CL3G94GH,"3,3,5-TRIMETHYLCYCLOHEXANOL",Active Ingredient,,
SSZ9HQT61Z,"3,3'-DIINDOLYLMETHANE",SSZ9HQT61Z,"3,3'-DIINDOLYLMETHANE",Active Ingredient,,
6J0K4253QD,3.BETA.-ANDROSTANEDIOL,6J0K4253QD,3.BETA.-ANDROSTANEDIOL,Active Ingredient,,
TZP1275679,"3-HYDROXYBUTYRIC ACID, (+/-)",TZP1275679,"3-HYDROXYBUTYRIC ACID, (+/-)",Active Ingredient,,
5E8T95VN5L,3-IODO-4-AMINOBENZYLGUANIDINE NITRATE I-123,96J292TWGG,"3-IODO-4-AMINOBENZYLGUANIDINE, I-123",,,
2Q59DUN46A,3-PHYTASE B (ASPERGILLUS NIGER),2Q59DUN46A,3-PHYTASE B (ASPERGILLUS NIGER),Active Ingredient,,
PFP1R6P0S8,4-DIMETHYLAMINOPYRIDINE,PFP1R6P0S8,4-DIMETHYLAMINOPYRIDINE,Active Ingredient,,
30IW36W5B2,4-HYDROXYBUTANOIC ACID,30IW36W5B2,4-HYDROXYBUTANOIC ACID,Active Ingredient,,
TA5S1BS78J,"5,6-DIHYDRO-5-AZACYTIDINE HYDROCHLORIDE",0627D8VG1C,"5,6-DIHYDRO-5-AZACYTIDINE",,,
4K0M952561,5-FLUOROURIDINE,4K0M952561,5-FLUOROURIDINE,Active Ingredient,,
XXE58DJG85,"5-HYDROXYTRYPTOPHAN MONOHYDRATE, DL-",9181P3OI6N,"5-HYDROXYTRYPTOPHAN, DL-",,,
9181P3OI6N,"5-HYDROXYTRYPTOPHAN, DL-",9181P3OI6N,"5-HYDROXYTRYPTOPHAN, DL-",Active Ingredient,,
M5E47P1ZCH,6-ACETYLMORPHINE,M5E47P1ZCH,6-ACETYLMORPHINE,Active Ingredient,,
6VHR658170,6-MERCAPTOPURINE-3-N-OXIDE,6VHR658170,6-MERCAPTOPURINE-3-N-OXIDE,Active Ingredient,,
01KC87F8FE,6-O-BENZYLGUANINE,01KC87F8FE,6-O-BENZYLGUANINE,Active Ingredient,,
TN6K2I93SU,"7,8-DEHYDRORETINOIC ACID, ALL TRANS-",TN6K2I93SU,"7,8-DEHYDRORETINOIC ACID, ALL TRANS-",Active Ingredient,,
7BU5H4V94A,7-HYDROXYSTAUROSPORINE,7BU5H4V94A,7-HYDROXYSTAUROSPORINE,Active Ingredient,,
2334LJD2E9,7-OXO-PRASTERONE,2334LJD2E9,7-OXO-PRASTERONE,Active Ingredient,,
5MB77ICE2Q,9-AMINOCAMPTOTHECIN,5MB77ICE2Q,9-AMINOCAMPTOTHECIN,Active Ingredient,,
WR2TIP26VS,ABACAVIR,WR2TIP26VS,ABACAVIR,Active Ingredient,,
40FH6D8CHK,ABACAVIR SUCCINATE,WR2TIP26VS,ABACAVIR,,,
J220T4J9Q2,ABACAVIR SULFATE,WR2TIP26VS,ABACAVIR,Active Moiety,,
11DI31LWXF,ABAFUNGIN,11DI31LWXF,ABAFUNGIN,Active Ingredient,,
F738MWY53L,ABANOQUIL,F738MWY53L,ABANOQUIL,Active Ingredient,,
40755Z8956,ABAPERIDONE,40755Z8956,ABAPERIDONE,Active Ingredient,,
W486SJ5824,ABARELIX,W486SJ5824,ABARELIX,Active Ingredient,,
7D0YB67S97,ABATACEPT,7D0YB67S97,ABATACEPT,Active Ingredient,,
X85G7936GV,ABCIXIMAB,X85G7936GV,ABCIXIMAB,Active Ingredient,,
IZM1PNJ3JL,ABECARNIL,IZM1PNJ3JL,ABECARNIL,Active Ingredient,,
QXA167CM6F,ABEDITEROL,QXA167CM6F,ABEDITEROL,Active Ingredient,,
G819A456D0,ABIRATERONE,G819A456D0,ABIRATERONE,Active Ingredient,,
EM5OCB9YJ6,ABIRATERONE ACETATE,G819A456D0,ABIRATERONE,Active Ingredient,,
3YY13B9G25,ABITESARTAN,3YY13B9G25,ABITESARTAN,Active Ingredient,,
000TKM5BBQ,ABLUKAST,000TKM5BBQ,ABLUKAST,Active Ingredient,,
37BXZ0J2RT,ABLUKAST SODIUM,000TKM5BBQ,ABLUKAST,,,
3OM8I6L7CD,ABRUS PRECATORIUS SEED,3OM8I6L7CD,ABRUS PRECATORIUS SEED,Active Ingredient,,
15VX0351MT,ABSIDIA CAPILLATA,15VX0351MT,ABSIDIA CAPILLATA,Active Ingredient,,
6EH821150I,ABUNIDAZOLE,6EH821150I,ABUNIDAZOLE,Active Ingredient,,
5C5403N26O,ACACIA,5C5403N26O,ACACIA,Active Ingredient,,
59WAV8G5X5,ACACIA BAILEYANA POLLEN,59WAV8G5X5,ACACIA BAILEYANA POLLEN,Active Ingredient,,
24SO2J296O,ACACIA LONGIFOLIA POLLEN,24SO2J296O,ACACIA LONGIFOLIA POLLEN,Active Ingredient,,
43DDR2YDYZ,ACACIA POLLEN,43DDR2YDYZ,ACACIA POLLEN,Active Ingredient,,
53IEF47846,ACADESINE,53IEF47846,ACADESINE,Active Ingredient,,
46AM2VJ0AW,ACAI,46AM2VJ0AW,ACAI,Active Ingredient,,
N4K14YGM3J,ACAMPROSATE,N4K14YGM3J,ACAMPROSATE,Active Ingredient,,
59375N1D0U,ACAMPROSATE CALCIUM,N4K14YGM3J,ACAMPROSATE,Active Ingredient,,
AFQ8R47WH2,ACANTHOSEPION CUTTLEFISH,AFQ8R47WH2,ACANTHOSEPION CUTTLEFISH,Active Ingredient,,
F2S6Z4SB8T,ACAPRAZINE,F2S6Z4SB8T,ACAPRAZINE,Active Ingredient,,
T58MSI464G,ACARBOSE,T58MSI464G,ACARBOSE,Active Ingredient,,
7XZB016MY5,ACEBROCHOL,7XZB016MY5,ACEBROCHOL,Active Ingredient,,
F777XEP0LL,ACEBURIC ACID,F777XEP0LL,ACEBURIC ACID,Active Ingredient,,
67P356D8GH,ACEBUTOLOL,67P356D8GH,ACEBUTOLOL,Active Ingredient,,
B025Y34C54,ACEBUTOLOL HYDROCHLORIDE,67P356D8GH,ACEBUTOLOL,Active Moiety,,
910Q707V6F,ACECAINIDE,910Q707V6F,ACECAINIDE,Active Ingredient,,
B9K738KX14,ACECAINIDE HYDROCHLORIDE,910Q707V6F,ACECAINIDE,,,
E47C56IGOY,ACECARBROMAL,E47C56IGOY,ACECARBROMAL,Active Ingredient,,
0578K3ELIO,ACECLIDINE,0578K3ELIO,ACECLIDINE,Active Ingredient,,
3B22O325Q6,ACECLIDINE HYDROCHLORIDE,0578K3ELIO,ACECLIDINE,,,
MCC2GG434J,ACECLIDINE SALICYLATE,0578K3ELIO,ACECLIDINE,,,
RPK779R03H,ACECLOFENAC,RPK779R03H,ACECLOFENAC,Active Ingredient,,
0GZ72U84TN,ACEDAPSONE,0GZ72U84TN,ACEDAPSONE,Active Ingredient,,
04Z20NMK31,ACEDOBEN,04Z20NMK31,ACEDOBEN,Active Ingredient,,
3K0BN50QXD,ACEFLURANOL,3K0BN50QXD,ACEFLURANOL,Active Ingredient,,
6APJ3D1308,ACEFURTIAMINE,6APJ3D1308,ACEFURTIAMINE,Active Ingredient,,
WY672D78VW,ACEFYLLINE CLOFIBROL,M494UE2YEP,ACEFYLLINE,,,
WL6JNI78OE,ACEFYLLINE HEPTAMINOL,M494UE2YEP,ACEFYLLINE,,,
347Q3OOJ13,ACEGLATONE,347Q3OOJ13,ACEGLATONE,Active Ingredient,,
01J18G9G97,ACEGLUTAMIDE,01J18G9G97,ACEGLUTAMIDE,Active Ingredient,,
R7QTG0PMPX,ACEGLUTAMIDE ALUMINUM,01J18G9G97,ACEGLUTAMIDE,,,
UZ29E6L2X8,ACEMANNAN,UZ29E6L2X8,ACEMANNAN,Active Ingredient,,
5V141XK28X,ACEMETACIN,5V141XK28X,ACEMETACIN,Active Ingredient,,
V8UT1GAC5Y,ACENAPHTHENE,V8UT1GAC5Y,ACENAPHTHENE,Active Ingredient,,
GZP2782OP0,ACENEURAMIC ACID,GZP2782OP0,ACENEURAMIC ACID,Active Ingredient,,
I6WP63U32H,ACENOCOUMAROL,I6WP63U32H,ACENOCOUMAROL,Active Ingredient,,
S69KXZ59AB,ACEPERONE,S69KXZ59AB,ACEPERONE,Active Ingredient,,
54EJ303F0R,ACEPROMAZINE,54EJ303F0R,ACEPROMAZINE,Active Ingredient,,
37862HP2OM,ACEPROMAZINE MALEATE,54EJ303F0R,ACEPROMAZINE,,,
984N9YTM4Y,ACEPROMETAZINE,984N9YTM4Y,ACEPROMETAZINE,Active Ingredient,,
A462855RC7,ACEPROMETAZINE MALEATE,984N9YTM4Y,ACEPROMETAZINE,,,
FKJ64U4XOB,ACEQUINOLINE,FKJ64U4XOB,ACEQUINOLINE,Active Ingredient,,
E4CG5Q55M1,ACER MACROPHYLLUM POLLEN,E4CG5Q55M1,ACER MACROPHYLLUM POLLEN,Active Ingredient,,
P6K070AR8V,ACER NEGUNDO POLLEN,P6K070AR8V,ACER NEGUNDO POLLEN,Active Ingredient,,
700NK45C76,ACER RUBRUM POLLEN,700NK45C76,ACER RUBRUM POLLEN,Active Ingredient,,
95447163DG,ACER SACCHARINUM POLLEN,95447163DG,ACER SACCHARINUM POLLEN,Active Ingredient,,
V38QUQ7861,ACER SACCHARUM POLLEN,V38QUQ7861,ACER SACCHARUM POLLEN,Active Ingredient,,
XDD2WEC9L5,ACEROLA,XDD2WEC9L5,ACEROLA,Active Ingredient,,
MA3UYZ6K1H,ACESULFAME,MA3UYZ6K1H,ACESULFAME,Active Ingredient,,
23OV73Q5G9,ACESULFAME POTASSIUM,MA3UYZ6K1H,ACESULFAME,,,
GO1N1ZPR3B,ACETALDEHYDE,GO1N1ZPR3B,ACETALDEHYDE,Active Ingredient,,
8XOE1JSO29,ACETAMIDE,8XOE1JSO29,ACETAMIDE,Active Ingredient,,
362O9ITL9D,ACETAMINOPHEN,362O9ITL9D,ACETAMINOPHEN,Active Ingredient,,
O3J7H54KMD,ACETAMINOSALOL,O3J7H54KMD,ACETAMINOSALOL,Active Ingredient,,
SP86R356CC,ACETANILIDE,SP86R356CC,ACETANILIDE,Active Ingredient,,
806529YU1N,ACETARSOL,806529YU1N,ACETARSOL,Active Ingredient,,
JS0786858H,ACETARSOL SODIUM,806529YU1N,ACETARSOL,,,
O3FX965V0I,ACETAZOLAMIDE,O3FX965V0I,ACETAZOLAMIDE,Active Ingredient,,
429ZT169UH,ACETAZOLAMIDE SODIUM,O3FX965V0I,ACETAZOLAMIDE,Active Moiety,,
O60O0JB93O,ACETERGAMINE,O60O0JB93O,ACETERGAMINE,Active Ingredient,,
SIJ2OU269U,ACETIAMINE,SIJ2OU269U,ACETIAMINE,Active Ingredient,,
W024X5P395,ACETIAMINE HYDROCHLORIDE,SIJ2OU269U,ACETIAMINE,,,
Q40Q9N063P,ACETIC ACID,Q40Q9N063P,ACETIC ACID,Active Ingredient,,
8Q5153W1NW,ACETIROMATE,8Q5153W1NW,ACETIROMATE,Active Ingredient,,
4ZI204Y1MC,ACETOACETIC ACID,4ZI204Y1MC,ACETOACETIC ACID,Active Ingredient,,
QGC8W08I6I,ACETOHEXAMIDE,QGC8W08I6I,ACETOHEXAMIDE,Active Ingredient,,
4RZ82L2GY5,ACETOHYDROXAMIC ACID,4RZ82L2GY5,ACETOHYDROXAMIC ACID,Active Ingredient,,
DWG8UZD9HT,ACETOMENAPHTHONE,DWG8UZD9HT,ACETOMENAPHTHONE,Active Ingredient,,
1364PS73AF,ACETONE,1364PS73AF,ACETONE,Active Ingredient,,
8620H6K4QH,ACETOPHENAZINE,8620H6K4QH,ACETOPHENAZINE,Active Ingredient,,
3P5HNU5JTC,ACETOPHENAZINE MALEATE,8620H6K4QH,ACETOPHENAZINE,,,
2OGQ81529L,ACETORPHINE,2OGQ81529L,ACETORPHINE,Active Ingredient,,
ZT389542XK,ACETOSULFONE,ZT389542XK,ACETOSULFONE,Active Ingredient,,
FQ3M2Y4BU3,ACETOSULFONE SODIUM,ZT389542XK,ACETOSULFONE,,,
5GF4B2I1DD,ACETRIZOATE SODIUM,24256BQV7M,ACETRIZOIC ACID,,,
N9VWZ34G5E,ACETRYPTINE,N9VWZ34G5E,ACETRYPTINE,Active Ingredient,,
L4EL31FWIL,ACETYL HEXAPEPTIDE-8,L4EL31FWIL,ACETYL HEXAPEPTIDE-8,Active Ingredient,,
6DH1W9VH8Q,ACETYLCARNITINE,0G389FZZ9M,LEVOCARNITINE,,,
NDW10MX58T,ACETYLCARNITINE HYDROCHLORIDE,6DH1W9VH8Q,ACETYLCARNITINE,,,
AF73293C2R,ACETYLCHOLINE CHLORIDE,N9YNS0M02X,ACETYLCHOLINE,,,
WYQ7N0BPYC,ACETYLCYSTEINE,WYQ7N0BPYC,ACETYLCYSTEINE,Active Ingredient,,
NRD80R06FB,ACETYLCYSTEINE SODIUM,WYQ7N0BPYC,ACETYLCYSTEINE,,,
0ZV4Q4L2FU,ACETYLDIGITOXIN,E90NZP2L9U,DIGITOXIN,,,
K76S41V71X,ACETYLLEUCINE,K76S41V71X,ACETYLLEUCINE,Active Ingredient,,
S9MFK45GY9,ACEVALTRATE,S9MFK45GY9,ACEVALTRATE,Active Ingredient,,
3DHV2K82D1,ACEXAMATE CALCIUM,7IC4BO7D3R,ACEXAMIC ACID,,,
ZNY360XK9J,ACEXAMATE SODIUM,7IC4BO7D3R,ACEXAMIC ACID,,,
7IC4BO7D3R,ACEXAMIC ACID,7IC4BO7D3R,ACEXAMIC ACID,Active Ingredient,,
P9S201X6LH,ACHETA DOMESTICUS,P9S201X6LH,ACHETA DOMESTICUS,Active Ingredient,,
2FXJ6SW4PK,ACHILLEA MILLEFOLIUM,2FXJ6SW4PK,ACHILLEA MILLEFOLIUM,Active Ingredient,,
PGA1AZ433Z,ACHYROCLINE SATUREIOIDES,PGA1AZ433Z,ACHYROCLINE SATUREIOIDES,Active Ingredient,,
B1X701S0MV,ACIFRAN,B1X701S0MV,ACIFRAN,Active Ingredient,,
K9AY9IR2SD,ACIPIMOX,K9AY9IR2SD,ACIPIMOX,Active Ingredient,,
99Y8VJ356G,ACITAZANOLAST,99Y8VJ356G,ACITAZANOLAST,Active Ingredient,,
U6SU9ZSU4K,ACITAZANOLAST HYDRATE,99Y8VJ356G,ACITAZANOLAST,,,
HM4L00P85U,ACITEMATE,HM4L00P85U,ACITEMATE,Active Ingredient,,
LCH760E9T7,ACITRETIN,LCH760E9T7,ACITRETIN,Active Ingredient,,
O0X60K76I6,ACIVICIN,O0X60K76I6,ACIVICIN,Active Ingredient,,
281Y036E0W,ACLANTATE,281Y036E0W,ACLANTATE,Active Ingredient,,
74KXF8I502,ACLARUBICIN,74KXF8I502,ACLARUBICIN,Active Ingredient,,
501948RI66,ACLARUBICIN HYDROCHLORIDE,74KXF8I502,ACLARUBICIN,,,
UQW7UF9N91,ACLIDINIUM BROMIDE,K17VY42F6C,ACLIDINIUM,Active Ingredient,,
2794N5KM0K,ACMELLA OLERACEA FLOWER,2794N5KM0K,ACMELLA OLERACEA FLOWER,Active Ingredient,,
8M28A9O41G,ACODAZOLE,8M28A9O41G,ACODAZOLE,Active Ingredient,,
6D7W9EAH22,ACODAZOLE HYDROCHLORIDE,8M28A9O41G,ACODAZOLE,,,
815LJ9X0D1,ACOLBIFENE,815LJ9X0D1,ACOLBIFENE,Active Ingredient,,
KXC7811DBY,ACOLBIFENE HYDROCHLORIDE,815LJ9X0D1,ACOLBIFENE,,,
8OKQ9NS8MO,ACONIAZIDE,8OKQ9NS8MO,ACONIAZIDE,Active Ingredient,,
OF5471ZHRR,"ACONITIC ACID, (Z)-",OF5471ZHRR,"ACONITIC ACID, (Z)-",Active Ingredient,,
I4G31A93ZR,ACONITUM FEROX ROOT,I4G31A93ZR,ACONITUM FEROX ROOT,Active Ingredient,,
U0NQ8555JD,ACONITUM NAPELLUS,U0NQ8555JD,ACONITUM NAPELLUS,Active Ingredient,,
KPD2N7348X,ACONITUM NAPELLUS ROOT,KPD2N7348X,ACONITUM NAPELLUS ROOT,Active Ingredient,,
D42OWK5383,ACOTIAMIDE,D42OWK5383,ACOTIAMIDE,Active Ingredient,,
NMW7447A9A,ACOTIAMIDE HYDROCHLORIDE,D42OWK5383,ACOTIAMIDE,,,
7IGS0KX75Q,ACOXATRINE,7IGS0KX75Q,ACOXATRINE,Active Ingredient,,
3F36V0451W,ACREMONIUM STRICTUM,3F36V0451W,ACREMONIUM STRICTUM,Active Ingredient,,
84DZ9RW4WK,ACREOZAST,84DZ9RW4WK,ACREOZAST,Active Ingredient,,
7SGV5HQH8B,ACRIDOREX,7SGV5HQH8B,ACRIDOREX,Active Ingredient,,
PC0M1D2T2Y,ACRIHELLIN,PC0M1D2T2Y,ACRIHELLIN,Active Ingredient,,
2U918O4BEV,ACRISORCIN,78OY3Z0P7Z,AMINACRINE,,,
2U918O4BEV,ACRISORCIN,R9QTB5E82N,HEXYLRESORCINOL,,,
A20F9XAI7W,ACRIVASTINE,A20F9XAI7W,ACRIVASTINE,Active Ingredient,,
67N58AU0IZ,ACROCINONIDE,67N58AU0IZ,ACROCINONIDE,Active Ingredient,,
QE0G097358,ACRONINE,QE0G097358,ACRONINE,Active Ingredient,,
C91ZMT66YA,ACROTHECIUM ROBUSTUM,C91ZMT66YA,ACROTHECIUM ROBUSTUM,Active Ingredient,,
20R035KLCI,ACRYLAMIDE,20R035KLCI,ACRYLAMIDE,Active Ingredient,,
3FU86L9OS0,ACTAEA SPICATA ROOT,3FU86L9OS0,ACTAEA SPICATA ROOT,Active Ingredient,,
HW5B6351RZ,ACTARIT,HW5B6351RZ,ACTARIT,Active Ingredient,,
470VQE23O3,ACTINOQUINOL,470VQE23O3,ACTINOQUINOL,Active Ingredient,,
8PW272ITDS,ACTINOQUINOL SODIUM,470VQE23O3,ACTINOQUINOL,,,
IJQ29N87NR,ACTISOMIDE,IJQ29N87NR,ACTISOMIDE,Active Ingredient,,
2P3VWU3H10,ACTIVATED CHARCOAL,2P3VWU3H10,ACTIVATED CHARCOAL,Active Ingredient,,
9E4KL95FK9,ACTODIGIN,9E4KL95FK9,ACTODIGIN,Active Ingredient,,
X4HES1O11F,ACYCLOVIR,X4HES1O11F,ACYCLOVIR,Active Ingredient,,
927L42J563,ACYCLOVIR SODIUM,X4HES1O11F,ACYCLOVIR,Active Moiety,,
B8VQU4C05J,ADAFENOXATE,B8VQU4C05J,ADAFENOXATE,Active Ingredient,,
FYS6T7F842,ADALIMUMAB,FYS6T7F842,ADALIMUMAB,Active Ingredient,,
6LPU49W75V,ADAMEXINE,6LPU49W75V,ADAMEXINE,Active Ingredient,,
1L4806J2QF,ADAPALENE,1L4806J2QF,ADAPALENE,Active Ingredient,,
XP9911I1WL,ADAPROLOL,XP9911I1WL,ADAPROLOL,Active Ingredient,,
2I8RV6WL9A,ADAPROLOL MALEATE,XP9911I1WL,ADAPROLOL,,,
W6SU73VG8H,ADAROTENE,W6SU73VG8H,ADAROTENE,Active Ingredient,,
W5U6WQM26H,ADATANSERIN,W5U6WQM26H,ADATANSERIN,Active Ingredient,,
48BX75B06D,ADATANSERIN HYDROCHLORIDE,W5U6WQM26H,ADATANSERIN,,,
6GQP90I798,ADEFOVIR,6GQP90I798,ADEFOVIR,Active Ingredient,,
U6Q8Z01514,ADEFOVIR DIPIVOXIL,6GQP90I798,ADEFOVIR,Active Ingredient,,
