"","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing"
"21","1188",1,"CARVEDILOL","CARVEDILOL","CARVEDILOL"
"22","188",2,"CEFPROZIL|CEFPROZIL (CEFPROZIL MONOHYDRATE)","CEFPROZIL","CEFPROZIL MONOHYDRATE"
"23","11865",1,"CELECOXIB","CELECOXIB","CELECOXIB"
"24","8376",2,"CEPHALEXIN|CEPHALEXIN (CEPHALEXIN MONOHYDRATE)","CEPHALEXIN","CEPHALEXIN MONOHYDRATE"
"25","19961",1,"CICLESONIDE","CICLESONIDE","CICLESONIDE"
"26","12378",1,"CICLOPIROX","CICLOPIROX","CICLOPIROX"
"27","93",4,"CIPROFLOXACIN|CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)|CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)|CIPROFLOXACIN (CIPROFLOXACIN LACTATE)","CIPROFLOXACIN","CIPROFLOXACIN HYDROCHLORIDE|CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN|CIPROFLOXACIN LACTATE"
"28","11847",1,"CITALOPRAM (CITALOPRAM HYDROBROMIDE)","CITALOPRAM","CITALOPRAM HYDROBROMIDE"
"29","8318",1,"CLARITHROMYCIN","CLARITHROMYCIN","CLARITHROMYCIN"
"30","8551",3,"CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE)|CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)|CLINDAMYCIN (CLINDAMYCIN PHOSPHATE)","CLINDAMYCIN","CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE|CLINDAMYCIN HYDROCHLORIDE|CLINDAMYCIN PHOSPHATE"
"31","1995",1,"CLOBAZAM","CLOBAZAM","CLOBAZAM"
"32","2192",1,"CLONAZEPAM","CLONAZEPAM","CLONAZEPAM"
"33","11795",1,"CLOPIDOGREL (CLOPIDOGREL BISULFATE)","CLOPIDOGREL","CLOPIDOGREL BISULFATE"
"34","1196",1,"CLOZAPINE","CLOZAPINE","CLOZAPINE"
"35","6750",1,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)","CODEINE","CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate"
"36","6760",1,"COLCHICINE","COLCHICINE","COLCHICINE"
"37","20301",1,"DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE)","DABIGATRAN ETEXILATE","DABIGATRAN ETEXILATE MESILATE"
"38","20430",1,"DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE)","DESVENLAFAXINE","DESVENLAFAXINE SUCCINATE"
"39","7600",3,"DEXAMETHASONE|DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE)|DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE)","DEXAMETHASONE","DEXAMETHASONE SODIUM METASULPHOBENZOATE|DEXAMETHASONE SODIUM PHOSPHATE"
"40","20625",1,"DEXLANSOPRAZOLE","DEXLANSOPRAZOLE","DEXLANSOPRAZOLE"
"41","9418",1,"DIAZEPAM","DIAZEPAM","DIAZEPAM"
"42","6731",1,"DIGOXIN","DIGOXIN","DIGOXIN"
"43","1840",1,"DOMPERIDONE (DOMPERIDONE MALEATE)","DOMPERIDONE","DOMPERIDONE MALEATE"
"44","11258",1,"DOXAZOSIN (DOXAZOSIN MESYLATE)","DOXAZOSIN","DOXAZOSIN MESYLATE"
"45","8642",2,"DOXYCYCLINE (DOXYCYCLINE HYCLATE)|DOXYCYCLINE (Doxycycline Monohydrate)","DOXYCYCLINE","DOXYCYCLINE HYCLATE|Doxycycline Monohydrate"
"46","20171",1,"DULOXETINE (DULOXETINE HYDROCHLORIDE)","DULOXETINE","DULOXETINE HYDROCHLORIDE"
"47","12580",1,"DUTASTERIDE","DUTASTERIDE","DUTASTERIDE"
"48","8926",3,"EPINEPHRINE|EPINEPHRINE (EPINEPHRINE BITARTRATE)|EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)","EPINEPHRINE","EPINEPHRINE BITARTRATE|EPINEPHRINE HYDROCHLORIDE"
"49","8618",5,"ERYTHROMYCIN|ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)|ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)|ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE)|ERYTHROMYCIN (ERYTHROMYCIN STEARATE)","ERYTHROMYCIN","ERYTHROMYCIN ESTOLATE|ERYTHROMYCIN ETHYLSUCCINATE|ERYTHROMYCIN LACTOBIONATE|ERYTHROMYCIN STEARATE"
"50","13585",2,"ESCITALOPRAM|ESCITALOPRAM (ESCITALOPRAM OXALATE)","ESCITALOPRAM","ESCITALOPRAM OXALATE"
"51","12371",3,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM TRIHYDRATE)|ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM)|ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","ESOMEPRAZOLE","ESOMEPRAZOLE MAGNESIUM TRIHYDRATE|ESOMEPRAZOLE MAGNESIUM|Esomeprazole magnesium dihydrate"
"52","7419",2,"ESTRADIOL|ESTRADIOL (ESTRADIOL HEMIHYDRATE)","ESTRADIOL","ESTRADIOL HEMIHYDRATE"
"53","12754",1,"EZETIMIBE","EZETIMIBE","EZETIMIBE"
"54","1249",1,"FELODIPINE","FELODIPINE","FELODIPINE"
"55","1381",1,"FENOFIBRATE","FENOFIBRATE","FENOFIBRATE"
"56","10075",2,"FENTANYL|FENTANYL (FENTANYL CITRATE)","FENTANYL","FENTANYL CITRATE"
"57","768",1,"FINASTERIDE","FINASTERIDE","FINASTERIDE"
"58","11130",1,"FLUOXETINE (FLUOXETINE HYDROCHLORIDE)","FLUOXETINE","FLUOXETINE HYDROCHLORIDE"
"59","4991",2,"FOLIC ACID|FOLIC ACID (SODIUM FOLATE)","FOLIC ACID","SODIUM FOLATE"
"60","10091",1,"FUROSEMIDE","FUROSEMIDE","FUROSEMIDE"
"61","8504",1,"FUSIDIC ACID","FUSIDIC ACID","FUSIDIC ACID"
"62","470",1,"GABAPENTIN","GABAPENTIN","GABAPENTIN"
"63","12329",1,"GALANTAMINE (GALANTAMINE HYDROBROMIDE)","GALANTAMINE","GALANTAMINE HYDROBROMIDE"
"64","1327",1,"GLICLAZIDE","GLICLAZIDE","GLICLAZIDE"
"65","4007",1,"GLYBURIDE","GLYBURIDE","GLYBURIDE"
"66","10146",2,"HALOPERIDOL|HALOPERIDOL (HALOPERIDOL DECANOATE)","HALOPERIDOL","HALOPERIDOL DECANOATE"
"67","10234",1,"HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE"
"68","7532",3,"HYDROCORTISONE|HYDROCORTISONE (HYDROCORTISONE ACETATE)|HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE)","HYDROCORTISONE","HYDROCORTISONE ACETATE|HYDROCORTISONE SODIUM SUCCINATE"
"69","2609",1,"IBUPROFEN","IBUPROFEN","IBUPROFEN"
"70","1960",1,"INDAPAMIDE","INDAPAMIDE","INDAPAMIDE"
"71","10126",1,"INDOMETHACIN","INDOMETHACIN","INDOMETHACIN"
"72","12335",1,"INSULIN ASPART","INSULIN ASPART","INSULIN ASPART"
"73","13104",1,"INSULIN DETEMIR","INSULIN DETEMIR","INSULIN DETEMIR"
"74","12724",1,"INSULIN GLARGINE","INSULIN GLARGINE","INSULIN GLARGINE"
"75","11115",1,"INSULIN LISPRO","INSULIN LISPRO","INSULIN LISPRO"
"76","11776",1,"IRBESARTAN","IRBESARTAN","IRBESARTAN"
"77","1298",1,"ISOSORBIDE-5-MONONITRATE","ISOSORBIDE-5-MONONITRATE","ISOSORBIDE-5-MONONITRATE"
"78","238",1,"LAMOTRIGINE","LAMOTRIGINE","LAMOTRIGINE"
"79","180",1,"LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE"
"80","11458",1,"LATANOPROST","LATANOPROST","LATANOPROST"
"81","13107",1,"LEVETIRACETAM","LEVETIRACETAM","LEVETIRACETAM"
"82","11705",2,"LEVOFLOXACIN|LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE)","LEVOFLOXACIN","LEVOFLOXACIN HEMIHYDRATE"
"83","1253",2,"LISINOPRIL|LISINOPRIL (LISINOPRIL DIHYDRATE)","LISINOPRIL","LISINOPRIL DIHYDRATE"
"84","1399",1,"LITHIUM (LITHIUM CITRATE)","LITHIUM","LITHIUM CITRATE"
"85","2300",1,"LORAZEPAM","LORAZEPAM","LORAZEPAM"
"86","11764",1,"MELOXICAM","MELOXICAM","MELOXICAM"
"87","5900",2,"METHOTREXATE|METHOTREXATE (METHOTREXATE SODIUM)","METHOTREXATE","METHOTREXATE SODIUM"
"88","9880",1,"METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE"
"89","11182",1,"MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE)","MINOCYCLINE","MINOCYCLINE HYDROCHLORIDE"
"90","12209",1,"MIRTAZAPINE","MIRTAZAPINE","MIRTAZAPINE"
"91","11784",1,"MONTELUKAST (MONTELUKAST SODIUM)","MONTELUKAST","MONTELUKAST SODIUM"
"92","12034",1,"MOXIFLOXACIN (MOXIFLOXACIN HYDROCHLORIDE)","MOXIFLOXACIN","MOXIFLOXACIN HYDROCHLORIDE"
"93","2414",2,"NAPROXEN|NAPROXEN (NAPROXEN SODIUM)","NAPROXEN","NAPROXEN SODIUM"
"94","1966",1,"NIFEDIPINE","NIFEDIPINE","NIFEDIPINE"
"95","10196",1,"NITROFURANTOIN","NITROFURANTOIN","NITROFURANTOIN"
"96","9412",1,"NITROGLYCERIN","NITROGLYCERIN","NITROGLYCERIN"
"97","7500",1,"NORETHINDRONE","NORETHINDRONE","NORETHINDRONE"
"98","11121",1,"NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE)","NORTRIPTYLINE","NORTRIPTYLINE HYDROCHLORIDE"
"99","8508",1,"NYSTATIN","NYSTATIN","NYSTATIN"
"100","1",2,"OLANZAPINE|OLANZAPINE (OLANZAPINE TARTRATE)","OLANZAPINE","OLANZAPINE TARTRATE"
"101","11561",1,"OLOPATADINE (OLOPATADINE HYDROCHLORIDE)","OLOPATADINE","OLOPATADINE HYDROCHLORIDE"
"102","1250",2,"OMEPRAZOLE|OMEPRAZOLE (OMEPRAZOLE MAGNESIUM)","OMEPRAZOLE","OMEPRAZOLE MAGNESIUM"
"103","9956",1,"OXAZEPAM","OXAZEPAM","OXAZEPAM"
"104","13333",1,"OXYBUTYNIN","OXYBUTYNIN","OXYBUTYNIN"
"105","6167",1,"OXYCODONE (OXYCODONE HYDROCHLORIDE)","OXYCODONE","OXYCODONE HYDROCHLORIDE"
"106","11086",4,"PANTOPRAZOLE (PANTOPRAZOLE MAGNESIUM)|PANTOPRAZOLE (PANTOPRAZOLE SODIUM SESQUIHYDRATE)|PANTOPRAZOLE (PANTOPRAZOLE SODIUM)|PANTOPRAZOLE (Pantoprazole magnesium hemipentahydrate)","PANTOPRAZOLE","PANTOPRAZOLE MAGNESIUM|PANTOPRAZOLE SODIUM SESQUIHYDRATE|PANTOPRAZOLE SODIUM|Pantoprazole magnesium hemipentahydrate"
"107","11340",4,"PAROXETINE (PAROXETINE HYDROCHLORIDE ACETONE SOLVATE)|PAROXETINE (PAROXETINE HYDROCHLORIDE HEMIHYDRATE)|PAROXETINE (PAROXETINE HYDROCHLORIDE)|PAROXETINE (PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE)","PAROXETINE","PAROXETINE HYDROCHLORIDE ACETONE SOLVATE|PAROXETINE HYDROCHLORIDE HEMIHYDRATE|PAROXETINE HYDROCHLORIDE|PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE"
"108","10209",1,"PHENYTOIN","PHENYTOIN","PHENYTOIN"
"109","12012",1,"PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE)","PIOGLITAZONE","PIOGLITAZONE HYDROCHLORIDE"
"110","7630",1,"PREDNISOLONE (PREDNISOLONE SODIUM PHOSPHATE)","PREDNISOLONE","PREDNISOLONE SODIUM PHOSPHATE"
"111","7566",1,"PREDNISONE","PREDNISONE","PREDNISONE"
"112","15568",1,"PREGABALIN","PREGABALIN","PREGABALIN"
"113","7554",1,"PROGESTERONE","PROGESTERONE","PROGESTERONE"
"114","11718",1,"QUETIAPINE (QUETIAPINE FUMARATE)","QUETIAPINE","QUETIAPINE FUMARATE"
"115","11161",1,"QUINAPRIL (QUINAPRIL HYDROCHLORIDE)","QUINAPRIL","QUINAPRIL HYDROCHLORIDE"
"116","12149",1,"RABEPRAZOLE SODIUM","RABEPRAZOLE SODIUM","RABEPRAZOLE SODIUM"
"117","932",1,"RAMIPRIL","RAMIPRIL","RAMIPRIL"
"118","11096",1,"RANITIDINE (RANITIDINE HYDROCHLORIDE)","RANITIDINE","RANITIDINE HYDROCHLORIDE"
"119","11860",1,"REPAGLINIDE","REPAGLINIDE","REPAGLINIDE"
"120","723",2,"RISPERIDONE|RISPERIDONE (RISPERIDONE TARTRATE)","RISPERIDONE","RISPERIDONE TARTRATE"
"121","20387",1,"RIVAROXABAN","RIVAROXABAN","RIVAROXABAN"
"122","11987",2,"RIVASTIGMINE|RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE)","RIVASTIGMINE","RIVASTIGMINE HYDROGEN TARTRATE"
"123","11899",1,"RIZATRIPTAN (RIZATRIPTAN BENZOATE)","RIZATRIPTAN","RIZATRIPTAN BENZOATE"
"124","13123",1,"ROSUVASTATIN (ROSUVASTATIN CALCIUM)","ROSUVASTATIN","ROSUVASTATIN CALCIUM"
"125","2585",2,"SALBUTAMOL|SALBUTAMOL (SALBUTAMOL SULFATE)","SALBUTAMOL","SALBUTAMOL SULFATE"
"126","20524",1,"SAXAGLIPTIN (SAXAGLIPTIN HYDROCHLORIDE)","SAXAGLIPTIN","SAXAGLIPTIN HYDROCHLORIDE"
"127","11168",1,"SERTRALINE (SERTRALINE HYDROCHLORIDE)","SERTRALINE","SERTRALINE HYDROCHLORIDE"
"128","11854",1,"SILDENAFIL (SILDENAFIL CITRATE)","SILDENAFIL","SILDENAFIL CITRATE"
"129","1221",1,"SIMVASTATIN","SIMVASTATIN","SIMVASTATIN"
"130","20179",1,"SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","SITAGLIPTIN","SITAGLIPTIN PHOSPHATE MONOHYDRATE"
"131","7408",1,"SPIRONOLACTONE","SPIRONOLACTONE","SPIRONOLACTONE"
"132","11323",2,"SUMATRIPTAN (SUMATRIPTAN HEMISULFATE)|SUMATRIPTAN (SUMATRIPTAN SUCCINATE)","SUMATRIPTAN","SUMATRIPTAN HEMISULFATE|SUMATRIPTAN SUCCINATE"
"133","167",2,"TACROLIMUS|TACROLIMUS (Tacrolimus Monohydrate)","TACROLIMUS","Tacrolimus Monohydrate"
"134","12346",1,"TADALAFIL","TADALAFIL","TADALAFIL"
"135","11907",2,"TELMISARTAN|TELMISARTAN (TELMISARTAN SODIUM)","TELMISARTAN","TELMISARTAN SODIUM"
"136","2014",1,"TEMAZEPAM","TEMAZEPAM","TEMAZEPAM"
"137","11368",1,"TERAZOSIN (TERAZOSIN HYDROCHLORIDE)","TERAZOSIN","TERAZOSIN HYDROCHLORIDE"
"138","11385",1,"TERBINAFINE (TERBINAFINE HYDROCHLORIDE)","TERBINAFINE","TERBINAFINE HYDROCHLORIDE"
"139","7485",1,"TESTOSTERONE","TESTOSTERONE","TESTOSTERONE"
"140","11163",1,"TIMOLOL (TIMOLOL MALEATE)","TIMOLOL","TIMOLOL MALEATE"
"141","11384",1,"TOPIRAMATE","TOPIRAMATE","TOPIRAMATE"
"142","11443",1,"TRANDOLAPRIL","TRANDOLAPRIL","TRANDOLAPRIL"
"143","12477",1,"TRAVOPROST","TRAVOPROST","TRAVOPROST"
"144","7588",1,"TRIAMCINOLONE ACETONIDE","TRIAMCINOLONE ACETONIDE","TRIAMCINOLONE ACETONIDE"
"145","11114",2,"VALACYCLOVIR (VALACYCLOVIR HYDROCHLORIDE MONOHYDRATE)|VALACYCLOVIR (VALACYCLOVIR HYDROCHLORIDE)","VALACYCLOVIR","VALACYCLOVIR HYDROCHLORIDE MONOHYDRATE|VALACYCLOVIR HYDROCHLORIDE"
"146","11702",2,"VALSARTAN|VALSARTAN (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","VALSARTAN","SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX"
"147","20097",1,"VARENICLINE (VARENICLINE TARTRATE)","VARENICLINE","VARENICLINE TARTRATE"
"148","11336",1,"VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE)","VENLAFAXINE","VENLAFAXINE HYDROCHLORIDE"
"149","1200",1,"ZOPICLONE","ZOPICLONE","ZOPICLONE"
