mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name,
2245248,AMIODARONE HYDROCHLORIDE INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) FRESENIUS KABI CANADA LTD,NA,NA,ACTIVE,20020423,DIN,2245248,AMIODARONE HYDROCHLORIDE INJECTION,
700371,RATIO-IPRATROPIUM UDV (ipratropium bromide 250 mcg per 1 mL inhalation solution unit dose vial) TEVA CANADA LIMITED,NA,NA,ACTIVE,19951231,CCDD,2097168,RATIO-IPRATROPIUM UDV,
700372,RATIO-IPRATROPIUM UDV (ipratropium bromide 500 mcg per 2 mL inhalation solution unit dose vial) TEVA CANADA LIMITED,NA,NA,ACTIVE,19951231,CCDD,2097168,RATIO-IPRATROPIUM UDV,
2231136,PMS-IPRATROPIUM (ipratropium bromide 250 mcg per mL inhalation solution 20 mL bottle) PHARMASCIENCE INC,NA,NA,ACTIVE,19970715,DIN,2231136,PMS-IPRATROPIUM,
2231244,PMS-IPRATROPIUM (ipratropium bromide 250 mcg per 1 mL inhalation solution unit dose vial) PHARMASCIENCE INC,NA,NA,ACTIVE,19971029,DIN,2231244,PMS-IPRATROPIUM,
2231245,PMS-IPRATROPIUM (ipratropium bromide 500 mcg per 2 mL inhalation solution unit dose vial) PHARMASCIENCE INC,NA,NA,ACTIVE,19971029,DIN,2231245,PMS-IPRATROPIUM,
700374,TEVA-IPRATROPIUM STERINEBS (ipratropium bromide 0.025 % per 1 mL inhalation solution unit dose vial) TEVA CANADA LIMITED,NA,NA,ACTIVE,19980304,CCDD,2216221,TEVA-IPRATROPIUM STERINEBS,
700375,TEVA-IPRATROPIUM STERINEBS (ipratropium bromide 0.05 % per 2 mL inhalation solution unit dose vial) TEVA CANADA LIMITED,NA,NA,ACTIVE,19980304,CCDD,2216221,TEVA-IPRATROPIUM STERINEBS,
700361,MYLAN-IPRATROPIUM SOLUTION (ipratropium bromide 0.25 mg per mL inhalation solution 20 mL bottle) MYLAN PHARMACEUTICALS ULC,NA,NA,ACTIVE,19981204,CCDD,2239131,MYLAN-IPRATROPIUM SOLUTION,
700360,MYLAN-IPRATROPIUM SOLUTION (ipratropium bromide 0.25 mg per 1 mL inhalation solution unit dose vial) MYLAN PHARMACEUTICALS ULC,NA,NA,ACTIVE,19981204,CCDD,2239131,MYLAN-IPRATROPIUM SOLUTION,
700362,MYLAN-IPRATROPIUM SOLUTION (ipratropium bromide 0.5 mg per 2 mL inhalation solution unit dose vial) MYLAN PHARMACEUTICALS ULC,NA,NA,ACTIVE,19981204,CCDD,2239131,MYLAN-IPRATROPIUM SOLUTION,
2231494,APO-IPRAVENT STERULES (ipratropium bromide 0.05 % per 2 mL inhalation solution unit dose vial) APOTEX INC,NA,NA,INACTIVE,20170804,DIN,2231494,APO-IPRAVENT STERULES,
2126222,APO-IPRAVENT SOLUTION - INH 250MCG/ML (ipratropium bromide 250 mcg per mL inhalation solution 20 mL bottle) APOTEX INC,NA,NA,ACTIVE,19941231,DIN,2126222,APO-IPRAVENT SOLUTION - INH 250MCG/ML,
2243827,APO-IPRAVENT STERULES (ipratropium bromide 250 mcg per 2 mL inhalation solution unit dose vial) APOTEX INC,NA,NA,INACTIVE,20170804,DIN,2243827,APO-IPRAVENT STERULES,
2097176,RATIO-IPRATROPIUM UDV (ipratropium bromide 250 mcg per 2 mL inhalation solution unit dose vial) TEVA CANADA LIMITED,NA,NA,ACTIVE,19971204,DIN,2097176,RATIO-IPRATROPIUM UDV,
2231135,PMS-IPRATROPIUM (ipratropium bromide 250 mcg per 2 mL inhalation solution unit dose vial) PHARMASCIENCE INC,NA,NA,ACTIVE,19971029,DIN,2231135,PMS-IPRATROPIUM,
700092,AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION,NA,NA,ACTIVE,20020829,CCDD,2245696,AMIODARONE HYDROCHLORIDE FOR INJECTION,
700093,AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 300 mg per 6 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION,NA,NA,ACTIVE,20020829,CCDD,2245696,AMIODARONE HYDROCHLORIDE FOR INJECTION,
2236916,ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial) PFIZER CANADA INC,NA,NA,ACTIVE,19980318,DIN,2236916,ACYCLOVIR SODIUM INJECTION,
700065,ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD,NA,NA,ACTIVE,19980508,CCDD,2236926,ACYCLOVIR SODIUM INJECTION,
700066,ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD,NA,NA,ACTIVE,19980508,CCDD,2236926,ACYCLOVIR SODIUM INJECTION,
2131048,LIORESAL INTRATHECAL 0.05MG/ML (baclofen 0.05 mg per 1 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,ACTIVE,19941231,DIN,2131048,LIORESAL INTRATHECAL 0.05MG/ML,
2413620,BACLOFEN INJECTION (baclofen 0.05 mg per 1 mL solution for injection ampoule) STERIMAX INC,NA,NA,ACTIVE,20140606,DIN,2413620,BACLOFEN INJECTION,
2131056,LIORESAL INTRATHECAL 0.5MG/ML (baclofen 10 mg per 20 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,ACTIVE,19941231,DIN,2131056,LIORESAL INTRATHECAL 0.5MG/ML,
2413639,BACLOFEN INJECTION (baclofen 10 mg per 20 mL solution for injection ampoule) STERIMAX INC,NA,NA,ACTIVE,20140606,DIN,2413639,BACLOFEN INJECTION,
2131064,LIORESAL INTRATHECAL 2MG/ML (baclofen 10 mg per 5 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,ACTIVE,19941231,DIN,2131064,LIORESAL INTRATHECAL 2MG/ML,
2413647,BACLOFEN INJECTION (baclofen 10 mg per 5 mL solution for injection ampoule) STERIMAX INC,NA,NA,ACTIVE,20140606,DIN,2413647,BACLOFEN INJECTION,
2238903,BENZTROPINE OMEGA (benztropine mesylate 2 mg per 2 mL solution for injection vial) OMEGA LABORATORIES LTD,NA,NA,ACTIVE,19990528,DIN,2238903,BENZTROPINE OMEGA,
2399334,CALCITRIOL INJECTION USP (calcitriol 1 mcg per 1 mL solution for injection ampoule) STERIMAX INC,NA,NA,ACTIVE,20150327,DIN,2399334,CALCITRIOL INJECTION USP,
2399342,CALCITRIOL INJECTION USP (calcitriol 4 mcg per 2 mL solution for injection ampoule) STERIMAX INC,NA,NA,ACTIVE,20150416,DIN,2399342,CALCITRIOL INJECTION USP,
497282,CODEINE PHOSPHATE INJ 30MG/ML (codeine phosphate 30 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,DIN,497282,CODEINE PHOSPHATE INJ 30MG/ML,
544884,CODEINE PHOSPHATE INJECTION USP (codeine phosphate 30 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19781231,DIN,544884,CODEINE PHOSPHATE INJECTION USP,
497290,CODEINE PHOSPHATE INJ 60MG/ML (codeine phosphate 60 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,DIN,497290,CODEINE PHOSPHATE INJ 60MG/ML,
399728,DIAZEPAM INJECTION USP (diazepam 10 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19801231,DIN,399728,DIAZEPAM INJECTION USP,
2243240,DIAZEPAM AUTOINJECTOR (diazepam 10 mg per 2 mL solution for injection ampoule) MERIDIAN MEDICAL TECHNOLOGIES INC.,NA,NA,INACTIVE,20170705,DIN,2243240,DIAZEPAM AUTOINJECTOR,
2385392,DIAZEPAM INJECTION USP (diazepam 10 mg per 2 mL solution for injection ampoule) TELIGENT OU,NA,NA,ACTIVE,20170316,DIN,2385392,DIAZEPAM INJECTION USP,
2386143,DIAZEPAM INJECTION SDZ (diazepam 10 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,INACTIVE,20170803,DIN,2386143,DIAZEPAM INJECTION SDZ,
2048272,PEDIATRIC DIGOXIN INJECTION C.S.D. (digoxin 0.05 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,INACTIVE,20170803,DIN,2048272,PEDIATRIC DIGOXIN INJECTION C.S.D.,
2048264,DIGOXIN INJECTION C.S.D. (digoxin 0.5 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19941231,DIN,2048264,DIGOXIN INJECTION C.S.D.,
700058,DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 25 mg per 5 mL solution for injection vial) TEVA CANADA LIMITED,NA,NA,INACTIVE,20170901,CCDD,2230274,DILTIAZEM HYDROCHLORIDE INJECTION,
700059,DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 50 mg per 10 mL solution for injection vial) TEVA CANADA LIMITED,NA,NA,INACTIVE,20170901,CCDD,2230274,DILTIAZEM HYDROCHLORIDE INJECTION,
700086,DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 25 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20020109,CCDD,2244728,DILTIAZEM HYDROCHLORIDE INJECTION,
700087,DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 50 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20020109,CCDD,2244728,DILTIAZEM HYDROCHLORIDE INJECTION,
700516,FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,888346,FENTANYL CITRATE INJECTION,
700517,FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,888346,FENTANYL CITRATE INJECTION,
700518,FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,888346,FENTANYL CITRATE INJECTION,
700519,FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,888346,FENTANYL CITRATE INJECTION,
700520,FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,888346,FENTANYL CITRATE INJECTION,
700521,FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,888346,FENTANYL CITRATE INJECTION,
700447,FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20000210,CCDD,2240434,FENTANYL CITRATE INJECTION USP,
700448,FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20000210,CCDD,2240434,FENTANYL CITRATE INJECTION USP,
700449,FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20000210,CCDD,2240434,FENTANYL CITRATE INJECTION USP,
700450,FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20000210,CCDD,2240434,FENTANYL CITRATE INJECTION USP,
700451,FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 2500 mcg per 50 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20000210,CCDD,2240434,FENTANYL CITRATE INJECTION USP,
700486,FENTANYL CITRATE INJECTION SDZ (fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20130221,CCDD,2384124,FENTANYL CITRATE INJECTION SDZ,
700487,FENTANYL CITRATE INJECTION SDZ (fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20130221,CCDD,2384124,FENTANYL CITRATE INJECTION SDZ,
700488,FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule) TELIGENT OU,NA,NA,ACTIVE,20160418,CCDD,2385406,FENTANYL CITRATE INJECTION USP,
700489,FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection ampoule) TELIGENT OU,NA,NA,ACTIVE,20160418,CCDD,2385406,FENTANYL CITRATE INJECTION USP,
401633,FUROSEMIDE SPECIAL (furosemide 250 mg per 25 mL solution for injection 25 mL vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19911231,DIN,401633,FUROSEMIDE SPECIAL,
700284,FUROSEMIDE INJ USP (furosemide 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19811231,CCDD,527033,FUROSEMIDE INJ USP,
700285,FUROSEMIDE INJ USP (furosemide 40 mg per 4 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19811231,CCDD,527033,FUROSEMIDE INJ USP,
700280,FUROSEMIDE INJECTION USP (furosemide 20 mg per 2 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,565040,FUROSEMIDE INJECTION USP,
700282,FUROSEMIDE INJECTION USP (furosemide 40 mg per 4 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,565040,FUROSEMIDE INJECTION USP,
700281,FUROSEMIDE INJECTION USP (furosemide 20 mg per 2 mL solution for injection syringe) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,565040,FUROSEMIDE INJECTION USP,
700283,FUROSEMIDE INJECTION USP (furosemide 40 mg per 4 mL solution for injection syringe) HOSPIRA HEALTHCARE CORPORATION,NA,NA,INACTIVE,20170728,CCDD,565040,FUROSEMIDE INJECTION USP,
700276,FUROSEMIDE INJECTION (furosemide 20 mg per 2 mL solution for injection vial) OMEGA LABORATORIES LTD,NA,NA,ACTIVE,20110608,CCDD,2360365,FUROSEMIDE INJECTION,
700277,FUROSEMIDE INJECTION (furosemide 40 mg per 4 mL solution for injection vial) OMEGA LABORATORIES LTD,NA,NA,ACTIVE,20110608,CCDD,2360365,FUROSEMIDE INJECTION,
2360446,FUROSEMIDE SPECIAL INJECTION (furosemide 250 mg per 25 mL solution for injection 25 mL vial) OMEGA LABORATORIES LTD,NA,NA,ACTIVE,20110608,DIN,2360446,FUROSEMIDE SPECIAL INJECTION,
700278,FUROSEMIDE INJECTION SDZ (furosemide 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20120726,CCDD,2382539,FUROSEMIDE INJECTION SDZ,
700279,FUROSEMIDE INJECTION SDZ (furosemide 40 mg per 4 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20120726,CCDD,2382539,FUROSEMIDE INJECTION SDZ,
2384094,FUROSEMIDE INJECTION USP (furosemide 20 mg per 2 mL solution for injection ampoule) TELIGENT OU,NA,NA,ACTIVE,20130822,DIN,2384094,FUROSEMIDE INJECTION USP,
700024,HALOPERIDOL LA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19941231,CCDD,2130300,HALOPERIDOL LA,
700025,HALOPERIDOL LA (haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19941231,CCDD,2130300,HALOPERIDOL LA,
700167,PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection vial) PHARMASCIENCE INC,NA,NA,INACTIVE,20170803,CCDD,2230708,PMS-HALOPERIDOL-LA,
700168,PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial) PHARMASCIENCE INC,NA,NA,INACTIVE,20170803,CCDD,2230708,PMS-HALOPERIDOL-LA,
2130297,HALOPERIDOL LA (haloperidol (haloperidol decanoate) 250 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,INACTIVE,20170803,DIN,2130297,HALOPERIDOL LA,
2230707,PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 250 mg per 5 mL solution for injection vial) PHARMASCIENCE INC,NA,NA,INACTIVE,20170803,DIN,2230707,PMS-HALOPERIDOL-LA,
808652,HALOPERIDOL INJ 5MG/ML USP (haloperidol 5 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19891231,DIN,808652,HALOPERIDOL INJ 5MG/ML USP,
2366010,HALOPERIDOL INJECTION (haloperidol 5 mg per 1 mL solution for injection vial) OMEGA LABORATORIES LTD,NA,NA,ACTIVE,20110919,DIN,2366010,HALOPERIDOL INJECTION,
700123,"HALOPERIDOL INJECTION, USP (haloperidol 5 mg per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD",NA,NA,ACTIVE,20141020,CCDD,2406411,"HALOPERIDOL INJECTION, USP",
700124,"HALOPERIDOL INJECTION, USP (haloperidol 50 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD",NA,NA,ACTIVE,20141020,CCDD,2406411,"HALOPERIDOL INJECTION, USP",
2239640,HALOPERIDOL-LA OMEGA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection vial) OMEGA LABORATORIES LTD,NA,NA,INACTIVE,20170804,DIN,2239640,HALOPERIDOL-LA OMEGA,
2239639,HALOPERIDOL-LA OMEGA (haloperidol (haloperidol decanoate) 250 mg per 5 mL solution for injection vial) OMEGA LABORATORIES LTD,NA,NA,INACTIVE,20170804,DIN,2239639,HALOPERIDOL-LA OMEGA,
700250,DILAUDID HP (hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial) PURDUE PHARMA,NA,NA,INACTIVE,20170727,CCDD,622133,DILAUDID HP,
700252,DILAUDID HP (hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial) PURDUE PHARMA,NA,NA,INACTIVE,20170727,CCDD,622133,DILAUDID HP,
700251,DILAUDID HP (hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial) PURDUE PHARMA,NA,NA,INACTIVE,20170727,CCDD,622133,DILAUDID HP,
700291,HYDROMORPHONE HP 10 (hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,CCDD,2145928,HYDROMORPHONE HP 10,
700293,HYDROMORPHONE HP 10 (hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,CCDD,2145928,HYDROMORPHONE HP 10,
700290,HYDROMORPHONE HP 10 (hydromorphone hydrochloride 100 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,CCDD,2145928,HYDROMORPHONE HP 10,
700292,HYDROMORPHONE HP 10 (hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,CCDD,2145928,HYDROMORPHONE HP 10,
700303,HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial) PFIZER CANADA INC,NA,NA,ACTIVE,20140611,CCDD,2382636,HYDROMORPHONE HYDROCHLORIDE INJECTION USP,
700305,HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial) PFIZER CANADA INC,NA,NA,ACTIVE,20140611,CCDD,2382636,HYDROMORPHONE HYDROCHLORIDE INJECTION USP,
700304,HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial) PFIZER CANADA INC,NA,NA,ACTIVE,20140611,CCDD,2382636,HYDROMORPHONE HYDROCHLORIDE INJECTION USP,
700302,HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10 (hydromorphone hydrochloride 10 mg per 1 mL solution for injection ampoule) STERIMAX INC,NA,NA,ACTIVE,20170206,CCDD,2460610,HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10,
700301,HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10 (hydromorphone hydrochloride 100 mg per 10 mL solution for injection ampoule) STERIMAX INC,NA,NA,ACTIVE,20170206,CCDD,2460610,HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10,
2244797,HYDROMORPHONE HP FORTE INJECTION (hydromorphone hydrochloride 1000 mg per 10 mL solution for injection 10 mL vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20011210,DIN,2244797,HYDROMORPHONE HP FORTE INJECTION,
627100,DILAUDID (hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule) PURDUE PHARMA,NA,NA,INACTIVE,20170727,DIN,627100,DILAUDID,
2145901,HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,DIN,2145901,HYDROMORPHONE HYDROCHLORIDE INJECTION USP,
2460602,HYDROMORPHONE HYDROCHLORIDE INJECTION (hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule) STERIMAX INC,NA,NA,ACTIVE,20170206,DIN,2460602,HYDROMORPHONE HYDROCHLORIDE INJECTION,
700299,HYDROMORPHONE HP 50 (hydromorphone hydrochloride 50 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,CCDD,2146126,HYDROMORPHONE HP 50,
700297,HYDROMORPHONE HP 50 (hydromorphone hydrochloride 250 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,CCDD,2146126,HYDROMORPHONE HP 50,
700298,HYDROMORPHONE HP 50 (hydromorphone hydrochloride 500 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,CCDD,2146126,HYDROMORPHONE HP 50,
700300,HYDROMORPHONE HP 50 (hydromorphone hydrochloride 50 mg per mL solution for injection 50 mL vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19951231,CCDD,2146126,HYDROMORPHONE HP 50,
2162644,TORADOL IM (ketorolac tromethamine 10 mg per 1 mL solution for injection ampoule) ATNAHS PHARMA UK LIMITED,NA,NA,ACTIVE,19961016,DIN,2162644,TORADOL IM,
2239944,KETOROLAC TROMETHAMINE INJECTION USP (ketorolac tromethamine 30 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,19990521,DIN,2239944,KETOROLAC TROMETHAMINE INJECTION USP,
700088,"KETOROLAC TROMETHAMINE INJECTION, USP (ketorolac tromethamine 30 mg per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD",NA,NA,ACTIVE,20020523,CCDD,2244947,"KETOROLAC TROMETHAMINE INJECTION, USP",
700089,"KETOROLAC TROMETHAMINE INJECTION, USP (ketorolac tromethamine 60 mg per 2 mL solution for injection vial) FRESENIUS KABI CANADA LTD",NA,NA,ACTIVE,20020523,CCDD,2244947,"KETOROLAC TROMETHAMINE INJECTION, USP",
2390582,KETOROLAC TROMETHAMINE INJECTION USP (ketorolac tromethamine 30 mg per 1 mL solution for injection vial) PFIZER CANADA INC,NA,NA,ACTIVE,20140529,DIN,2390582,KETOROLAC TROMETHAMINE INJECTION USP,
2443376,"KETOROLAC TROMETHAMINE INJECTION, USP (ketorolac tromethamine 30 mg per 1 mL solution for injection vial) MDA INC.",NA,NA,ACTIVE,20160426,DIN,2443376,"KETOROLAC TROMETHAMINE INJECTION, USP",
2243989,APO-KETOROLAC INJECTABLE (ketorolac tromethamine 30 mg per 1 mL solution for injection vial) APOTEX INC,NA,NA,INACTIVE,20170804,DIN,2243989,APO-KETOROLAC INJECTABLE,
