"ntp_formal_name","ccdd","n_mp","greater_than_5_AIs","ntp_status","ntp_status_effective_time","ntp_type","ntp_code"
"azathioprine (azathioprine sodium) 50 mg per vial powder for solution for injection",TRUE,1,FALSE,"active",2001-12-20,NA,9006558
"pentazocine (pentazocine lactate) 30 mg per 1 mL solution for injection ampoule",TRUE,1,FALSE,"active",2002-11-01,NA,9006559
"moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL solution for injection 250 mL bag",TRUE,1,FALSE,"active",2003-06-24,NA,9006560
"moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL solution for injection 250 mL bottle",TRUE,1,FALSE,"active",2003-06-24,NA,9006561
"ethinyl estradiol 35 mcg per 24 hours and norelgestromin 20 mcg per 24 hours transdermal patch",TRUE,1,FALSE,"active",2003-12-24,NA,9006562
"risperidone 37.5 mg per vial powder for prolonged-release suspension for injection with diluent solution",TRUE,1,FALSE,"active",2004-09-08,NA,9006563
"drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet",TRUE,3,FALSE,"active",2004-12-22,NA,9006564
"drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet",TRUE,3,FALSE,"active",2004-12-22,NA,9006565
"ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet",TRUE,2,TRUE,"active",2005-01-27,"comb",9006566
"ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet",TRUE,2,TRUE,"active",2005-01-27,"comb",9006567
"desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet",TRUE,1,TRUE,"active",2006-06-13,"comb",9006568
"desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet",TRUE,1,TRUE,"active",2006-06-13,"comb",9006569
"ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet",TRUE,3,FALSE,"active",2007-08-14,NA,9006570
"varenicline (varenicline tartrate) 0.5 mg oral tablet with varenicline (varenicline tartrate) 1 mg oral tablet",TRUE,1,FALSE,"active",2007-10-02,"comb",9006571
"drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet",TRUE,2,FALSE,"active",2009-01-06,NA,9006572
"ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol100 mcg oral tablet",TRUE,1,FALSE,"active",2011-04-18,"comb",9006573
"ethinyl estradiol 100 mcg and norethindrone acetate 1 mg oral tablet with ethinyl estradiol 100 mcg oral tablet with lactose oral tablet",TRUE,1,FALSE,"active",2014-03-24,"comb",9006574
"betamethasone valerate 0.1 % cutaneous patch",TRUE,1,FALSE,"active",2016-04-05,NA,9006575
"propranolol (propranolol hydrochloride) 3.75 mg per mL oral solution",TRUE,1,FALSE,"active",2017-03-23,NA,9006576
"dextran 10 % and dextrose 5 % solution for injection",FALSE,1,FALSE,"active",1968-12-31,NA,9006577
"atropine sulfate 0.1 mg per mL solution for injection",FALSE,1,FALSE,"active",1975-12-31,NA,9006578
"miconazole nitrate 2 % and miconazole nitrate 100 mg NA",FALSE,1,FALSE,"active",1994-12-31,NA,9006579
"dobutamine (dobutamine hydrochloride) 250 mg per 20 mL solution for injection",FALSE,1,FALSE,"active",1996-10-24,NA,9006580
"dimenhydrinate 15 mg per 5 mL oral solution",FALSE,1,FALSE,"active",1996-12-31,NA,9006581
"bupivacaine hydrochloride 15 mg per 2 mL solution for injection",FALSE,1,FALSE,"active",2000-12-01,NA,9006582
"bupivacaine hydrochloride 100 mg per 20 mL and epinephrine bitartrate 0.182 mg per 20 mL solution for injection",FALSE,1,FALSE,"active",2001-07-15,NA,9006583
"bupivacaine hydrochloride 50 mg per 20 mL and epinephrine bitartrate 0.182 mg per 20 mL solution for injection",FALSE,1,FALSE,"active",2001-07-15,NA,9006584
"bupivacaine hydrochloride 150 mg per 20 mL solution for injection",FALSE,1,FALSE,"active",2001-09-15,NA,9006585
"bupivacaine hydrochloride 250 mg per 50 mL solution for injection",FALSE,1,FALSE,"active",2008-09-17,NA,9006586
"bupivacaine hydrochloride 125 mg per 50 mL solution for injection",FALSE,1,FALSE,"active",2008-10-08,NA,9006587
"calcium chloride 40 mcmol per mL and thrombin (human) 500 unit per mL and NA 125 mg per mL and NA 3000 kiu per mL cutaneous solution",FALSE,1,FALSE,"active",2011-06-20,NA,9006588
"fluticasone propionate 50 mcg per actuation and NA 137 mcg per actuation nasal spray",FALSE,1,FALSE,"active",2015-03-31,NA,9006589
"coagulation factor ix (recombinant) 1000 unit per vial and water 10 mL per vial NA",FALSE,1,FALSE,"inactive",2017-07-19,NA,9006590
"coagulation factor ix (recombinant) 250 unit per vial and water 5 mL per vial NA",FALSE,1,FALSE,"inactive",2017-07-19,NA,9006591
"coagulation factor ix (recombinant) 500 unit per vial and water 5 mL per vial NA",FALSE,1,FALSE,"inactive",2017-07-19,NA,9006592
"erythromycin (erythromycin ethylsuccinate) 200 mg per 5 mL and sulfisoxazole (sulfisoxazole acetyl) 600 mg per 5 mL oral suspension",FALSE,1,FALSE,"inactive",2017-07-25,NA,9006593
"NA 375 mg prolonged-release oral tablet",FALSE,1,FALSE,"inactive",2017-08-02,NA,9006594
"tolnaftate 1 % cutaneous gel",FALSE,1,FALSE,"inactive",2017-08-03,NA,9006595
"betamethasone (betamethasone sodium phosphate) 1 mg per mL and gentamicin (gentamicin sulfate) 3 mg per mL ophthalmic/otic drops",FALSE,1,FALSE,"inactive",2017-08-16,NA,9006596
"homosalate 6 % and octinoxate 7.5 % and octisalate 5 % and oxybenzone 6 % cutaneous spray",FALSE,1,FALSE,"inactive",2017-08-17,NA,9006597
"vitamin C (calcium ascorbate) 500 mg oral capsule",FALSE,1,FALSE,"inactive",2017-08-18,NA,9006598
"avobenzone 2 % and homosalate 8 % and octinoxate 7.5 % and octisalate 5 % and octocrylene 1.5 % and oxybenzone 4 % lotion",FALSE,1,TRUE,"inactive",2017-08-23,NA,9006599
"avobenzone 3 % and octinoxate 7.5 % and octisalate 3 % and oxybenzone 4 % cutaneous cream",FALSE,2,FALSE,"inactive",2017-08-24,NA,9006600
"avobenzone 3 % and octinoxate 7.5 % and octisalate 3 % and oxybenzone 4 % lotion",FALSE,3,FALSE,"inactive",2017-08-24,NA,9006601
"petrolatum 41 % cutaneous ointment",FALSE,1,FALSE,"inactive",2017-08-24,NA,9006602
"chloroxylenol 1.5 % cutaneous liquid",FALSE,1,FALSE,"inactive",2017-08-26,NA,9006603
"interferon alfa-2b 18 miu per vial and water 1 mL per vial NA",FALSE,1,FALSE,"inactive",2017-08-28,NA,9006604
"avobenzone 1 % and homosalate 10 % and octisalate 5 % and octocrylene 0.8 % and oxybenzone 4 % lotion",FALSE,1,FALSE,"inactive",2017-09-05,NA,9006605
"avobenzone 3 % and hydroquinone 4 % and octocrylene 8 % and oxybenzone 4 % cutaneous cream",FALSE,1,FALSE,"inactive",2017-09-05,NA,9006606
"hydroquinone 4 % and octinoxate 7.5 % and oxybenzone 3 % and titanium dioxide 2 % and zinc oxide 3.5 % lotion",FALSE,1,FALSE,"inactive",2017-09-05,NA,9006607
"hydroquinone 4 % and octocrylene 2 % and oxybenzone 3 % and padimate o 8 % cutaneous cream",FALSE,1,FALSE,"inactive",2017-09-05,NA,9006608
"hydroquinone 4 % and oxybenzone 2 % and padimate o 8 % and NA 3 % cutaneous cream",FALSE,1,FALSE,"inactive",2017-09-05,NA,9006609
"triclosan 0.15 % cutaneous liquid",FALSE,1,FALSE,"inactive",2017-09-07,NA,9006610
"octinoxate 6.75 % and octisalate 2.7 % and oxybenzone 4.5 % cutaneous cream",FALSE,1,FALSE,"inactive",2017-09-15,NA,9006611
"octinoxate 6.75 % and octisalate 2.7 % and oxybenzone 4.5 % lotion",FALSE,1,FALSE,"inactive",2017-09-15,NA,9006612
"avobenzone 3 % and homosalate 10 % and octinoxate 7.5 % and octisalate 5 % and octocrylene 5 % cutaneous spray",FALSE,1,FALSE,"inactive",2017-09-20,NA,9006613
"avobenzone 3 % and homosalate 6 % and octinoxate 7.5 % and octisalate 5 % and zinc oxide 2.5 % cutaneous cream",FALSE,1,FALSE,"inactive",2017-09-20,NA,9006614
"tinzaparin sodium 11700 unit per mL solution for injection",FALSE,1,FALSE,"inactive",2017-09-21,NA,9006615
