"ccdd","ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name","n_mp","greater_than_5_AIs"
TRUE,9000022,NA,NA,"active",1958-12-31,NA,"hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection",2,FALSE
TRUE,9000023,NA,NA,"active",1958-12-31,NA,"methylphenidate hydrochloride 20 mg oral tablet",6,FALSE
TRUE,9001568,NA,NA,"active",1959-01-01,NA,"belladonna 0.2 mg and ergotamine tartrate 0.6 mg and phenobarbital 40 mg prolonged-release oral tablet",1,FALSE
TRUE,9000024,NA,NA,"active",1959-12-31,NA,"prednisone 5 mg oral tablet",4,FALSE
TRUE,9000025,NA,NA,"active",1959-12-31,NA,"spironolactone 25 mg oral tablet",2,FALSE
TRUE,9000026,NA,NA,"active",1960-12-31,NA,"medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial",1,FALSE
TRUE,9000027,NA,NA,"active",1961-12-31,NA,"medroxyprogesterone acetate 5 mg oral tablet",4,FALSE
TRUE,9000028,NA,NA,"active",1961-12-31,NA,"norethindrone acetate 5 mg oral tablet",1,FALSE
TRUE,9000029,NA,NA,"active",1962-12-31,NA,"hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection",2,FALSE
TRUE,9000031,NA,NA,"active",1964-12-31,NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",2,FALSE
TRUE,9000032,NA,NA,"active",1964-12-31,NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",2,FALSE
TRUE,9000033,NA,NA,"active",1965-12-31,NA,"amitriptyline hydrochloride 10 mg oral tablet",11,FALSE
TRUE,9001611,NA,NA,"active",1965-12-31,NA,"betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection",2,FALSE
TRUE,9000034,NA,NA,"active",1965-12-31,NA,"nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule",4,FALSE
TRUE,9000035,NA,NA,"active",1965-12-31,NA,"nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule",4,FALSE
TRUE,9000036,NA,NA,"active",1966-12-31,NA,"azathioprine 50 mg oral tablet",6,FALSE
TRUE,9000037,NA,NA,"active",1966-12-31,NA,"dexamethasone 0.1 % ophthalmic ointment",1,FALSE
TRUE,9000038,NA,NA,"active",1966-12-31,NA,"hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection",2,FALSE
TRUE,9000039,NA,NA,"active",1966-12-31,NA,"quinine sulfate 200 mg oral capsule",5,FALSE
TRUE,9000040,NA,NA,"active",1966-12-31,NA,"quinine sulfate 300 mg oral capsule",5,FALSE
TRUE,9000041,NA,NA,"active",1966-12-31,NA,"triamcinolone acetonide 50 mg per 5 mL suspension for injection vial",2,FALSE
TRUE,9000042,NA,NA,"active",1967-12-31,NA,"hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection",2,FALSE
TRUE,9000043,NA,NA,"active",1968-12-31,NA,"hydrochlorothiazide 25 mg oral tablet",8,FALSE
TRUE,9000044,NA,NA,"active",1968-12-31,NA,"hydrochlorothiazide 50 mg oral tablet",7,FALSE
TRUE,9000045,NA,NA,"active",1968-12-31,NA,"phenytoin 30 mg per 5 mL oral suspension",1,FALSE
TRUE,9000046,NA,NA,"active",1969-12-31,NA,"amitriptyline hydrochloride 50 mg oral tablet",11,FALSE
TRUE,9000047,NA,NA,"active",1969-12-31,NA,"carbamazepine 200 mg oral tablet",6,FALSE
TRUE,9000048,NA,NA,"active",1970-12-31,NA,"clindamycin (clindamycin hydrochloride) 150 mg oral capsule",6,FALSE
TRUE,9000050,NA,NA,"active",1970-12-31,NA,"metronidazole 10 % vaginal cream",1,FALSE
TRUE,9000051,NA,NA,"active",1970-12-31,NA,"pentazocine (pentazocine hydrochloride) 50 mg oral tablet",1,FALSE
TRUE,9000559,NA,NA,"active",1971-12-31,NA,"cephalexin 125 mg per 5 mL oral suspension",4,FALSE
TRUE,9000560,NA,NA,"active",1971-12-31,NA,"cephalexin 250 mg per 5 mL oral suspension",4,FALSE
TRUE,9000054,NA,NA,"active",1971-12-31,NA,"lithium carbonate 300 mg oral capsule",4,FALSE
TRUE,9000055,NA,NA,"active",1971-12-31,NA,"metronidazole 250 mg oral tablet",3,FALSE
TRUE,9000056,NA,NA,"active",1972-12-31,NA,"amitriptyline hydrochloride 25 mg oral tablet",11,FALSE
TRUE,9000057,NA,NA,"active",1972-12-31,NA,"cephalexin 500 mg oral tablet",6,FALSE
TRUE,9000058,NA,NA,"active",1972-12-31,NA,"clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution",1,FALSE
TRUE,9000059,NA,NA,"active",1972-12-31,NA,"ibuprofen 200 mg oral tablet",16,FALSE
TRUE,9000060,NA,NA,"active",1972-12-31,NA,"nitroglycerin 0.3 mg sublingual tablet",1,FALSE
TRUE,9000061,NA,NA,"active",1972-12-31,NA,"nitroglycerin 0.6 mg sublingual tablet",1,FALSE
TRUE,9000062,NA,NA,"active",1972-12-31,NA,"norethindrone 0.35 mg oral tablet",3,FALSE
TRUE,9000063,NA,NA,"active",1972-12-31,NA,"prednisone 50 mg oral tablet",3,FALSE
TRUE,9000064,NA,NA,"active",1973-12-31,NA,"clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial",4,FALSE
TRUE,9000065,NA,NA,"active",1973-12-31,NA,"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial",4,FALSE
TRUE,9000066,NA,NA,"active",1973-12-31,NA,"clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial",2,FALSE
TRUE,9000067,NA,NA,"active",1973-12-31,NA,"clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial",4,FALSE
TRUE,9000068,NA,NA,"active",1973-12-31,NA,"erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension",1,FALSE
TRUE,9000069,NA,NA,"active",1973-12-31,NA,"oxycodone hydrochloride 10 mg suppository",1,FALSE
TRUE,9000070,NA,NA,"active",1973-12-31,NA,"oxycodone hydrochloride 20 mg suppository",1,FALSE
TRUE,9000071,NA,NA,"active",1973-12-31,NA,"triamcinolone acetonide 200 mg per 5 mL suspension for injection vial",3,FALSE
TRUE,9000072,NA,NA,"active",1973-12-31,NA,"triamcinolone acetonide 40 mg per 1 mL suspension for injection vial",2,FALSE
TRUE,9000073,NA,NA,"active",1974-12-31,NA,"allopurinol 300 mg oral tablet",6,FALSE
TRUE,9000074,NA,NA,"active",1974-12-31,NA,"colchicine 0.6 mg oral tablet",4,FALSE
TRUE,9000075,NA,NA,"active",1974-12-31,NA,"diazepam 5 mg oral tablet",5,FALSE
TRUE,9000077,NA,NA,"active",1974-12-31,NA,"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet",1,FALSE
TRUE,9000078,NA,NA,"active",1974-12-31,NA,"levothyroxine sodium 150 mcg oral tablet",2,FALSE
TRUE,9000079,NA,NA,"active",1974-12-31,NA,"nitrofurantoin 100 mg oral tablet",1,FALSE
TRUE,9000080,NA,NA,"active",1974-12-31,NA,"nitrofurantoin 50 mg oral tablet",1,FALSE
TRUE,9000081,NA,NA,"active",1974-12-31,NA,"prednisolone acetate 0.12 % ophthalmic drops",2,FALSE
TRUE,9000082,NA,NA,"active",1974-12-31,NA,"prednisolone acetate 1 % ophthalmic drops",4,FALSE
TRUE,9000083,NA,NA,"active",1975-12-31,NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",1,FALSE
TRUE,9000084,NA,NA,"active",1975-12-31,NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",1,FALSE
TRUE,9000085,NA,NA,"active",1975-12-31,NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",2,FALSE
TRUE,9000086,NA,NA,"active",1975-12-31,NA,"betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",7,FALSE
TRUE,9000087,NA,NA,"active",1975-12-31,NA,"carbidopa 25 mg and levodopa 250 mg oral tablet",4,FALSE
TRUE,9000088,NA,NA,"active",1975-12-31,NA,"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet",1,FALSE
TRUE,9000089,NA,NA,"active",1975-12-31,NA,"folic acid 25 mg oral tablet",1,FALSE
TRUE,9000090,NA,NA,"active",1975-12-31,NA,"spironolactone 100 mg oral tablet",2,FALSE
TRUE,9000091,NA,NA,"active",1976-12-31,NA,"betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",6,FALSE
TRUE,9000092,NA,NA,"active",1976-12-31,NA,"furosemide 20 mg oral tablet",6,FALSE
TRUE,9000093,NA,NA,"active",1976-12-31,NA,"furosemide 40 mg oral tablet",6,FALSE
TRUE,9000094,NA,NA,"active",1977-12-31,NA,"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9,FALSE
TRUE,9000095,NA,NA,"active",1977-12-31,NA,"betamethasone (betamethasone dipropionate) 0.05 % lotion",7,FALSE
TRUE,9000096,NA,NA,"active",1977-12-31,NA,"cephalexin 250 mg oral tablet",5,FALSE
TRUE,9000097,NA,NA,"active",1977-12-31,NA,"clonazepam 0.5 mg oral tablet",16,FALSE
TRUE,9000098,NA,NA,"active",1977-12-31,NA,"clonazepam 2 mg oral tablet",13,FALSE
TRUE,9000099,NA,NA,"active",1977-12-31,NA,"dexamethasone 0.1 % ophthalmic drops",1,FALSE
TRUE,9000100,NA,NA,"active",1977-12-31,NA,"metoprolol tartrate 100 mg oral tablet",15,FALSE
TRUE,9000101,NA,NA,"active",1977-12-31,NA,"metoprolol tartrate 50 mg oral tablet",15,FALSE
TRUE,9000103,NA,NA,"active",1978-12-31,NA,"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",4,FALSE
TRUE,9000104,NA,NA,"active",1978-12-31,NA,"baclofen 10 mg oral tablet",10,FALSE
TRUE,9000105,NA,NA,"active",1978-12-31,NA,"benztropine mesylate 2 mg oral tablet",2,FALSE
TRUE,9006199,NA,NA,"active",1978-12-31,NA,"codeine phosphate 10 mg per 5 mL oral solution",1,FALSE
TRUE,9000107,NA,NA,"active",1978-12-31,NA,"codeine phosphate 30 mg per 1 mL solution for injection ampoule",2,FALSE
TRUE,9000108,NA,NA,"active",1978-12-31,NA,"diazepam 10 mg oral tablet",4,FALSE
TRUE,9000109,NA,NA,"active",1978-12-31,NA,"folic acid 5 mg oral tablet",4,FALSE
TRUE,9000299,NA,NA,"active",1978-12-31,NA,"morphine sulfate 10 mg per 1 mL solution for injection ampoule",3,FALSE
TRUE,9000111,NA,NA,"active",1978-12-31,NA,"morphine sulfate 15 mg per 1 mL solution for injection ampoule",2,FALSE
TRUE,9000112,NA,NA,"active",1978-12-31,NA,"prednisone 1 mg oral tablet",3,FALSE
TRUE,9000113,NA,NA,"active",1978-12-31,NA,"valproic acid (sodium valproate) 50 mg per mL oral solution",1,FALSE
TRUE,9000114,NA,NA,"active",1979-12-31,NA,"amitriptyline hydrochloride 75 mg oral tablet",5,FALSE
TRUE,9000373,NA,NA,"active",1979-12-31,NA,"amoxicillin 125 mg per 5 mL oral suspension",8,FALSE
TRUE,9000116,NA,NA,"active",1979-12-31,NA,"amoxicillin 250 mg oral capsule",10,FALSE
TRUE,9000374,NA,NA,"active",1979-12-31,NA,"amoxicillin 250 mg per 5 mL oral suspension",9,FALSE
TRUE,9000118,NA,NA,"active",1979-12-31,NA,"amoxicillin 500 mg oral capsule",11,FALSE
TRUE,9000119,NA,NA,"active",1979-12-31,NA,"betamethasone (betamethasone valerate) 0.05 % cutaneous cream",3,FALSE
TRUE,9000120,NA,NA,"active",1979-12-31,NA,"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment",2,FALSE
TRUE,9000163,NA,NA,"active",1979-12-31,NA,"betamethasone (betamethasone valerate) 0.1 % cutaneous cream",4,FALSE
TRUE,9000121,NA,NA,"active",1979-12-31,NA,"betamethasone (betamethasone valerate) 0.1 % lotion",5,FALSE
TRUE,9000123,NA,NA,"active",1979-12-31,NA,"calcitriol 0.25 mcg oral capsule",2,FALSE
TRUE,9000124,NA,NA,"active",1979-12-31,NA,"calcitriol 0.5 mcg oral capsule",2,FALSE
TRUE,9000125,NA,NA,"active",1979-12-31,NA,"carbidopa 10 mg and levodopa 100 mg oral tablet",4,FALSE
TRUE,9000126,NA,NA,"active",1979-12-31,NA,"cephalexin 250 mg oral capsule",1,FALSE
TRUE,9000127,NA,NA,"active",1979-12-31,NA,"cephalexin 500 mg oral capsule",1,FALSE
TRUE,9000128,NA,NA,"active",1979-12-31,NA,"diazepam 2 mg oral tablet",3,FALSE
TRUE,9000130,NA,NA,"active",1979-12-31,NA,"lithium carbonate 150 mg oral capsule",4,FALSE
TRUE,9000131,NA,NA,"active",1979-12-31,NA,"metronidazole 500 mg oral capsule",3,FALSE
TRUE,9000132,NA,NA,"active",1979-12-31,NA,"nystatin 100000 unit per g cutaneous cream",2,FALSE
TRUE,9000133,NA,NA,"active",1979-12-31,NA,"nystatin 100000 unit per g cutaneous ointment",2,FALSE
TRUE,9000134,NA,NA,"active",1979-12-31,NA,"nystatin 25000 unit per g vaginal cream",1,FALSE
TRUE,9000135,NA,NA,"active",1979-12-31,NA,"oxazepam 10 mg oral tablet",6,FALSE
TRUE,9000136,NA,NA,"active",1979-12-31,NA,"oxazepam 15 mg oral tablet",6,FALSE
TRUE,9000137,NA,NA,"active",1979-12-31,NA,"oxazepam 30 mg oral tablet",6,FALSE
TRUE,9000138,NA,NA,"active",1979-12-31,NA,"sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet",1,FALSE
TRUE,9000139,NA,NA,"active",1979-12-31,NA,"sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet",2,FALSE
TRUE,9000140,NA,NA,"active",1979-12-31,NA,"sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet",3,FALSE
TRUE,9000141,NA,NA,"active",1979-12-31,NA,"timolol (timolol maleate) 0.5 % ophthalmic drops",8,FALSE
TRUE,9000143,NA,NA,"active",1979-12-31,NA,"triamcinolone acetonide 0.1 % cutaneous cream",2,FALSE
TRUE,9000144,NA,NA,"active",1980-12-31,NA,"carbidopa 25 mg and levodopa 100 mg oral tablet",6,FALSE
TRUE,9000145,NA,NA,"active",1980-12-31,NA,"diazepam 20 mg per 2 mL solution for injection ampoule",3,FALSE
TRUE,9000146,NA,NA,"active",1980-12-31,NA,"diclofenac sodium 50 mg gastro-resistant tablet",9,FALSE
TRUE,9006200,NA,NA,"active",1980-12-31,NA,"epinephrine 0.09 mg per 0.3 mL solution for injection syringe",1,FALSE
TRUE,9000149,NA,NA,"active",1980-12-31,NA,"haloperidol 0.5 mg oral tablet",2,FALSE
TRUE,9000150,NA,NA,"active",1980-12-31,NA,"haloperidol 1 mg oral tablet",2,FALSE
TRUE,9000151,NA,NA,"active",1980-12-31,NA,"indomethacin 25 mg oral capsule",3,FALSE
TRUE,9000152,NA,NA,"active",1980-12-31,NA,"indomethacin 50 mg oral capsule",3,FALSE
TRUE,9000153,NA,NA,"active",1980-12-31,NA,"oxycodone hydrochloride 10 mg oral tablet",4,FALSE
TRUE,9000154,NA,NA,"active",1980-12-31,NA,"propranolol hydrochloride 10 mg oral tablet",3,FALSE
TRUE,9000155,NA,NA,"active",1980-12-31,NA,"propranolol hydrochloride 40 mg oral tablet",3,FALSE
TRUE,9000156,NA,NA,"active",1980-12-31,NA,"propranolol hydrochloride 80 mg oral tablet",3,FALSE
TRUE,9000157,NA,NA,"active",1980-12-31,NA,"temazepam 15 mg oral capsule",5,FALSE
TRUE,9000158,NA,NA,"active",1980-12-31,NA,"temazepam 30 mg oral capsule",5,FALSE
TRUE,9000159,NA,NA,"active",1981-12-31,NA,"allopurinol 100 mg oral tablet",5,FALSE
TRUE,9000160,NA,NA,"active",1981-12-31,NA,"allopurinol 200 mg oral tablet",5,FALSE
TRUE,9000161,NA,NA,"active",1981-12-31,NA,"alprazolam 0.25 mg oral tablet",9,FALSE
TRUE,9000162,NA,NA,"active",1981-12-31,NA,"alprazolam 0.5 mg oral tablet",9,FALSE
TRUE,9000164,NA,NA,"active",1981-12-31,NA,"bromazepam 3 mg oral tablet",4,FALSE
TRUE,9000165,NA,NA,"active",1981-12-31,NA,"bromazepam 6 mg oral tablet",4,FALSE
TRUE,9000167,NA,NA,"active",1981-12-31,NA,"erythromycin (erythromycin stearate) 250 mg oral tablet",1,FALSE
TRUE,9000168,NA,NA,"active",1981-12-31,NA,"flurazepam hydrochloride 15 mg oral capsule",5,FALSE
TRUE,9000169,NA,NA,"active",1981-12-31,NA,"flurazepam hydrochloride 30 mg oral capsule",4,FALSE
TRUE,9000170,NA,NA,"active",1981-12-31,NA,"furosemide 20 mg per 2 mL solution for injection ampoule",3,FALSE
TRUE,9000171,NA,NA,"active",1981-12-31,NA,"furosemide 40 mg per 4 mL solution for injection ampoule",3,FALSE
TRUE,9000172,NA,NA,"active",1981-12-31,NA,"hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet",3,FALSE
TRUE,9000174,NA,NA,"active",1982-12-31,NA,"acyclovir 5 % cutaneous ointment",1,FALSE
TRUE,9000177,NA,NA,"active",1982-12-31,NA,"indapamide 2.5 mg oral tablet",11,FALSE
TRUE,9000178,NA,NA,"active",1982-12-31,NA,"naproxen 125 mg oral tablet",1,FALSE
TRUE,9000179,NA,NA,"active",1982-12-31,NA,"naproxen 250 mg oral tablet",4,FALSE
TRUE,9006201,NA,NA,"active",1983-12-31,NA,"alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup",2,FALSE
TRUE,9000181,NA,NA,"active",1983-12-31,NA,"codeine phosphate 15 mg oral tablet",3,FALSE
TRUE,9000182,NA,NA,"active",1983-12-31,NA,"codeine phosphate 30 mg oral tablet",3,FALSE
TRUE,9000184,NA,NA,"active",1983-12-31,NA,"erythromycin 250 mg gastro-resistant capsule",1,FALSE
TRUE,9000187,NA,NA,"active",1983-12-31,NA,"hydrocortisone 2.5 % cutaneous cream",1,FALSE
TRUE,9000188,NA,NA,"active",1983-12-31,NA,"hydrocortisone acetate 10 % rectal foam",1,FALSE
TRUE,9000189,NA,NA,"active",1983-12-31,NA,"ibuprofen 300 mg oral tablet",3,FALSE
TRUE,9000190,NA,NA,"active",1983-12-31,NA,"ibuprofen 400 mg oral tablet",16,FALSE
TRUE,9000191,NA,NA,"active",1983-12-31,NA,"metoprolol tartrate 200 mg prolonged-release oral tablet",4,FALSE
TRUE,9000192,NA,NA,"active",1983-12-31,NA,"naproxen 375 mg oral tablet",4,FALSE
TRUE,9000193,NA,NA,"active",1983-12-31,NA,"naproxen 500 mg oral tablet",4,FALSE
TRUE,9000194,NA,NA,"active",1984-12-31,NA,"acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",5,FALSE
TRUE,9000195,NA,NA,"active",1984-12-31,NA,"acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet",1,FALSE
TRUE,9006203,NA,NA,"active",1984-12-31,NA,"epinephrine 0.045 mg per 0.3 mL solution for injection syringe",2,FALSE
TRUE,9002020,NA,NA,"active",1984-12-31,NA,"fusidate sodium 2 % cutaneous ointment",1,FALSE
TRUE,9000199,NA,NA,"active",1984-12-31,NA,"fusidic acid 2 % cutaneous cream",1,FALSE
TRUE,9000200,NA,NA,"active",1984-12-31,NA,"haloperidol 5 mg oral tablet",2,FALSE
TRUE,9000201,NA,NA,"active",1984-12-31,NA,"hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial",3,FALSE
TRUE,9006204,NA,NA,"active",1984-12-31,NA,"hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial",3,FALSE
TRUE,9000202,NA,NA,"active",1984-12-31,NA,"hydromorphone hydrochloride 2 mg oral tablet",4,FALSE
TRUE,9000203,NA,NA,"active",1984-12-31,NA,"hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule",3,FALSE
TRUE,9000204,NA,NA,"active",1984-12-31,NA,"hydromorphone hydrochloride 4 mg oral tablet",4,FALSE
TRUE,9000206,NA,NA,"active",1984-12-31,NA,"hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial",3,FALSE
TRUE,9000207,NA,NA,"active",1984-12-31,NA,"ibuprofen 600 mg oral tablet",3,FALSE
TRUE,9000208,NA,NA,"active",1984-12-31,NA,"methylphenidate hydrochloride 20 mg prolonged-release oral tablet",3,FALSE
TRUE,9000209,NA,NA,"active",1984-12-31,NA,"morphine hydrochloride 1 mg per mL syrup",2,FALSE
TRUE,9000210,NA,NA,"active",1984-12-31,NA,"morphine sulfate 1 mg per mL syrup",1,FALSE
TRUE,9000211,NA,NA,"active",1984-12-31,NA,"morphine sulfate 20 mg per mL oral drops",1,FALSE
TRUE,9000212,NA,NA,"active",1984-12-31,NA,"morphine sulfate 5 mg per mL syrup",1,FALSE
TRUE,9000213,NA,NA,"active",1984-12-31,NA,"procyclidine hydrochloride 2.5 mg per 5 mL oral solution",1,FALSE
TRUE,9000214,NA,NA,"active",1984-12-31,NA,"valproic acid (divalproex sodium) 125 mg gastro-resistant tablet",8,FALSE
TRUE,9000215,NA,NA,"active",1984-12-31,NA,"valproic acid (divalproex sodium) 250 mg gastro-resistant tablet",8,FALSE
TRUE,9000216,NA,NA,"active",1984-12-31,NA,"valproic acid (divalproex sodium) 500 mg gastro-resistant tablet",8,FALSE
TRUE,9000217,NA,NA,"active",1985-12-31,NA,"amoxicillin 250 mg per 5 mL powder for oral solution",1,FALSE
TRUE,9000218,NA,NA,"active",1985-12-31,NA,"baclofen 20 mg oral tablet",10,FALSE
TRUE,9000219,NA,NA,"active",1985-12-31,NA,"carbamazepine 100 mg chewable tablet",4,FALSE
TRUE,9000220,NA,NA,"active",1985-12-31,NA,"carbamazepine 200 mg chewable tablet",4,FALSE
TRUE,9000221,NA,NA,"active",1985-12-31,NA,"diclofenac sodium 100 mg prolonged-release oral tablet",6,FALSE
TRUE,9000222,NA,NA,"active",1985-12-31,NA,"diclofenac sodium 100 mg suppository",4,FALSE
TRUE,9000223,NA,NA,"active",1985-12-31,NA,"diclofenac sodium 50 mg suppository",4,FALSE
TRUE,9000224,NA,NA,"active",1985-12-31,NA,"lorazepam 0.5 mg oral tablet",8,FALSE
TRUE,9000225,NA,NA,"active",1985-12-31,NA,"lorazepam 1 mg oral tablet",8,FALSE
TRUE,9000226,NA,NA,"active",1985-12-31,NA,"lorazepam 2 mg oral tablet",8,FALSE
TRUE,9000227,NA,NA,"active",1985-12-31,NA,"metoprolol tartrate 100 mg prolonged-release oral tablet",4,FALSE
TRUE,9000228,NA,NA,"active",1985-12-31,NA,"morphine hydrochloride 5 mg per mL syrup",2,FALSE
TRUE,9000229,NA,NA,"active",1985-12-31,NA,"morphine sulfate 10 mg oral tablet",2,FALSE
TRUE,9000230,NA,NA,"active",1985-12-31,NA,"morphine sulfate 10 mg suppository",1,FALSE
TRUE,9000231,NA,NA,"active",1985-12-31,NA,"morphine sulfate 20 mg suppository",1,FALSE
TRUE,9000232,NA,NA,"active",1985-12-31,NA,"morphine sulfate 25 mg oral tablet",1,FALSE
TRUE,9000233,NA,NA,"active",1985-12-31,NA,"morphine sulfate 5 mg oral tablet",2,FALSE
TRUE,9000234,NA,NA,"active",1985-12-31,NA,"nitroglycerin 2 % cutaneous ointment",1,FALSE
TRUE,9006206,NA,NA,"active",1985-12-31,NA,"penicillin v potassium 300 mg oral tablet",1,FALSE
TRUE,9000238,NA,NA,"active",1985-12-31,NA,"procyclidine hydrochloride 2.5 mg oral tablet",1,FALSE
TRUE,9000239,NA,NA,"active",1985-12-31,NA,"procyclidine hydrochloride 5 mg oral tablet",1,FALSE
TRUE,9006207,NA,NA,"active",1986-12-18,NA,"codeine phosphate 25 mg per 5 mL syrup",1,FALSE
TRUE,9000241,NA,NA,"active",1986-12-31,NA,"acebutolol (acebutolol hydrochloride) 100 mg oral tablet",7,FALSE
TRUE,9000242,NA,NA,"active",1986-12-31,NA,"acebutolol (acebutolol hydrochloride) 200 mg oral tablet",7,FALSE
TRUE,9000243,NA,NA,"active",1986-12-31,NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9,FALSE
TRUE,9000244,NA,NA,"active",1986-12-31,NA,"betamethasone (betamethasone valerate) 0.05 % lotion",1,FALSE
TRUE,9000315,NA,NA,"active",1986-12-31,NA,"dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL solution for injection vial",3,FALSE
TRUE,9000246,NA,NA,"active",1986-12-31,NA,"erythromycin 250 mg oral tablet",1,FALSE
TRUE,9000248,NA,NA,"active",1986-12-31,NA,"erythromycin (erythromycin stearate) 500 mg oral tablet",1,FALSE
TRUE,9000249,NA,NA,"active",1986-12-31,NA,"furosemide 80 mg oral tablet",4,FALSE
