ccdd,ntp_code,ntp_formal_name,changes
"TRUE","9002673","framycetin sulfate 1 % dressing","ADDED"
"TRUE","9005293","acyclovir 5 % and hydrocortisone 1 % cutaneous cream","ADDED"
"TRUE","9005521","alogliptin (alogliptin benzoate) 25 mg oral tablet","ADDED"
NA,"9006591","ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet","DELETED"
NA,"9000472","mesalazine 400 mg gastro-resistant tablet","DELETED"
"TRUE","9010822","nebivolol (nebivolol hydrochloride) 5 mg oral tablet","ADDED"
"TRUE","9001216","varenicline (varenicline tartrate) 0.5 mg oral tablet with varenicline (varenicline tartrate) 1 mg oral tablet","ADDED"
"TRUE","9012406","reslizumab 100 mg per 10 mL solution for injection vial","ADDED"
"TRUE","9012354","verapamil hydrochloride 120 mg prolonged-release oral tablet","ADDED"
"TRUE","9005988","canagliflozin 50 mg and metformin hydrochloride 1000 mg oral tablet","ADDED"
"TRUE","9012450","buprenorphine (buprenorphine hydrochloride) 300 mcg NA","ADDED"
"TRUE","9003868","amphetamine aspartate 3.75 mg and amphetamine sulfate 3.75 mg and dextroamphetamine saccharate 3.75 mg and dextroamphetamine sulfate 3.75 mg prolonged-release oral capsule","ADDED"
"TRUE","9006435","benzoyl peroxide 2.5 % and benzoyl peroxide 5 % NA","ADDED"
"TRUE","9001867","benzalkonium chloride 0.1 % cutaneous liquid","ADDED"
"TRUE","9003329","fusidic acid 2 % and hydrocortisone acetate 1 % cutaneous cream","ADDED"
"TRUE","9005358","levonorgestrel 13.5 mg intrauterine delivery system","ADDED"
"TRUE","9012424","insulin degludec 100 unit per mL solution for injection","ADDED"
"TRUE","9001501","benzalkonium chloride 13 % cutaneous liquid","ADDED"
"TRUE","9012160","tolvaptan 15 mg oral tablet with tolvaptan 45 mg oral tablet","ADDED"
NA,"9001007","rivastigmine (rivastigmine hydrogen tartrate) 2 mg per mL oral solution","DELETED"
"TRUE","9012445","letermovir 480 mg oral tablet","ADDED"
"TRUE","9001997","tobramycin (tobramycin sulfate) 1.2 g per vial powder for solution for injection","ADDED"
"TRUE","9009288","eplerenone 50 mg oral tablet","ADDED"
NA,"9006542","ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet","DELETED"
"TRUE","9012161","tolvaptan 30 mg oral tablet","ADDED"
"TRUE","9001294","testosterone undecanoate 40 mg oral capsule","ntp_status_effective_time: ""20091008"" -> ""19921231"""
"TRUE","9008629","cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet","ADDED"
NA,"9000499","verapamil hydrochloride 180 mg prolonged-release oral tablet","DELETED"
"TRUE","9005179","ondansetron 4 mg orodispersible film","ADDED"
"TRUE","9009614","furosemide 20 mg oral tablet","ADDED"
"TRUE","9006122","benzoyl peroxide 3.5 % cutaneous paste","ADDED"
"TRUE","9009355","estradiol 10 mcg vaginal tablet","ADDED"
"TRUE","9009386","ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet","ADDED"
"TRUE","9002118","theophylline 600 mg prolonged-release oral tablet","ADDED"
"TRUE","9001653","acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet","ADDED"
"TRUE","9012449","buprenorphine (buprenorphine hydrochloride) 150 mcg NA","ADDED"
"TRUE","9009869","hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet","ADDED"
NA,"9006293","furosemide 40 mg per 2 mL solution for injection ampoule","DELETED"
NA,"9000140","sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet","DELETED"
"TRUE","9002616","theophylline 300 mg prolonged-release oral tablet","ADDED"
"TRUE","9012414","nusinersen (nusinersen sodium) 2.4 mg per mL solution for injection","ADDED"
NA,"9005213","nebivolol (nebivolol hydrochloride) 2.5 mg oral tablet","DELETED"
NA,"9006613","tolvaptan 15 mg oral tablet with tolvaptan 45 mg oral tablet","DELETED"
"TRUE","9003013","chlorhexidine gluconate 4 % medicated sponge","ADDED"
"TRUE","9012357","verapamil hydrochloride 240 mg prolonged-release oral capsule","ADDED"
NA,"9004545","eplerenone 25 mg oral tablet","DELETED"
"TRUE","9012352","verapamil hydrochloride 120 mg oral tablet","ADDED"
"TRUE","9010501","mesalazine 500 mg suppository","ADDED"
"TRUE","9002226","tamoxifen (tamoxifen citrate) 10 mg oral tablet","ADDED"
NA,"9000548","verapamil hydrochloride 120 mg prolonged-release oral capsule","DELETED"
NA,"9002873","sotalol hydrochloride 80 mg oral tablet","DELETED"
"TRUE","9003846","almotriptan (almotriptan malate) 12.5 mg oral tablet","ADDED"
NA,"9000902","rivastigmine (rivastigmine hydrogen tartrate) 4.5 mg oral capsule","DELETED"
"TRUE","9003026","dorzolamide (dorzolamide hydrochloride) 2 % ophthalmic drops","ADDED"
"TRUE","9005460","glycopyrronium (glycopyrronium bromide) 50 mcg and indacaterol (indacaterol maleate) 110 mcg inhalation powder capsule","ADDED"
"TRUE","9005625","linaclotide 290 mcg oral capsule","ADDED"
"TRUE","9005209","mirabegron 25 mg prolonged-release oral tablet","ADDED"
NA,"9006490","furosemide 250 mg per 25 mL solution for injection 25 mL vial","DELETED"
"TRUE","9005871","tobramycin (tobramycin sulfate) 60 mg per mL inhalation solution","ADDED"
"TRUE","9008010","bumetanide 5 mg oral tablet","ADDED"
"TRUE","9011710","rivastigmine 4.6 mg per 24 hour transdermal patch","ADDED"
"TRUE","9012365","bosentan 62.5 mg oral tablet","ADDED"
NA,"9000637","timolol (timolol maleate) 0.5 % prolonged-release eye drops","DELETED"
NA,"9000807","nitroglycerin 0.4 mg per actuation sublingual spray","DELETED"
"TRUE","9003293","chlorhexidine gluconate 0.12 % gargle/mouthwash","ADDED"
NA,"9002256","captopril 12.5 mg oral tablet","DELETED"
NA,"9003232","formoterol fumarate 12 mcg inhalation powder","DELETED"
"TRUE","9012431","thiotepa 100 mg per vial powder for solution for injection","ADDED"
NA,"9000824","estradiol 0.06 % transdermal gel","DELETED"
"TRUE","9005156","glycopyrronium (glycopyrronium bromide) 50 mcg inhalation powder capsule","ADDED"
NA,"9001637","ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection","DELETED"
"TRUE","9010188","labetalol hydrochloride 200 mg per 40 mL solution for injection vial","ADDED"
"TRUE","9009350","estradiol 0.1 % transdermal gel","ADDED"
"TRUE","9004913","benzoyl peroxide 2.5 % cutaneous gel","ADDED"
"TRUE","9003566","zolmitriptan 2.5 mg orodispersible tablet","ADDED"
"TRUE","9004874","guaifenesin 200 mg oral tablet","ADDED"
"TRUE","9003997","zolmitriptan 5 mg per spray nasal spray","ADDED"
NA,"9005461","glycopyrronium (glycopyrronium bromide) 50 mcg and indacaterol (indacaterol maleate) 110 mcg NA","DELETED"
NA,"9003921","amiloride hydrochloride 5 mg oral tablet","DELETED"
NA,"9006549","nitroglycerin 0.2 mg per hour transdermal patch","DELETED"
"TRUE","9003403","midazolam 5 mg per mL solution for injection","ADDED"
"TRUE","9010663","minoxidil 10 mg oral tablet","ADDED"
"TRUE","9007056","aliskiren (aliskiren fumarate) 150 mg oral tablet","ADDED"
NA,"9002257","captopril 25 mg oral tablet","DELETED"
"TRUE","9010878","nitroglycerin 0.6 mg sublingual tablet","ADDED"
NA,"9003964","ethacrynic acid 25 mg oral tablet","DELETED"
"TRUE","9004912","benzalkonium chloride 0.133 % wipe","ADDED"
"TRUE","9008159","captopril 6.25 mg oral tablet","ADDED"
"TRUE","9001909","guaifenesin 50 mg per 5 mL and oxtriphylline 100 mg per 5 mL oral solution","ADDED"
"TRUE","9008378","chlorthalidone 50 mg oral tablet","ADDED"
NA,"9006595","desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet","DELETED"
"TRUE","9009352","estradiol 0.5 mg oral tablet","ADDED"
"TRUE","9009381","ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet","ADDED"
NA,"9006573","labetalol hydrochloride 100 mg per 20 mL solution for injection vial","DELETED"
NA,"9005789","fluticasone furoate 200 mcg and vilanterol (vilanterol trifenatate) 25 mcg inhalation powder","DELETED"
"TRUE","9006418","benzoyl peroxide 2.5 % NA","ADDED"
"TRUE","9005022","fesoterodine fumarate 4 mg prolonged-release oral tablet","ADDED"
"TRUE","9010494","mesalazine 1.2 g modified-release oral tablet","ADDED"
NA,"9003183","orciprenaline sulfate 2 mg per mL syrup","DELETED"
NA,"9006623","propranolol (propranolol hydrochloride) 3.75 mg per mL oral solution","DELETED"
NA,"9000138","sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet","DELETED"
"TRUE","9003443","tobramycin (tobramycin sulfate) 10 mg per mL solution for injection","ADDED"
"TRUE","9012405","fluticasone furoate 100 mcg per actuation inhalation powder","ADDED"
NA,"9000118","amoxicillin 500 mg oral capsule","DELETED"
NA,"9000456","amoxicillin 250 mg chewable tablet","DELETED"
NA,"9004357","aliskiren (aliskiren fumarate) 300 mg oral tablet","DELETED"
NA,"9006575","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL inhalation solution 2.5 mL unit dose vial","DELETED"
NA,"9000176","furosemide 40 mg per 4 mL solution for injection syringe","DELETED"
"TRUE","9012448","methylphenidate hydrochloride 100 mg modified-release oral capsule","ADDED"
"TRUE","9003551","trimethoprim 100 mg oral tablet","ADDED"
NA,"9000395","verapamil hydrochloride 120 mg prolonged-release oral tablet","DELETED"
"TRUE","9006331","chlorhexidine acetate 10 % NA","ADDED"
"TRUE","9009360","estradiol 37.5 mcg per 24 hour transdermal patch","ADDED"
"TRUE","9001947","nabilone 1 mg oral capsule","ADDED"
"TRUE","9012401","brimonidine tartrate 0.2 % and brinzolamide 1 % ophthalmic drops","ADDED"
NA,"9000503","amoxicillin 125 mg chewable tablet","DELETED"
NA,"9001397","mesalazine 1 g prolonged-release oral tablet","DELETED"
NA,"9000061","nitroglycerin 0.6 mg sublingual tablet","DELETED"
"TRUE","9003653","brompheniramine maleate 2 mg per 5 mL and codeine phosphate 10 mg per 5 mL and guaifenesin 100 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL syrup","ADDED"
"TRUE","9008377","chlorthalidone 100 mg oral tablet","ADDED"
NA,"9000772","ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet","DELETED"
"TRUE","9004663","clotrimazole 1 % and fluconazole 150 mg NA","ADDED"
"TRUE","9003623","brompheniramine maleate 2 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral liquid","ADDED"
"TRUE","9002986","dibucaine hydrochloride 5 mg and esculin 10 mg and framycetin sulfate 10 mg and hydrocortisone (hydrocortisone acetate) 5 mg suppository","ADDED"
"TRUE","9003750","chlorhexidine gluconate 2 % lotion","ADDED"
"TRUE","9003274","phenylephrine hydrochloride 0.25 % cutaneous ointment","ADDED"
NA,"9001816","pindolol 15 mg oral tablet","DELETED"
NA,"9006559","ethinyl estradiol 35 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet","DELETED"
"TRUE","9012355","verapamil hydrochloride 180 mg prolonged-release oral capsule","ADDED"
"TRUE","9005126","azilsartan medoxomil (azilsartan medoxomil potassium) 40 mg oral tablet","ADDED"
"TRUE","9002268","chlorhexidine gluconate 4 % cutaneous liquid","ADDED"
"TRUE","9003147","letrozole 2.5 mg oral tablet","ADDED"
NA,"9004034","cilazapril (cilazapril monohydrate) 5 mg oral tablet","DELETED"
"TRUE","9003009","benzoyl peroxide 5 % lotion","ADDED"
NA,"9006570","estradiol 100 mcg per 24 hour transdermal patch","DELETED"
"TRUE","9004409","ondansetron (ondansetron hydrochloride) 8 mg oral tablet","ADDED"
"TRUE","9006369","dibucaine hydrochloride 0.5 % and esculin 1 % and framycetin sulfate 1 % and hydrocortisone 0.5 % rectal ointment","ADDED"
"TRUE","9010496","mesalazine 4 g per 100 mL rectal suspension","ADDED"
"TRUE","9012426","ocrelizumab 30 mg per mL solution for injection","ADDED"
"TRUE","9002487","phenylephrine (phenylephrine hydrochloride) 10 mg per mL solution for injection","ADDED"
"TRUE","9006354","dibucaine hydrochloride 0.5 % and esculin 1 % and framycetin sulfate 1 % and hydrocortisone (hydrocortisone acetate) 0.5 % rectal ointment","ADDED"
"TRUE","9006567","folic acid (sodium folate) 50 mg per 10 mL solution for injection vial","ntp_status_effective_time: ""19960814"" -> ""19901231"""
"TRUE","9010664","minoxidil 2.5 mg oral tablet","ADDED"
"TRUE","9004626","guaifenesin 100 mg per 5 mL oral liquid","ADDED"
"TRUE","9003784","docusate sodium 50 mg and sennosides 8.6 mg oral tablet","ADDED"
"TRUE","9003763","phenylephrine hydrochloride 1 % solution for injection","ADDED"
"TRUE","9004334","benzalkonium chloride 0.13 % cutaneous solution","ADDED"
"TRUE","9001558","phenobarbital 30 mg oral tablet","ADDED"
"TRUE","9002272","cyproterone acetate 100 mg per mL solution for injection","ADDED"
"TRUE","9009376","ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet","ADDED"
"TRUE","9012407","acetaminophen 500 mg oral capsule","ADDED"
"TRUE","9002951","chlorhexidine gluconate 0.12 % oral liquid","ADDED"
NA,"9000608","mesalazine 500 mg suppository","DELETED"
"TRUE","9010784","nadolol 80 mg oral tablet","ADDED"
"TRUE","9011705","rivastigmine (rivastigmine hydrogen tartrate) 2 mg per mL oral solution","ADDED"
"TRUE","9007800","benazepril hydrochloride 10 mg oral tablet","ADDED"
"TRUE","9007109","ambrisentan 5 mg oral tablet","ADDED"
"TRUE","9002615","theophylline 200 mg prolonged-release oral tablet","ADDED"
NA,"9000356","folic acid 50 mg per 10 mL solution for injection vial","DELETED"
NA,"9006614","tolvaptan 30 mg oral tablet with tolvaptan 60 mg oral tablet","DELETED"
"TRUE","9003171","methotrimeprazine (methotrimeprazine maleate) 50 mg oral tablet","ADDED"
"TRUE","9012394","silodosin 4 mg oral capsule","ADDED"
"TRUE","9010500","mesalazine 500 mg prolonged-release oral tablet","ADDED"
"TRUE","9004515","granisetron (granisetron hydrochloride) 1 mg oral tablet","ADDED"
"TRUE","9006474","risperidone 50 mg per vial powder for prolonged-release suspension for injection with diluent solution","ntp_type: """" -> ""NA"""
"TRUE","9003982","levofloxacin 500 mg oral tablet","ADDED"
"TRUE","9010195","lactulose 667 mg per mL oral solution","ADDED"
NA,"9006571","estradiol 50 mcg per 24 hour transdermal patch","DELETED"
NA,"9006587","ethinyl estradiol 35 mcg per 24 hours and norelgestromin 20 mcg per 24 hours transdermal patch","DELETED"
NA,"9003233","formoterol fumarate 6 mcg inhalation powder","DELETED"
"TRUE","9012410","furosemide 10 mg per mL solution for injection","ADDED"
"TRUE","9004671","benzalkonium chloride 0.13 % wipe","ADDED"
"TRUE","9005180","ondansetron 8 mg orodispersible film","ADDED"
NA,"9006599","rivastigmine 9.5 mg per 24 hour transdermal patch","DELETED"
NA,"9006563","mesalazine 2 g per 60 mL rectal suspension","DELETED"
NA,"9000234","nitroglycerin 2 % cutaneous ointment","DELETED"
"TRUE","9004467","drospirenone 1 mg and estradiol 1 mg oral tablet","ADDED"
NA,"9000139","sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet","DELETED"
"TRUE","9003373","ondansetron 8 mg orodispersible tablet","ADDED"
"TRUE","9006558","desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet","ntp_formal_name: ""desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet"" -> ""azathioprine (azathioprine sodium) 50 mg per vial powder for solution for injection""
ntp_status_effective_time: ""19931231"" -> ""20011220""
ntp_type: """" -> ""NA"""
NA,"9000175","furosemide 20 mg per 2 mL solution for injection syringe","DELETED"
"TRUE","9003371","chlorhexidine gluconate 0.5 % cutaneous solution","ADDED"
"TRUE","9006075","levofloxacin 240 mg per 2.4 mL inhalation solution","ADDED"
NA,"9000170","furosemide 20 mg per 2 mL solution for injection ampoule","DELETED"
NA,"9001577","hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet","DELETED"
"TRUE","9009340","esmolol hydrochloride 10 mg per mL solution for injection 250 mL bag","ADDED"
"TRUE","9012391","brinzolamide 1 % and timolol (timolol maleate) 0.5 % ophthalmic drops","ADDED"
"TRUE","9009354","estradiol 1 mg oral tablet","ADDED"
"TRUE","9012409","naloxone hydrochloride 4 mg per 0.1 mL nasal spray","ADDED"
"TRUE","9012403","fluticasone furoate 200 mcg per actuation and vilanterol (vilanterol trifenatate) 25 mcg per actuation inhalation powder","ADDED"
"TRUE","9010498","mesalazine 400 mg gastro-resistant tablet","ADDED"
"TRUE","9003510","exemestane 25 mg oral tablet","ADDED"
"TRUE","9001893","nitrazepam 5 mg oral tablet","ADDED"
NA,"9006582","estradiol 75 mcg per 24 hour transdermal patch","DELETED"
"TRUE","9002648","chlorhexidine gluconate 20 % cutaneous solution","ADDED"
"TRUE","9012451","buprenorphine (buprenorphine hydrochloride) 450 mcg NA","ADDED"
NA,"9000602","mesalazine 1 g suppository","DELETED"
"TRUE","9005256","benzoyl peroxide 5 % cutaneous solution","ADDED"
"TRUE","9012358","verapamil hydrochloride 240 mg prolonged-release oral tablet","ADDED"
"TRUE","9001735","docusate sodium 50 mg and sennosides (senna) 8.6 mg oral tablet","ADDED"
"TRUE","9012418","lixisenatide 0.1 mg per mL solution for injection","ADDED"
"TRUE","9002165","acetaminophen 650 mg per pck and phenylephrine hydrochloride 10 mg per pck oral powder","ADDED"
"TRUE","9000382","furosemide 250 mg per 25 mL solution for injection vial","ADDED"
"TRUE","9004306","benzoyl peroxide 2.5 % lotion","ADDED"
"TRUE","9010819","nebivolol (nebivolol hydrochloride) 10 mg oral tablet","ADDED"
"TRUE","9011707","rivastigmine (rivastigmine hydrogen tartrate) 4.5 mg oral capsule","ADDED"
"TRUE","9006493","aripiprazole 300 mg per vial powder for prolonged-release suspension for injection with diluent solution","ntp_type: """" -> ""NA"""
"TRUE","9006494","aripiprazole 400 mg per vial powder for prolonged-release suspension for injection with diluent solution","ntp_type: """" -> ""NA"""
"TRUE","9012381","fluticasone propionate 100 mcg per actuation inhalation powder","ADDED"
NA,"9000373","amoxicillin 125 mg per 5 mL oral suspension","DELETED"
"TRUE","9003241","ondansetron (ondansetron hydrochloride dihydrate) 4 mg oral tablet","ADDED"
NA,"9001313","estradiol 10 mcg vaginal tablet","DELETED"
NA,"9006539","ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet","DELETED"
"TRUE","9004152","timolol (timolol maleate) 0.5 % and travoprost 0.004 % ophthalmic drops","ADDED"
"TRUE","9003552","chlorhexidine gluconate 2 % cutaneous solution","ADDED"
"TRUE","9012384","brinzolamide 1 % ophthalmic drops","ADDED"
NA,"9001982","hydrochlorothiazide 50 mg and spironolactone 50 mg oral tablet","DELETED"
NA,"9006538","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet","DELETED"
"TRUE","9004649","benzalkonium chloride 0.125 % cutaneous solution","ADDED"
NA,"9006612","rivastigmine 13.3 mg per 24 hour transdermal patch","DELETED"
"TRUE","9009615","furosemide 20 mg per 2 mL solution for injection ampoule","ADDED"
"TRUE","9003429","alcohol anhydrous 70 % and chlorhexidine gluconate 0.5 % cutaneous liquid","ADDED"
NA,"9006584","azathioprine (azathioprine sodium) 50 mg per vial powder for solution for injection","DELETED"
NA,"9006557","desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet","DELETED"
NA,"9001896","aminophylline 25 mg per mL solution for injection","DELETED"
"TRUE","9007801","benazepril hydrochloride 20 mg oral tablet","ADDED"
