ccdd,tm_code,tm_formal_name,changes,New code,Comments
TRUE,8001127,brimonidine and brinzolamide,ADDED,,
TRUE,8001111,brimonidine and timolol,ADDED,,
TRUE,8001106,brinzolamide,ADDED,,
TRUE,8001117,brinzolamide and timolol,ADDED,,
TRUE,8000926,brompheniramine and codeine and guaifenesin and phenylephrine,ADDED,,
TRUE,8000925,brompheniramine and codeine and phenylephrine,ADDED,,
TRUE,8000922,brompheniramine and phenylephrine,ADDED,,
TRUE,8001126,canagliflozin,ADDED,,
TRUE,8001016,canagliflozin and metformin,ADDED,,
TRUE,8001057,cefadroxil,"tm_status_effective_time: ""19990831"" -> ""19990602""",,TM not published yet
NA,8001056,cefadroxil (cefadroxil monohydrate),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001076,cefuroxime,ADDED,,
NA,8001055,cefuroxime (cefuroxime axetil),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
NA,8001059,cefuroxime (cefuroxime sodium),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001097,chloral hydrate,ADDED,,
TRUE,8001091,chlorambucil,ADDED,,
TRUE,8000809,chlorhexidine,ADDED,,
TRUE,8000978,clotrimazole and fluconazole,ADDED,,
TRUE,8001036,conjugated estrogens and medroxyprogesterone,ADDED,,
TRUE,8001077,cromolyn,ADDED,,
NA,8001050,cromolyn sodium,DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8000841,cyproterone,ADDED,,
TRUE,8001131,cysteamine,ADDED,,
TRUE,8001114,darifenacin,ADDED,,
TRUE,8001133,defibrotide,ADDED,,
TRUE,8000848,dexamethasone (base) and tobramycin,ADDED,,
TRUE,8000137,dexamethasone sodium phosphate,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19901231"" -> ""20170718""",,QA  need to check prods for basis of strength  LT
TRUE,8001118,dexmedetomidine,ADDED,,
TRUE,8000898,dibucaine and esculin and framycetin and hydrocortisone,ADDED,,
TRUE,8000811,docusate and sennosides,ADDED,,
TRUE,8000899,dorzolamide,ADDED,,
TRUE,8001033,doxylamine,ADDED,,
TRUE,8000970,drospirenone and estradiol,ADDED,,
TRUE,8001138,durvalumab,ADDED,,
TRUE,8000988,dutasteride and tamsulosin,ADDED,,
TRUE,8001112,eletriptan,ADDED,,
TRUE,8001078,ephedrine,ADDED,,
NA,8001046,ephedrine sulfate,DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001079,eprosartan,ADDED,,
NA,8000944,eprosartan (eprosartan mesylate) and hydrochlorothiazide,DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001080,eprosartan and hydrochlorothiazide,ADDED,,
TRUE,8000969,estradiol and levonorgestrel,ADDED,,
TRUE,8000917,estradiol and norethindrone,ADDED,,
TRUE,8001109,exemestane,ADDED,,
TRUE,8001123,fesoterodine,ADDED,,
TRUE,8001081,fluticasone and vilanterol,ADDED,,
NA,8001005,fluticasone and vilanterol (vilanterol trifenatate),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001030,framycetin,ADDED,,
TRUE,8000908,fusidic acid and hydrocortisone,ADDED,,
TRUE,8001136,glecaprevir and pibrentasvir,ADDED,,
TRUE,8001082,glycopyrronium,ADDED,,
NA,8001063,glycopyrronium (glycopyrronium bromide) and indacaterol (indacaterol maleate),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001083,glycopyrronium and indacaterol,ADDED,,
TRUE,8001116,granisetron,ADDED,,
TRUE,8000821,guaifenesin,ADDED,,
TRUE,8000826,guaifenesin and oxtriphylline,ADDED,,
TRUE,8001142,guselkumab,ADDED,,
TRUE,8001134,haptens,ADDED,,
NA,8001042,hydrochlorothiazide and methyldopa,DELETED,,"2 prods, both dormant, so should be in as inactive"
TRUE,8001108,ibutilide,ADDED,,
TRUE,8001084,indacaterol,ADDED,,
NA,8001061,indacaterol (indacaterol maleate),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001137,insulin degludec,ADDED,,
TRUE,8001113,irinotecan,ADDED,,
TRUE,8000933,latanoprost and timolol,ADDED,,
TRUE,8001140,letermovir,ADDED,,
TRUE,8001102,letrozole,ADDED,,
TRUE,8000947,levofloxacin,ADDED,,
TRUE,8000915,levonorgestrel,ADDED,,
TRUE,8001125,linaclotide,ADDED,,
TRUE,8001119,liraglutide,ADDED,,
TRUE,8001130,lixisenatide,ADDED,,
TRUE,8001001,metformin and saxagliptin,ADDED,,
TRUE,8001099,methotrimeprazine,ADDED,,
TRUE,8000814,metronidazole and nystatin,ADDED,,
TRUE,8001107,midazolam,ADDED,,
TRUE,8001124,mirabegron,ADDED,,
TRUE,8000921,misoprostol,ADDED,,
TRUE,8001093,nabilone,ADDED,,
TRUE,8000891,naloxone,ADDED,,
TRUE,8001104,naratriptan,ADDED,,
TRUE,8001092,nitrazepam,ADDED,,
TRUE,8001132,nusinersen,ADDED,,
TRUE,8001135,ocrelizumab,ADDED,,
TRUE,8001139,olaratumab,ADDED,,
NA,8001010,olodaterol (olodaterol hydrochloride) and tiotropium,DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001085,olodaterol and tiotropium,ADDED,,
TRUE,8001100,ondansetron,ADDED,,
TRUE,8001086,orciprenaline,ADDED,,
NA,8001054,orciprenaline sulfate,DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001129,ozenoxacin,ADDED,,
TRUE,8000799,phenobarbital,ADDED,,
TRUE,8000823,phenylephrine,ADDED,,
TRUE,8001087,rosiglitazone,ADDED,,
NA,8001058,rosiglitazone (rosiglitazone maleate),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001120,silodosin,ADDED,,
NA,8000080,sulfamethoxazole and trimethoprim,DELETED,,"sulfamethoxazole not flagged in Ing stem.  Correct Mar 4, 2018"
TRUE,8001096,tamoxifen,ADDED,,
TRUE,8001088,terbutaline,ADDED,,
NA,8001051,terbutaline sulfate,DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001094,theophylline,ADDED,,
TRUE,8001128,thiotepa,ADDED,,
TRUE,8000955,timolol and travoprost,ADDED,,
TRUE,8000827,tobramycin,ADDED,,
TRUE,8001095,triazolam,ADDED,,
TRUE,8000919,trimethoprim,ADDED,,
TRUE,8001115,trospium,ADDED,,
TRUE,8001089,umeclidinium,ADDED,,
NA,8001065,umeclidinium (umeclidinium bromide),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
NA,8001064,umeclidinium (umeclidinium bromide) and vilanterol (vilanterol trifenatate),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001090,umeclidinium and vilanterol,ADDED,,
TRUE,8001122,vandetanib,ADDED,,
TRUE,8001105,zolmitriptan,ADDED,,
TRUE,8001121,zolpidem,ADDED,,
