ccdd,mp_code,mp_formal_name,changes
"TRUE","02265532","ONDANSETRON INJECTION (ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection) TEVA CANADA LIMITED","ADDED"
"TRUE","02466341","TOPICAL HAPTEN LIQUID (haptens 20 % cutaneous liquid) DORMER LABORATORIES INC.","ADDED"
"TRUE","02285150","TOBRAMYCIN FOR INJECTION U.S.P. (tobramycin (tobramycin sulfate) 1.2 g per vial powder for solution for injection) STERIMAX INC","ADDED"
NA,"700284","FUROSEMIDE INJ USP (furosemide 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","DELETED"
NA,"700303","HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial) PFIZER CANADA INC","DELETED"
"TRUE","02440881","STUBBORN ACNE CLEANSER (benzoyl peroxide 3.5 % cutaneous paste) JOHNSON & JOHNSON INC","ADDED"
"TRUE","02244022","MISOPROSTOL (misoprostol 100 mcg oral tablet) AA PHARMA INC","ADDED"
"TRUE","02248463","VIONEXUS NO-RINSE SPRAY (alcohol anhydrous 65.87 % and benzalkonium chloride 0.1 % cutaneous spray) METREX RESEARCH","ADDED"
"TRUE","02464713","PROCYSBI (cysteamine (cysteamine bitartrate) 75 mg gastro-resistant capsule) HORIZON PHARMA IRELAND LTD","ADDED"
"TRUE","02349655","SMART-SAN ALCOHOL-FREE HAND SANITIZER FOAM (benzalkonium chloride 0.1 % cutaneous solution) BEST SANITIZERS INC","ADDED"
"TRUE","02242735","TERBINAFINE (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) PRO DOC LIMITEE","mp_formal_name: ""TERBINAFINE (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) PRO DOC LIMITEE"" -> ""TERBINAFINE-250 (terbinafine (terbinafine hydrochloride) 250 mg oral tablet) PRO DOC LIMITEE"""
NA,"02312549","PRO-INDAPAMIDE (indapamide 2.5 mg oral tablet) PRO DOC LIMITEE","DELETED"
"TRUE","02425009","CONTINGENCY ONE (levonorgestrel 1.5 mg oral tablet) MYLAN PHARMACEUTICALS ULC","ADDED"
"TRUE","02469383","PREVYMIS (letermovir 480 mg oral tablet) MERCK CANADA INC","ADDED"
"TRUE","02434342","PMS-ELETRIPTAN (eletriptan (eletriptan hydrobromide) 20 mg oral tablet) PHARMASCIENCE INC","ADDED"
"TRUE","02469626","SERTRALINE (sertraline (sertraline hydrochloride) 25 mg oral capsule) JAMP PHARMA CORPORATION","ADDED"
"TRUE","02238403","METHOPRAZINE (methotrimeprazine (methotrimeprazine maleate) 2 mg oral tablet) AA PHARMA INC","ADDED"
"TRUE","00839299","VERAPAMIL HYDROCHLORIDE INJECTION USP (verapamil hydrochloride 10 mg per 4 mL solution for injection vial) PFIZER CANADA INC","ADDED"
"TRUE","02358514","APO-LETROZOLE (letrozole 2.5 mg oral tablet) APOTEX INC","ADDED"
"TRUE","02456230","MONOPROST (latanoprost 50 mcg per mL ophthalmic drops) LABORATOIRES THEA","ADDED"
"TRUE","02284715","APO-LEVOFLOXACIN (levofloxacin (levofloxacin hemihydrate) 500 mg oral tablet) APOTEX INC","ADDED"
"TRUE","02268825","ANGELIQ (drospirenone 1 mg and estradiol 1 mg oral tablet) BAYER INC","ADDED"
"TRUE","00095494","ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE (acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMETICS (2011) INC","ADDED"
"TRUE","02242705","AROMASIN (exemestane 25 mg oral tablet) PFIZER CANADA INC","ADDED"
"TRUE","02291096","ORO CLEAR (chlorhexidine gluconate 0.12 % gargle/mouthwash) GERMIPHENE CORPORATION","ADDED"
"TRUE","01926829","FLAGYSTATIN VAGINAL OVULE (metronidazole 500 mg and nystatin 100000 unit pessary) SANOFI-AVENTIS CANADA INC","ADDED"
"TRUE","01990675","EXCEDRIN EXTRA STRENGTH (acetaminophen 500 mg and caffeine 65 mg oral tablet) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","ADDED"
"TRUE","02385716","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ADDED"
NA,"700315","JAMP-METHOTREXATE (methotrexate (methotrexate sodium) 50 mg per 2 mL solution for injection vial) JAMP PHARMA CORPORATION","DELETED"
"TRUE","02462303","AMPICILLIN SODIUM FOR INJECTION BP (ampicillin (ampicillin sodium) 250 mg per vial powder for solution for injection) AURO PHARMA INC","ADDED"
"TRUE","02467372","M-PANTOPRAZOLE (pantoprazole (pantoprazole sodium sesquihydrate) 40 mg gastro-resistant tablet) MANTRA PHARMA INC","ADDED"
"TRUE","02420422","JAMP-ONDANSETRON (ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection) JAMP PHARMA CORPORATION","ADDED"
NA,"700344","MORPHINE FORTE INJECTION 25MG/ML USP (morphine sulfate 25 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION","DELETED"
"TRUE","02362996","SANDOZ ZOLMITRIPTAN ODT (zolmitriptan 2.5 mg orodispersible tablet) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02465167","MINT-FENOFIBRATE E (fenofibrate 145 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"TRUE","00614254","TOBREX (tobramycin 0.3 % ophthalmic ointment) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"TRUE","02382385","MIDAZOLAM INJECTION USP (midazolam 5 mg per mL solution for injection) PFIZER CANADA INC","ADDED"
"TRUE","02162121","BENZAGEL 5 WASH (benzoyl peroxide 5 % cutaneous liquid) COLUMBIA LABORATORIES CANADA INC","ADDED"
NA,"00441708","APO METHAZIDE 15 (hydrochlorothiazide 15 mg and methyldopa 250 mg oral tablet) APOTEX INC","DELETED"
"TRUE","00832030","DEXIDIN 20 (chlorhexidine gluconate 20 % cutaneous solution) LABORATOIRE ATLAS INC","ADDED"
"TRUE","02237821","AMERGE (naratriptan (naratriptan hydrochloride) 2.5 mg oral tablet) GLAXOSMITHKLINE INC","ADDED"
"TRUE","02440385","PMS-AMPHETAMINES XR (amphetamine aspartate monohydrate 3.75 mg and amphetamine sulfate 3.75 mg and dextroamphetamine saccharate 3.75 mg and dextroamphetamine sulfate 3.75 mg prolonged-release oral capsule) PHARMASCIENCE INC","ADDED"
NA,"00510637","TEVA-TRIMEL (sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet) TEVA CANADA LIMITED","DELETED"
"TRUE","02421410","ONDANSETRON (ondansetron (ondansetron hydrochloride dihydrate) 8 mg oral tablet) SANIS HEALTH INC","ADDED"
"TRUE","02437147","PRECEDEX (dexmedetomidine (dexmedetomidine hydrochloride) 4 mcg per mL solution for injection) HOSPIRA HEALTHCARE CORPORATION","ADDED"
"TRUE","02313960","TEVA-ZOLMITRIPTAN (zolmitriptan 2.5 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"TRUE","02119242","FS ANTIMICROBIAL HAND CLEANER - 2.5% LIQ (benzalkonium chloride 2.5 % cutaneous liquid) ZEP MANUFACTURING COMPANY OF CANADA","ADDED"
NA,"700279","FUROSEMIDE INJECTION SDZ (furosemide 40 mg per 4 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","DELETED"
"TRUE","02240416","ENDURE 420 CIDA-STAT (chlorhexidine gluconate 2 % cutaneous liquid) ECOLAB CO","ADDED"
"TRUE","00617288","MORPHINE HP 50 - 50MG/ML USP (morphine sulfate 50 mg per mL solution for injection 50 mL vial) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02457075","BACLOFEN INJECTION (baclofen 10 mg per 5 mL solution for injection ampoule) TELIGENT OU","ADDED"
"TRUE","02213427","VENTOLIN NEBULES P.F. - 5MG/2.5ML (salbutamol (salbutamol sulfate) 5 mg per 2.5 mL inhalation solution 2.5 mL unit dose vial) GLAXOSMITHKLINE INC","mp_formal_name: ""VENTOLIN NEBULES P.F. - 5MG/2.5ML (salbutamol (salbutamol sulfate) 5 mg per 2.5 mL inhalation solution 2.5 mL unit dose vial) GLAXOSMITHKLINE INC"" -> ""VENTOLIN NEBULES P.F. - 5MG/2.5ML (salbutamol (salbutamol sulfate) 5 mg per 2.5 mL inhalation solution unit dose vial) GLAXOSMITHKLINE INC"""
"TRUE","02385988","SOTALOL (sotalol hydrochloride 80 mg oral tablet) SIVEM PHARMACEUTICALS ULC","mp_status_effective_time: ""20120611"" -> ""20170807"""
"TRUE","02248993","ZOMIG NASAL SPRAY (zolmitriptan 5 mg per spray nasal spray) ASTRAZENECA CANADA INC","ADDED"
"TRUE","02369575","X3 ON-THE-GO ANTISEPTIC SPRAY (benzalkonium chloride 0.13 % cutaneous spray) NATURAL ESSENTIALS INC","ADDED"
"TRUE","02385414","GRANISETRON HYDROCHLORIDE INJECTION SDZ (granisetron (granisetron hydrochloride) 1 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02361760","ZENHALE (formoterol fumarate dihydrate 5 mcg and mometasone furoate 200 mcg pressurised inhalation) MERCK CANADA INC","mp_formal_name: ""ZENHALE (formoterol fumarate dihydrate 5 mcg and mometasone furoate 200 mcg pressurised inhalation) MERCK CANADA INC"" -> ""ZENHALE (formoterol fumarate dihydrate 5 mcg per actuation and mometasone furoate 200 mcg per actuation pressurised inhalation) MERCK CANADA INC"""
"TRUE","02238982","DEXIDIN 2 SOLUTION (chlorhexidine gluconate 2 % cutaneous solution) LABORATOIRE ATLAS INC","ADDED"
"TRUE","02258900","FIRST AID ANTISEPTIC SKIN CLEANSER (chlorhexidine gluconate 2 % cutaneous liquid) GERMIPHENE CORPORATION","ADDED"
"TRUE","00755826","APO-TIMOP OPH SOLN 0.25% (timolol (timolol maleate) 0.25 % ophthalmic drops) APOTEX INC","mp_formal_name: ""APO-TIMOP OPH SOLN 0.25% (timolol (timolol maleate) 0.25 % ophthalmic drops) APOTEX INC"" -> ""APO-TIMOP (timolol (timolol maleate) 0.25 % ophthalmic drops) APOTEX INC"""
"TRUE","02231431","APO-CROMOLYN STERULES (cromolyn sodium 1 % inhalation solution) APOTEX INC","mp_formal_name: ""APO-CROMOLYN STERULES (cromolyn sodium 1 % inhalation solution) APOTEX INC"" -> ""APO-CROMOLYN STERULES (cromolyn sodium 1 % inhalation solution 2 mL unit dose vial) APOTEX INC"""
"TRUE","02439271","ACT AMPHETAMINE XR (amphetamine aspartate monohydrate 6.25 mg and amphetamine sulfate 6.25 mg and dextroamphetamine saccharate 6.25 mg and dextroamphetamine sulfate 6.25 mg prolonged-release oral capsule) TEVA CANADA LIMITED","ADDED"
"TRUE","01987682","SOFRA-TULLE STRIP 1% (framycetin sulfate 1 % dressing) ERFA CANADA 2012 INC","ADDED"
"TRUE","00888346","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION","ADDED"
"TRUE","02242521","MYLAN-SERTRALINE (sertraline (sertraline hydrochloride) 100 mg oral capsule) MYLAN PHARMACEUTICALS ULC","mp_status_effective_time: ""20000724"" -> ""20180207"""
"TRUE","02245231","APO-NITRAZEPAM TABLETS BP (nitrazepam 10 mg oral tablet) APOTEX INC","ADDED"
"TRUE","02449447","RAN-RAMIPRIL HCTZ (hydrochlorothiazide 12.5 mg and ramipril 5 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","ADDED"
"TRUE","02246951","SENNA S. TABLETS (docusate sodium 50 mg and sennosides 8.6 mg oral tablet) TANTA PHARMACEUTICALS INC","ADDED"
"TRUE","02265524","ONDANSETRON INJECTION (ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection) TEVA CANADA LIMITED","ADDED"
"TRUE","02339080","JAMP-ANASTROZOLE (anastrozole 1 mg oral tablet) JAMP PHARMA CORPORATION","ADDED"
NA,"700233","CLINDAMYCIN INJECTION USP (clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 120 mL vial) SANDOZ CANADA INCORPORATED","DELETED"
"TRUE","00582662","AMINOPHYLLINE INJ 25MG/ML (aminophylline 25 mg per mL solution for injection) OMEGA LABORATORIES LTD","mp_formal_name: ""AMINOPHYLLINE INJ 25MG/ML (aminophylline 25 mg per mL solution for injection) OMEGA LABORATORIES LTD"" -> ""AMINOPHYLLINE INJ 25MG/ML (aminophylline 250 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD"""
"TRUE","02457342","SANDOZ AMPHETAMINE XR (amphetamine aspartate monohydrate 7.5 mg and amphetamine sulfate 7.5 mg and dextroamphetamine saccharate 7.5 mg and dextroamphetamine sulfate 7.5 mg prolonged-release oral capsule) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","01930087","GERMI STAT GEL 4% (chlorhexidine gluconate 4 % cutaneous gel) GERMIPHENE CORPORATION","ADDED"
"TRUE","02425491","INVOKANA (canagliflozin 300 mg oral tablet) JANSSEN INC","ADDED"
NA,"00726540","TEVA-TRIMEL (sulfamethoxazole 40 mg per mL and trimethoprim 8 mg per mL oral suspension) TEVA CANADA LIMITED","DELETED"
"TRUE","00832138","DEXIDIN 2 DETERGENT (chlorhexidine gluconate 2 % cutaneous solution) LABORATOIRE ATLAS INC","ADDED"
"TRUE","02358077","RAN-NABILONE (nabilone 0.25 mg oral capsule) RANBAXY PHARMACEUTICALS CANADA INC.","ADDED"
"TRUE","00465763","MYDFRIN (phenylephrine hydrochloride 2.5 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"TRUE","02392488","BIO-ANASTROZOLE (anastrozole 1 mg oral tablet) BIOMED PHARMA","ADDED"
"TRUE","02310287","MYLAN-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 75 mg prolonged-release oral capsule) MYLAN PHARMACEUTICALS ULC","mp_status_effective_time: ""20080507"" -> ""20180207"""
NA,"700262","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION","DELETED"
"TRUE","02468816","IMFINZI (durvalumab 50 mg per mL solution for injection) ASTRAZENECA CANADA INC","ADDED"
"TRUE","02099705","METHOTREXATE SODIUM INJECTION (methotrexate (methotrexate sodium) 50 mg per 2 mL solution for injection vial) TEVA CANADA LIMITED","ADDED"
"TRUE","02312409","IRINOTECAN FOR INJECTION (irinotecan hydrochloride 20 mg per mL solution for injection) TEVA CANADA LIMITED","ADDED"
"TRUE","02305429","SANDOZ BRIMONIDINE (brimonidine tartrate 0.2 % ophthalmic drops) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02463768","ACCEL-CANDESARTAN (candesartan cilexetil 8 mg oral tablet) ACCEL PHARMA INC","ADDED"
"TRUE","01927698","NOZINAN INJ 25MG/ML (methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per mL solution for injection) SANOFI-AVENTIS CANADA INC","ADDED"
"TRUE","02468026","M-AMLODIPINE (amlodipine (amlodipine besylate) 5 mg oral tablet) MANTRA PHARMA INC","ADDED"
"TRUE","02204274","DEXAMETHASONE-OMEGA (dexamethasone phosphate (dexamethasone sodium phosphate) 100 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD","ADDED"
"TRUE","02181479","INHIBACE PLUS - TAB (cilazapril 5 mg and hydrochlorothiazide 12.5 mg oral tablet) HOFFMANN-LA ROCHE LIMITED","mp_formal_name: ""INHIBACE PLUS - TAB (cilazapril 5 mg and hydrochlorothiazide 12.5 mg oral tablet) HOFFMANN-LA ROCHE LIMITED"" -> ""INHIBACE PLUS (cilazapril (cilazapril monohydrate) 5 mg and hydrochlorothiazide 12.5 mg oral tablet) HOFFMANN-LA ROCHE LIMITED"""
"TRUE","02365154","TOBI PODHALER (tobramycin 28 mg inhalation powder capsule) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"TRUE","02322323","SANDOZ NARATRIPTAN (naratriptan (naratriptan hydrochloride) 2.5 mg oral tablet) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02244124","PMS-MISOPROSTOL (0.1MG) (misoprostol 100 mcg oral tablet) PHARMASCIENCE INC","ADDED"
"TRUE","00792659","PMS-CHLORAL HYDRATE SYRUP 100MG/ML (chloral hydrate 100 mg per mL syrup) PHARMASCIENCE INC","ADDED"
"TRUE","02145928","HYDROMORPHONE HP 10 (hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","01925202","SOLUPREP ANTISEPTIC SKIN CLEANSER (chlorhexidine gluconate 4 % medicated sponge) 3M CANADA COMPANY","ADDED"
"TRUE","02243115","VENTOLIN DISKUS (salbutamol (salbutamol sulfate) 200 mcg inhalation powder) GLAXOSMITHKLINE INC","mp_formal_name: ""VENTOLIN DISKUS (salbutamol (salbutamol sulfate) 200 mcg inhalation powder) GLAXOSMITHKLINE INC"" -> ""VENTOLIN DISKUS (salbutamol (salbutamol sulfate) 200 mcg per actuation inhalation powder) GLAXOSMITHKLINE INC"""
"TRUE","02466546","BIO-BOSENTAN (bosentan (bosentan monohydrate) 125 mg oral tablet) BIOMED PHARMA","ADDED"
"TRUE","02345080","IRINOTECAN HYDROCHLORIDE TRIHYDRATE FOR INJECTION (irinotecan hydrochloride (irinotecan hydrochloride trihydrate) 20 mg per mL solution for injection) FRESENIUS KABI CANADA LTD","ADDED"
NA,"700240","DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial) PFIZER CANADA INC","DELETED"
"TRUE","02470322","FOQUEST (methylphenidate hydrochloride 55 mg modified-release oral capsule) PURDUE PHARMA","ADDED"
"TRUE","00527033","FUROSEMIDE INJ USP (furosemide 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02405334","SANDOZ ALMOTRIPTAN (almotriptan (almotriptan malate) 12.5 mg oral tablet) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02241980","NEO-SYNEPHRINE (phenylephrine hydrochloride 1 % solution for injection) PFIZER CANADA INC","ADDED"
