mp_code,mp_formal_name,changes,QA Comments
319589,STING STOP 0.1% (benzalkonium chloride 0.1 % cutaneous liquid) CANADIAN CUSTOM PACKAGING COMPANY,ADDED,
337730,TEVA-FUROSEMIDE (furosemide 20 mg oral tablet) TEVA CANADA LIMITED,"ntp_code: ""9000092"" -> ""9009614""",
337749,TEVA-FUROSEMIDE (furosemide 40 mg oral tablet) TEVA CANADA LIMITED,"ntp_code: ""9000093"" -> ""9009619""",
340731,ORTHO 0.5/35 TABLETS (28 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet) JANSSEN INC,"ntp_code: ""9006538"" -> ""9009393""",
343838,MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO,"ntp_code: ""9006539"" -> ""9009379""",
353027,LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO,"ntp_code: ""9006540"" -> ""9009389""",
360279,CHLORTHALIDONE (chlorthalidone 50 mg oral tablet) AA PHARMA INC,"ntp_code: ""9001751"" -> ""9008378""",
360287,APO CHLORTHALIDONE TAB 100MG (chlorthalidone 100 mg oral tablet) APOTEX INC,"ntp_code: ""9001750"" -> ""9008377""",
362166,APO FUROSEMIDE TAB 40MG (furosemide 40 mg oral tablet) APOTEX INC,"ntp_code: ""9000093"" -> ""9009619""",
372838,ORTHO 1/35 TABLETS (28 DAY) ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC,"ntp_code: ""9006543"" -> ""9009397""",
372846,ORTHO 1/35 TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) JANSSEN INC,"ntp_code: ""9006542"" -> ""9009394""",
394394,DEHYDRATED ALCOHOL INJECTION USP (alcohol anhydrous 100 % solution for injection) SANDOZ CANADA INCORPORATED,ADDED,
396788,APO FUROSEMIDE TAB 20MG (furosemide 20 mg oral tablet) APOTEX INC,"ntp_code: ""9000092"" -> ""9009614""",
397792,FUROSEMIDE 40MG (furosemide 40 mg oral tablet) PRO DOC LIMITEE,"ntp_code: ""9000093"" -> ""9009619""",
399728,DIAZEPAM INJECTION USP (diazepam 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,"mp_formal_name: ""DIAZEPAM INJECTION USP (diazepam 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED"" -> ""DIAZEPAM INJECTION USP (diazepam 10 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED""
ntp_code: ""9000145"" -> ""9001477""
ntp_formal_name: ""diazepam 20 mg per 2 mL solution for injection ampoule"" -> ""diazepam 10 mg per 2 mL solution for injection ampoule""",
401633,FUROSEMIDE SPECIAL (furosemide 250 mg per 25 mL solution for injection 25 mL vial) SANDOZ CANADA INCORPORATED,"mp_formal_name: ""FUROSEMIDE SPECIAL (furosemide 250 mg per 25 mL solution for injection 25 mL vial) SANDOZ CANADA INCORPORATED"" -> ""FUROSEMIDE SPECIAL (furosemide 250 mg per 25 mL solution for injection vial) SANDOZ CANADA INCORPORATED""
ntp_code: ""9006490"" -> ""9000382""
ntp_formal_name: ""furosemide 250 mg per 25 mL solution for injection 25 mL vial"" -> ""furosemide 250 mg per 25 mL solution for injection vial""",
406716,NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 500 mg oral capsule) TEVA CANADA LIMITED,"ntp_code: ""9000118"" -> ""9007164""",
406724,NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 250 mg oral capsule) TEVA CANADA LIMITED,"ntp_code: ""9000116"" -> ""9007158""",
417270,VISKEN (pindolol 5 mg oral tablet) TRIBUTE PHARMACEUTICALS CANADA INC,"ntp_code: ""9001817"" -> ""9011416""",
417289,VISKEN (pindolol 15 mg oral tablet) TRIBUTE PHARMACEUTICALS CANADA INC,"ntp_code: ""9001816"" -> ""9011415""",
441708,APO METHAZIDE 15 (hydrochlorothiazide 15 mg and methyldopa 250 mg oral tablet) APOTEX INC,DELETED,
441716,APO METHAZIDE 25 (hydrochlorothiazide 25 mg and methyldopa 250 mg oral tablet) APOTEX INC,DELETED,
442968,CLEARASIL DAILY CLEAR ACNE TREATMENT CREAM BP PLUS (benzoyl peroxide 5 % cutaneous cream) RECKITT BENCKISER (CANADA) INC,ADDED,
443174,VISKEN (pindolol 10 mg oral tablet) TRIBUTE PHARMACEUTICALS CANADA INC,"ntp_code: ""9001815"" -> ""9011414""",
445266,APO SULFATRIM PEDIATRIC (sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet) APOTEX INC,DELETED,
445274,APO SULFATRIM TAB (sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet) APOTEX INC,DELETED,
445282,APO SULFATRIM DS TAB (sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet) APOTEX INC,DELETED,
452130,NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) TEVA CANADA LIMITED,"ntp_code: ""9000374"" -> ""9007160""",
452149,NOVAMOXIN (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) TEVA CANADA LIMITED,"ntp_code: ""9000373"" -> ""9007154""",
465763,MYDFRIN (phenylephrine hydrochloride 2.5 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,ADDED,
466409,PULMOPHYLLINE ELX (theophylline 80 mg per 15 mL oral solution) LABORATOIRE RIVA INC,ADDED,
476374,CHOLEDYL EXPECTORANT ELIXIR (guaifenesin 50 mg per 5 mL and oxtriphylline 100 mg per 5 mL oral solution) ERFA CANADA 2012 INC,ADDED,
496723,FUROSEMIDE 20 TAB (furosemide 20 mg oral tablet) PRO DOC LIMITEE,"ntp_code: ""9000092"" -> ""9009614""",
497193,AMINOPHYLLINE INJECTION USP (aminophylline 25 mg per mL solution for injection) PFIZER CANADA INC,"mp_formal_name: ""AMINOPHYLLINE INJECTION USP (aminophylline 25 mg per mL solution for injection) PFIZER CANADA INC"" -> ""AMINOPHYLLINE INJECTION USP (aminophylline 250 mg per 10 mL solution for injection vial) PFIZER CANADA INC""
ntp_code: ""9001896"" -> ""9012370""
ntp_formal_name: ""aminophylline 25 mg per mL solution for injection"" -> ""aminophylline 250 mg per 10 mL solution for injection vial""",
498335,TREMYTOINE (phenytoin sodium 100 mg per 2 mL solution for injection vial) OMEGA LABORATORIES LTD,ADDED,
498335,TREMYTOINE (phenytoin sodium 250 mg per 5 mL solution for injection vial) OMEGA LABORATORIES LTD,ADDED,
500895,NALCROM (cromolyn sodium 100 mg oral capsule) SANOFI-AVENTIS CANADA INC,"tm_code: ""8001050"" -> ""8001077""
tm_formal_name: ""cromolyn sodium"" -> ""cromolyn""",
507407,DALMACOL (alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup) LABORATOIRE ATLAS INC,DELETED,
509558,EPIPEN (epinephrine 0.09 mg per 0.3 mL solution for injection syringe) MYLAN SPECIALTY LP,"mp_formal_name: ""EPIPEN (epinephrine 0.09 mg per 0.3 mL solution for injection syringe) MYLAN SPECIALTY LP"" -> ""EPIPEN (epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe) MYLAN SPECIALTY LP""
ntp_code: ""9006200"" -> ""9001299""
ntp_formal_name: ""epinephrine 0.09 mg per 0.3 mL solution for injection syringe"" -> ""epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe""",
510637,TEVA-TRIMEL (sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet) TEVA CANADA LIMITED,DELETED,
510645,TEVA-TRIMEL DS (sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet) TEVA CANADA LIMITED,DELETED,
511528,MOGADON (nitrazepam 5 mg oral tablet) AA PHARMA INC,ADDED,
511536,MOGADON (nitrazepam 10 mg oral tablet) AA PHARMA INC,ADDED,
512524,PROTRIN DF TAB (sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet) PRO DOC LIMITEE,DELETED,
513962,TOBREX (tobramycin 0.3 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,ADDED,
514497,LONITEN 2.5MG (minoxidil 2.5 mg oral tablet) PFIZER CANADA INC,"ntp_code: ""9001890"" -> ""9010664""",
514500,LONITEN 10MG (minoxidil 10 mg oral tablet) PFIZER CANADA INC,"ntp_code: ""9001889"" -> ""9010663""",
519367,PRO-TRIAZIDE (hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet) PRO DOC LIMITEE,DELETED,
527033,FUROSEMIDE INJ USP (furosemide 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,ADDED,
527033,FUROSEMIDE INJ USP (furosemide 40 mg per 4 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,ADDED,
533688,TOBRAMYCIN FOR INJECTION (tobramycin (tobramycin sulfate) 1.2 g per vial powder for solution for injection) FRESENIUS KABI CANADA LTD,ADDED,
548375,CESAMET (nabilone 1 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.,ADDED,
550086,SEPTRA INJECTION (sulfamethoxazole 400 mg per 5 mL and trimethoprim 80 mg per 5 mL solution for injection ampoule) ASPEN PHARMACARE CANADA INC.,DELETED,
560952,MINIPRESS (prazosin (prazosin hydrochloride) 1 mg oral tablet) ASPRI PHARMA CANADA INC,"ntp_code: ""9001991"" -> ""9011504""",
560960,MINIPRESS (prazosin (prazosin hydrochloride) 2 mg oral tablet) ASPRI PHARMA CANADA INC,"ntp_code: ""9001992"" -> ""9011505""",
560979,MINIPRESS (prazosin (prazosin hydrochloride) 5 mg oral tablet) ASPRI PHARMA CANADA INC,"ntp_code: ""9001993"" -> ""9011506""",
565040,FUROSEMIDE INJECTION USP (furosemide 20 mg per 2 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,ADDED,
565040,FUROSEMIDE INJECTION USP (furosemide 20 mg per 2 mL solution for injection syringe) HOSPIRA HEALTHCARE CORPORATION,ADDED,
565040,FUROSEMIDE INJECTION USP (furosemide 40 mg per 4 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION,ADDED,
565040,FUROSEMIDE INJECTION USP (furosemide 40 mg per 4 mL solution for injection syringe) HOSPIRA HEALTHCARE CORPORATION,ADDED,
568627,VISKAZIDE 10/25TAB (hydrochlorothiazide 25 mg and pindolol 10 mg oral tablet) TRIBUTE PHARMACEUTICALS CANADA INC,"ntp_code: ""9001980"" -> ""9009865""",
568635,VISKAZIDE 10/50TAB (hydrochlorothiazide 50 mg and pindolol 10 mg oral tablet) TRIBUTE PHARMACEUTICALS CANADA INC,"ntp_code: ""9001981"" -> ""9009876""",
578657,EPIPEN JR (epinephrine 0.045 mg per 0.3 mL solution for injection syringe) MYLAN SPECIALTY LP,"mp_formal_name: ""EPIPEN JR (epinephrine 0.045 mg per 0.3 mL solution for injection syringe) MYLAN SPECIALTY LP"" -> ""EPIPEN JR (epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe) MYLAN SPECIALTY LP""
ntp_code: ""9006203"" -> ""9001298""
ntp_formal_name: ""epinephrine 0.045 mg per 0.3 mL solution for injection syringe"" -> ""epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe""",
582654,AMINOPHYLLINE INJ 50MG/ML (aminophylline 50 mg per mL solution for injection) OMEGA LABORATORIES LTD,"mp_formal_name: ""AMINOPHYLLINE INJ 50MG/ML (aminophylline 50 mg per mL solution for injection) OMEGA LABORATORIES LTD"" -> ""AMINOPHYLLINE INJ 50MG/ML (aminophylline 500 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD""
ntp_code: ""9002003"" -> ""9012371""
ntp_formal_name: ""aminophylline 50 mg per mL solution for injection"" -> ""aminophylline 500 mg per 10 mL solution for injection vial""",
582662,AMINOPHYLLINE INJ 25MG/ML (aminophylline 25 mg per mL solution for injection) OMEGA LABORATORIES LTD,"mp_formal_name: ""AMINOPHYLLINE INJ 25MG/ML (aminophylline 25 mg per mL solution for injection) OMEGA LABORATORIES LTD"" -> ""AMINOPHYLLINE INJ 25MG/ML (aminophylline 250 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD""
ntp_code: ""9001896"" -> ""9012370""
ntp_formal_name: ""aminophylline 25 mg per mL solution for injection"" -> ""aminophylline 250 mg per 10 mL solution for injection vial""",
584223,TRANSDERM-NITRO 0.2 (nitroglycerin 0.2 mg per hour transdermal patch) NOVARTIS PHARMACEUTICALS CANADA INC,"ntp_code: ""9006549"" -> ""9010873""",
594377,ALDACTAZIDE 50 (hydrochlorothiazide 50 mg and spironolactone 50 mg oral tablet) PFIZER CANADA INC,"ntp_code: ""9001982"" -> ""9009877""",
602957,ORTHO 7/7/7 TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablett) JANSSEN INC,"ntp_code: ""9006544"" -> ""9009391""",
602965,ORTHO 7/7/7 TABLETS (28 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone  0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC,"ntp_code: ""9006545"" -> ""9009392""",
608920,BALMINIL EXPECTORANT (guaifenesin 100 mg per 5 mL syrup) TEVA CANADA LIMITED,ADDED,
609951,BALMINIL EXPECTORANT (SUCROSE FREE) (guaifenesin 100 mg per 5 mL syrup) TEVA CANADA LIMITED,ADDED,
611174,LOTRIDERM CREAM (betamethasone (betamethasone dipropionate) 0.05 % and clotrimazole 1 % cutaneous cream) MERCK CANADA INC,ADDED,
613231,TEVA-SPIRONOLACTONE/HCTZ (hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet) TEVA CANADA LIMITED,"ntp_code: ""9001577"" -> ""9009869""",
614254,TOBREX (tobramycin 0.3 % ophthalmic ointment) NOVARTIS PHARMACEUTICALS CANADA INC,ADDED,
614262,NITROJECT INJ 1MG/ML (nitroglycerin 100 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD,"ntp_code: ""9006220"" -> ""9010880""",
617288,MORPHINE HP 50 - 50MG/ML USP (morphine sulfate 250 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED,ADDED,
617288,MORPHINE HP 50 - 50MG/ML USP (morphine sulfate 500 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED,ADDED,
617288,MORPHINE HP 50 - 50MG/ML USP (morphine sulfate 50 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED,ADDED,
617288,MORPHINE HP 50 - 50MG/ML USP (morphine sulfate 50 mg per mL solution for injection 50 mL vial) SANDOZ CANADA INCORPORATED,ADDED,
622133,DILAUDID HP (hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial) PURDUE PHARMA,ADDED,
622133,DILAUDID HP (hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial) PURDUE PHARMA,ADDED,
622133,DILAUDID HP (hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial) PURDUE PHARMA,ADDED,
627410,ELIXIR DE THEOPHYLLINE (theophylline 80 mg per 15 mL oral solution) LABORATOIRE ATLAS INC,ADDED,
628115,APO-AMOXI CAP 250MG (amoxicillin (amoxicillin trihydrate) 250 mg oral capsule) APOTEX INC,"ntp_code: ""9000116"" -> ""9007158""",
628123,APO-AMOXI CAP 500MG (amoxicillin (amoxicillin trihydrate) 500 mg oral capsule) APOTEX INC,"ntp_code: ""9000118"" -> ""9007164""",
628131,APO-AMOXI PWR FOR SUSP 125MG/5ML (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) APOTEX INC,"ntp_code: ""9000373"" -> ""9007154""",
628158,APO-AMOXI PWR FOR SUSP 250MG/5ML (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) APOTEX INC,"ntp_code: ""9000374"" -> ""9007160""",
636533,IBUPROFEN TAB 400MG (ibuprofen 400 mg oral tablet) PRO DOC LIMITEE,DELETED,
644315,PRO AMOX-500 CAP 500MG (amoxicillin (amoxicillin trihydrate) 500 mg oral capsule) PRO DOC LIMITEE,"ntp_code: ""9000118"" -> ""9007164""",
644331,PRO-AMOX-250 ORL SUS 250MG/5ML (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) PRO DOC LIMITEE,"ntp_code: ""9000374"" -> ""9007160""",
645575,PHENOBARB ELIXIR (phenobarbital 5 mg per mL oral solution) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,ADDED,
657182,TEVA-SPIRONOLACTONE/HCTZ (hydrochlorothiazide 50 mg and spironolactone 50 mg oral tablet) TEVA CANADA LIMITED,"ntp_code: ""9001982"" -> ""9009877""",
658413,BAXEDIN LIQ 20% (chlorhexidine gluconate 20 % cutaneous solution) OMEGA LABORATORIES LTD,ADDED,
667080,FUROSEMIDE-80 TAB 80MG (furosemide 80 mg oral tablet) PRO DOC LIMITEE,"ntp_code: ""9000249"" -> ""9009625""",
676411,MORPHINE HP 25 - 25MG/ML (morphine sulfate 100 mg per 4 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,ADDED,
676411,MORPHINE HP 25 - 25MG/ML (morphine sulfate 25 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED,ADDED,
692689,APO-THEO-LA SRT 100MG (theophylline 100 mg prolonged-release oral tablet) APOTEX INC,ADDED,
692697,APO-THEO-LA SRT 200MG (theophylline 200 mg prolonged-release oral tablet) APOTEX INC,ADDED,
692700,APO-THEO-LA SRT 300MG (theophylline 300 mg prolonged-release oral tablet) APOTEX INC,ADDED,
703486,PMS-LACTULOSE SYR 667MG/ML (lactulose 667 mg per mL oral solution) PHARMASCIENCE INC,"ntp_code: ""9002072"" -> ""9010195""",
704423,ANDROCUR DEPOT (cyproterone acetate 100 mg per mL solution for injection) BAYER INC,ADDED,
704431,ANDROCUR (cyproterone acetate 50 mg oral tablet) BAYER INC,ADDED,
707503,TRIQUILAR 28 (ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet with lactose oral tablet) BAYER INC,"ntp_code: ""9006547"" -> ""9009387""",
707570,APO FUROSEMIDE TAB 80MG (furosemide 80 mg oral tablet) APOTEX INC,"ntp_code: ""9000249"" -> ""9009625""",
707600,TRIQUILAR 21 (ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet) BAYER INC,"ntp_code: ""9006546"" -> ""9009386""",
708925,ROGAINE MINOXIDIL TOPICAL 2% SOLUTION (minoxidil 20 mg per mL cutaneous solution) JOHNSON & JOHNSON INC,"ntp_code: ""9002078"" -> ""9010665""",
723754,APRESOLINE (hydralazine hydrochloride 20 mg per mL solution for injection) STERIMAX INC,"mp_formal_name: ""APRESOLINE (hydralazine hydrochloride 20 mg per mL solution for injection) STERIMAX INC"" -> ""APRESOLINE (hydralazine hydrochloride 20 mg per 1 mL solution for injection vial) STERIMAX INC""
ntp_code: ""9002466"" -> ""9012373""
ntp_formal_name: ""hydralazine hydrochloride 20 mg per mL solution for injection"" -> ""hydralazine hydrochloride 20 mg per 1 mL solution for injection vial""",
726540,TEVA-TRIMEL (sulfamethoxazole 40 mg per mL and trimethoprim 8 mg per mL oral suspension) TEVA CANADA LIMITED,DELETED,
728276,BURINEX TAB 5MG (bumetanide 5 mg oral tablet) LEO PHARMA INC,"ntp_code: ""9002529"" -> ""9008010""",
728284,BURINEX TAB 1MG (bumetanide 1 mg oral tablet) LEO PHARMA INC,"ntp_code: ""9002528"" -> ""9008009""",
739839,SANDOZ DEXAMETHASONE (dexamethasone sodium phosphate 0.1 % ophthalmic/otic drops) SANDOZ CANADA INCORPORATED,"mp_formal_name: ""SANDOZ DEXAMETHASONE (dexamethasone sodium phosphate 0.1 % ophthalmic/otic drops) SANDOZ CANADA INCORPORATED"" -> ""SANDOZ DEXAMETHASONE (dexamethasone phosphate (dexamethasone sodium phosphate) 0.1 % ophthalmic/otic drops) SANDOZ CANADA INCORPORATED""
ntp_code: ""9006235"" -> ""9012372""
ntp_formal_name: ""dexamethasone sodium phosphate 0.1 % ophthalmic/otic drops"" -> ""dexamethasone phosphate (dexamethasone sodium phosphate) 0.1 % ophthalmic/otic drops""
tm_code: ""8000137"" -> ""8000114""
tm_formal_name: ""dexamethasone sodium phosphate"" -> ""dexamethasone phosphate""",
742554,ISOPTIN SR (verapamil hydrochloride 240 mg prolonged-release oral tablet) BGP PHARMA ULC,"ntp_code: ""9000310"" -> ""9012358""",
755826,APO-TIMOP OPH SOLN 0.25% (timolol (timolol maleate) 0.25 % ophthalmic drops) APOTEX INC,"mp_formal_name: ""APO-TIMOP OPH SOLN 0.25% (timolol (timolol maleate) 0.25 % ophthalmic drops) APOTEX INC"" -> ""APO-TIMOP (timolol (timolol maleate) 0.25 % ophthalmic drops) APOTEX INC""",
755834,APO-TIMOP LIQ 0.5% (timolol (timolol maleate) 0.5 % ophthalmic drops) APOTEX INC,"mp_formal_name: ""APO-TIMOP LIQ 0.5% (timolol (timolol maleate) 0.5 % ophthalmic drops) APOTEX INC"" -> ""APO-TIMOP (timolol (timolol maleate) 0.5 % ophthalmic drops) APOTEX INC""",
755877,APO-PINDOL TAB 5MG (pindolol 5 mg oral tablet) APOTEX INC,"ntp_code: ""9001817"" -> ""9011416""",
755885,APO-PINDOL TAB 10MG (pindolol 10 mg oral tablet) APOTEX INC,"ntp_code: ""9001815"" -> ""9011414""",
755893,APO-PINDOL TAB 15MG (pindolol 15 mg oral tablet) APOTEX INC,"ntp_code: ""9001816"" -> ""9011415""",
765953,TEVA-FUROSEMIDE (furosemide 80 mg oral tablet) TEVA CANADA LIMITED,"ntp_code: ""9000249"" -> ""9009625""",
778869,NITROJECT INJ 5MG/ML (nitroglycerin 500 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD,"ntp_code: ""9006215"" -> ""9010882""",
778907,TOBRADEX (dexamethasone 0.1 % and tobramycin 0.3 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,ADDED,
778915,TOBRADEX (dexamethasone 0.1 % and tobramycin 0.3 % ophthalmic ointment) NOVARTIS PHARMACEUTICALS CANADA INC,ADDED,
782327,ANDRIOL (testosterone undecanoate 40 mg oral capsule) MERCK CANADA INC,ADDED,
782467,NADOLOL (nadolol 80 mg oral tablet) AA PHARMA INC,"ntp_code: ""9002147"" -> ""9010784""",
782475,NADOLOL (nadolol 160 mg oral tablet) AA PHARMA INC,"ntp_code: ""9002145"" -> ""9010782""",
782483,APO-VERAP TAB 80MG (verapamil hydrochloride 80 mg oral tablet) APOTEX INC,"ntp_code: ""9000341"" -> ""9012360""",
782491,APO-VERAP TABLET 120MG (verapamil hydrochloride 120 mg oral tablet) APOTEX INC,"ntp_code: ""9000340"" -> ""9012352""",
